date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-11-16,552.0,552.0,552.0,552.0,594932610000,396621740,22351,368.0,552.0,1393-08-25
2014-11-17,574.0,574.0,574.0,574.0,2505361560,1606001,211,552.0,574.0,1393-08-26
2014-11-18,597.0,597.0,597.0,597.0,11478636102,7076841,735,574.0,597.0,1393-08-27
2014-11-19,621.0,621.0,607.0,620.0,225469389331,133782085,13236,597.0,621.0,1393-08-28
2014-11-22,625.0,638.0,608.0,619.0,185888003657,110495855,20911,620.0,609.0,1393-09-01
2014-11-23,606.0,629.0,602.0,617.0,107877889560,64409260,11478,619.0,615.0,1393-09-02
2014-11-24,622.0,636.0,609.0,620.0,76349250148,45310218,6889,617.0,611.0,1393-09-03
2014-11-25,600.0,605.0,596.0,597.0,75228375190,46361846,6123,620.0,596.0,1393-09-04
2014-11-26,596.0,621.0,596.0,614.0,64602763240,38695892,4312,597.0,621.0,1393-09-05
2014-11-29,636.0,639.0,607.0,630.0,101214855961,59146372,6888,614.0,615.0,1393-09-08
2014-11-30,611.0,618.0,605.0,606.0,14510420612,8818114,1042,630.0,605.0,1393-09-09
2014-12-01,596.0,613.0,590.0,598.0,27646275316,17027802,2668,606.0,598.0,1393-09-10
2014-12-02,605.0,615.0,593.0,603.0,30599540975,18684588,2792,598.0,609.0,1393-09-11
2014-12-03,604.0,618.0,594.0,601.0,27562220416,16864240,2402,603.0,598.0,1393-09-12
2014-12-06,597.0,600.0,579.0,587.0,17877933696,11217028,1687,601.0,581.0,1393-09-15
2014-12-07,578.0,581.0,565.0,569.0,15133009433,9787446,1400,587.0,571.0,1393-09-16
2014-12-08,576.0,587.0,573.0,578.0,14827975988,9452571,1338,569.0,587.0,1393-09-17
2014-12-09,587.0,587.0,567.0,573.0,8519285840,5466401,775,578.0,569.0,1393-09-18
2014-12-10,576.0,576.0,565.0,568.0,9873730340,6402147,1343,573.0,569.0,1393-09-19
2014-12-14,570.0,570.0,554.0,560.0,25447808970,16726536,2095,568.0,567.0,1393-09-23
2014-12-15,556.0,578.0,552.0,563.0,21472942065,14043608,1971,560.0,578.0,1393-09-24
2014-12-16,568.0,580.0,567.0,572.0,8338800515,5361151,817,563.0,572.0,1393-09-25
2014-12-17,565.0,590.0,565.0,580.0,21097767188,13390683,5914,572.0,589.0,1393-09-26
2014-12-20,575.0,603.0,575.0,598.0,19046679913,11717104,1847,580.0,603.0,1393-09-29
2014-12-22,605.0,622.0,605.0,621.0,26926920662,15973665,2070,598.0,622.0,1393-10-01
2014-12-24,618.0,618.0,597.0,603.0,10842524631,6618103,779,621.0,597.0,1393-10-03
2014-12-27,596.0,600.0,583.0,591.0,6710296906,4178516,985,603.0,597.0,1393-10-06
2014-12-28,596.0,611.0,596.0,600.0,11319448299,6938783,1699,591.0,607.0,1393-10-07
2014-12-29,603.0,604.0,587.0,597.0,7736366429,4766701,3567,600.0,593.0,1393-10-08
2014-12-30,585.0,593.0,582.0,586.0,4761718162,2988372,370,597.0,587.0,1393-10-09
2014-12-31,585.0,585.0,574.0,577.0,4330507727,2761932,482,586.0,576.0,1393-10-10
2015-01-03,589.0,589.0,569.0,578.0,2986169616,1902518,385,577.0,578.0,1393-10-13
2015-01-04,575.0,579.0,571.0,573.0,4137887849,2657997,479,578.0,572.0,1393-10-14
2015-01-05,578.0,578.0,565.0,567.0,3676986791,2387845,394,573.0,569.0,1393-10-15
2015-01-06,565.0,576.0,556.0,562.0,5189013411,3400941,566,567.0,561.0,1393-10-16
2015-01-07,560.0,569.0,556.0,559.0,5215811126,3432180,547,562.0,561.0,1393-10-17
2015-01-10,560.0,560.0,547.0,552.0,28905808923,19254016,1112,559.0,552.0,1393-10-20
2015-01-11,552.0,566.0,545.0,554.0,27129862191,18034569,1332,552.0,561.0,1393-10-21
2015-01-12,559.0,576.0,558.0,572.0,5600162036,3603861,640,554.0,576.0,1393-10-22
2015-01-13,574.0,574.0,553.0,558.0,4867043592,3209499,429,572.0,556.0,1393-10-23
2015-01-14,551.0,555.0,549.0,552.0,32456002301,21634399,1889,558.0,552.0,1393-10-24
2015-01-17,552.0,563.0,552.0,555.0,4892746370,3241309,569,552.0,555.0,1393-10-27
2015-01-18,559.0,561.0,552.0,552.0,4195504964,2794223,376,555.0,552.0,1393-10-28
2015-01-19,552.0,554.0,548.0,552.0,17423831383,11615805,659,552.0,552.0,1393-10-29
2015-01-20,552.0,556.0,552.0,552.0,5978926438,3984838,259,552.0,552.0,1393-10-30
2015-01-21,552.0,555.0,552.0,552.0,23089876427,15392640,769,552.0,552.0,1393-11-01
2015-01-24,557.0,557.0,552.0,552.0,5258055783,3504798,306,552.0,552.0,1393-11-04
2015-01-25,555.0,558.0,552.0,553.0,4001922099,2663706,261,552.0,553.0,1393-11-05
2015-01-26,552.0,552.0,552.0,552.0,9415077023,6276631,332,553.0,552.0,1393-11-06
2015-01-27,552.0,553.0,552.0,552.0,11843499269,7895107,411,552.0,552.0,1393-11-07
2015-01-28,552.0,566.0,552.0,556.0,6272644032,4154379,408,552.0,563.0,1393-11-08
2015-01-31,557.0,571.0,554.0,562.0,4171209461,2729241,366,556.0,562.0,1393-11-11
2015-02-01,559.0,559.0,552.0,552.0,6539655054,4356441,397,562.0,552.0,1393-11-12
2015-02-02,552.0,556.0,552.0,552.0,6049906460,4031189,283,552.0,552.0,1393-11-13
2015-02-03,552.0,554.0,552.0,552.0,4645438829,3095786,344,552.0,552.0,1393-11-14
2015-02-04,552.0,563.0,552.0,554.0,8483999157,5639609,497,552.0,556.0,1393-11-15
2015-02-07,561.0,561.0,552.0,557.0,5474867711,3617260,693,554.0,554.0,1393-11-18
2015-02-08,559.0,559.0,552.0,552.0,7535211783,5022155,368,557.0,554.0,1393-11-19
2015-02-09,555.0,555.0,552.0,552.0,4983811949,3321688,598,552.0,552.0,1393-11-20
2015-02-10,556.0,556.0,552.0,552.0,3855945094,2570159,243,552.0,552.0,1393-11-21
2015-02-14,559.0,559.0,552.0,552.0,1959175754,1305381,186,552.0,552.0,1393-11-25
2015-02-15,552.0,559.0,552.0,552.0,5370827748,3580092,278,552.0,552.0,1393-11-26
2015-02-16,552.0,557.0,552.0,552.0,4064739826,2709452,241,552.0,552.0,1393-11-27
2015-02-17,552.0,556.0,552.0,552.0,5056091168,3370468,295,552.0,552.0,1393-11-28
