date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-27,234.0,245.0,234.0,234.0,16633000,2000,5,0.0,234.0,1380-01-07
2001-03-28,228.0,228.0,228.0,228.0,105034347,13277,18,234.0,228.0,1380-01-08
2001-03-31,222.0,231.0,222.0,231.0,585865699,75113,99,228.0,231.0,1380-01-11
2001-04-03,231.0,235.0,231.0,235.0,195848340,24200,31,231.0,235.0,1380-01-14
2001-04-07,239.0,240.0,235.0,240.0,168327720,20373,34,235.0,240.0,1380-01-18
2001-04-08,240.0,240.0,238.0,239.0,468990964,56406,99,240.0,239.0,1380-01-19
2001-04-09,238.0,238.0,233.0,233.0,144458695,17753,21,239.0,233.0,1380-01-20
2001-04-10,233.0,233.0,227.0,227.0,69906278,8784,14,233.0,227.0,1380-01-21
2001-04-11,227.0,230.0,224.0,224.0,788151231,100125,107,227.0,224.0,1380-01-22
2001-04-14,224.0,224.0,221.0,221.0,309205449,39975,51,224.0,221.0,1380-01-25
2001-04-15,220.0,220.0,219.0,219.0,409050326,53587,85,221.0,219.0,1380-01-26
2001-04-16,219.0,224.0,219.0,224.0,570730858,73915,126,219.0,224.0,1380-01-27
2001-04-17,225.0,230.0,225.0,230.0,619781832,77721,93,224.0,230.0,1380-01-28
2001-04-18,230.0,230.0,228.0,228.0,459120812,57719,84,230.0,228.0,1380-01-29
2001-04-21,228.0,229.0,225.0,226.0,583985159,74080,71,228.0,226.0,1380-02-01
2001-04-22,226.0,226.0,223.0,223.0,136404065,17561,27,226.0,223.0,1380-02-02
2001-04-23,223.0,223.0,221.0,223.0,458350431,59449,72,223.0,223.0,1380-02-03
2001-04-24,223.0,227.0,223.0,227.0,478976617,61085,60,223.0,227.0,1380-02-04
2001-04-25,227.0,228.0,227.0,227.0,609853197,77301,74,227.0,227.0,1380-02-05
2001-04-28,230.0,230.0,227.0,227.0,809745854,102006,100,227.0,227.0,1380-02-08
