date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-10-10,6.0,6.0,6.0,6.0,229575000000,3061000,235,0.0,6.0,1391-07-19
2012-10-13,6.0,6.0,6.0,6.0,69142500,878,18,6.0,6.0,1391-07-22
2012-10-14,7.0,7.0,7.0,7.0,419967273,5079,30,6.0,7.0,1391-07-23
2012-10-15,7.0,7.0,7.0,7.0,280518651,3231,28,7.0,7.0,1391-07-24
2012-10-16,7.0,7.0,7.0,7.0,527098684,5782,45,7.0,7.0,1391-07-25
2012-10-17,8.0,8.0,8.0,8.0,337987320,3531,40,7.0,8.0,1391-07-26
2012-10-20,8.0,8.0,8.0,8.0,320614140,3190,42,8.0,8.0,1391-07-29
2012-10-21,9.0,9.0,9.0,9.0,248947629,2359,26,8.0,9.0,1391-07-30
2013-04-30,64.0,72.0,64.0,65.0,734900960698,923359,4208,9.0,67.0,1392-02-10
2013-05-01,69.0,69.0,69.0,69.0,78677153178,94146,576,65.0,69.0,1392-02-11
2013-05-04,72.0,72.0,72.0,72.0,34991150329,39877,192,69.0,72.0,1392-02-14
2013-05-05,76.0,76.0,68.0,74.0,1107262956830,1229169,7622,72.0,74.0,1392-02-15
2013-05-06,77.0,78.0,74.0,77.0,411808786966,437812,3238,74.0,76.0,1392-02-16
2013-05-07,76.0,77.0,73.0,74.0,83471975457,92141,750,77.0,73.0,1392-02-17
2013-05-08,71.0,71.0,71.0,71.0,7210282738,8378,65,74.0,71.0,1392-02-18
2013-05-11,73.0,74.0,67.0,71.0,219118189478,251801,2138,71.0,73.0,1392-02-21
2013-05-12,75.0,75.0,68.0,69.0,341644333352,403209,2764,71.0,68.0,1392-02-22
2013-05-13,66.0,66.0,66.0,66.0,28702835784,35658,210,69.0,66.0,1392-02-23
2013-05-14,63.0,63.0,63.0,63.0,25490543134,33334,95,66.0,63.0,1392-02-24
2013-05-15,61.0,66.0,60.0,61.0,186218147088,251638,1610,63.0,60.0,1392-02-25
2013-05-18,58.0,58.0,58.0,58.0,20816511030,29610,99,61.0,58.0,1392-02-28
2013-05-19,55.0,59.0,55.0,56.0,230657326529,339513,2200,58.0,58.0,1392-02-29
2013-05-20,57.0,58.0,56.0,58.0,76787203035,108357,922,56.0,58.0,1392-02-30
2013-05-21,59.0,60.0,57.0,58.0,86143735660,121916,1247,58.0,57.0,1392-02-31
2013-05-22,57.0,58.0,55.0,56.0,110281635141,162105,1543,58.0,57.0,1392-03-01
2013-05-25,57.0,59.0,57.0,58.0,24243787440,34062,280,56.0,59.0,1392-03-04
2013-05-26,61.0,61.0,61.0,61.0,13945401720,18660,81,58.0,61.0,1392-03-05
2013-05-27,62.0,64.0,60.0,62.0,71492336841,94237,1092,61.0,62.0,1392-03-06
2013-05-28,61.0,64.0,60.0,62.0,36128675777,48057,715,62.0,61.0,1392-03-07
2013-05-29,61.0,61.0,59.0,60.0,56580838618,77143,1035,62.0,59.0,1392-03-08
2013-06-01,59.0,59.0,57.0,57.0,55534904729,79444,843,60.0,58.0,1392-03-11
2013-06-02,58.0,60.0,58.0,60.0,15195282273,20927,394,57.0,58.0,1392-03-12
2013-06-03,57.0,61.0,57.0,59.0,10338818319,14281,170,60.0,61.0,1392-03-13
2013-08-17,53.0,57.0,51.0,54.0,139591753788,214092,1786,59.0,52.0,1392-05-26
2013-08-18,51.0,53.0,51.0,51.0,65495164051,105137,982,54.0,51.0,1392-05-27
2013-08-19,51.0,51.0,49.0,49.0,63000364705,104630,869,51.0,49.0,1392-05-28
2013-08-20,48.0,49.0,47.0,48.0,20787804198,35839,529,49.0,48.0,1392-05-29
2013-08-21,48.0,50.0,47.0,49.0,17845664134,29938,256,48.0,50.0,1392-05-30
2013-08-24,51.0,51.0,51.0,51.0,4483257233,7163,29,49.0,51.0,1392-06-02
2013-08-25,54.0,54.0,54.0,54.0,3998970725,6085,44,51.0,54.0,1392-06-03
2013-08-26,57.0,57.0,57.0,57.0,6754150672,9788,40,54.0,57.0,1392-06-04
2013-08-27,60.0,60.0,54.0,59.0,257360049653,357973,1608,57.0,60.0,1392-06-05
2013-08-28,58.0,62.0,58.0,60.0,91773913849,125168,1483,59.0,61.0,1392-06-06
2013-08-31,62.0,63.0,62.0,63.0,40113832989,52228,350,60.0,63.0,1392-06-09
2013-09-01,66.0,66.0,66.0,66.0,9486318402,11763,72,63.0,66.0,1392-06-10
2013-09-03,70.0,70.0,70.0,70.0,8079089816,9541,51,66.0,70.0,1392-06-12
2013-09-04,66.0,69.0,66.0,66.0,75622666705,93925,659,70.0,66.0,1392-06-13
2013-09-07,63.0,66.0,63.0,64.0,89390700226,115562,1145,66.0,65.0,1392-06-16
2013-09-08,65.0,67.0,65.0,67.0,46402593144,57329,519,64.0,67.0,1392-06-17
2013-09-09,70.0,70.0,67.0,69.0,79495894363,94644,1163,67.0,68.0,1392-06-18
2013-09-10,72.0,72.0,72.0,72.0,39603650415,44905,243,69.0,72.0,1392-06-19
2013-09-11,76.0,76.0,73.0,75.0,148124090005,161703,1572,72.0,76.0,1392-06-20
2013-09-14,75.0,75.0,72.0,74.0,101724992886,112966,1069,75.0,75.0,1392-06-23
2013-09-15,75.0,75.0,71.0,73.0,89786730577,101320,826,74.0,71.0,1392-06-24
2013-09-16,71.0,76.0,70.0,74.0,96468056341,106409,1248,73.0,76.0,1392-06-25
2013-09-17,76.0,78.0,76.0,77.0,135146545150,144192,1042,74.0,77.0,1392-06-26
2013-09-18,80.0,80.0,78.0,79.0,98081905215,102326,900,77.0,78.0,1392-06-27
2013-09-21,79.0,79.0,76.0,78.0,133508357916,140958,1067,79.0,79.0,1392-06-30
2013-09-22,76.0,76.0,75.0,76.0,60339571941,65576,674,78.0,75.0,1392-06-31
2013-09-23,75.0,79.0,75.0,78.0,135381894294,142116,1032,76.0,77.0,1392-07-01
2013-09-24,78.0,80.0,76.0,77.0,41589314030,44346,599,78.0,76.0,1392-07-02
2013-09-25,76.0,77.0,76.0,77.0,29135950412,31219,376,77.0,76.0,1392-07-03
2013-09-28,77.0,80.0,76.0,79.0,75880999229,79363,673,77.0,78.0,1392-07-06
2013-09-29,78.0,82.0,75.0,81.0,184804713616,188250,1658,79.0,82.0,1392-07-07
2013-09-30,81.0,85.0,81.0,84.0,95494585828,93113,803,81.0,85.0,1392-07-08
2013-10-01,85.0,88.0,85.0,87.0,100226062480,94417,1085,84.0,88.0,1392-07-09
2013-10-02,87.0,91.0,87.0,90.0,107989144970,98945,1264,87.0,90.0,1392-07-10
2013-10-05,90.0,94.0,89.0,93.0,100016626413,88270,1196,90.0,94.0,1392-07-13
2013-10-06,95.0,98.0,90.0,95.0,160834767527,139541,1791,93.0,90.0,1392-07-14
2013-10-07,90.0,94.0,90.0,90.0,147585437030,134087,1452,95.0,92.0,1392-07-15
2013-10-08,93.0,95.0,88.0,92.0,100898655618,90309,1190,90.0,92.0,1392-07-16
