date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-11-23,427.0,427.0,427.0,427.0,80000000,32000,4,171.0,427.0,1392-09-02
2013-12-09,342.0,342.0,342.0,342.0,100000,50,1,427.0,342.0,1392-09-18
2013-12-11,598.0,598.0,598.0,598.0,17500000,5000,1,342.0,598.0,1392-09-20
2014-01-21,618.0,618.0,618.0,618.0,1956957520,540596,1,598.0,618.0,1392-11-01
2014-01-22,685.0,685.0,685.0,685.0,20050000,5000,1,618.0,685.0,1392-11-02
2014-01-27,618.0,618.0,618.0,618.0,30097708080,8314284,1,685.0,618.0,1392-11-07
2014-02-03,683.0,683.0,683.0,683.0,4001000000,1000000,1,618.0,683.0,1392-11-14
2014-02-25,632.0,632.0,632.0,632.0,8817840000,2383200,1,683.0,632.0,1392-12-06
2014-03-03,632.0,632.0,632.0,632.0,17635680000,4766400,1,632.0,632.0,1392-12-12
2014-03-26,632.0,632.0,632.0,632.0,14800000,4000,1,632.0,632.0,1393-01-06
2014-04-09,632.0,632.0,632.0,632.0,62900000,17000,2,632.0,632.0,1393-01-20
2014-04-12,632.0,632.0,618.0,630.0,32110000,8700,3,632.0,632.0,1393-01-23
2014-04-13,632.0,632.0,632.0,632.0,30710000,8300,1,630.0,632.0,1393-01-24
2014-04-26,632.0,632.0,632.0,632.0,3700000,1000,1,632.0,632.0,1393-02-06
2015-11-18,596.0,596.0,596.0,596.0,30300000,30000,1,632.0,596.0,1394-08-27
2015-11-22,619.0,619.0,619.0,619.0,28493850,27137,1,596.0,619.0,1394-09-01
2015-11-28,625.0,625.0,625.0,625.0,5799260,5471,2,619.0,625.0,1394-09-07
2015-11-30,631.0,631.0,631.0,631.0,6420000,6000,1,625.0,631.0,1394-09-09
2015-12-01,619.0,619.0,619.0,619.0,2100000,2000,1,631.0,619.0,1394-09-10
2015-12-15,637.0,637.0,637.0,637.0,21600000,20000,1,619.0,637.0,1394-09-24
2015-12-21,625.0,639.0,625.0,625.0,29327200,27665,2,637.0,639.0,1394-09-30
2016-03-09,625.0,625.0,625.0,625.0,31694000,29900,1,625.0,625.0,1394-12-19
2016-06-19,625.0,625.0,625.0,625.0,6360000,6000,1,625.0,625.0,1395-03-30
2016-07-04,625.0,625.0,625.0,625.0,6360000,6000,1,625.0,625.0,1395-04-14
2016-11-05,627.0,627.0,627.0,627.0,637198938,599999,3,625.0,627.0,1395-08-15
2017-05-24,689.0,689.0,689.0,689.0,22774832,19499,1,627.0,689.0,1396-03-03
2017-05-27,758.0,758.0,758.0,758.0,44940000,35000,3,689.0,758.0,1396-03-06
2017-05-28,832.0,833.0,767.0,832.0,72361910,51336,12,758.0,833.0,1396-03-07
2017-05-29,915.0,915.0,915.0,915.0,814275000,525000,24,832.0,915.0,1396-03-08
2017-05-30,1007.0,1007.0,1007.0,1007.0,2966048188,1738598,89,915.0,1007.0,1396-03-09
2017-05-31,1107.0,1107.0,1107.0,1107.0,20148240,10740,2,1007.0,1107.0,1396-03-10
2017-06-06,1217.0,1217.0,1217.0,1217.0,31751633,15391,6,1107.0,1217.0,1396-03-16
2017-06-07,1339.0,1339.0,1337.0,1339.0,1923053452,847546,82,1217.0,1339.0,1396-03-17
2017-06-10,1472.0,1472.0,1472.0,1472.0,600209675,240565,17,1339.0,1472.0,1396-03-20
2017-06-11,1619.0,1619.0,1476.0,1612.0,8219179273,3007010,260,1472.0,1619.0,1396-03-21
2017-06-12,1619.0,1702.0,1451.0,1470.0,2313786268,928622,137,1612.0,1451.0,1396-03-22
2017-06-13,1327.0,1327.0,1323.0,1323.0,740629229,330153,51,1470.0,1323.0,1396-03-23
2017-06-14,1323.0,1456.0,1310.0,1414.0,895951139,373776,57,1323.0,1456.0,1396-03-24
2017-06-17,1555.0,1555.0,1555.0,1555.0,1195298744,453454,42,1414.0,1555.0,1396-03-27
2017-06-18,1622.0,1710.0,1622.0,1700.0,986419299,342406,42,1555.0,1710.0,1396-03-28
2017-06-19,1870.0,1870.0,1594.0,1818.0,11127316353,3611094,339,1700.0,1870.0,1396-03-29
2017-06-20,1976.0,1976.0,1670.0,1809.0,821157760,267702,78,1818.0,1858.0,1396-03-30
2017-06-21,1846.0,1846.0,1629.0,1687.0,3426331078,1198623,172,1809.0,1799.0,1396-03-31
2017-06-24,1810.0,1855.0,1663.0,1761.0,2589038244,867630,180,1687.0,1689.0,1396-04-03
2017-06-25,1688.0,1688.0,1585.0,1612.0,1665063713,609514,139,1761.0,1585.0,1396-04-04
2017-06-28,1622.0,1628.0,1451.0,1478.0,469512430,187435,65,1612.0,1475.0,1396-04-07
2017-07-01,1474.0,1474.0,1330.0,1336.0,5692236908,2513360,230,1478.0,1330.0,1396-04-10
