date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2018-03-07,1219.0,1219.0,1219.0,1219.0,489463450000,117943000,144173,294.0,1219.0,1396-12-16
2018-03-10,1279.0,1279.0,1222.0,1251.0,247531106757,58072428,74537,1219.0,1230.0,1396-12-19
2018-03-11,1205.0,1220.0,1189.0,1197.0,114759772395,28158982,27245,1251.0,1204.0,1396-12-20
2018-03-12,1204.0,1219.0,1189.0,1199.0,42105189561,10313851,11731,1197.0,1197.0,1396-12-21
2018-03-13,1198.0,1204.0,1189.0,1194.0,20582626811,5060357,5334,1199.0,1191.0,1396-12-22
2018-03-14,1203.0,1205.0,1190.0,1196.0,19765770957,4853702,4264,1194.0,1205.0,1396-12-23
2018-03-17,1192.0,1192.0,1153.0,1163.0,16776089340,4234836,3149,1196.0,1160.0,1396-12-26
2018-03-18,1154.0,1178.0,1154.0,1167.0,13958231253,3513366,2852,1163.0,1158.0,1396-12-27
2018-03-19,1157.0,1177.0,1155.0,1165.0,18157819104,4576240,4886,1167.0,1172.0,1396-12-28
2018-03-25,1155.0,1164.0,1131.0,1135.0,6721851001,1739769,1536,1165.0,1133.0,1397-01-05
2018-03-26,1131.0,1147.0,1117.0,1130.0,7292927328,1895264,1520,1135.0,1145.0,1397-01-06
2018-03-27,1123.0,1175.0,1123.0,1160.0,11427981980,2893961,1488,1130.0,1175.0,1397-01-07
2018-03-28,1157.0,1217.0,1145.0,1213.0,26926962853,6520357,2685,1160.0,1217.0,1397-01-08
2018-04-03,1214.0,1263.0,1184.0,1241.0,26835611412,6348086,3773,1213.0,1252.0,1397-01-14
2018-04-04,1239.0,1270.0,1229.0,1260.0,30809852082,7180534,3751,1241.0,1270.0,1397-01-15
2018-04-07,1263.0,1269.0,1237.0,1250.0,10220312083,2401135,2148,1260.0,1240.0,1397-01-18
2018-04-08,1247.0,1263.0,1213.0,1243.0,9548046675,2254875,1411,1250.0,1233.0,1397-01-19
2018-04-09,1233.0,1233.0,1201.0,1216.0,6410811637,1548496,1176,1243.0,1218.0,1397-01-20
2018-04-10,1216.0,1253.0,1213.0,1242.0,9112379353,2155146,1794,1216.0,1229.0,1397-01-21
2018-04-11,1233.0,1258.0,1210.0,1239.0,6268885526,1486325,1141,1242.0,1212.0,1397-01-22
2018-04-15,1205.0,1226.0,1190.0,1205.0,3423164587,834422,517,1239.0,1222.0,1397-01-26
2018-04-16,1189.0,1233.0,1181.0,1209.0,2456570382,596521,478,1205.0,1224.0,1397-01-27
2018-04-17,1193.0,1224.0,1193.0,1206.0,1827277926,444917,437,1209.0,1214.0,1397-01-28
2018-04-18,1192.0,1219.0,1192.0,1210.0,3508466304,851243,803,1206.0,1218.0,1397-01-29
2018-04-21,1190.0,1229.0,1190.0,1208.0,1623378933,394742,582,1210.0,1210.0,1397-02-01
2018-04-22,1196.0,1233.0,1195.0,1219.0,5296164035,1276274,1025,1208.0,1233.0,1397-02-02
2018-04-23,1230.0,1230.0,1205.0,1218.0,1431767538,345101,523,1219.0,1219.0,1397-02-03
2018-04-24,1205.0,1230.0,1205.0,1220.0,1918127664,461647,456,1218.0,1222.0,1397-02-04
2018-04-25,1224.0,1227.0,1210.0,1221.0,1691274612,406691,538,1220.0,1220.0,1397-02-05
2018-04-28,1198.0,1221.0,1198.0,1214.0,1991902509,481978,448,1221.0,1219.0,1397-02-08
2018-04-29,1198.0,1219.0,1198.0,1213.0,2387822623,578149,411,1214.0,1213.0,1397-02-09
2018-04-30,1202.0,1215.0,1198.0,1208.0,962293477,234798,442,1213.0,1210.0,1397-02-10
2018-05-01,1193.0,1208.0,1193.0,1202.0,2178180698,532279,252,1208.0,1208.0,1397-02-11
2018-05-05,1191.0,1204.0,1175.0,1196.0,1108047172,272911,294,1202.0,1198.0,1397-02-15
2018-05-06,1161.0,1197.0,1160.0,1184.0,2813199913,697621,338,1196.0,1197.0,1397-02-16
2018-05-07,1160.0,1204.0,1160.0,1189.0,1376314334,339438,336,1184.0,1198.0,1397-02-17
2018-05-08,1177.0,1221.0,1177.0,1202.0,1535072440,374134,427,1189.0,1211.0,1397-02-18
2018-05-09,1166.0,1204.0,1165.0,1187.0,1850221017,457851,377,1202.0,1192.0,1397-02-19
2018-05-12,1166.0,1204.0,1166.0,1192.0,1730692380,426220,290,1187.0,1195.0,1397-02-22
