date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,47.0,47.0,47.0,47.0,265460,52,1,0.0,47.0,1380-01-06
2001-03-27,47.0,47.0,47.0,47.0,459630,90,1,47.0,47.0,1380-01-07
2001-03-28,48.0,48.0,48.0,48.0,803400,156,1,47.0,48.0,1380-01-08
2001-03-31,48.0,48.0,48.0,48.0,4065394,789,5,48.0,48.0,1380-01-11
2001-04-03,48.0,48.0,48.0,48.0,298816,58,2,48.0,48.0,1380-01-14
2001-04-08,48.0,48.0,48.0,48.0,2974902,577,6,48.0,48.0,1380-01-19
2001-04-09,48.0,48.0,48.0,48.0,1073384,208,2,48.0,48.0,1380-01-20
2001-04-10,48.0,48.0,48.0,48.0,4183650,810,2,48.0,48.0,1380-01-21
2001-04-11,48.0,48.0,48.0,48.0,2055366,398,5,48.0,48.0,1380-01-22
2001-04-14,48.0,48.0,48.0,48.0,4779254,926,5,48.0,48.0,1380-01-25
2001-04-16,48.0,48.0,48.0,48.0,488300,95,1,48.0,48.0,1380-01-27
2001-04-18,47.0,48.0,47.0,48.0,18548952,3627,16,48.0,48.0,1380-01-29
2001-04-21,47.0,48.0,47.0,47.0,6224870,1220,8,48.0,47.0,1380-02-01
2001-04-22,47.0,48.0,47.0,48.0,9068619,1776,8,47.0,48.0,1380-02-02
2001-04-23,47.0,47.0,47.0,47.0,4160991,816,4,48.0,47.0,1380-02-03
2001-04-24,47.0,47.0,47.0,47.0,45776300,8989,13,47.0,47.0,1380-02-04
2001-04-25,47.0,47.0,47.0,47.0,12746307,2500,7,47.0,47.0,1380-02-05
2001-04-28,48.0,48.0,47.0,48.0,24985356,4886,10,47.0,48.0,1380-02-08
2001-04-29,48.0,48.0,48.0,48.0,8143890,1590,7,48.0,48.0,1380-02-09
2001-04-30,48.0,48.0,48.0,48.0,12375188,2398,9,48.0,48.0,1380-02-10
2001-05-01,48.0,48.0,48.0,48.0,1347736,260,2,48.0,48.0,1380-02-11
2001-05-02,48.0,48.0,48.0,48.0,6574990,1266,5,48.0,48.0,1380-02-12
2001-05-05,48.0,48.0,48.0,48.0,7016797,1348,5,48.0,48.0,1380-02-15
2001-05-06,48.0,49.0,48.0,49.0,6975372,1338,7,48.0,49.0,1380-02-16
2001-05-07,49.0,49.0,49.0,49.0,21207495,4056,13,49.0,49.0,1380-02-17
2001-05-08,49.0,49.0,49.0,49.0,11432090,2183,12,49.0,49.0,1380-02-18
2001-05-09,49.0,49.0,49.0,49.0,5792566,1106,4,49.0,49.0,1380-02-19
2001-05-12,49.0,49.0,49.0,49.0,6227028,1188,4,49.0,49.0,1380-02-22
2001-05-13,49.0,49.0,49.0,49.0,29721160,5630,8,49.0,49.0,1380-02-23
2001-05-15,49.0,49.0,49.0,49.0,2474004,468,3,49.0,49.0,1380-02-25
2001-05-16,49.0,49.0,49.0,49.0,8330676,1572,5,49.0,49.0,1380-02-26
2001-05-19,49.0,49.0,49.0,49.0,20034296,3780,18,49.0,49.0,1380-02-29
2001-05-20,50.0,50.0,50.0,50.0,15223850,2836,8,49.0,50.0,1380-02-30
2001-05-21,50.0,50.0,50.0,50.0,12345304,2308,11,50.0,50.0,1380-02-31
2001-05-23,50.0,50.0,50.0,50.0,14703758,2748,9,50.0,50.0,1380-03-02
2001-05-27,50.0,50.0,50.0,50.0,22130600,4126,11,50.0,50.0,1380-03-06
2001-05-28,50.0,51.0,50.0,51.0,8621666,1590,10,50.0,51.0,1380-03-07
2001-05-29,51.0,51.0,51.0,51.0,10287477,1880,8,51.0,51.0,1380-03-08
2001-05-30,51.0,51.0,51.0,51.0,10304748,1880,8,51.0,51.0,1380-03-09
2001-06-02,51.0,53.0,51.0,53.0,16826836,2982,7,51.0,53.0,1380-03-12
2001-06-03,53.0,53.0,53.0,53.0,5392902,946,5,53.0,53.0,1380-03-13
2001-06-06,53.0,53.0,53.0,53.0,5464588,958,9,53.0,53.0,1380-03-16
2001-06-09,53.0,53.0,53.0,53.0,3452286,604,6,53.0,53.0,1380-03-19
2001-06-11,53.0,53.0,53.0,53.0,6122986,1068,6,53.0,53.0,1380-03-21
2001-06-12,53.0,53.0,53.0,53.0,5769180,1004,8,53.0,53.0,1380-03-22
2001-06-13,53.0,54.0,53.0,54.0,28310321,4901,10,53.0,54.0,1380-03-23
2001-06-16,54.0,54.0,53.0,53.0,87275651,15053,17,54.0,53.0,1380-03-26
2001-06-17,53.0,53.0,53.0,53.0,14269900,2500,5,53.0,53.0,1380-03-27
2001-06-20,52.0,52.0,51.0,51.0,12149044,2200,14,53.0,51.0,1380-03-30
2001-06-23,51.0,51.0,51.0,51.0,49682922,9101,21,51.0,51.0,1380-04-02
2001-06-24,51.0,51.0,51.0,51.0,19519838,3556,11,51.0,51.0,1380-04-03
2001-06-25,51.0,51.0,51.0,51.0,22628040,4110,10,51.0,51.0,1380-04-04
2001-06-26,51.0,52.0,51.0,52.0,12028770,2164,12,51.0,52.0,1380-04-05
2001-06-27,52.0,52.0,52.0,52.0,8482934,1513,10,52.0,52.0,1380-04-06
2001-06-30,52.0,53.0,52.0,53.0,32954972,5809,23,52.0,53.0,1380-04-09
2001-07-01,53.0,53.0,53.0,53.0,95333782,16765,15,53.0,53.0,1380-04-10
2001-07-02,53.0,53.0,53.0,53.0,12176598,2146,14,53.0,53.0,1380-04-11
2001-07-03,53.0,53.0,53.0,53.0,1364496,240,2,53.0,53.0,1380-04-12
2001-07-04,53.0,54.0,53.0,53.0,8553659,1487,6,53.0,53.0,1380-04-13
2001-07-07,54.0,54.0,53.0,53.0,118631682,20600,30,53.0,53.0,1380-04-16
2001-07-08,53.0,53.0,53.0,53.0,7839922,1365,4,53.0,53.0,1380-04-17
2001-07-29,51.0,53.0,51.0,53.0,142465228,25030,29,53.0,53.0,1380-05-07
2001-07-30,52.0,52.0,52.0,52.0,21400600,3821,9,53.0,52.0,1380-05-08
2001-07-31,52.0,52.0,52.0,52.0,8194715,1475,10,52.0,52.0,1380-05-09
