date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-06-06,4451.0,4451.0,4451.0,4451.0,8196700000,819670,88,4451.0,4451.0,1394-03-16
2015-06-07,4451.0,4451.0,4451.0,4451.0,7562200000,756220,79,4451.0,4451.0,1394-03-17
2015-06-08,4451.0,4451.0,4451.0,4451.0,4802700000,480270,46,4451.0,4451.0,1394-03-18
2015-06-13,4451.0,4451.0,4451.0,4451.0,31400000,3140,2,4451.0,4451.0,1394-03-23
2015-06-14,4451.0,4451.0,4451.0,4451.0,8196100000,819610,84,4451.0,4451.0,1394-03-24
2015-06-15,4451.0,4451.0,4451.0,4451.0,43848300000,4384830,286,4451.0,4451.0,1394-03-25
2015-07-20,4513.0,4539.0,4492.0,4519.0,1319304700,129940,22,4451.0,4503.0,1394-04-29
2015-07-21,4529.0,4553.0,4529.0,4542.0,8743828800,856760,29,4519.0,4553.0,1394-04-30
2015-07-22,4540.0,4557.0,4533.0,4536.0,661400500,64900,5,4542.0,4557.0,1394-04-31
2015-07-25,4548.0,4548.0,4548.0,4548.0,132847000,13000,5,4536.0,4548.0,1394-05-03
2015-07-26,4568.0,4568.0,4544.0,4556.0,3524175310,344300,28,4548.0,4557.0,1394-05-04
2015-07-27,4560.0,4560.0,4540.0,4560.0,35571438700,3472100,79,4556.0,4560.0,1394-05-05
2015-07-29,4588.0,4588.0,4588.0,4588.0,11957280,1160,1,4560.0,4588.0,1394-05-07
2015-08-01,4587.0,4587.0,4587.0,4587.0,333534520,32360,3,4588.0,4587.0,1394-05-10
2015-08-02,4591.0,4591.0,4591.0,4591.0,56732500,5500,1,4587.0,4591.0,1394-05-11
2015-08-03,4594.0,4594.0,4594.0,4594.0,940425300,91100,14,4591.0,4594.0,1394-05-12
2015-08-04,4597.0,4597.0,4597.0,4597.0,49579600,4800,3,4594.0,4597.0,1394-05-13
2015-08-05,4600.0,4600.0,4600.0,4600.0,463732820,44870,4,4597.0,4600.0,1394-05-14
2015-08-08,4609.0,4609.0,4609.0,4609.0,139819500,13500,2,4600.0,4609.0,1394-05-17
2015-08-09,4613.0,4613.0,4612.0,4613.0,533639300,51490,11,4609.0,4613.0,1394-05-18
2015-08-10,4615.0,4616.0,4615.0,4616.0,1253885900,120900,9,4613.0,4616.0,1394-05-19
2015-08-12,4621.0,4622.0,4621.0,4621.0,522315800,50300,3,4616.0,4621.0,1394-05-21
2015-08-15,4630.0,4630.0,4630.0,4630.0,83232000,8000,2,4621.0,4630.0,1394-05-24
2015-08-16,4634.0,4634.0,4634.0,4634.0,928750800,89200,14,4630.0,4634.0,1394-05-25
2015-08-17,4637.0,4637.0,4637.0,4637.0,7600548610,729490,28,4634.0,4637.0,1394-05-26
2015-08-18,4640.0,4640.0,4640.0,4640.0,665277060,63810,6,4637.0,4640.0,1394-05-27
2015-08-19,4643.0,4643.0,4643.0,4643.0,651528400,62450,5,4640.0,4643.0,1394-05-28
2015-08-22,4650.0,4651.0,4650.0,4650.0,649255090,62140,10,4643.0,4650.0,1394-05-31
2015-08-23,4652.0,4653.0,4652.0,4653.0,281117530,26890,4,4650.0,4653.0,1394-06-01
2015-08-24,4654.0,4655.0,4654.0,4654.0,10326950590,987510,21,4653.0,4655.0,1394-06-02
2015-08-25,4658.0,4658.0,4657.0,4657.0,5668402700,541650,10,4654.0,4657.0,1394-06-03
2015-08-26,4660.0,4661.0,4660.0,4660.0,136114700,13000,3,4657.0,4660.0,1394-06-04
2015-08-30,4672.0,4672.0,4671.0,4671.0,709265050,67580,18,4660.0,4671.0,1394-06-08
2015-08-31,4674.0,4675.0,4674.0,4674.0,1758204300,167400,10,4671.0,4675.0,1394-06-09
2015-09-01,4677.0,4677.0,4677.0,4677.0,527551800,50200,2,4674.0,4677.0,1394-06-10
2015-09-02,4680.0,4681.0,4680.0,4681.0,936008000,89000,7,4677.0,4681.0,1394-06-11
2015-09-05,4690.0,4690.0,4690.0,4690.0,156897400,14890,5,4681.0,4690.0,1394-06-14
2015-09-06,4694.0,4694.0,4693.0,4694.0,418675200,39700,4,4690.0,4693.0,1394-06-15
2015-09-07,4696.0,4696.0,4696.0,4696.0,267910980,25390,6,4694.0,4696.0,1394-06-16
2015-09-08,4699.0,4699.0,4695.0,4699.0,5912301770,560000,14,4696.0,4699.0,1394-06-17
2015-09-09,4703.0,4703.0,4702.0,4703.0,16594396800,1570400,38,4699.0,4702.0,1394-06-18
2015-09-12,4710.0,4711.0,4710.0,4711.0,512042880,48370,5,4703.0,4711.0,1394-06-21
2015-09-13,4713.0,4713.0,4713.0,4713.0,4236000,400,1,4711.0,4713.0,1394-06-22
2015-09-14,4717.0,4717.0,4716.0,4716.0,3577754700,337650,11,4713.0,4716.0,1394-06-23
2015-09-15,4719.0,4719.0,4719.0,4719.0,339314500,32000,3,4716.0,4719.0,1394-06-24
2015-09-16,4723.0,4723.0,4722.0,4722.0,430813780,40600,12,4719.0,4723.0,1394-06-25
2015-09-19,4731.0,4732.0,4731.0,4731.0,3119658150,293450,20,4722.0,4731.0,1394-06-28
2015-09-20,4735.0,4736.0,4735.0,4736.0,1085827320,102040,14,4731.0,4736.0,1394-06-29
2015-09-21,4739.0,4739.0,4738.0,4738.0,988149350,92810,9,4736.0,4738.0,1394-06-30
2015-09-22,4742.0,4742.0,4741.0,4742.0,1158697300,108760,11,4738.0,4742.0,1394-06-31
2015-09-23,4746.0,4746.0,4745.0,4745.0,334791800,31400,7,4742.0,4745.0,1394-07-01
2015-09-26,4754.0,4754.0,4754.0,4754.0,2725226350,255100,30,4745.0,4754.0,1394-07-04
2015-09-27,4758.0,4758.0,4757.0,4757.0,813464800,76100,17,4754.0,4758.0,1394-07-05
2015-09-28,4760.0,4761.0,4760.0,4760.0,134342580,12560,9,4757.0,4760.0,1394-07-06
2015-09-29,4764.0,4764.0,4763.0,4764.0,557142270,52050,6,4760.0,4764.0,1394-07-07
2015-09-30,4767.0,4768.0,4767.0,4767.0,742530800,69320,8,4764.0,4767.0,1394-07-08
2015-10-03,4776.0,4777.0,4776.0,4776.0,560664160,52240,9,4767.0,4777.0,1394-07-11
2015-10-04,4779.0,4780.0,4779.0,4780.0,418677370,38980,16,4776.0,4780.0,1394-07-12
2015-10-05,4783.0,4784.0,4783.0,4783.0,640265250,59570,7,4780.0,4784.0,1394-07-13
2015-10-06,4787.0,4787.0,4786.0,4786.0,1075842340,100040,8,4783.0,4787.0,1394-07-14
2015-10-07,4790.0,4790.0,4789.0,4789.0,718624400,66780,7,4786.0,4790.0,1394-07-15
2015-10-10,4799.0,4800.0,4799.0,4799.0,11348249300,1052420,20,4789.0,4800.0,1394-07-18
2015-10-11,4804.0,4804.0,4803.0,4803.0,31623840,2930,4,4799.0,4804.0,1394-07-19
2015-10-12,4807.0,4807.0,4806.0,4806.0,330890080,30640,6,4803.0,4806.0,1394-07-20
2015-10-13,4810.0,4810.0,4810.0,4810.0,439412620,40660,7,4806.0,4810.0,1394-07-21
2015-10-14,4813.0,4814.0,4813.0,4814.0,904426380,83620,11,4810.0,4813.0,1394-07-22
2015-10-17,4816.0,4823.0,4816.0,4823.0,1087697360,100380,18,4814.0,4823.0,1394-07-25
2015-10-18,4827.0,4827.0,4827.0,4827.0,605696600,55850,4,4823.0,4827.0,1394-07-26
2015-10-19,4830.0,4830.0,4829.0,4829.0,252401620,23260,7,4827.0,4829.0,1394-07-27
2015-10-20,4834.0,4834.0,4833.0,4833.0,32906300,3030,2,4829.0,4833.0,1394-07-28
2015-10-21,4837.0,4838.0,4836.0,4836.0,1081842380,99550,10,4833.0,4837.0,1394-07-29
2015-10-25,4849.0,4849.0,4848.0,4848.0,678944850,62320,12,4836.0,4848.0,1394-08-03
2015-10-26,4852.0,4852.0,4852.0,4852.0,3409634430,312770,13,4848.0,4852.0,1394-08-04
2015-10-27,4855.0,4856.0,4855.0,4855.0,67741100,6210,4,4852.0,4856.0,1394-08-05
2015-10-28,4859.0,4859.0,4858.0,4858.0,365669500,33500,5,4855.0,4858.0,1394-08-06
2015-10-31,4868.0,4868.0,4868.0,4868.0,31989098600,2924640,73,4858.0,4868.0,1394-08-09
2015-11-01,4871.0,4871.0,4871.0,4871.0,34255520,3130,8,4868.0,4871.0,1394-08-10
2015-11-02,4873.0,4873.0,4873.0,4873.0,1063052770,97090,14,4871.0,4873.0,1394-08-11
