date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,20494.0,20494.0,20494.0,20494.0,198324,42,1,20494.0,20494.0,1380-01-06
2001-03-26,20494.0,20494.0,20494.0,20494.0,198324,42,1,20494.0,20494.0,1380-01-06
2001-03-31,20615.0,20615.0,20615.0,20615.0,608000,128,1,20494.0,20615.0,1380-01-11
2001-03-31,20738.0,20738.0,20738.0,20738.0,608000,128,1,20615.0,20738.0,1380-01-11
2001-04-03,20738.0,20738.0,20738.0,20738.0,456000,96,1,20738.0,20738.0,1380-01-14
2001-04-03,20738.0,20738.0,20738.0,20738.0,456000,96,1,20738.0,20738.0,1380-01-14
2001-04-08,20738.0,20738.0,20738.0,20738.0,608000,128,1,20738.0,20738.0,1380-01-19
2001-04-08,20738.0,20738.0,20738.0,20738.0,608000,128,1,20738.0,20738.0,1380-01-19
2001-04-09,20738.0,20746.0,20738.0,20746.0,8206000,1727,8,20738.0,20746.0,1380-01-20
2001-04-09,20746.0,20755.0,20746.0,20755.0,8206000,1727,8,20746.0,20755.0,1380-01-20
2001-04-10,20768.0,20786.0,20768.0,20781.0,9259879,1946,8,20755.0,20781.0,1380-01-21
2001-04-10,20794.0,20812.0,20794.0,20808.0,9259879,1946,8,20781.0,20808.0,1380-01-21
2001-04-11,20829.0,20974.0,20829.0,20974.0,3250692,681,7,20808.0,20974.0,1380-01-22
2001-04-11,20996.0,21141.0,20996.0,21141.0,3250692,681,7,20974.0,21141.0,1380-01-22
2001-04-14,21353.0,21353.0,21163.0,21348.0,3483274,724,6,21141.0,21348.0,1380-01-25
2001-04-14,21562.0,21562.0,21371.0,21558.0,3483274,724,6,21348.0,21558.0,1380-01-25
2001-04-15,21611.0,21611.0,21611.0,21611.0,776800,160,1,21558.0,21611.0,1380-01-26
2001-04-15,21665.0,21665.0,21665.0,21665.0,776800,160,1,21611.0,21665.0,1380-01-26
2001-04-16,21731.0,22312.0,21731.0,22312.0,10467520,2096,2,21665.0,22312.0,1380-01-27
2001-04-16,22381.0,22978.0,22381.0,22978.0,10467520,2096,2,22312.0,22978.0,1380-01-27
2001-04-21,24127.0,24127.0,24127.0,24127.0,5103000,972,9,22978.0,24127.0,1380-02-01
2001-04-21,25333.0,25333.0,25333.0,25333.0,5103000,972,9,24127.0,25333.0,1380-02-01
2001-04-22,26057.0,26057.0,25333.0,26057.0,9960486,1870,10,25333.0,26057.0,1380-02-02
2001-04-22,26801.0,26801.0,26057.0,26801.0,9960486,1870,10,26057.0,26801.0,1380-02-02
2001-04-23,26871.0,27000.0,26871.0,27000.0,2354586,434,4,26801.0,27000.0,1380-02-03
2001-04-23,27070.0,27200.0,27070.0,27200.0,2354586,434,4,27000.0,27200.0,1380-02-03
2001-04-24,27275.0,27350.0,27275.0,27350.0,3685734,674,4,27200.0,27350.0,1380-02-04
2001-04-24,27425.0,27501.0,27425.0,27501.0,3685734,674,4,27350.0,27501.0,1380-02-04
2001-04-25,27667.0,27752.0,27606.0,27752.0,3723039,677,5,27501.0,27752.0,1380-02-05
2001-04-25,27920.0,28006.0,27859.0,28006.0,3723039,677,5,27752.0,28006.0,1380-02-05
2001-04-28,28021.0,28021.0,28021.0,28021.0,231966,42,1,28006.0,28021.0,1380-02-08
