date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-03-16,446.0,446.0,445.0,445.0,60162800,111320,7,446.0,445.0,1383-12-26
2005-03-16,445.0,445.0,445.0,445.0,60162800,111320,7,445.0,445.0,1383-12-26
2005-03-26,461.0,461.0,461.0,461.0,16800000,30000,2,445.0,461.0,1384-01-06
2005-03-26,478.0,478.0,478.0,478.0,16800000,30000,2,461.0,478.0,1384-01-06
2005-03-27,483.0,485.0,483.0,483.0,67965660,120010,17,478.0,483.0,1384-01-07
2005-03-27,488.0,490.0,488.0,488.0,67965660,120010,17,483.0,488.0,1384-01-07
2005-03-28,537.0,537.0,500.0,519.0,90306020,150010,17,488.0,519.0,1384-01-08
2005-03-28,571.0,571.0,532.0,552.0,90306020,150010,17,519.0,552.0,1384-01-08
2005-03-29,608.0,608.0,608.0,608.0,99300000,150000,12,552.0,608.0,1384-01-09
2005-03-29,668.0,668.0,668.0,668.0,99300000,150000,12,608.0,668.0,1384-01-09
2005-03-30,735.0,735.0,735.0,735.0,72800000,100000,4,668.0,735.0,1384-01-10
2005-03-30,808.0,808.0,808.0,808.0,72800000,100000,4,735.0,808.0,1384-01-10
2005-04-04,808.0,808.0,808.0,808.0,43680000,60000,9,808.0,808.0,1384-01-15
2005-04-04,808.0,808.0,808.0,808.0,43680000,60000,9,808.0,808.0,1384-01-15
2005-04-05,809.0,809.0,808.0,808.0,8073441,11082,3,808.0,808.0,1384-01-16
2005-04-05,809.0,809.0,808.0,808.0,8073441,11082,3,808.0,808.0,1384-01-16
2005-04-06,808.0,808.0,808.0,808.0,1820000,2500,1,808.0,808.0,1384-01-17
2005-04-06,808.0,808.0,808.0,808.0,1820000,2500,1,808.0,808.0,1384-01-17
2005-04-11,808.0,808.0,808.0,808.0,9030112,12404,5,808.0,808.0,1384-01-22
2005-04-11,808.0,808.0,808.0,808.0,9030112,12404,5,808.0,808.0,1384-01-22
2005-04-12,728.0,728.0,728.0,728.0,810015680,1234780,53,808.0,728.0,1384-01-23
2005-04-12,656.0,656.0,656.0,656.0,810015680,1234780,53,728.0,656.0,1384-01-23
