date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-25,66.0,66.0,66.0,66.0,3512400,1200,1,66.0,66.0,1380-01-05
2001-03-27,66.0,66.0,66.0,66.0,10537100,3600,5,66.0,66.0,1380-01-07
2001-03-31,66.0,66.0,66.0,66.0,2429410,830,3,66.0,66.0,1380-01-11
2001-04-07,66.0,66.0,66.0,66.0,3491911,1193,4,66.0,66.0,1380-01-18
2001-04-08,66.0,66.0,66.0,66.0,58031860,19802,23,66.0,66.0,1380-01-19
2001-04-09,66.0,67.0,66.0,67.0,3712610,1255,3,66.0,67.0,1380-01-20
2001-04-10,71.0,71.0,71.0,71.0,3122000,1000,2,67.0,71.0,1380-01-21
2001-04-11,74.0,74.0,74.0,74.0,68044724,20758,24,71.0,74.0,1380-01-22
2001-04-14,74.0,78.0,74.0,74.0,103039908,31121,32,74.0,74.0,1380-01-25
2001-04-15,76.0,76.0,74.0,76.0,124080848,37360,31,74.0,76.0,1380-01-26
2001-04-16,77.0,80.0,77.0,80.0,75626121,21852,20,76.0,80.0,1380-01-27
2001-04-17,80.0,81.0,80.0,81.0,20232700,5715,6,80.0,81.0,1380-01-28
2001-04-18,84.0,85.0,81.0,81.0,236399494,64162,55,81.0,81.0,1380-01-29
2001-04-21,84.0,85.0,82.0,85.0,49361749,13359,13,81.0,85.0,1380-02-01
2001-04-22,83.0,85.0,83.0,83.0,80378699,21827,14,85.0,83.0,1380-02-02
2001-04-23,83.0,83.0,82.0,82.0,58331087,16000,19,83.0,82.0,1380-02-03
2001-04-24,82.0,82.0,81.0,82.0,80933110,22429,14,82.0,82.0,1380-02-04
2001-04-25,81.0,83.0,81.0,83.0,42556661,11816,13,82.0,83.0,1380-02-05
2001-04-28,84.0,84.0,83.0,84.0,28316204,7686,14,83.0,84.0,1380-02-08
2001-04-29,84.0,85.0,84.0,85.0,147309898,39334,41,84.0,85.0,1380-02-09
2001-04-30,85.0,86.0,85.0,86.0,70636750,18647,21,85.0,86.0,1380-02-10
2001-05-01,86.0,88.0,86.0,88.0,169517236,43518,29,86.0,88.0,1380-02-11
2001-05-02,90.0,90.0,90.0,90.0,40167390,10061,7,88.0,90.0,1380-02-12
2001-05-05,92.0,93.0,91.0,93.0,177573230,43501,30,90.0,93.0,1380-02-15
2001-05-06,93.0,95.0,93.0,94.0,139248884,33606,40,93.0,94.0,1380-02-16
2001-05-07,98.0,98.0,94.0,98.0,112026128,26442,21,94.0,98.0,1380-02-17
2001-05-08,98.0,99.0,98.0,99.0,36191700,8300,15,98.0,99.0,1380-02-18
2001-05-13,99.0,99.0,99.0,99.0,112109050,25623,22,99.0,99.0,1380-02-23
2001-05-15,98.0,98.0,98.0,98.0,17833840,4120,4,99.0,98.0,1380-02-25
2001-05-16,96.0,96.0,93.0,93.0,35888940,8578,15,98.0,93.0,1380-02-26
2001-05-19,92.0,93.0,90.0,91.0,43603320,10872,19,93.0,91.0,1380-02-29
2001-05-20,92.0,93.0,91.0,92.0,126792058,31096,28,91.0,92.0,1380-02-30
2001-05-21,94.0,94.0,93.0,94.0,113140801,27241,30,92.0,94.0,1380-02-31
2001-05-23,95.0,95.0,94.0,95.0,5818810,1393,5,94.0,95.0,1380-03-02
2001-05-26,96.0,98.0,96.0,98.0,102331331,23693,17,95.0,98.0,1380-03-05
2001-05-27,100.0,100.0,99.0,100.0,42907210,9723,10,98.0,100.0,1380-03-06
2001-05-28,100.0,102.0,100.0,102.0,45551760,10242,8,100.0,102.0,1380-03-07
2001-05-29,103.0,107.0,103.0,107.0,54938190,11697,10,102.0,107.0,1380-03-08
2001-05-30,107.0,107.0,107.0,107.0,188033804,39754,34,107.0,107.0,1380-03-09
2001-06-03,103.0,106.0,103.0,106.0,90664527,19469,19,107.0,106.0,1380-03-13
2001-06-06,106.0,106.0,106.0,106.0,28609509,6103,7,106.0,106.0,1380-03-16
2001-06-09,104.0,105.0,104.0,104.0,37281200,8071,9,106.0,104.0,1380-03-19
2001-06-11,104.0,104.0,103.0,103.0,90233288,19776,20,104.0,103.0,1380-03-21
2001-06-12,103.0,103.0,102.0,102.0,9022500,2000,4,103.0,102.0,1380-03-22
2001-06-13,100.0,101.0,98.0,98.0,62484100,14328,24,102.0,98.0,1380-03-23
2001-06-16,98.0,99.0,97.0,99.0,93518361,21554,27,98.0,99.0,1380-03-26
2001-06-17,101.0,103.0,101.0,103.0,58503335,12911,19,99.0,103.0,1380-03-27
2001-06-18,103.0,103.0,103.0,103.0,8395750,1845,3,103.0,103.0,1380-03-28
2001-06-19,106.0,106.0,104.0,106.0,129074733,27608,34,103.0,106.0,1380-03-29
2001-06-20,106.0,108.0,106.0,108.0,104410645,22238,25,106.0,108.0,1380-03-30
2001-06-23,108.0,108.0,108.0,108.0,29496500,6200,2,108.0,108.0,1380-04-02
2001-06-24,108.0,110.0,108.0,110.0,63561900,13164,19,108.0,110.0,1380-04-03
2001-06-25,111.0,111.0,110.0,110.0,64994200,13385,19,110.0,110.0,1380-04-04
2001-06-26,110.0,110.0,109.0,109.0,22650000,4680,9,110.0,109.0,1380-04-05
2001-06-27,108.0,108.0,108.0,108.0,17558660,3690,6,109.0,108.0,1380-04-06
2001-06-30,106.0,108.0,106.0,106.0,8098900,1717,4,108.0,106.0,1380-04-09
2001-07-01,106.0,106.0,106.0,106.0,60816587,12959,6,106.0,106.0,1380-04-10
2001-07-02,106.0,106.0,104.0,104.0,46551300,10108,16,106.0,104.0,1380-04-11
2001-07-03,104.0,104.0,104.0,104.0,8524800,1853,4,104.0,104.0,1380-04-12
2001-07-07,106.0,106.0,106.0,106.0,25360609,5415,9,104.0,106.0,1380-04-16
2001-07-08,107.0,108.0,107.0,108.0,36348277,7627,10,106.0,108.0,1380-04-17
2001-07-09,109.0,109.0,109.0,109.0,32376000,6745,11,108.0,109.0,1380-04-18
2001-07-11,109.0,109.0,109.0,109.0,9714852,2018,5,109.0,109.0,1380-04-20
2001-07-14,107.0,107.0,107.0,107.0,37681750,7933,6,109.0,107.0,1380-04-23
2001-07-15,106.0,107.0,106.0,107.0,38322400,8132,8,107.0,107.0,1380-04-24
2001-07-16,107.0,107.0,107.0,107.0,112057250,23591,29,107.0,107.0,1380-04-25
2001-07-17,107.0,107.0,107.0,107.0,41206250,8675,16,107.0,107.0,1380-04-26
2001-07-18,108.0,108.0,107.0,108.0,6044814,1272,6,107.0,108.0,1380-04-27
2001-07-21,108.0,108.0,108.0,108.0,4753000,1000,1,108.0,108.0,1380-04-30
2001-07-22,108.0,108.0,106.0,106.0,38950888,8224,21,108.0,106.0,1380-04-31
2001-07-23,106.0,106.0,106.0,106.0,30550000,6500,15,106.0,106.0,1380-05-01
2001-07-24,106.0,106.0,106.0,106.0,9345588,1988,5,106.0,106.0,1380-05-02
2001-07-25,106.0,106.0,106.0,106.0,5109987,1087,1,106.0,106.0,1380-05-03
2001-07-28,107.0,109.0,107.0,108.0,70874082,14872,25,106.0,108.0,1380-05-06
2001-07-29,108.0,108.0,108.0,108.0,7129500,1500,3,108.0,108.0,1380-05-07
2001-07-30,108.0,108.0,108.0,108.0,69329138,14586,23,108.0,108.0,1380-05-08
2001-07-31,108.0,108.0,108.0,108.0,317282388,66723,27,108.0,108.0,1380-05-09
