date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-10-04,301.0,301.0,301.0,301.0,49000000000,20000000,22388,123.0,301.0,1394-07-12
2015-10-05,316.0,316.0,316.0,316.0,202686460,78805,151,301.0,316.0,1394-07-13
2015-10-06,326.0,331.0,320.0,325.0,43102046814,16313531,21319,316.0,325.0,1394-07-14
2015-10-07,326.0,326.0,315.0,320.0,8924856808,3429419,3787,325.0,317.0,1394-07-15
2015-10-10,314.0,321.0,313.0,317.0,4395338606,1707480,1566,320.0,314.0,1394-07-18
2015-10-11,312.0,317.0,310.0,312.0,3149090795,1243289,1153,317.0,310.0,1394-07-19
2015-10-12,310.0,323.0,309.0,317.0,3704506513,1439262,1274,312.0,316.0,1394-07-20
2015-10-13,315.0,322.0,314.0,318.0,1867626018,722435,615,317.0,316.0,1394-07-21
2015-10-14,320.0,323.0,311.0,315.0,3401333780,1326976,694,318.0,311.0,1394-07-22
2015-10-17,310.0,316.0,309.0,312.0,2186651722,860893,509,315.0,315.0,1394-07-25
2015-10-18,316.0,316.0,305.0,309.0,3289857292,1309900,486,312.0,306.0,1394-07-26
2015-10-19,308.0,317.0,308.0,312.0,1354708369,533598,240,309.0,311.0,1394-07-27
2015-10-20,312.0,313.0,307.0,310.0,1445604372,573790,194,312.0,309.0,1394-07-28
2015-10-21,310.0,312.0,307.0,309.0,1281390217,509639,193,310.0,310.0,1394-07-29
2015-10-25,308.0,310.0,303.0,305.0,1080979590,435710,147,309.0,303.0,1394-08-03
2015-10-26,302.0,307.0,302.0,304.0,924329043,374306,113,305.0,306.0,1394-08-04
2015-10-27,305.0,311.0,305.0,307.0,908721286,363947,188,304.0,306.0,1394-08-05
2015-10-28,303.0,309.0,303.0,306.0,797351687,320909,104,307.0,306.0,1394-08-06
2015-10-31,309.0,314.0,307.0,311.0,1093181509,432037,247,306.0,313.0,1394-08-09
2015-11-01,314.0,320.0,312.0,316.0,931519029,362370,229,311.0,313.0,1394-08-10
2015-11-02,316.0,316.0,310.0,313.0,466786091,183634,85,316.0,312.0,1394-08-11
2015-11-03,312.0,312.0,306.0,308.0,474549678,189195,112,313.0,312.0,1394-08-12
2015-11-04,311.0,313.0,308.0,311.0,600055445,237587,131,308.0,311.0,1394-08-13
2015-11-07,314.0,316.0,310.0,313.0,601628732,236752,122,311.0,312.0,1394-08-16
2015-11-08,310.0,314.0,305.0,308.0,1654255981,661448,237,313.0,306.0,1394-08-17
2015-11-09,304.0,312.0,304.0,308.0,605288735,241855,107,308.0,309.0,1394-08-18
2015-11-10,306.0,310.0,305.0,307.0,600139984,240125,93,308.0,307.0,1394-08-19
2015-11-11,304.0,311.0,304.0,305.0,1185163851,477704,147,307.0,306.0,1394-08-20
2015-11-14,309.0,309.0,295.0,299.0,2602899529,1070372,273,305.0,302.0,1394-08-23
2015-11-15,306.0,306.0,296.0,301.0,906878334,370366,121,299.0,302.0,1394-08-24
2015-11-16,301.0,306.0,299.0,303.0,1563495231,634725,148,301.0,300.0,1394-08-25
2015-11-17,305.0,311.0,303.0,307.0,1367492572,547914,194,303.0,309.0,1394-08-26
2015-11-18,311.0,322.0,306.0,320.0,8852221135,3397587,692,307.0,320.0,1394-08-27
2015-11-21,320.0,326.0,320.0,324.0,3865299405,1465926,431,320.0,323.0,1394-08-30
2015-11-22,325.0,332.0,323.0,328.0,4366112805,1635848,357,324.0,329.0,1394-09-01
2015-11-23,330.0,340.0,326.0,336.0,4343974812,1591185,490,328.0,339.0,1394-09-02
2015-11-24,340.0,340.0,322.0,330.0,870123690,324078,144,336.0,325.0,1394-09-03
2015-11-25,325.0,325.0,320.0,322.0,987277495,376786,78,330.0,322.0,1394-09-04
2015-11-28,320.0,325.0,314.0,321.0,1063219766,407973,99,322.0,321.0,1394-09-07
2015-11-29,324.0,332.0,322.0,328.0,2188888848,820969,335,321.0,329.0,1394-09-08
2015-11-30,330.0,336.0,317.0,334.0,1337667472,493008,162,328.0,332.0,1394-09-09
2015-12-01,332.0,335.0,327.0,330.0,851803707,317715,130,334.0,327.0,1394-09-10
2015-12-05,332.0,332.0,317.0,321.0,829035065,317529,122,330.0,317.0,1394-09-14
2015-12-06,316.0,323.0,314.0,316.0,255328400,99409,71,321.0,315.0,1394-09-15
2015-12-07,326.0,326.0,318.0,323.0,1108657302,422337,97,316.0,322.0,1394-09-16
2015-12-08,326.0,326.0,315.0,319.0,921811030,355025,71,323.0,325.0,1394-09-17
2015-12-09,314.0,331.0,314.0,324.0,1578279013,598695,153,319.0,330.0,1394-09-18
2015-12-13,331.0,331.0,320.0,326.0,392977986,148136,36,324.0,327.0,1394-09-22
2015-12-14,327.0,331.0,321.0,327.0,1485184522,558046,106,326.0,330.0,1394-09-23
2015-12-15,331.0,331.0,323.0,326.0,599318928,226331,56,327.0,328.0,1394-09-24
2015-12-16,330.0,330.0,317.0,320.0,445798734,171371,64,326.0,319.0,1394-09-25
2015-12-19,326.0,326.0,314.0,319.0,1350926826,521321,111,320.0,314.0,1394-09-28
