date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-28,9.0,9.0,9.0,9.0,52396200,16902,15,9.0,9.0,1380-01-08
2001-04-10,9.0,9.0,9.0,9.0,62310000,20100,10,9.0,9.0,1380-01-21
2001-05-07,9.0,9.0,9.0,9.0,46520000,15000,6,9.0,9.0,1380-02-17
2001-05-30,9.0,9.0,9.0,9.0,64000000,20000,3,9.0,9.0,1380-03-09
2001-06-02,9.0,9.0,9.0,9.0,3200000,1000,1,9.0,9.0,1380-03-12
2001-06-06,10.0,10.0,10.0,10.0,6500000,2000,1,9.0,10.0,1380-03-16
2001-06-17,10.0,10.0,10.0,10.0,9116060,2800,2,10.0,10.0,1380-03-27
2001-06-18,10.0,10.0,10.0,10.0,1137500,350,1,10.0,10.0,1380-03-28
2001-06-30,10.0,10.0,10.0,10.0,5476680,1680,9,10.0,10.0,1380-04-09
2001-08-12,9.0,9.0,9.0,9.0,3072000,1024,2,10.0,9.0,1380-05-21
2001-08-26,9.0,9.0,9.0,9.0,982800,312,1,9.0,9.0,1380-06-04
2001-09-03,10.0,10.0,10.0,10.0,1802315,545,2,9.0,10.0,1380-06-12
2001-09-10,10.0,10.0,10.0,10.0,6391610,1931,4,10.0,10.0,1380-06-19
2001-09-30,10.0,10.0,10.0,10.0,4963000,1500,2,10.0,10.0,1380-07-08
2001-10-02,10.0,10.0,10.0,10.0,662000,200,1,10.0,10.0,1380-07-10
2001-10-20,10.0,10.0,10.0,10.0,2614900,790,1,10.0,10.0,1380-07-28
2001-10-22,10.0,10.0,10.0,10.0,2614900,790,1,10.0,10.0,1380-07-30
2001-11-12,10.0,10.0,10.0,10.0,13827718,4119,3,10.0,10.0,1380-08-21
2001-11-17,10.0,10.0,10.0,10.0,1703000,500,1,10.0,10.0,1380-08-26
2001-11-20,10.0,10.0,10.0,10.0,722284,212,1,10.0,10.0,1380-08-29
2001-11-21,10.0,10.0,10.0,10.0,2100000,600,1,10.0,10.0,1380-08-30
2001-11-24,10.0,10.0,10.0,10.0,1750000,500,1,10.0,10.0,1380-09-03
2001-11-27,10.0,10.0,10.0,10.0,6720000,1920,2,10.0,10.0,1380-09-06
2001-12-01,10.0,10.0,10.0,10.0,701200,200,1,10.0,10.0,1380-09-10
2001-12-18,10.0,10.0,10.0,10.0,2993700,850,1,10.0,10.0,1380-09-27
2001-12-26,10.0,10.0,10.0,10.0,1409600,400,1,10.0,10.0,1380-10-05
2002-01-07,11.0,11.0,11.0,11.0,185000000,50000,7,10.0,11.0,1380-10-17
2002-01-08,11.0,11.0,11.0,11.0,80440000,21200,4,11.0,11.0,1380-10-18
2002-01-12,11.0,11.0,11.0,11.0,115150000,30250,4,11.0,11.0,1380-10-22
2002-01-14,11.0,11.0,11.0,11.0,4573200,1200,1,11.0,11.0,1380-10-24
2002-01-20,11.0,11.0,11.0,11.0,4575600,1200,1,11.0,11.0,1380-10-30
2002-02-04,11.0,11.0,11.0,11.0,11520000,3000,2,11.0,11.0,1380-11-15
