date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-05-26,27243.0,27243.0,27243.0,27243.0,5331078406050,177999279,2355996,910.0,27243.0,1400-03-05
2021-05-29,28598.0,28598.0,28598.0,28598.0,49776971280,1583237,8310,27243.0,28598.0,1400-03-08
2021-05-30,30026.0,30026.0,30026.0,30026.0,53074270240,1607824,8768,28598.0,30026.0,1400-03-09
2021-05-31,31527.0,31527.0,31527.0,31527.0,62184407160,1794126,11307,30026.0,31527.0,1400-03-10
2021-06-01,33101.0,33101.0,33101.0,33101.0,82204609710,2258989,17962,31527.0,33101.0,1400-03-11
2021-06-02,34747.0,34747.0,34747.0,34747.0,671369927800,17575129,76432,33101.0,34747.0,1400-03-12
2021-06-07,36484.0,36484.0,34756.0,35984.0,4567619136680,115450961,582759,34747.0,35138.0,1400-03-17
2021-06-08,35247.0,35984.0,34192.0,34802.0,1839947142750,48084723,304051,35984.0,34292.0,1400-03-18
2021-06-09,33928.0,34747.0,33346.0,34010.0,648764487990,17352274,109602,34802.0,34065.0,1400-03-19
2021-06-12,34010.0,35648.0,34010.0,34856.0,836836285790,21838457,54253,34010.0,34656.0,1400-03-22
2021-06-13,35102.0,35102.0,33837.0,34229.0,331620351630,8813266,41066,34856.0,34383.0,1400-03-23
2021-06-14,33883.0,35020.0,33883.0,34501.0,481632281300,12697761,48700,34229.0,34729.0,1400-03-24
2021-06-15,34565.0,35857.0,34347.0,35156.0,531814717460,13760539,40570,34501.0,34611.0,1400-03-25
2021-06-16,34429.0,34929.0,34229.0,34483.0,323369896740,8530855,51223,35156.0,34429.0,1400-03-26
2021-06-19,34229.0,34793.0,33210.0,33801.0,319027833200,8584717,22506,34483.0,33674.0,1400-03-29
2021-06-20,33383.0,34747.0,33237.0,33928.0,384328985120,10304938,23463,33801.0,33747.0,1400-03-30
2021-06-21,33674.0,35620.0,33674.0,35138.0,512212650750,13259200,25767,33928.0,35620.0,1400-03-31
2021-06-22,36375.0,36894.0,35930.0,36739.0,908329476740,22490388,21901,35138.0,36894.0,1400-04-01
2021-06-23,37749.0,38522.0,36730.0,37558.0,605752881370,14671480,25490,36739.0,37094.0,1400-04-02
2021-06-26,37594.0,37594.0,36257.0,36748.0,571994707210,14159998,25227,37558.0,36330.0,1400-04-05
2021-06-27,37130.0,37558.0,36021.0,36548.0,365487788670,9095598,13936,36748.0,36130.0,1400-04-06
2021-06-28,36021.0,36384.0,35247.0,35575.0,330531500400,8451834,19654,36548.0,35575.0,1400-04-07
2021-06-29,35593.0,36439.0,35557.0,35793.0,296401600640,7533080,16314,35575.0,35811.0,1400-04-08
2021-06-30,35811.0,37294.0,35475.0,36512.0,582558183370,14513682,20967,35793.0,37103.0,1400-04-09
2021-07-07,37810.0,38454.0,37166.0,38018.0,302183502620,7878214,7331,36512.0,38157.0,1400-04-16
2021-07-10,38752.0,38752.0,37166.0,37741.0,211841800840,5562406,15208,38018.0,37661.0,1400-04-19
2021-07-11,37364.0,38623.0,37364.0,38068.0,148042335130,3854028,13150,37741.0,38048.0,1400-04-20
2021-07-12,37860.0,38494.0,37612.0,37959.0,204486323880,5338698,15741,38068.0,37721.0,1400-04-21
2021-07-13,37711.0,38107.0,37166.0,37523.0,235470488260,6219092,15332,37959.0,37166.0,1400-04-22
2021-07-14,37146.0,38405.0,37047.0,37761.0,233293477970,6123531,19088,37523.0,37562.0,1400-04-23
2021-07-17,38058.0,38058.0,36958.0,37344.0,251783454940,6682978,13536,37761.0,37077.0,1400-04-26
2021-07-18,37552.0,38157.0,36878.0,37642.0,186754520900,4917821,10072,37344.0,37483.0,1400-04-27
2021-07-19,37196.0,39515.0,37196.0,39089.0,297065295960,7532839,12311,37642.0,39515.0,1400-04-28
2021-07-26,41041.0,41041.0,39515.0,41011.0,831422125600,20092262,10331,39089.0,41041.0,1400-05-04
2021-07-27,41428.0,42121.0,39356.0,40516.0,422796643580,10342580,12464,41011.0,39455.0,1400-05-05
2021-07-28,39544.0,41903.0,39544.0,40803.0,363801103700,8837518,12134,40516.0,40585.0,1400-05-06
2021-07-31,40337.0,41824.0,40149.0,40952.0,278465759860,6739627,9957,40803.0,40823.0,1400-05-09
2021-08-01,40635.0,40833.0,40238.0,40456.0,204084180790,5000195,8845,40952.0,40436.0,1400-05-10
2021-08-02,40238.0,40754.0,39941.0,40199.0,154290394330,3803925,7350,40456.0,40238.0,1400-05-11
2021-08-03,40050.0,41428.0,40050.0,40773.0,143058331340,3477345,6600,40199.0,40793.0,1400-05-12
2021-08-04,40823.0,42805.0,40823.0,42121.0,443446250010,10433385,10511,40773.0,42805.0,1400-05-13
2021-08-07,43796.0,43796.0,42141.0,42904.0,322090774000,7440048,8922,42121.0,43112.0,1400-05-16
2021-08-08,43112.0,44549.0,42617.0,43677.0,235574010570,5345935,7718,42904.0,43489.0,1400-05-17
2021-08-09,42934.0,44024.0,42934.0,43638.0,200730820350,4558675,9008,43677.0,43757.0,1400-05-18
2021-08-10,44103.0,45144.0,43618.0,44322.0,239815621310,5362434,8733,43638.0,44758.0,1400-05-19
2021-08-11,44847.0,46036.0,43905.0,44718.0,301010512400,6671038,11042,44322.0,44203.0,1400-05-20
2021-08-14,44599.0,45342.0,43211.0,44024.0,209337781130,4713150,9197,44718.0,44460.0,1400-05-23
2021-08-15,43578.0,44540.0,43311.0,44054.0,140722381640,3166050,7205,44024.0,44054.0,1400-05-24
2021-08-22,44995.0,45580.0,43657.0,44619.0,225008656910,4997675,9114,44054.0,44599.0,1400-05-31
2021-08-23,45194.0,46849.0,43618.0,46135.0,410658188460,8821154,9681,44619.0,46849.0,1400-06-01
2021-08-24,47463.0,48435.0,47305.0,48345.0,382646577640,7843878,8604,46135.0,48435.0,1400-06-02
2021-08-25,49009.0,49554.0,46928.0,48296.0,231783932230,4756015,9907,48345.0,48960.0,1400-06-03
2021-08-28,49564.0,50704.0,48563.0,50536.0,482723387540,9467007,7968,48296.0,50704.0,1400-06-06
2021-08-29,50050.0,50437.0,48018.0,48702.0,532897976920,10845541,12079,50536.0,48018.0,1400-06-07
2021-08-30,46284.0,47969.0,46274.0,46353.0,218142226940,4663786,3158,48702.0,46274.0,1400-06-08
2021-08-31,44064.0,46651.0,44044.0,44787.0,423108022850,9362103,9401,46353.0,44817.0,1400-06-09
2021-09-01,44113.0,47017.0,44113.0,46115.0,196198671820,4216533,7115,44787.0,47017.0,1400-06-10
2021-09-04,47077.0,48415.0,46918.0,47642.0,334661194980,6962559,8027,46115.0,47503.0,1400-06-13
2021-09-05,48266.0,48266.0,46086.0,47642.0,180785046140,3761145,6823,47642.0,47949.0,1400-06-14
2021-09-06,47473.0,48563.0,46086.0,47097.0,229024661480,4819471,19913,47642.0,46086.0,1400-06-15
2021-09-07,46086.0,47196.0,45095.0,45650.0,226341852400,4914402,22673,47097.0,45471.0,1400-06-16
2021-09-08,44797.0,46433.0,44768.0,45184.0,180089598850,3950202,32782,45650.0,45213.0,1400-06-17
2021-09-11,45788.0,46879.0,44490.0,45392.0,136873022450,2988227,6544,45184.0,44698.0,1400-06-20
2021-09-12,44599.0,44797.0,43132.0,43677.0,193813718130,4398093,6300,45392.0,43806.0,1400-06-21
2021-09-13,43608.0,45075.0,42617.0,43757.0,175244245680,3969562,8073,43677.0,44064.0,1400-06-22
2021-09-14,44896.0,45937.0,43895.0,45342.0,162422215090,3550246,12624,43757.0,45481.0,1400-06-23
2021-09-15,45392.0,45392.0,43905.0,44322.0,108790553400,2432542,17350,45342.0,44113.0,1400-06-24
2021-09-18,43905.0,44748.0,42111.0,42756.0,149024522990,3454343,5198,44322.0,42617.0,1400-06-27
2021-09-19,42121.0,44103.0,41130.0,42191.0,157869404700,3708870,5531,42756.0,42320.0,1400-06-28
2021-09-20,42230.0,43876.0,42230.0,43321.0,101739244750,2327541,4905,42191.0,43370.0,1400-06-29
2021-09-21,43608.0,43608.0,41655.0,42468.0,107798437190,2515955,4950,43321.0,42716.0,1400-06-30
2021-09-22,42617.0,44589.0,42121.0,43707.0,168745966100,3826555,6494,42468.0,44589.0,1400-06-31
2021-09-25,45541.0,45887.0,44599.0,45570.0,191772235810,4171043,6587,43707.0,45887.0,1400-07-03
2021-09-26,46581.0,46581.0,44797.0,45511.0,119841688650,2609845,5616,45570.0,45541.0,1400-07-04
2021-09-28,45441.0,46433.0,44103.0,44906.0,81143999530,1791005,4975,45511.0,44173.0,1400-07-06
2021-09-29,44797.0,45620.0,43905.0,44738.0,95863424220,2123669,4618,44906.0,45075.0,1400-07-07
2021-10-02,44738.0,45491.0,44123.0,44510.0,147264454620,3279142,5274,44738.0,44331.0,1400-07-10
2021-10-03,44599.0,46631.0,44302.0,45620.0,159256413620,3459548,5295,44510.0,46581.0,1400-07-11
2021-10-04,46492.0,47176.0,45739.0,46353.0,79623756130,1702462,3878,45620.0,46571.0,1400-07-12
2021-10-06,45868.0,46879.0,45788.0,46046.0,55530835140,1195158,3963,46353.0,46036.0,1400-07-14
2021-10-09,45600.0,45887.0,43747.0,44203.0,111550614870,2501006,3440,46046.0,43816.0,1400-07-17
2021-10-10,43747.0,44331.0,42637.0,43211.0,61147566940,1402488,3323,44203.0,43449.0,1400-07-18
2021-10-11,43330.0,44292.0,42835.0,43311.0,59372941040,1358666,3226,43211.0,43023.0,1400-07-19
2021-10-12,42736.0,43023.0,41328.0,41834.0,108106195450,2561352,3286,43311.0,41636.0,1400-07-20
2021-10-13,41447.0,42320.0,39961.0,40932.0,84006654350,2034125,2608,41834.0,41428.0,1400-07-21
2021-10-16,41527.0,42974.0,41527.0,42825.0,82478664380,1908908,3416,40932.0,42974.0,1400-07-24
2021-10-17,42924.0,43885.0,41854.0,42766.0,66300310800,1536678,2831,42825.0,42468.0,1400-07-25
2021-10-18,41874.0,43430.0,41874.0,43013.0,49467120300,1139324,2562,42766.0,43410.0,1400-07-26
2021-10-19,43618.0,45164.0,43430.0,45065.0,153350188500,3372497,3424,43013.0,45164.0,1400-07-27
2021-10-20,45511.0,47275.0,45164.0,46462.0,212831110400,4539947,4337,45065.0,45679.0,1400-07-28
2021-10-23,45590.0,45590.0,44421.0,44906.0,87712439130,1935873,2793,46462.0,45392.0,1400-08-01
2021-10-25,44153.0,45392.0,42825.0,44094.0,92187436020,2071927,2791,44906.0,44004.0,1400-08-03
2021-10-26,43172.0,45491.0,43172.0,44460.0,81306821710,1812255,2785,44094.0,44004.0,1400-08-04
2021-10-27,43231.0,45095.0,43231.0,44718.0,75991553900,1684377,2676,44460.0,44103.0,1400-08-05
2021-10-30,43786.0,44837.0,42488.0,43142.0,106792746060,2453080,3689,44718.0,43023.0,1400-08-08
2021-10-31,42290.0,43023.0,40991.0,41130.0,194925296030,4697422,3255,43142.0,41011.0,1400-08-09
2021-11-01,40446.0,43093.0,40446.0,41824.0,67190651720,1592175,2741,41130.0,41883.0,1400-08-10
2021-11-02,41893.0,43915.0,41893.0,43717.0,61001261700,1382803,2148,41824.0,43915.0,1400-08-11
2021-11-03,45075.0,45897.0,44113.0,45560.0,166205180340,3615175,3329,43717.0,45897.0,1400-08-12
2021-11-06,46462.0,47830.0,46383.0,47701.0,209320566280,4348775,3525,45560.0,47196.0,1400-08-15
2021-11-07,46581.0,47711.0,45323.0,46442.0,144866062460,3091650,3135,47701.0,45620.0,1400-08-16
2021-11-08,46086.0,47959.0,45323.0,46988.0,89529846800,1888477,3186,46442.0,46720.0,1400-08-17
2021-11-09,46096.0,48167.0,45858.0,47126.0,66153055130,1391145,2749,46988.0,47077.0,1400-08-18
2021-11-10,47126.0,49475.0,46096.0,48692.0,197576179890,4021235,3685,47126.0,49475.0,1400-08-19
2021-11-13,49267.0,51120.0,47632.0,49753.0,545092274970,10859290,7202,48692.0,49317.0,1400-08-22
2021-11-14,48762.0,50595.0,47265.0,47642.0,815203722350,16959713,5954,49753.0,47265.0,1400-08-23
2021-11-15,46224.0,47215.0,45283.0,45996.0,131647112370,2836501,3347,47642.0,46036.0,1400-08-24
2021-11-16,46423.0,47572.0,45679.0,46908.0,56729062600,1198669,2490,45996.0,47562.0,1400-08-25
2021-11-17,47671.0,49247.0,47671.0,49009.0,590716308470,11945754,9001,46908.0,49049.0,1400-08-26
2021-11-20,49545.0,50020.0,46631.0,47632.0,139749038450,2908011,3137,49009.0,47562.0,1400-08-29
2021-11-21,46631.0,48107.0,46631.0,47354.0,108380403360,2268201,3904,47632.0,47671.0,1400-08-30
2021-11-22,47671.0,49079.0,47671.0,48385.0,99977118070,2048028,2598,47354.0,48147.0,1400-09-01
2021-11-23,47493.0,48464.0,47077.0,47612.0,107009939050,2227745,3011,48385.0,48157.0,1400-09-02
2021-11-24,47473.0,48484.0,46690.0,47443.0,85562903720,1787561,2213,47612.0,47661.0,1400-09-03
2021-11-27,46482.0,47562.0,45392.0,46393.0,52122698720,1115505,1804,47443.0,45590.0,1400-09-06
2021-11-28,45531.0,47572.0,45412.0,46888.0,53908756680,1138708,2167,46393.0,47384.0,1400-09-07
2021-11-29,45907.0,47721.0,45907.0,47245.0,106977338480,2243924,1928,46888.0,47572.0,1400-09-08
2021-11-30,46234.0,47691.0,46234.0,47116.0,57235045490,1203954,1688,47245.0,46452.0,1400-09-09
2021-12-01,46284.0,47116.0,45689.0,46284.0,45670185000,981781,1492,47116.0,46086.0,1400-09-10
2021-12-04,45739.0,45739.0,44084.0,45253.0,34343170220,762003,1362,46284.0,44222.0,1400-09-13
2021-12-05,45610.0,47166.0,45293.0,45471.0,20523092150,443811,1433,45253.0,45511.0,1400-09-14
2021-12-06,45263.0,46185.0,44658.0,45590.0,43775559230,951095,1724,45471.0,45897.0,1400-09-15
2021-12-07,46086.0,47870.0,45243.0,47196.0,195334456220,4102187,3273,45590.0,46819.0,1400-09-16
2021-12-08,47077.0,48662.0,46512.0,47176.0,57583037490,1209699,2218,47196.0,46928.0,1400-09-17
2021-12-11,46611.0,47572.0,45699.0,46770.0,35894176560,764493,1735,47176.0,47186.0,1400-09-20
2021-12-12,46879.0,49099.0,46779.0,48415.0,150667566310,3084270,3103,46770.0,47998.0,1400-09-21
2021-12-13,48553.0,49455.0,45996.0,47384.0,179965164090,3763829,2280,48415.0,46581.0,1400-09-22
2021-12-14,47523.0,48791.0,46086.0,47652.0,66011125930,1372846,1717,47384.0,48365.0,1400-09-23
2021-12-15,48553.0,49059.0,47572.0,48444.0,86911522400,1778088,1544,47652.0,47998.0,1400-09-24
2021-12-18,48563.0,49317.0,47582.0,48494.0,53922144180,1101884,1949,48444.0,48187.0,1400-09-27
2021-12-19,48563.0,48563.0,46898.0,47919.0,37490637710,780456,1521,48494.0,46958.0,1400-09-28
2021-12-20,46779.0,48117.0,46294.0,46948.0,202989375770,4285049,1648,47919.0,46532.0,1400-09-29
2021-12-21,47543.0,49287.0,46472.0,49099.0,321188369420,6483669,2484,46948.0,49287.0,1400-09-30
2021-12-22,50942.0,51428.0,49108.0,50694.0,120202770140,2350031,2529,49099.0,50407.0,1400-10-01
2021-12-25,50536.0,50536.0,48464.0,49297.0,146675995780,2948803,3194,50694.0,49554.0,1400-10-04
2021-12-26,49485.0,49485.0,48098.0,48871.0,41674336290,848331,1253,49297.0,48682.0,1400-10-05
2021-12-29,51309.0,51309.0,46442.0,48454.0,77123472190,1577640,1725,48871.0,47612.0,1400-10-08
2022-01-01,48216.0,48345.0,46690.0,47642.0,55936716180,1164344,1656,48454.0,47186.0,1400-10-11
2022-01-02,46938.0,48464.0,46938.0,47632.0,46207604620,961578,1525,47642.0,47463.0,1400-10-12
2022-01-03,47215.0,47820.0,47027.0,47533.0,18892873960,395591,1317,47632.0,47206.0,1400-10-13
2022-01-04,46978.0,47176.0,46195.0,47057.0,31193176430,662465,1362,47533.0,46611.0,1400-10-14
2022-01-05,46264.0,47215.0,46264.0,46680.0,98988024050,2101437,1390,47057.0,46690.0,1400-10-15
2022-01-08,46333.0,47473.0,46185.0,46779.0,42283123020,895156,1469,46680.0,46343.0,1400-10-18
