date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-31,12.0,12.0,12.0,12.0,1928975,775,1,12.0,12.0,1380-01-11
2001-04-03,12.0,12.0,12.0,12.0,5360600,2188,4,12.0,12.0,1380-01-14
2001-04-08,12.0,12.0,12.0,12.0,17291805,7055,2,12.0,12.0,1380-01-19
2001-04-10,12.0,12.0,12.0,12.0,1396500,570,2,12.0,12.0,1380-01-21
2001-04-11,12.0,12.0,12.0,12.0,18585138,7436,7,12.0,12.0,1380-01-22
2001-04-14,12.0,12.0,12.0,12.0,6513958,2606,7,12.0,12.0,1380-01-25
2001-04-17,12.0,12.0,12.0,12.0,10079122,4036,3,12.0,12.0,1380-01-28
2001-04-18,12.0,12.0,12.0,12.0,1973152,788,1,12.0,12.0,1380-01-29
2001-04-21,12.0,12.0,12.0,12.0,14886180,5936,4,12.0,12.0,1380-02-01
2001-04-22,12.0,12.0,12.0,12.0,680481,271,1,12.0,12.0,1380-02-02
2001-04-23,12.0,12.0,12.0,12.0,5026000,2000,4,12.0,12.0,1380-02-03
2001-04-25,12.0,12.0,12.0,12.0,4795698,1894,3,12.0,12.0,1380-02-05
2001-04-28,12.0,13.0,12.0,13.0,5094000,2000,4,12.0,13.0,1380-02-08
2001-04-30,13.0,13.0,13.0,13.0,20574960,7944,3,13.0,13.0,1380-02-10
2001-05-01,13.0,13.0,13.0,13.0,10354800,3940,7,13.0,13.0,1380-02-11
2001-05-02,13.0,13.0,13.0,13.0,1632400,616,1,13.0,13.0,1380-02-12
2001-05-05,13.0,13.0,13.0,13.0,5000400,1852,4,13.0,13.0,1380-02-15
2001-05-07,14.0,14.0,14.0,14.0,14000000,5000,4,13.0,14.0,1380-02-17
2001-05-08,14.0,14.0,14.0,14.0,20109600,7182,6,14.0,14.0,1380-02-18
2001-05-09,14.0,14.0,14.0,14.0,10690400,3818,3,14.0,14.0,1380-02-19
2001-05-12,14.0,14.0,14.0,14.0,2576000,920,1,14.0,14.0,1380-02-22
2001-05-15,13.0,13.0,13.0,13.0,10800000,4000,2,14.0,13.0,1380-02-25
2001-06-17,13.0,13.0,13.0,13.0,17638000,6750,10,13.0,13.0,1380-03-27
2001-06-18,13.0,13.0,13.0,13.0,18200000,7000,9,13.0,13.0,1380-03-28
2001-06-19,12.0,13.0,12.0,13.0,66561910,26241,21,13.0,13.0,1380-03-29
2001-06-23,13.0,13.0,13.0,13.0,25999726,10000,4,13.0,13.0,1380-04-02
2001-06-24,13.0,13.0,13.0,13.0,3967146,1527,1,13.0,13.0,1380-04-03
2001-06-27,13.0,13.0,12.0,12.0,5480552,2162,4,13.0,12.0,1380-04-06
2001-07-08,12.0,13.0,12.0,13.0,51548668,20000,10,12.0,13.0,1380-04-17
2001-07-14,12.0,12.0,12.0,12.0,3569078,1400,6,13.0,12.0,1380-04-23
2001-08-19,11.0,11.0,11.0,11.0,1914120,818,1,12.0,11.0,1380-05-28
2001-08-21,11.0,11.0,11.0,11.0,936000,400,1,11.0,11.0,1380-05-30
2001-08-29,11.0,11.0,11.0,11.0,1633800,700,3,11.0,11.0,1380-06-07
2001-09-02,11.0,11.0,11.0,11.0,2300000,1000,2,11.0,11.0,1380-06-11
2001-09-10,11.0,11.0,11.0,11.0,1188116,519,3,11.0,11.0,1380-06-19
2001-09-11,11.0,11.0,11.0,11.0,2111380,922,2,11.0,11.0,1380-06-20
2001-10-02,11.0,11.0,11.0,11.0,608576,272,3,11.0,11.0,1380-07-10
2001-10-08,11.0,11.0,11.0,11.0,1431780,648,3,11.0,11.0,1380-07-16
2001-10-22,11.0,11.0,11.0,11.0,4232364,1954,2,11.0,11.0,1380-07-30
2001-10-23,10.0,10.0,10.0,10.0,4296600,2046,1,11.0,10.0,1380-08-01
2001-10-28,10.0,10.0,10.0,10.0,208700,100,2,10.0,10.0,1380-08-06
2001-10-30,10.0,10.0,10.0,10.0,31305,15,1,10.0,10.0,1380-08-08
2001-12-09,10.0,10.0,10.0,10.0,2974500,1500,2,10.0,10.0,1380-09-18
2001-12-11,9.0,9.0,9.0,9.0,14955192,7938,5,10.0,9.0,1380-09-20
2001-12-12,9.0,9.0,9.0,9.0,107963670,60035,20,9.0,9.0,1380-09-21
2001-12-19,10.0,10.0,10.0,10.0,538016,272,1,9.0,10.0,1380-09-28
2001-12-22,10.0,10.0,10.0,10.0,87510575,44022,18,10.0,10.0,1380-10-01
2001-12-23,10.0,10.0,10.0,10.0,1827996,878,1,10.0,10.0,1380-10-02
2001-12-24,10.0,10.0,10.0,10.0,776114,372,2,10.0,10.0,1380-10-03
2001-12-25,11.0,11.0,11.0,11.0,2448420,1118,5,10.0,11.0,1380-10-04
2001-12-29,11.0,11.0,11.0,11.0,3563450,1550,2,11.0,11.0,1380-10-08
