date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-09-15,26238.0,26238.0,26238.0,26238.0,18848740031250,603159681,2956827,840.0,26238.0,1400-06-24
2021-09-18,27548.0,27548.0,27548.0,26851.0,24624528390,750519,5372,26238.0,27548.0,1400-06-27
2021-09-19,28186.0,28186.0,28186.0,28186.0,56599926390,1686027,6250,26851.0,28186.0,1400-06-28
2021-09-20,29588.0,29588.0,29588.0,29588.0,62642518280,1777597,6895,28186.0,29588.0,1400-06-29
2021-09-21,31066.0,31066.0,31066.0,31066.0,207424146000,5606058,23531,29588.0,31066.0,1400-06-30
2021-09-22,32619.0,32619.0,29512.0,32174.0,7831428126100,204355917,786810,31066.0,31695.0,1400-06-31
2021-09-25,32577.0,33081.0,30570.0,31351.0,5341083865670,143055136,501537,32174.0,30713.0,1400-07-03
2021-09-26,30772.0,31158.0,29789.0,30125.0,2436083455690,67887674,214328,31351.0,30201.0,1400-07-04
2021-09-28,30478.0,31469.0,30226.0,30713.0,1319507261120,36067988,96150,30125.0,30805.0,1400-07-06
2021-09-29,31024.0,31292.0,30268.0,30847.0,1197266978180,32587030,77630,30713.0,31074.0,1400-07-07
2021-10-02,31401.0,31485.0,30688.0,31183.0,1275100137960,34334388,68472,30847.0,31292.0,1400-07-10
2021-10-03,31233.0,31292.0,30335.0,30856.0,926395973310,25206887,53635,31183.0,30898.0,1400-07-11
2021-10-04,30562.0,31141.0,30520.0,30839.0,852450874830,23206714,45409,30856.0,30688.0,1400-07-12
2021-10-06,30663.0,30688.0,30134.0,30318.0,845530966400,23416526,47054,30839.0,30243.0,1400-07-14
2021-10-09,30134.0,30318.0,28883.0,29571.0,801800690510,22762412,52705,30318.0,28933.0,1400-07-17
2021-10-10,29277.0,29277.0,28589.0,28967.0,581181289110,16847997,42094,29571.0,29009.0,1400-07-18
2021-10-11,28967.0,30411.0,28967.0,29722.0,408192195240,11530553,24155,28967.0,29386.0,1400-07-19
2021-10-12,29403.0,31049.0,28723.0,29823.0,818819670370,23053843,30751,29722.0,30234.0,1400-07-20
2021-10-13,29999.0,30394.0,28891.0,29470.0,428880367370,12219998,20024,29823.0,29495.0,1400-07-21
2021-10-16,30394.0,30940.0,30377.0,30898.0,734167170300,19950932,24449,29470.0,30940.0,1400-07-24
2021-10-17,30940.0,30956.0,29386.0,29831.0,496966382890,13988816,19657,30898.0,29865.0,1400-07-25
2021-10-18,29395.0,30209.0,28983.0,29462.0,369023397610,10515112,16902,29831.0,29806.0,1400-07-26
2021-10-19,29445.0,29991.0,29260.0,29504.0,276030183170,7856039,15356,29462.0,29286.0,1400-07-27
2021-10-20,29101.0,29680.0,29050.0,29277.0,287128282500,8235121,13932,29504.0,29302.0,1400-07-28
2021-10-23,29344.0,29344.0,28463.0,28874.0,438205965980,12742621,16473,29277.0,29302.0,1400-08-01
2021-10-25,28765.0,29017.0,28564.0,28857.0,411308134580,11966917,16773,28874.0,28715.0,1400-08-03
2021-10-26,28967.0,29386.0,28815.0,29134.0,266112624690,7668403,13485,28857.0,29294.0,1400-08-04
2021-10-27,29361.0,29974.0,29134.0,29563.0,249958284720,7099968,14498,29134.0,29521.0,1400-08-05
2021-10-30,29571.0,29571.0,28496.0,29034.0,409685336540,11845876,23591,29563.0,29252.0,1400-08-08
2021-10-31,28757.0,29042.0,27799.0,28673.0,423008717840,12386004,16292,29034.0,28631.0,1400-08-09
2021-11-01,28983.0,29806.0,28975.0,29252.0,152921182470,4389323,9545,28673.0,29050.0,1400-08-10
2021-11-02,29244.0,29638.0,29134.0,29319.0,198014791230,5671333,9831,29252.0,29319.0,1400-08-11
2021-11-03,29302.0,30167.0,29227.0,29605.0,272246061610,7720734,12053,29319.0,29747.0,1400-08-12
2021-11-06,29722.0,30940.0,29722.0,30427.0,276853263760,7639931,12800,29605.0,30050.0,1400-08-15
2021-11-07,29806.0,30310.0,29286.0,29638.0,376842103130,10676829,11430,30427.0,29319.0,1400-08-16
2021-11-08,29638.0,30108.0,29344.0,29605.0,242415257010,6874839,10242,29638.0,29571.0,1400-08-17
2021-11-09,29470.0,29991.0,29470.0,29747.0,243626879120,6876656,10759,29605.0,29638.0,1400-08-18
2021-11-10,29638.0,29974.0,29420.0,29680.0,235906320910,6673273,11100,29747.0,29974.0,1400-08-19
2021-11-13,29386.0,29974.0,29109.0,29512.0,225777650850,6423865,9471,29680.0,29479.0,1400-08-22
2021-11-14,29655.0,30100.0,29521.0,29764.0,197660292340,5574972,10074,29512.0,29638.0,1400-08-23
2021-11-15,29915.0,29915.0,29454.0,29529.0,234826306630,6676138,8369,29764.0,29689.0,1400-08-24
2021-11-16,29512.0,29764.0,29512.0,29647.0,153418994270,4345071,8219,29529.0,29722.0,1400-08-25
2021-11-17,29529.0,30251.0,29529.0,29865.0,160776729680,4520035,8667,29647.0,29731.0,1400-08-26
2021-11-20,29823.0,29823.0,28916.0,29176.0,343584787020,9888170,8641,29865.0,29059.0,1400-08-29
2021-11-21,29059.0,29512.0,28941.0,29109.0,238052824410,6866463,7929,29176.0,29386.0,1400-08-30
2021-11-22,29386.0,29621.0,29050.0,29160.0,252518924040,7269903,8408,29109.0,29160.0,1400-09-01
2021-11-23,29160.0,29193.0,28765.0,28933.0,180502298610,5238133,11540,29160.0,29160.0,1400-09-02
2021-11-24,28765.0,29546.0,28731.0,29042.0,276247917890,7986969,8224,28933.0,29512.0,1400-09-03
2021-11-27,28631.0,29495.0,28631.0,28967.0,368913205040,10692971,7571,29042.0,28807.0,1400-09-06
2021-11-28,28622.0,29134.0,28622.0,28899.0,168777082400,4903294,7262,28967.0,28958.0,1400-09-07
2021-11-29,28656.0,29160.0,28480.0,28698.0,270342037340,7909954,7096,28899.0,28522.0,1400-09-08
2021-11-30,28379.0,28698.0,28043.0,28463.0,184837043690,5453079,6411,28698.0,28219.0,1400-09-09
2021-12-01,28463.0,28572.0,27934.0,28202.0,380694938220,11335111,6432,28463.0,28547.0,1400-09-10
2021-12-04,28001.0,28496.0,28001.0,28286.0,205175226020,6089808,10313,28202.0,28387.0,1400-09-13
2021-12-05,28295.0,28967.0,28295.0,28673.0,169681606660,4969095,5482,28286.0,28538.0,1400-09-14
2021-12-06,28673.0,29529.0,28647.0,29143.0,169435024950,4881788,6354,28673.0,29378.0,1400-09-15
2021-12-07,29386.0,29428.0,28967.0,29361.0,112386078210,3213714,6041,29143.0,29378.0,1400-09-16
2021-12-08,29386.0,29437.0,28631.0,29202.0,236313035380,6795006,7428,29361.0,29218.0,1400-09-17
2021-12-11,29521.0,29521.0,28765.0,29176.0,131018194710,3770262,5224,29202.0,28773.0,1400-09-20
2021-12-12,28723.0,28967.0,28463.0,28605.0,102731734730,3015244,4112,29176.0,28967.0,1400-09-21
2021-12-13,28790.0,29084.0,27245.0,28446.0,239199756360,7060154,6172,28605.0,28286.0,1400-09-22
2021-12-14,28261.0,28538.0,27925.0,28278.0,75185773290,2232450,4675,28446.0,28295.0,1400-09-23
2021-12-15,28009.0,28547.0,28009.0,28270.0,66319049800,1969715,4211,28278.0,28286.0,1400-09-24
2021-12-18,28538.0,28547.0,28009.0,28219.0,92677116340,2757528,4602,28270.0,28211.0,1400-09-27
2021-12-19,28219.0,28253.0,27774.0,28043.0,225631038790,6756370,4980,28219.0,27799.0,1400-09-28
2021-12-20,28211.0,29034.0,27808.0,28127.0,203718629490,6080942,4678,28043.0,28211.0,1400-09-29
2021-12-21,27883.0,29302.0,27883.0,28925.0,127517283420,3701523,3605,28127.0,28891.0,1400-09-30
2021-12-22,29176.0,29873.0,29126.0,29764.0,135164709160,3812401,4556,28925.0,29873.0,1400-10-01
2021-12-25,29848.0,29848.0,29143.0,29638.0,174132448030,4932243,6601,29764.0,29319.0,1400-10-04
2021-12-26,29378.0,29495.0,28933.0,29218.0,113349558440,3257425,4103,29638.0,29361.0,1400-10-05
2021-12-27,29202.0,29638.0,29009.0,29286.0,121145856340,3472817,5047,29218.0,29386.0,1400-10-06
2021-12-28,29286.0,29336.0,29009.0,29151.0,68473086610,1972016,3673,29286.0,29294.0,1400-10-07
2021-12-29,29151.0,29176.0,28673.0,28891.0,124633712010,3622384,4102,29151.0,28908.0,1400-10-08
2022-01-01,28899.0,29386.0,28731.0,28950.0,85374519220,2476379,3936,28891.0,28891.0,1400-10-11
2022-01-02,28706.0,29185.0,28706.0,28975.0,68864260150,1995373,3434,28950.0,29025.0,1400-10-12
2022-01-03,28967.0,28975.0,28731.0,28841.0,69400687350,2020139,3073,28975.0,28883.0,1400-10-13
2022-01-04,28689.0,28983.0,28639.0,28807.0,83889368030,2444706,3183,28841.0,28765.0,1400-10-14
2022-01-05,28723.0,29143.0,28564.0,28790.0,91225567660,2660038,3114,28807.0,28815.0,1400-10-15
2022-01-08,28673.0,28883.0,28631.0,28773.0,80145112600,2338611,3658,28790.0,28807.0,1400-10-18
2022-01-09,28773.0,28807.0,28253.0,28673.0,125435348880,3673262,3478,28773.0,28731.0,1400-10-19
2022-01-10,28186.0,28773.0,28186.0,28698.0,63421836670,1855387,3622,28673.0,28715.0,1400-10-20
2022-01-11,28715.0,28841.0,28647.0,28706.0,81675081520,2388728,3129,28698.0,28715.0,1400-10-21
2022-01-12,28715.0,28782.0,28673.0,28715.0,65734506150,1921876,3340,28706.0,28723.0,1400-10-22
2022-01-15,28723.0,28757.0,28555.0,28698.0,66255277780,1938302,3633,28715.0,28731.0,1400-10-25
2022-01-16,28715.0,28731.0,28530.0,28698.0,90508170770,2648373,3178,28698.0,28547.0,1400-10-26
2022-01-17,28698.0,28757.0,28547.0,28647.0,72261790080,2118011,3072,28698.0,28631.0,1400-10-27
2022-01-18,28337.0,28715.0,28253.0,28412.0,66613190680,1968436,3396,28647.0,28547.0,1400-10-28
2022-01-19,28404.0,28547.0,28295.0,28429.0,58708347610,1734011,2945,28412.0,28547.0,1400-10-29
2022-01-22,28547.0,29260.0,28379.0,28622.0,85917240370,2520660,3364,28429.0,28412.0,1400-11-02
2022-01-23,28547.0,28622.0,27959.0,28270.0,164593215610,4888923,2957,28622.0,28035.0,1400-11-03
2022-01-24,28295.0,28379.0,27757.0,28194.0,58076652810,1729496,3070,28270.0,28219.0,1400-11-04
2022-01-25,28211.0,28286.0,26868.0,27774.0,183525762920,5547102,3827,28194.0,27371.0,1400-11-05
2022-01-29,28547.0,28547.0,27875.0,28261.0,77636749940,2306676,2422,27774.0,28278.0,1400-11-09
2022-01-30,28295.0,28631.0,28135.0,28278.0,193386221470,5741641,3725,28261.0,28295.0,1400-11-10
2022-01-31,28295.0,28530.0,28270.0,28303.0,64237863560,1905424,3358,28278.0,28312.0,1400-11-11
2022-02-01,28303.0,28387.0,28278.0,28303.0,103071658700,3057173,3920,28303.0,28312.0,1400-11-12
2022-02-02,28219.0,28337.0,27732.0,28303.0,77834574380,2309003,3889,28303.0,28312.0,1400-11-13
2022-02-05,27892.0,28513.0,27892.0,28303.0,91802517950,2723313,3810,28303.0,28320.0,1400-11-16
2022-02-06,28312.0,28362.0,26893.0,28278.0,158632221610,4709716,4803,28303.0,28278.0,1400-11-17
2022-02-07,28286.0,28354.0,28169.0,28295.0,125764577670,3732158,4014,28278.0,28295.0,1400-11-18
2022-02-08,28295.0,28312.0,28051.0,28270.0,120108536650,3567465,6437,28295.0,28295.0,1400-11-19
2022-02-13,28387.0,28396.0,27942.0,28219.0,78384756760,2332208,3438,28270.0,28202.0,1400-11-24
2022-02-14,28236.0,29630.0,28236.0,29521.0,500363065500,14231482,10373,28219.0,29621.0,1400-11-25
2022-02-16,29370.0,29386.0,28295.0,28883.0,137502027960,3996995,8021,29521.0,28891.0,1400-11-27
2022-02-19,28547.0,28899.0,27799.0,28194.0,74765388770,2226374,5088,28883.0,28261.0,1400-11-30
2022-02-20,27783.0,28211.0,27716.0,28035.0,30505461180,917541,3134,28194.0,27951.0,1400-12-01
2022-02-21,28043.0,29361.0,28043.0,28169.0,11767757740,344776,531,28035.0,28799.0,1400-12-02
2022-02-23,29218.0,29571.0,29218.0,29504.0,200570628710,5708070,5502,28169.0,29563.0,1400-12-04
2022-02-26,29890.0,29890.0,28253.0,29319.0,102116640350,2924266,4963,29504.0,29344.0,1400-12-07
2022-02-27,29000.0,29764.0,28941.0,29563.0,73505104870,2087580,4104,29319.0,29563.0,1400-12-08
2022-02-28,29638.0,30377.0,29605.0,30100.0,273327671340,7625166,6142,29563.0,30218.0,1400-12-09
2022-03-08,28650.0,31450.0,28650.0,30890.0,54896124260,1776960,2009,30100.0,30920.0,1400-12-17
2022-03-09,30220.0,31190.0,29600.0,30230.0,161553725140,5344474,6218,30890.0,29850.0,1400-12-18
2022-03-12,29700.0,29800.0,28720.0,29050.0,117605453850,4047788,4376,30230.0,28830.0,1400-12-21
2022-03-13,28730.0,29720.0,28110.0,29160.0,47918781800,1643252,2715,29050.0,29260.0,1400-12-22
2022-03-14,29540.0,29540.0,28760.0,28890.0,48322258480,1672556,2498,29160.0,28810.0,1400-12-23
2022-03-15,28890.0,29400.0,28770.0,28990.0,36052464660,1242349,2067,28890.0,29110.0,1400-12-24
2022-03-16,29400.0,29540.0,28950.0,29110.0,43035522030,1477620,1929,28990.0,29190.0,1400-12-25
2022-03-19,29150.0,29590.0,28990.0,29380.0,64709096160,2202799,2127,29110.0,29470.0,1400-12-28
2022-03-26,29800.0,29800.0,29020.0,29340.0,55619652200,1895449,2376,29380.0,29350.0,1401-01-06
2022-03-27,29340.0,29360.0,28910.0,29030.0,102268526570,3522416,3545,29340.0,29070.0,1401-01-07
2022-03-28,28940.0,29320.0,28770.0,28990.0,96926015590,3343940,3013,29030.0,29090.0,1401-01-08
2022-03-29,29090.0,29130.0,28740.0,28860.0,69160808010,2396426,3062,28990.0,28750.0,1401-01-09
2022-03-30,28900.0,28900.0,28620.0,28720.0,72845235200,2536332,2910,28860.0,28850.0,1401-01-10
2022-04-03,28850.0,30150.0,28850.0,29880.0,159200008440,5327724,3723,28720.0,30150.0,1401-01-14
2022-04-04,30100.0,30840.0,29390.0,29880.0,100144049970,3351554,3309,29880.0,29500.0,1401-01-15
2022-04-05,29990.0,29990.0,29100.0,29480.0,64003623820,2171240,2743,29880.0,29420.0,1401-01-16
2022-04-06,29430.0,29800.0,28910.0,29340.0,66209696540,2256504,2572,29480.0,29070.0,1401-01-17
2022-04-09,28900.0,29340.0,28790.0,28980.0,100493436700,3467428,3324,29340.0,29090.0,1401-01-20
2022-04-10,29110.0,29500.0,28950.0,29050.0,72799736680,2505920,2792,28980.0,29000.0,1401-01-21
2022-04-11,28950.0,30000.0,28950.0,29510.0,76110491970,2579362,3179,29050.0,29550.0,1401-01-22
