date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-11-19,120.0,125.0,120.0,125.0,1950716500,713895,67,0.0,125.0,1380-08-28
2001-11-20,129.0,130.0,129.0,130.0,1615295400,557240,306,125.0,130.0,1380-08-29
2001-11-21,130.0,130.0,130.0,130.0,334825358,114747,126,130.0,130.0,1380-08-30
2001-11-24,131.0,132.0,131.0,132.0,790362645,268020,284,130.0,132.0,1380-09-03
2001-11-25,132.0,132.0,132.0,132.0,53466300,18000,13,132.0,132.0,1380-09-04
2001-11-26,132.0,132.0,132.0,132.0,77808060,26198,9,132.0,132.0,1380-09-05
2001-12-04,134.0,134.0,133.0,133.0,3294760,1100,2,132.0,133.0,1380-09-13
2001-12-08,134.0,134.0,133.0,133.0,5991430,2000,4,133.0,133.0,1380-09-17
2001-12-09,134.0,134.0,133.0,133.0,29935196,10000,6,133.0,133.0,1380-09-18
2001-12-10,134.0,134.0,134.0,134.0,58564230,19554,7,133.0,134.0,1380-09-19
2001-12-11,134.0,134.0,134.0,134.0,27353335,9133,3,134.0,134.0,1380-09-20
2001-12-12,134.0,134.0,134.0,134.0,357626960,119408,18,134.0,134.0,1380-09-21
2001-12-15,134.0,134.0,134.0,134.0,14975000,5000,2,134.0,134.0,1380-09-24
2001-12-17,134.0,134.0,134.0,134.0,2995000,1000,1,134.0,134.0,1380-09-26
2001-12-18,134.0,134.0,134.0,134.0,10278840,3432,3,134.0,134.0,1380-09-27
2001-12-23,131.0,131.0,131.0,131.0,8494890,2895,4,134.0,131.0,1380-10-02
2001-12-24,131.0,131.0,131.0,131.0,1958576,668,1,131.0,131.0,1380-10-03
2001-12-25,131.0,131.0,131.0,131.0,3225300,1100,2,131.0,131.0,1380-10-04
2001-12-30,131.0,131.0,131.0,131.0,1464500,500,1,131.0,131.0,1380-10-09
2001-12-31,131.0,131.0,131.0,131.0,21777528,7434,4,131.0,131.0,1380-10-10
2002-01-01,131.0,131.0,131.0,131.0,5869000,2000,2,131.0,131.0,1380-10-11
2002-01-05,131.0,131.0,131.0,131.0,6163000,2100,2,131.0,131.0,1380-10-15
2002-01-07,131.0,131.0,131.0,131.0,2849510,973,2,131.0,131.0,1380-10-17
2002-01-26,129.0,129.0,129.0,129.0,2897000,1000,1,131.0,129.0,1380-11-06
2002-01-27,129.0,129.0,129.0,129.0,42294130,14617,14,129.0,129.0,1380-11-07
2002-01-28,131.0,131.0,129.0,131.0,46923530,16070,8,129.0,131.0,1380-11-08
2002-01-30,131.0,131.0,131.0,131.0,14645000,5000,2,131.0,131.0,1380-11-10
2002-02-06,131.0,131.0,131.0,131.0,75277586,25680,5,131.0,131.0,1380-11-17
2002-02-10,131.0,131.0,131.0,131.0,4863800,1660,1,131.0,131.0,1380-11-21
2002-02-16,131.0,131.0,131.0,131.0,9440470,3222,2,131.0,131.0,1380-11-27
2002-02-18,131.0,131.0,131.0,131.0,11720000,4000,2,131.0,131.0,1380-11-29
2002-02-19,131.0,131.0,131.0,131.0,3305040,1128,1,131.0,131.0,1380-11-30
2002-02-20,131.0,131.0,131.0,131.0,256961000,87700,32,131.0,131.0,1380-12-01
2002-02-24,131.0,131.0,131.0,131.0,85939830,29331,7,131.0,131.0,1380-12-05
2002-02-26,131.0,131.0,131.0,131.0,40289500,13750,7,131.0,131.0,1380-12-07
2002-03-04,131.0,131.0,131.0,131.0,14099160,4812,4,131.0,131.0,1380-12-13
2002-06-08,134.0,134.0,134.0,134.0,9999000,3333,1,131.0,134.0,1381-03-18
2002-06-09,134.0,134.0,134.0,134.0,4623540,1540,2,134.0,134.0,1381-03-19
2002-06-16,134.0,134.0,134.0,134.0,1935336,645,2,134.0,134.0,1381-03-26
2002-06-17,134.0,134.0,134.0,134.0,12510000,4170,2,134.0,134.0,1381-03-27
2002-06-18,134.0,134.0,134.0,134.0,891000,297,1,134.0,134.0,1381-03-28
2002-07-28,129.0,129.0,129.0,129.0,2900000,1000,1,134.0,129.0,1381-05-06
2002-08-31,129.0,129.0,129.0,129.0,67503369,23333,6,129.0,129.0,1381-06-09
2002-09-02,129.0,129.0,129.0,129.0,52115040,18033,11,129.0,129.0,1381-06-11
2002-10-16,129.0,129.0,129.0,129.0,19566200,6775,5,129.0,129.0,1381-07-24
2002-11-03,129.0,129.0,129.0,129.0,27918296,9667,10,129.0,129.0,1381-08-12
2002-11-05,129.0,129.0,129.0,129.0,57800,20,1,129.0,129.0,1381-08-14
2002-11-06,129.0,129.0,129.0,129.0,15950000,5500,2,129.0,129.0,1381-08-15
2002-11-09,134.0,136.0,134.0,136.0,27180000,9000,2,129.0,136.0,1381-08-18
2002-11-10,138.0,143.0,138.0,143.0,15694000,5000,2,136.0,143.0,1381-08-19
2002-11-13,145.0,145.0,145.0,145.0,26077000,8020,4,143.0,145.0,1381-08-22
2002-11-17,145.0,145.0,145.0,145.0,6524000,2000,1,145.0,145.0,1381-08-26
2002-11-18,146.0,146.0,146.0,146.0,7314400,2230,2,145.0,146.0,1381-08-27
2002-11-19,148.0,149.0,147.0,149.0,23280000,7000,4,146.0,149.0,1381-08-28
2002-11-23,150.0,154.0,150.0,154.0,17136500,5000,4,149.0,154.0,1381-09-02
2002-11-24,153.0,154.0,153.0,154.0,56362656,16356,33,154.0,154.0,1381-09-03
2002-11-25,154.0,158.0,154.0,158.0,41164799,11749,7,154.0,158.0,1381-09-04
2002-11-26,163.0,163.0,163.0,163.0,10950000,3000,2,158.0,163.0,1381-09-05
2002-11-30,163.0,163.0,163.0,163.0,10563100,2894,4,163.0,163.0,1381-09-09
2002-12-01,163.0,163.0,163.0,163.0,72980,20,1,163.0,163.0,1381-09-10
2002-12-02,161.0,161.0,161.0,161.0,36010000,10000,3,163.0,161.0,1381-09-11
2002-12-03,158.0,158.0,158.0,158.0,7106000,2000,1,161.0,158.0,1381-09-12
2002-12-04,159.0,159.0,159.0,159.0,8892500,2500,1,158.0,159.0,1381-09-13
2002-12-14,162.0,162.0,162.0,162.0,4397298,1212,5,159.0,162.0,1381-09-23
2002-12-21,162.0,170.0,162.0,170.0,35855000,9500,2,162.0,170.0,1381-09-30
2002-12-25,170.0,170.0,170.0,170.0,1905000,500,1,170.0,170.0,1381-10-04
2003-01-01,170.0,170.0,170.0,170.0,1616288,424,1,170.0,170.0,1381-10-11
2003-01-07,170.0,170.0,170.0,170.0,9599755,2515,1,170.0,170.0,1381-10-17
2003-01-12,174.0,174.0,174.0,174.0,29644855,7591,7,170.0,174.0,1381-10-22
2003-01-13,175.0,175.0,175.0,175.0,7840000,2000,1,174.0,175.0,1381-10-23
2003-02-05,223.0,223.0,223.0,223.0,18740000,3748,1,175.0,223.0,1381-11-16
2003-02-09,234.0,234.0,234.0,234.0,5250000,1000,1,223.0,234.0,1381-11-20
2003-02-10,246.0,246.0,246.0,246.0,5512000,1000,2,234.0,246.0,1381-11-21
2003-02-15,258.0,258.0,256.0,256.0,14141150,2450,3,246.0,256.0,1381-11-26
2003-02-16,271.0,271.0,271.0,271.0,18228000,3000,3,256.0,271.0,1381-11-27
2003-02-17,284.0,284.0,284.0,284.0,81651200,12800,11,271.0,284.0,1381-11-28
2003-02-18,284.0,284.0,284.0,284.0,47132431,7389,10,284.0,284.0,1381-11-29
2003-02-19,284.0,284.0,284.0,284.0,56933101,8927,8,284.0,284.0,1381-11-30
2003-02-22,284.0,284.0,284.0,284.0,23912240,3748,1,284.0,284.0,1381-12-03
2003-02-24,284.0,284.0,284.0,284.0,1276000,200,2,284.0,284.0,1381-12-05
2003-02-25,284.0,284.0,284.0,284.0,33176000,5200,5,284.0,284.0,1381-12-06
2003-02-26,284.0,284.0,284.0,284.0,12760000,2000,3,284.0,284.0,1381-12-07
2003-03-01,284.0,284.0,284.0,284.0,17123920,2684,3,284.0,284.0,1381-12-10
2003-03-02,284.0,284.0,284.0,284.0,10239900,1605,1,284.0,284.0,1381-12-11
2003-03-03,284.0,284.0,284.0,284.0,6380000,1000,1,284.0,284.0,1381-12-12
2003-03-04,284.0,284.0,284.0,284.0,19140000,3000,4,284.0,284.0,1381-12-13
2003-03-10,284.0,284.0,284.0,284.0,19140000,3000,2,284.0,284.0,1381-12-19
2003-03-12,284.0,284.0,284.0,284.0,12760000,2000,1,284.0,284.0,1381-12-21
2003-03-16,284.0,284.0,284.0,284.0,3190000,500,1,284.0,284.0,1381-12-25
2003-05-03,284.0,284.0,284.0,284.0,5461280,856,3,284.0,284.0,1382-02-13
2003-05-12,285.0,334.0,285.0,334.0,9996000,1390,2,284.0,334.0,1382-02-22
2003-05-20,337.0,337.0,337.0,337.0,11839968,1568,3,334.0,337.0,1382-02-30
2003-05-31,339.0,339.0,339.0,339.0,38000000,5000,1,337.0,339.0,1382-03-10
2003-06-01,339.0,339.0,339.0,339.0,3800000,500,1,339.0,339.0,1382-03-11
2003-06-02,341.0,341.0,341.0,341.0,22950000,3000,1,339.0,341.0,1382-03-12
2003-06-09,348.0,348.0,348.0,348.0,19500000,2500,1,341.0,348.0,1382-03-19
2003-06-14,348.0,352.0,348.0,352.0,18140000,2300,2,348.0,352.0,1382-03-24
2003-06-28,370.0,370.0,370.0,370.0,9119000,1100,1,352.0,370.0,1382-04-07
2003-10-14,196.0,196.0,196.0,196.0,93192000,21180,7,370.0,196.0,1382-07-22
2003-10-25,197.0,197.0,186.0,187.0,155149688,36916,21,196.0,187.0,1382-08-03
2003-10-27,187.0,196.0,187.0,196.0,132464190,30110,7,187.0,196.0,1382-08-05
2003-11-05,196.0,196.0,196.0,196.0,19839490,4510,2,196.0,196.0,1382-08-14
2003-11-10,196.0,196.0,196.0,196.0,3967898,902,1,196.0,196.0,1382-08-19
2003-11-11,196.0,196.0,196.0,196.0,4552965,1035,1,196.0,196.0,1382-08-20
2003-11-12,196.0,196.0,196.0,196.0,19830480,4510,2,196.0,196.0,1382-08-21
2003-11-17,196.0,196.0,196.0,196.0,54200709,12327,5,196.0,196.0,1382-08-26
2003-12-03,203.0,203.0,196.0,196.0,454999846,100000,2,196.0,196.0,1382-09-12
2003-12-07,203.0,205.0,200.0,200.0,494756730,108643,4,196.0,200.0,1382-09-16
2003-12-08,205.0,205.0,201.0,201.0,7621220,1657,3,200.0,201.0,1382-09-17
2003-12-09,205.0,205.0,201.0,201.0,4645070,1010,2,201.0,201.0,1382-09-18
2003-12-16,201.0,201.0,201.0,201.0,743655,165,1,201.0,201.0,1382-09-25
2003-12-17,203.0,205.0,203.0,204.0,4131901740,900346,33,201.0,204.0,1382-09-26
2003-12-23,204.0,204.0,204.0,204.0,12945036,2835,4,204.0,204.0,1382-10-02
2003-12-27,204.0,204.0,204.0,204.0,4617660,1010,2,204.0,204.0,1382-10-06
2003-12-29,204.0,204.0,204.0,204.0,2331660,510,2,204.0,204.0,1382-10-08
2004-01-03,205.0,205.0,204.0,204.0,4168703966,906240,9,204.0,204.0,1382-10-13
2004-01-04,204.0,204.0,204.0,204.0,1879032,411,2,204.0,204.0,1382-10-14
2004-01-05,204.0,204.0,204.0,204.0,17818588,3899,3,204.0,204.0,1382-10-15
2004-01-06,204.0,204.0,204.0,204.0,228300,50,1,204.0,204.0,1382-10-16
2004-01-07,204.0,204.0,204.0,204.0,1958814,429,2,204.0,204.0,1382-10-17
2004-01-12,205.0,205.0,205.0,205.0,106604870,23175,4,204.0,205.0,1382-10-22
2004-01-14,204.0,204.0,204.0,204.0,6896360,1510,5,205.0,204.0,1382-10-24
2004-01-19,205.0,205.0,204.0,204.0,575751299,125168,4,204.0,204.0,1382-10-29
2004-01-26,205.0,205.0,204.0,204.0,1697330850,368985,6,204.0,204.0,1382-11-06
2004-02-15,204.0,205.0,204.0,204.0,2010919290,437164,11,204.0,204.0,1382-11-26
2004-02-16,205.0,205.0,204.0,204.0,9006640,1958,2,204.0,204.0,1382-11-27
2004-02-22,196.0,204.0,196.0,204.0,1977182,436,3,204.0,204.0,1382-12-03
2004-02-29,204.0,204.0,204.0,204.0,1599806,349,2,204.0,204.0,1382-12-10
2004-03-07,204.0,204.0,204.0,204.0,4583000,1000,2,204.0,204.0,1382-12-17
2004-03-09,204.0,204.0,204.0,204.0,916600000,200000,3,204.0,204.0,1382-12-19
2004-03-13,205.0,205.0,204.0,204.0,4632830,1010,2,204.0,204.0,1382-12-23
2004-03-15,221.0,223.0,218.0,221.0,297049500,60010,12,204.0,221.0,1382-12-25
2004-03-16,227.0,227.0,221.0,221.0,14931420,2928,2,221.0,221.0,1382-12-26
2004-03-17,227.0,227.0,221.0,221.0,503295870,101372,3,221.0,221.0,1382-12-27
2004-04-06,218.0,221.0,218.0,221.0,1029660,210,2,221.0,221.0,1383-01-18
2004-04-12,218.0,221.0,212.0,221.0,8262250,1717,6,221.0,221.0,1383-01-24
2004-04-18,218.0,232.0,218.0,229.0,274415162,53503,12,221.0,229.0,1383-01-30
2004-04-25,230.0,230.0,230.0,230.0,309000000,60000,7,229.0,230.0,1383-02-06
2004-04-27,230.0,230.0,230.0,230.0,463500000,90000,9,230.0,230.0,1383-02-08
2004-04-28,230.0,230.0,230.0,230.0,5150000,1000,1,230.0,230.0,1383-02-09
2004-05-01,230.0,230.0,230.0,230.0,2729500,530,2,230.0,230.0,1383-02-12
2004-05-03,229.0,230.0,229.0,230.0,10307490,2010,2,230.0,230.0,1383-02-14
2004-05-04,230.0,230.0,229.0,229.0,20574470,4010,3,230.0,229.0,1383-02-15
2004-05-10,218.0,228.0,218.0,228.0,24546210,5010,2,229.0,228.0,1383-02-21
2004-05-15,228.0,228.0,228.0,228.0,5121000,1000,1,228.0,228.0,1383-02-26
2004-05-18,218.0,232.0,218.0,227.0,79330641,15819,5,228.0,227.0,1383-02-29
2004-05-24,227.0,227.0,227.0,227.0,49884306,9812,4,227.0,227.0,1383-03-04
2004-06-01,227.0,227.0,227.0,227.0,203450840,40010,6,227.0,227.0,1383-03-12
2004-06-05,227.0,227.0,227.0,227.0,5084000,1000,1,227.0,227.0,1383-03-16
2004-06-06,227.0,227.0,227.0,227.0,869525,171,2,227.0,227.0,1383-03-17
2004-06-07,227.0,227.0,227.0,227.0,8186840,1610,2,227.0,227.0,1383-03-18
2004-06-09,227.0,227.0,227.0,227.0,4032395,793,2,227.0,227.0,1383-03-20
2004-06-13,227.0,228.0,227.0,227.0,99661958,19553,5,227.0,227.0,1383-03-24
2004-07-04,227.0,227.0,227.0,227.0,270518642,53044,13,227.0,227.0,1383-04-14
2004-07-19,227.0,227.0,227.0,227.0,1529700,300,1,227.0,227.0,1383-04-29
2004-07-20,216.0,225.0,216.0,225.0,58190350,12010,3,227.0,225.0,1383-04-30
2004-08-03,225.0,225.0,225.0,225.0,554050,110,2,225.0,225.0,1383-05-13
2004-08-08,234.0,234.0,227.0,227.0,78801020,15010,3,225.0,227.0,1383-05-18
2004-08-14,232.0,232.0,228.0,228.0,10455060,2010,2,227.0,228.0,1383-05-24
2004-08-18,239.0,239.0,239.0,239.0,262689000,49000,5,228.0,239.0,1383-05-28
2004-08-22,251.0,251.0,245.0,245.0,140780000,25010,4,239.0,245.0,1383-06-01
