date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-11-02,2167.0,2167.0,2167.0,2167.0,40807200000,14574000,1,774.0,2167.0,1392-08-11
2013-11-25,1548.0,1548.0,1548.0,1548.0,1654032000,827016,4,2167.0,1548.0,1392-09-04
2013-12-11,1625.0,1625.0,1548.0,1549.0,203150000,101500,2,1548.0,1548.0,1392-09-20
2013-12-22,1625.0,1625.0,1625.0,1625.0,7350000,3500,2,1549.0,1625.0,1392-10-01
2013-12-25,1664.0,1664.0,1664.0,1664.0,10750000,5000,1,1625.0,1664.0,1392-10-04
2014-01-01,1626.0,1626.0,1626.0,1626.0,8307354,3954,1,1664.0,1626.0,1392-10-11
2014-01-04,1935.0,1935.0,1935.0,1935.0,5000000,2000,1,1626.0,1935.0,1392-10-14
2014-01-05,2074.0,2074.0,2074.0,2074.0,35319720,13179,2,1935.0,2074.0,1392-10-15
2014-01-07,3018.0,3018.0,2964.0,2970.0,55463820,14454,3,2074.0,2964.0,1392-10-17
2014-01-13,2980.0,3018.0,2964.0,2992.0,31438430,8131,3,2970.0,3018.0,1392-10-23
2014-01-21,3018.0,3018.0,3018.0,3018.0,2483663,637,1,2992.0,3018.0,1392-11-01
2014-01-27,3017.0,3017.0,3017.0,3017.0,52802308,13546,4,3018.0,3017.0,1392-11-07
2014-01-29,3017.0,3017.0,3017.0,3017.0,3703100,950,1,3017.0,3017.0,1392-11-09
2014-02-10,2206.0,2206.0,2206.0,2206.0,41533050000,14573000,1,3017.0,2206.0,1392-11-21
2014-02-17,2206.0,2206.0,2206.0,2206.0,150622500,52850,3,2206.0,2206.0,1392-11-28
2014-02-18,2206.0,2206.0,2206.0,2206.0,57000000,20000,3,2206.0,2206.0,1392-11-29
2014-02-19,2206.0,2206.0,2206.0,2206.0,142500000,50000,1,2206.0,2206.0,1392-11-30
2014-02-23,3003.0,3003.0,3003.0,3003.0,1245480,321,1,2206.0,3003.0,1392-12-04
2014-02-24,2252.0,2252.0,2244.0,2247.0,39190000,13500,2,3003.0,2244.0,1392-12-05
2014-03-02,2247.0,2322.0,2247.0,2267.0,159041000,54307,3,2247.0,2322.0,1392-12-11
2014-03-05,2322.0,2322.0,2322.0,2322.0,7500000,2500,1,2267.0,2322.0,1392-12-14
2014-03-26,2322.0,2322.0,2283.0,2309.0,58175100,19497,3,2322.0,2283.0,1393-01-06
2014-03-30,2287.0,2287.0,2287.0,2287.0,31154565,10543,3,2309.0,2287.0,1393-01-10
2014-04-08,2283.0,2283.0,2283.0,2283.0,10861900,3682,1,2287.0,2283.0,1393-01-19
2014-04-09,2252.0,2252.0,2252.0,2252.0,8459370,2907,1,2283.0,2252.0,1393-01-20
2014-04-12,2247.0,2247.0,2247.0,2247.0,8439021,2907,1,2252.0,2247.0,1393-01-23
2014-04-21,2278.0,2653.0,2278.0,2590.0,260980357,79073,2,2247.0,2653.0,1393-02-01
2014-05-04,2590.0,2590.0,2590.0,2590.0,1989900,603,1,2590.0,2590.0,1393-02-14
2014-05-05,2590.0,2590.0,2590.0,2590.0,330000,100,1,2590.0,2590.0,1393-02-15
2014-05-07,2278.0,2278.0,2237.0,2259.0,127872842,44414,3,2590.0,2237.0,1393-02-17
2014-05-10,2511.0,2511.0,2510.0,2510.0,3199170,1000,2,2259.0,2510.0,1393-02-20
2014-05-17,2237.0,2237.0,2237.0,2237.0,156800000,55000,3,2510.0,2237.0,1393-02-27
2014-05-18,2238.0,2238.0,2238.0,2238.0,37586508,13179,1,2237.0,2238.0,1393-02-28
2014-05-21,2238.0,2354.0,2237.0,2310.0,712023959,241883,7,2238.0,2354.0,1393-02-31
2014-05-31,2237.0,2354.0,2237.0,2237.0,425269096,149189,9,2310.0,2239.0,1393-03-10
2014-06-02,2233.0,2233.0,2233.0,2233.0,27378520,9620,2,2237.0,2233.0,1393-03-12
