date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-01-27,9886.0,9886.0,9886.0,9886.0,1398020000,139802,21,9886.0,9886.0,1393-11-07
2015-01-28,9886.0,9886.0,9886.0,9886.0,563300000,56330,11,9886.0,9886.0,1393-11-08
2015-01-31,9886.0,9886.0,9886.0,9886.0,1042400000,104240,6,9886.0,9886.0,1393-11-11
2015-02-01,9886.0,9886.0,9886.0,9886.0,252000000,25200,4,9886.0,9886.0,1393-11-12
2015-02-02,9886.0,9886.0,9886.0,9886.0,10022900000,1002290,16,9886.0,9886.0,1393-11-13
2015-02-03,9886.0,9886.0,9886.0,9886.0,5013500000,501350,7,9886.0,9886.0,1393-11-14
2015-02-04,9886.0,9886.0,9886.0,9886.0,10120000000,1012000,12,9886.0,9886.0,1393-11-15
2015-02-07,9886.0,9886.0,9886.0,9886.0,52500000,5250,3,9886.0,9886.0,1393-11-18
2015-02-08,9886.0,9886.0,9886.0,9886.0,5000000000,500000,5,9886.0,9886.0,1393-11-19
2015-02-09,9886.0,9886.0,9886.0,9886.0,2854000000,285400,16,9886.0,9886.0,1393-11-20
2015-02-10,9886.0,9886.0,9886.0,9886.0,44078700000,4407870,60,9886.0,9886.0,1393-11-21
2015-03-02,9930.0,10123.0,9886.0,9930.0,2012116160,200309,4,9886.0,9886.0,1393-12-11
2015-03-04,9792.0,9798.0,9792.0,9793.0,9113705,920,4,9930.0,9797.0,1393-12-13
2015-03-07,9787.0,9787.0,9688.0,9705.0,5939500,605,3,9793.0,9688.0,1393-12-16
2015-03-14,9739.0,9739.0,9738.0,9738.0,985002600,100000,2,9705.0,9738.0,1393-12-23
2015-03-15,9886.0,9886.0,9886.0,9886.0,2000000,200,1,9738.0,9886.0,1393-12-24
2015-03-17,9698.0,9698.0,9688.0,9694.0,5883600,600,4,9886.0,9698.0,1393-12-26
2015-03-18,9881.0,9886.0,9787.0,9872.0,10985000,1100,7,9694.0,9876.0,1393-12-27
2015-03-25,9881.0,9886.0,9881.0,9885.0,21997000,2200,2,9872.0,9886.0,1394-01-05
2015-03-28,9888.0,9888.0,9888.0,9888.0,19903980,1990,1,9885.0,9888.0,1394-01-08
2015-03-29,9887.0,10469.0,9887.0,10378.0,1096780800,104480,11,9888.0,10469.0,1394-01-09
2015-03-30,10287.0,10287.0,10287.0,10287.0,7804500,750,2,10378.0,10287.0,1394-01-10
2015-03-31,10293.0,10293.0,10292.0,10293.0,246762700,23700,2,10287.0,10292.0,1394-01-11
2015-04-04,11072.0,11863.0,11072.0,11566.0,3173330841,271243,45,10293.0,11857.0,1394-01-15
2015-04-05,11768.0,12753.0,11768.0,11951.0,3867404100,319908,72,11566.0,11962.0,1394-01-16
2015-04-06,11418.0,11752.0,11369.0,11417.0,1248164400,108078,13,11951.0,11369.0,1394-01-17
