date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-07,138.0,138.0,138.0,138.0,48889800,5190,6,0.0,138.0,1380-01-18
2001-04-11,143.0,143.0,143.0,143.0,15386000,1570,2,138.0,143.0,1380-01-22
2001-04-15,143.0,143.0,143.0,143.0,14719500,1500,1,143.0,143.0,1380-01-26
2001-04-16,146.0,149.0,146.0,149.0,58598108,5757,4,143.0,149.0,1380-01-27
2001-04-17,149.0,149.0,149.0,149.0,7347500,720,3,149.0,149.0,1380-01-28
2001-04-29,157.0,157.0,157.0,157.0,19742884,1841,4,149.0,157.0,1380-02-09
2001-05-01,164.0,164.0,164.0,164.0,5630000,500,1,157.0,164.0,1380-02-11
2001-05-02,165.0,165.0,165.0,165.0,22542000,2000,3,164.0,165.0,1380-02-12
2001-05-05,165.0,165.0,165.0,165.0,11710569,1039,4,165.0,165.0,1380-02-15
2001-05-06,165.0,165.0,165.0,165.0,21505068,1908,2,165.0,165.0,1380-02-16
2001-05-08,165.0,165.0,165.0,165.0,21914056,1944,9,165.0,165.0,1380-02-18
2001-05-09,165.0,165.0,165.0,165.0,27655122,2453,5,165.0,165.0,1380-02-19
2001-05-12,165.0,165.0,165.0,165.0,17801646,1579,3,165.0,165.0,1380-02-22
2001-05-13,165.0,165.0,165.0,165.0,34948400,3100,8,165.0,165.0,1380-02-23
2001-05-15,165.0,165.0,165.0,165.0,676440,60,1,165.0,165.0,1380-02-25
2001-05-19,165.0,165.0,165.0,165.0,2593020,230,1,165.0,165.0,1380-02-29
2001-05-20,165.0,165.0,165.0,165.0,3382500,300,1,165.0,165.0,1380-02-30
2001-05-21,165.0,165.0,165.0,165.0,6427490,570,3,165.0,165.0,1380-02-31
2001-05-23,165.0,165.0,165.0,165.0,19813762,1757,4,165.0,165.0,1380-03-02
2001-05-26,165.0,165.0,165.0,165.0,16835568,1493,4,165.0,165.0,1380-03-05
2001-05-30,165.0,165.0,165.0,165.0,47334000,4200,4,165.0,165.0,1380-03-09
2001-06-02,165.0,165.0,165.0,165.0,16904000,1500,2,165.0,165.0,1380-03-12
2001-06-03,165.0,165.0,165.0,165.0,5635000,500,1,165.0,165.0,1380-03-13
2001-06-06,165.0,165.0,165.0,165.0,19833110,1756,2,165.0,165.0,1380-03-16
2001-06-09,165.0,165.0,165.0,165.0,23357100,2067,3,165.0,165.0,1380-03-19
