date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-18,84.0,84.0,84.0,84.0,2700000,1000,1,84.0,84.0,1380-01-29
2001-04-22,84.0,84.0,84.0,84.0,1079200,400,1,84.0,84.0,1380-02-02
2001-04-30,80.0,80.0,80.0,80.0,1282000,500,1,84.0,80.0,1380-02-10
2001-05-01,78.0,78.0,78.0,78.0,1244500,500,1,80.0,78.0,1380-02-11
2001-05-02,78.0,78.0,77.0,77.0,5542423,2231,10,78.0,77.0,1380-02-12
2001-05-06,77.0,77.0,77.0,77.0,1232560,497,2,77.0,77.0,1380-02-16
2001-05-15,77.0,77.0,77.0,77.0,2465838,1000,2,77.0,77.0,1380-02-25
2001-05-26,76.0,76.0,76.0,76.0,1983690,810,1,77.0,76.0,1380-03-05
2001-05-29,76.0,78.0,76.0,78.0,14461629,5877,8,76.0,78.0,1380-03-08
2001-06-02,81.0,81.0,81.0,81.0,18320568,7014,3,78.0,81.0,1380-03-12
2001-06-03,84.0,86.0,84.0,86.0,18051164,6642,7,81.0,86.0,1380-03-13
2001-06-06,90.0,90.0,90.0,90.0,21770998,7562,4,86.0,90.0,1380-03-16
2001-06-09,90.0,90.0,90.0,90.0,2562310,890,2,90.0,90.0,1380-03-19
2001-06-13,90.0,90.0,90.0,90.0,12554228,4354,6,90.0,90.0,1380-03-23
2001-06-16,90.0,90.0,90.0,90.0,25428532,8826,4,90.0,90.0,1380-03-26
2001-06-19,90.0,90.0,90.0,90.0,2185000,760,1,90.0,90.0,1380-03-29
2001-06-20,90.0,90.0,90.0,90.0,8625000,3000,10,90.0,90.0,1380-03-30
2001-06-23,87.0,87.0,87.0,87.0,5587800,2010,2,90.0,87.0,1380-04-02
2001-06-30,87.0,87.0,87.0,87.0,2223200,800,1,87.0,87.0,1380-04-09
2001-07-02,86.0,86.0,86.0,86.0,13710000,5000,3,87.0,86.0,1380-04-11
2001-07-09,85.0,85.0,85.0,85.0,4961280,1824,3,86.0,85.0,1380-04-18
2001-08-05,62.0,62.0,62.0,62.0,2000000,1000,1,85.0,62.0,1380-05-14
2001-08-13,62.0,62.0,62.0,62.0,4310000,2155,2,62.0,62.0,1380-05-22
2001-08-14,62.0,64.0,62.0,64.0,1106000,538,2,62.0,64.0,1380-05-23
2001-08-18,64.0,64.0,64.0,64.0,5578480,2708,3,64.0,64.0,1380-05-27
2001-08-19,64.0,64.0,64.0,64.0,5150000,2500,4,64.0,64.0,1380-05-28
2001-08-21,64.0,64.0,64.0,64.0,319300,155,1,64.0,64.0,1380-05-30
2001-08-25,64.0,64.0,64.0,64.0,2109440,1024,2,64.0,64.0,1380-06-03
2001-10-16,61.0,61.0,61.0,61.0,592971,303,1,64.0,61.0,1380-07-24
2001-10-23,61.0,61.0,61.0,61.0,1984398,1014,1,61.0,61.0,1380-08-01
2001-11-05,61.0,61.0,61.0,61.0,552948,284,2,61.0,61.0,1380-08-14
2001-11-10,59.0,59.0,59.0,59.0,475000,250,1,61.0,59.0,1380-08-19
2001-11-11,59.0,59.0,59.0,59.0,5225000,2750,1,59.0,59.0,1380-08-20
2001-11-12,59.0,59.0,59.0,59.0,6493645,3418,5,59.0,59.0,1380-08-21
2001-11-13,59.0,59.0,59.0,59.0,2807700,1477,4,59.0,59.0,1380-08-22
2001-11-14,61.0,61.0,61.0,61.0,10181186,5203,4,59.0,61.0,1380-08-23
2001-11-18,61.0,61.0,61.0,61.0,9594100,4900,3,61.0,61.0,1380-08-27
2001-11-20,61.0,61.0,61.0,61.0,1565600,800,2,61.0,61.0,1380-08-29
2001-11-25,62.0,62.0,62.0,62.0,1448000,724,4,61.0,62.0,1380-09-04
2001-11-26,62.0,62.0,62.0,62.0,280000,140,1,62.0,62.0,1380-09-05
2001-12-03,64.0,64.0,64.0,64.0,6547700,3194,2,62.0,64.0,1380-09-12
2001-12-05,64.0,64.0,64.0,64.0,3078000,1500,2,64.0,64.0,1380-09-14
2001-12-08,64.0,64.0,64.0,64.0,615900,300,1,64.0,64.0,1380-09-17
2001-12-15,65.0,65.0,64.0,64.0,2657904,1272,3,64.0,64.0,1380-09-24
2001-12-18,64.0,64.0,64.0,64.0,5254824,2556,2,64.0,64.0,1380-09-27
2001-12-22,64.0,64.0,64.0,64.0,3974994,1935,2,64.0,64.0,1380-10-01
2001-12-24,64.0,64.0,64.0,64.0,80184,39,1,64.0,64.0,1380-10-03
2001-12-26,66.0,66.0,66.0,66.0,4410000,2100,2,64.0,66.0,1380-10-05
2001-12-29,66.0,66.0,66.0,66.0,1797600,856,2,66.0,66.0,1380-10-08
2001-12-30,66.0,66.0,66.0,66.0,420200,200,1,66.0,66.0,1380-10-09
2001-12-31,66.0,66.0,66.0,66.0,326275,155,1,66.0,66.0,1380-10-10
2002-01-01,66.0,66.0,66.0,66.0,82212,39,1,66.0,66.0,1380-10-11
2002-01-05,66.0,66.0,66.0,66.0,653301,310,3,66.0,66.0,1380-10-15
2002-01-06,66.0,66.0,66.0,66.0,245934,117,3,66.0,66.0,1380-10-16
2002-01-08,69.0,69.0,69.0,69.0,6615000,3000,1,66.0,69.0,1380-10-18
2002-01-12,69.0,69.0,69.0,69.0,2205083,1000,2,69.0,69.0,1380-10-22
2002-02-26,50.0,50.0,50.0,50.0,320000,200,1,69.0,50.0,1380-12-07
2002-03-04,50.0,50.0,50.0,50.0,9920000,6200,3,50.0,50.0,1380-12-13
2002-03-10,50.0,50.0,50.0,50.0,4365532,2729,2,50.0,50.0,1380-12-19
2002-03-12,50.0,50.0,50.0,50.0,2556800,1600,2,50.0,50.0,1380-12-21
2002-03-13,50.0,50.0,50.0,50.0,4957868,3100,2,50.0,50.0,1380-12-22
2002-03-18,50.0,50.0,50.0,50.0,1596000,1000,1,50.0,50.0,1380-12-27
2002-03-27,50.0,50.0,50.0,50.0,798000,500,1,50.0,50.0,1381-01-07
2002-04-07,50.0,50.0,50.0,50.0,7950000,5000,1,50.0,50.0,1381-01-18
2002-04-08,50.0,50.0,50.0,50.0,4755690,2991,1,50.0,50.0,1381-01-19
2002-04-09,50.0,50.0,50.0,50.0,3087610,1930,5,50.0,50.0,1381-01-20
2002-04-17,50.0,50.0,47.0,47.0,3573610,2310,4,50.0,47.0,1381-01-28
2002-04-20,47.0,47.0,47.0,47.0,20489600,13480,5,47.0,47.0,1381-01-31
2002-04-23,47.0,47.0,47.0,47.0,3952000,2600,1,47.0,47.0,1381-02-03
2002-04-27,47.0,47.0,47.0,47.0,57798,38,1,47.0,47.0,1381-02-07
2002-04-28,47.0,47.0,47.0,47.0,5585112,3672,3,47.0,47.0,1381-02-08
2002-04-29,47.0,47.0,47.0,47.0,4639050,3050,1,47.0,47.0,1381-02-09
2002-04-30,47.0,47.0,47.0,47.0,857844,564,1,47.0,47.0,1381-02-10
2002-05-04,47.0,47.0,47.0,47.0,1522000,1000,2,47.0,47.0,1381-02-14
2002-05-05,48.0,48.0,48.0,48.0,5350000,3500,2,47.0,48.0,1381-02-15
2002-05-14,49.0,49.0,49.0,49.0,849576,546,1,48.0,49.0,1381-02-24
2002-05-15,49.0,49.0,49.0,49.0,271456,174,2,49.0,49.0,1381-02-25
2002-05-20,49.0,49.0,49.0,49.0,2787356,1772,2,49.0,49.0,1381-02-30
2002-05-29,47.0,47.0,47.0,47.0,4501000,3000,2,49.0,47.0,1381-03-08
2002-06-01,47.0,47.0,47.0,47.0,450262,300,2,47.0,47.0,1381-03-11
2002-06-11,47.0,47.0,47.0,47.0,1888030,1256,5,47.0,47.0,1381-03-21
2002-06-16,48.0,48.0,47.0,47.0,8904150,5846,5,47.0,47.0,1381-03-26
2002-06-17,48.0,48.0,47.0,48.0,2688176,1757,4,47.0,48.0,1381-03-27
2002-06-22,48.0,48.0,48.0,48.0,7660000,5000,1,48.0,48.0,1381-04-01
2002-06-23,48.0,48.0,48.0,48.0,416704,272,1,48.0,48.0,1381-04-02
2002-06-25,48.0,48.0,48.0,48.0,1495232,976,3,48.0,48.0,1381-04-04
2002-06-29,48.0,48.0,48.0,48.0,6200000,4000,2,48.0,48.0,1381-04-08
2002-07-03,48.0,48.0,48.0,48.0,2317758,1500,4,48.0,48.0,1381-04-12
2002-07-10,47.0,47.0,47.0,47.0,1956000,1304,3,48.0,47.0,1381-04-19
2002-08-14,44.0,44.0,44.0,44.0,700000,500,1,47.0,44.0,1381-05-23
2002-08-20,44.0,44.0,44.0,44.0,1399000,1000,1,44.0,44.0,1381-05-29
2002-08-24,44.0,44.0,44.0,44.0,280000,200,2,44.0,44.0,1381-06-02
2002-08-31,41.0,41.0,41.0,41.0,1330000,1000,1,44.0,41.0,1381-06-09
2002-09-23,41.0,41.0,41.0,41.0,4759868,3582,4,41.0,41.0,1381-07-01
2002-09-24,41.0,41.0,41.0,41.0,50540,38,1,41.0,41.0,1381-07-02
2002-10-01,40.0,41.0,40.0,41.0,127000000,98000,14,41.0,41.0,1381-07-09
2002-10-06,41.0,41.0,41.0,41.0,50700,39,1,41.0,41.0,1381-07-14
2002-10-07,41.0,41.0,41.0,41.0,49400,38,1,41.0,41.0,1381-07-15
2002-10-08,41.0,41.0,41.0,41.0,481997920,370224,44,41.0,41.0,1381-07-16
2002-10-09,41.0,41.0,41.0,41.0,1834000,1400,1,41.0,41.0,1381-07-17
