date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-25,1116.0,1116.0,1116.0,1116.0,4395000,1465,5,1116.0,1116.0,1380-01-05
2001-03-27,1116.0,1116.0,1116.0,1116.0,2700000,900,1,1116.0,1116.0,1380-01-07
2001-03-28,1116.0,1116.0,1116.0,1116.0,750250,250,1,1116.0,1116.0,1380-01-08
2001-03-31,1117.0,1117.0,1117.0,1117.0,9006000,3000,1,1116.0,1117.0,1380-01-11
2001-04-03,1117.0,1117.0,1117.0,1117.0,3002000,1000,1,1117.0,1117.0,1380-01-14
2001-04-08,1117.0,1117.0,1117.0,1117.0,17681780,5890,6,1117.0,1117.0,1380-01-19
2001-04-09,1117.0,1117.0,1117.0,1117.0,6664440,2220,6,1117.0,1117.0,1380-01-20
2001-04-11,1117.0,1118.0,1117.0,1117.0,24296530,8090,6,1117.0,1117.0,1380-01-22
2001-04-14,1117.0,1117.0,1117.0,1117.0,1651100,550,1,1117.0,1117.0,1380-01-25
2001-04-15,1117.0,1117.0,1117.0,1117.0,4713140,1570,10,1117.0,1117.0,1380-01-26
2001-04-16,1117.0,1117.0,1117.0,1117.0,11257500,3750,7,1117.0,1117.0,1380-01-27
2001-04-17,1117.0,1117.0,1117.0,1117.0,810540,270,1,1117.0,1117.0,1380-01-28
2001-04-18,1117.0,1117.0,1117.0,1117.0,8735820,2910,6,1117.0,1117.0,1380-01-29
2001-04-21,1117.0,1117.0,1116.0,1117.0,40485438,13488,7,1117.0,1117.0,1380-02-01
2001-04-22,1117.0,1118.0,1117.0,1118.0,9011600,3000,2,1117.0,1118.0,1380-02-02
2001-04-23,1118.0,1118.0,1118.0,1118.0,10837030,3606,7,1118.0,1118.0,1380-02-03
2001-04-24,1118.0,1118.0,1118.0,1118.0,19940180,6635,6,1118.0,1118.0,1380-02-04
2001-04-25,1120.0,1120.0,1119.0,1119.0,9445378,3138,3,1118.0,1119.0,1380-02-05
2001-04-29,1118.0,1120.0,1118.0,1118.0,15338269,5100,6,1119.0,1118.0,1380-02-09
2001-04-30,1120.0,1120.0,1118.0,1118.0,19275526,6410,6,1118.0,1118.0,1380-02-10
2001-05-02,1118.0,1118.0,1118.0,1118.0,49215112,16372,10,1118.0,1118.0,1380-02-12
2001-05-05,1118.0,1118.0,1118.0,1118.0,30979836,10306,16,1118.0,1118.0,1380-02-15
2001-05-06,1118.0,1118.0,1118.0,1118.0,10519000,3500,4,1118.0,1118.0,1380-02-16
2001-05-07,1118.0,1118.0,1118.0,1118.0,30051800,10000,5,1118.0,1118.0,1380-02-17
2001-05-08,1118.0,1118.0,1118.0,1118.0,19139202,6367,10,1118.0,1118.0,1380-02-18
2001-05-09,1118.0,1118.0,1118.0,1118.0,25965828,8638,7,1118.0,1118.0,1380-02-19
2001-05-12,1118.0,1118.0,1118.0,1118.0,144275976,47996,8,1118.0,1118.0,1380-02-22
2001-05-13,1118.0,1118.0,1118.0,1118.0,13719484,4564,9,1118.0,1118.0,1380-02-23
2001-05-15,1118.0,1118.0,1118.0,1118.0,27205472,9050,15,1118.0,1118.0,1380-02-25
2001-05-16,1118.0,1118.0,1118.0,1118.0,4959940,1650,8,1118.0,1118.0,1380-02-26
2001-05-19,1118.0,1118.0,1118.0,1118.0,58211190,19365,15,1118.0,1118.0,1380-02-29
2001-05-20,1118.0,1118.0,1118.0,1118.0,49858723,16586,11,1118.0,1118.0,1380-02-30
2001-05-21,1118.0,1118.0,1118.0,1118.0,7064100,2350,3,1118.0,1118.0,1380-02-31
2001-05-23,1118.0,1118.0,1118.0,1118.0,7575120,2520,3,1118.0,1118.0,1380-03-02
2001-05-26,1118.0,1118.0,1118.0,1118.0,3871728,1288,4,1118.0,1118.0,1380-03-05
2001-05-27,1118.0,1118.0,1116.0,1118.0,37847340,12590,8,1118.0,1118.0,1380-03-06
2001-05-28,1119.0,1119.0,1118.0,1118.0,15172213,5047,8,1118.0,1118.0,1380-03-07
2001-05-29,1118.0,1118.0,1118.0,1118.0,21685284,7214,9,1118.0,1118.0,1380-03-08
2001-05-30,1118.0,1118.0,1118.0,1118.0,39189222,13037,8,1118.0,1118.0,1380-03-09
2001-06-02,1118.0,1118.0,1118.0,1118.0,5720418,1903,5,1118.0,1118.0,1380-03-12
