date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-06-23,30033.0,30033.0,30033.0,30033.0,844997497500,25999923,2749900,924.0,30033.0,1400-04-02
2021-06-26,31535.0,31535.0,31535.0,31535.0,26054847000,763512,17626,30033.0,31535.0,1400-04-05
2021-06-27,33112.0,33112.0,33112.0,33112.0,46061252134,1285514,17474,31535.0,33112.0,1400-04-06
2021-06-28,34767.0,34767.0,34767.0,34767.0,31420389520,835160,24990,33112.0,34767.0,1400-04-07
2021-06-29,36505.0,36505.0,36505.0,36505.0,35755073869,905123,32471,34767.0,36505.0,1400-04-08
2021-06-30,38330.0,38330.0,38330.0,38330.0,39874916778,961351,35366,36505.0,38330.0,1400-04-09
2021-07-03,40246.0,40246.0,40246.0,40246.0,52067136744,1195544,59703,38330.0,40246.0,1400-04-12
2021-07-04,42258.0,42258.0,42258.0,42258.0,56957699328,1245576,59949,40246.0,42258.0,1400-04-13
2021-07-05,44370.0,44370.0,44370.0,44370.0,62258553450,1296675,72217,42258.0,44370.0,1400-04-14
2021-07-06,46588.0,46588.0,46588.0,46588.0,43448045550,861825,21010,44370.0,46588.0,1400-04-15
2021-07-10,48917.0,48917.0,48917.0,48917.0,97867290570,1848855,83587,46588.0,48917.0,1400-04-19
2021-07-11,51362.0,51362.0,51362.0,51362.0,94698649080,1703826,66170,48917.0,51362.0,1400-04-20
2021-07-12,53930.0,53930.0,53930.0,53930.0,88400637507,1514773,61331,51362.0,53930.0,1400-04-21
2021-07-13,56626.0,56626.0,56626.0,56626.0,94106884212,1535787,61764,53930.0,56626.0,1400-04-22
2021-07-14,59456.0,59456.0,59456.0,59456.0,131919463159,2050381,110138,56626.0,59456.0,1400-04-23
2021-07-17,62428.0,62428.0,61638.0,62413.0,1910787507940,28291510,246912,59456.0,62428.0,1400-04-26
2021-07-18,62747.0,62821.0,59293.0,60666.0,485181911588,7390702,176701,62413.0,59293.0,1400-04-27
2021-07-19,58681.0,63218.0,57633.0,60655.0,933488541809,14222269,158463,60666.0,62385.0,1400-04-28
2021-07-26,62377.0,63070.0,57623.0,58946.0,387659781547,6077402,35723,60655.0,57623.0,1400-05-04
2021-07-27,57572.0,57623.0,55999.0,56288.0,164045472017,2693200,23023,58946.0,55999.0,1400-05-05
2021-07-28,53599.0,55908.0,53474.0,53788.0,318259974404,5467935,62920,56288.0,53474.0,1400-05-06
2021-07-31,53413.0,56477.0,51842.0,55793.0,346677981558,5742085,32730,53788.0,56477.0,1400-05-09
2021-08-01,56842.0,56902.0,53004.0,53798.0,258847005968,4446318,29489,55793.0,53004.0,1400-05-10
2021-08-02,52304.0,52674.0,51109.0,51322.0,208348514588,3751507,20911,53798.0,51109.0,1400-05-11
2021-08-03,49809.0,52951.0,49636.0,50936.0,119700602002,2171686,21420,51322.0,50290.0,1400-05-12
2021-08-04,50715.0,51890.0,49625.0,50401.0,128338137327,2353117,20829,50936.0,49865.0,1400-05-13
2021-08-07,50401.0,50401.0,48054.0,48834.0,100276175688,1897539,22221,50401.0,48573.0,1400-05-16
2021-08-08,49162.0,51276.0,48978.0,51012.0,116488697188,2110264,11493,48834.0,51276.0,1400-05-17
2021-08-09,53044.0,53562.0,52212.0,53244.0,264864636432,4596949,18514,51012.0,53088.0,1400-05-18
2021-08-10,53681.0,53681.0,50583.0,51324.0,169003999758,3042960,25700,53244.0,51473.0,1400-05-19
2021-08-11,51334.0,53598.0,50642.0,52669.0,170243503538,2987027,29967,51324.0,53506.0,1400-05-20
2021-08-14,52674.0,53889.0,51013.0,52066.0,99728980899,1770063,14463,52669.0,51334.0,1400-05-23
2021-08-15,51747.0,52535.0,50036.0,51346.0,91618648497,1648912,14168,52066.0,51103.0,1400-05-24
2021-08-22,51177.0,52674.0,50549.0,51254.0,99541089038,1794739,16523,51346.0,50946.0,1400-05-31
2021-08-23,50846.0,53136.0,49726.0,51598.0,158995552066,2847578,14829,51254.0,52406.0,1400-06-01
