date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2019-01-23,495.0,495.0,495.0,495.0,1036015802100,505373562,360083,241.0,495.0,1397-11-03
2019-01-26,519.0,519.0,519.0,498.0,521354280,242265,232,495.0,519.0,1397-11-06
2019-01-27,522.0,522.0,522.0,521.0,4088266925,1888345,918,498.0,522.0,1397-11-07
2019-01-29,547.0,547.0,547.0,547.0,5447912668,2404198,927,521.0,547.0,1397-11-09
2019-01-30,574.0,574.0,574.0,574.0,16499230956,6935364,3926,547.0,574.0,1397-11-10
2019-02-02,603.0,603.0,546.0,590.0,343496256018,140628139,86809,574.0,551.0,1397-11-13
2019-02-03,560.0,567.0,560.0,560.0,154055999752,66345970,41491,590.0,560.0,1397-11-14
2019-02-04,549.0,567.0,534.0,549.0,257824904259,113377785,69429,560.0,544.0,1397-11-15
2019-02-05,544.0,555.0,538.0,544.0,90681135535,40208386,22325,549.0,544.0,1397-11-16
2019-02-06,543.0,552.0,538.0,542.0,69692375545,31042916,13598,544.0,541.0,1397-11-17
2019-02-10,541.0,552.0,536.0,544.0,78914994252,35020203,17493,542.0,543.0,1397-11-21
2019-02-12,549.0,567.0,541.0,554.0,115529533113,50358618,22214,544.0,551.0,1397-11-23
2019-02-13,554.0,562.0,546.0,554.0,108142702633,47108163,29317,554.0,554.0,1397-11-24
2019-02-16,554.0,562.0,544.0,555.0,84901372715,36915874,19366,554.0,559.0,1397-11-27
2019-02-17,558.0,560.0,553.0,556.0,56986568111,24754828,6480,555.0,554.0,1397-11-28
2019-02-18,553.0,555.0,551.0,552.0,46025997112,20103569,5774,556.0,553.0,1397-11-29
2019-02-19,553.0,553.0,545.0,551.0,39082664220,17120344,5784,552.0,546.0,1397-11-30
2019-02-20,551.0,551.0,543.0,547.0,46184827534,20374489,5423,551.0,548.0,1397-12-01
2019-02-23,545.0,547.0,536.0,541.0,49345133086,22027148,6821,547.0,537.0,1397-12-04
2019-02-24,536.0,546.0,534.0,539.0,36858010127,16499846,5087,541.0,542.0,1397-12-05
2019-02-25,537.0,542.0,531.0,537.0,25421184161,11432002,4429,539.0,533.0,1397-12-06
