date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-02-05,3200.0,3200.0,3200.0,3200.0,70000000,20000,2,3108.0,3200.0,1390-11-16
2012-02-07,3108.0,3108.0,3108.0,3108.0,6188000,1820,3,3200.0,3108.0,1390-11-18
2012-02-08,3108.0,3108.0,3108.0,3108.0,5440000,1600,5,3108.0,3108.0,1390-11-19
2012-04-29,3108.0,3108.0,3108.0,3108.0,34000000,10000,10,3108.0,3108.0,1391-02-10
2013-11-25,914.0,914.0,914.0,914.0,383657000,383657,12,3108.0,914.0,1392-09-04
2013-12-25,914.0,914.0,914.0,914.0,73182000,73182,1,914.0,914.0,1392-10-04
2013-12-30,914.0,914.0,914.0,914.0,1732840000,1732840,2,914.0,914.0,1392-10-09
2014-01-14,1006.0,1006.0,1006.0,1006.0,4727950700,4298137,6,914.0,1006.0,1392-10-24
2014-09-29,1006.0,1006.0,1006.0,1006.0,1218637200,1107852,3,1006.0,1006.0,1393-07-07
2015-01-07,1006.0,1006.0,1006.0,1006.0,7700000,7000,4,1006.0,1006.0,1393-10-17
2015-01-14,649.0,649.0,649.0,649.0,4024280,5668,1,1006.0,649.0,1393-10-24
2015-01-18,914.0,914.0,914.0,914.0,5668000,5668,1,649.0,914.0,1393-10-28
2015-03-01,914.0,914.0,914.0,914.0,200000000,200000,1,914.0,914.0,1393-12-10
2015-05-17,459.0,459.0,459.0,459.0,1506000,3000,1,914.0,459.0,1394-02-27
2015-07-21,641.0,641.0,641.0,641.0,2103000,3000,1,459.0,641.0,1394-04-30
2016-01-05,641.0,641.0,641.0,641.0,4907000,7000,1,641.0,641.0,1394-10-15
2016-01-06,640.0,640.0,640.0,640.0,4152400,5932,2,641.0,640.0,1394-10-16
2016-01-09,640.0,640.0,640.0,640.0,700000,1000,1,640.0,640.0,1394-10-19
2016-01-16,640.0,640.0,640.0,640.0,7140000,10200,1,640.0,640.0,1394-10-26
2016-01-20,640.0,640.0,640.0,640.0,11980500,17115,1,640.0,640.0,1394-10-30
2016-04-25,640.0,640.0,640.0,640.0,21000000,30000,3,640.0,640.0,1395-02-06
2016-06-11,686.0,686.0,686.0,686.0,45000000,60000,2,640.0,686.0,1395-03-22
2016-07-02,731.0,732.0,731.0,732.0,40040000,50000,2,686.0,732.0,1395-04-12
2016-08-31,731.0,731.0,731.0,731.0,80000,100,1,732.0,731.0,1395-06-10
2017-03-13,741.0,741.0,741.0,741.0,1215000,1500,1,731.0,741.0,1395-12-23
2017-03-18,666.0,666.0,666.0,666.0,6196500,8500,2,741.0,666.0,1395-12-28
2017-04-12,703.0,703.0,703.0,703.0,5390690,7010,1,666.0,703.0,1396-01-23
2017-04-15,741.0,741.0,741.0,741.0,1620000,2000,1,703.0,741.0,1396-01-26
2017-05-28,813.0,814.0,813.0,814.0,40051000,45009,2,741.0,814.0,1396-03-07
2017-06-06,895.0,895.0,895.0,895.0,10777811,11009,3,814.0,895.0,1396-03-16
2017-06-07,984.0,984.0,984.0,984.0,16140000,15000,1,895.0,984.0,1396-03-17
2017-06-10,1082.0,1082.0,1082.0,1082.0,21265608,17976,12,984.0,1082.0,1396-03-20
2017-06-18,1189.0,1189.0,1189.0,1189.0,10408000,8000,2,1082.0,1189.0,1396-03-28
2017-06-19,1308.0,1308.0,1308.0,1308.0,21390588,14948,2,1189.0,1308.0,1396-03-29
2017-07-18,1439.0,1439.0,1439.0,1439.0,6385718,4057,3,1308.0,1439.0,1396-04-27
2017-08-06,1583.0,1583.0,1583.0,1583.0,831504850,528275,42,1439.0,1583.0,1396-05-15
2017-08-14,1741.0,1741.0,1741.0,1741.0,103686900,59900,3,1583.0,1741.0,1396-05-23
2017-08-16,1915.0,1915.0,1915.0,1915.0,169398880,88970,4,1741.0,1915.0,1396-05-25
2017-08-20,2106.0,2106.0,2106.0,2106.0,6880486140,3285810,175,1915.0,2106.0,1396-05-29
2017-08-21,2308.0,2308.0,1933.0,2121.0,4379674811,2076878,183,2106.0,2011.0,1396-05-30
2017-08-22,1952.0,2112.0,1914.0,2032.0,1574021702,778795,127,2121.0,2013.0,1396-05-31
2017-08-23,2041.0,2154.0,1901.0,2023.0,2515375571,1250025,145,2032.0,1943.0,1396-06-01
2017-08-26,1861.0,1981.0,1826.0,1856.0,1133300116,613989,81,2023.0,1836.0,1396-06-04
2017-08-27,1743.0,1941.0,1742.0,1816.0,875886868,485118,148,1856.0,1794.0,1396-06-05
2017-08-28,1880.0,1997.0,1880.0,1981.0,870227512,441726,62,1816.0,1997.0,1396-06-06
2017-08-29,2051.0,2151.0,1961.0,2091.0,6917260308,3326815,188,1981.0,2151.0,1396-06-07
2017-08-30,2159.0,2298.0,2122.0,2183.0,3065005968,1411778,163,2091.0,2211.0,1396-06-08
2017-09-02,2299.0,2392.0,2173.0,2297.0,2466151885,1079700,180,2183.0,2197.0,1396-06-11
2017-09-03,2300.0,2300.0,2067.0,2128.0,3531247270,1668723,168,2297.0,2067.0,1396-06-12
