date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-01-07,2815.0,2815.0,2815.0,2815.0,49909575000,16918500,14964,954.0,2815.0,1392-10-17
2014-01-08,2955.0,2955.0,2955.0,2955.0,306655649,99017,67,2815.0,2955.0,1392-10-18
2014-01-11,3102.0,3102.0,3102.0,3102.0,52094024,16024,50,2955.0,3102.0,1392-10-21
2014-01-12,3256.0,3256.0,3256.0,3256.0,10842903046,3176942,957,3102.0,3256.0,1392-10-22
2014-01-13,3419.0,3419.0,3419.0,3419.0,7268534711,2028617,466,3256.0,3419.0,1392-10-23
2014-01-14,3589.0,3589.0,3589.0,3589.0,7731564588,2055174,499,3419.0,3589.0,1392-10-24
2014-01-15,3769.0,3769.0,3769.0,3769.0,4825564900,1221662,344,3589.0,3769.0,1392-10-25
2014-01-18,3957.0,3957.0,3957.0,3957.0,199255056,48048,97,3769.0,3957.0,1392-10-28
2014-01-20,4154.0,4154.0,4154.0,4154.0,21142418794,4855861,2717,3957.0,4154.0,1392-10-30
2014-01-21,4342.0,4361.0,4150.0,4319.0,91286678248,20166650,15151,4154.0,4246.0,1392-11-01
2014-01-22,4196.0,4196.0,4104.0,4129.0,7280184063,1682297,1277,4319.0,4104.0,1392-11-02
2014-01-25,3923.0,4007.0,3923.0,3924.0,14003745357,3404752,2130,4129.0,3923.0,1392-11-05
2014-01-26,3729.0,3902.0,3729.0,3751.0,18721143521,4762502,4465,3924.0,3729.0,1392-11-06
2014-01-27,3684.0,3938.0,3684.0,3912.0,13389508993,3266118,2289,3751.0,3938.0,1392-11-07
2014-01-28,4108.0,4108.0,4108.0,4108.0,1014283830,235606,162,3912.0,4108.0,1392-11-08
2014-01-29,4313.0,4313.0,4313.0,4313.0,687501040,152102,127,4108.0,4313.0,1392-11-09
2014-02-01,4528.0,4528.0,4528.0,4528.0,507589446,106951,135,4313.0,4528.0,1392-11-12
2014-02-02,4754.0,4754.0,4341.0,4731.0,35560282756,7172115,2492,4528.0,4754.0,1392-11-13
2014-02-03,4866.0,4966.0,4731.0,4918.0,42561982327,8258704,3332,4731.0,4966.0,1392-11-14
2014-02-04,5163.0,5163.0,5163.0,5163.0,1849360758,341778,139,4918.0,5163.0,1392-11-15
2014-02-05,5420.0,5420.0,5163.0,5398.0,75814730649,13399443,5837,5163.0,5248.0,1392-11-16
2014-02-08,5129.0,5129.0,5129.0,5129.0,1834382592,341217,137,5398.0,5129.0,1392-11-19
2014-02-09,4874.0,5047.0,4874.0,4896.0,43363279058,8450466,9416,5129.0,4874.0,1392-11-20
2014-02-10,4934.0,5140.0,4780.0,4998.0,24425948041,4663073,3117,4896.0,4903.0,1392-11-21
2014-02-12,4771.0,4847.0,4749.0,4756.0,3686874485,739551,449,4998.0,4749.0,1392-11-23
2014-02-23,5367.0,5624.0,5258.0,5488.0,17203295343,2990619,1635,4756.0,5486.0,1392-12-04
2014-02-24,5534.0,5762.0,5487.0,5685.0,19068761925,3200587,1749,5488.0,5762.0,1392-12-05
2014-02-25,5830.0,5968.0,5753.0,5957.0,21404664636,3428795,1420,5685.0,5968.0,1392-12-06
2014-02-26,6059.0,6254.0,6013.0,6216.0,11397479598,1749364,938,5957.0,6254.0,1392-12-07
2014-03-01,6526.0,6526.0,6526.0,6526.0,2355449760,344364,147,6216.0,6526.0,1392-12-10
2014-03-02,6853.0,6853.0,6853.0,6853.0,1352104866,188263,124,6526.0,6853.0,1392-12-11
2014-03-03,7195.0,7195.0,7195.0,7195.0,29576088558,3922038,1468,6853.0,7195.0,1392-12-12
2014-03-04,6835.0,7555.0,6835.0,7205.0,67061712018,8881633,4405,7195.0,7215.0,1392-12-13
2014-03-05,7328.0,7564.0,7318.0,7524.0,19580838895,2482958,1496,7205.0,7523.0,1392-12-14
2014-03-08,7614.0,7805.0,7148.0,7379.0,15571276789,2013377,1289,7524.0,7148.0,1392-12-17
2014-03-09,7011.0,7011.0,7011.0,7011.0,797706228,108561,49,7379.0,7011.0,1392-12-18
2014-03-10,6661.0,6661.0,6661.0,6661.0,178950954,25634,27,7011.0,6661.0,1392-12-19
2014-03-11,6328.0,6328.0,6328.0,6328.0,226641968,34174,20,6661.0,6328.0,1392-12-20
2014-03-12,6012.0,6389.0,6012.0,6101.0,26472949848,4140197,2205,6328.0,6109.0,1392-12-21
2014-03-15,6295.0,6405.0,6204.0,6373.0,5485748111,821353,522,6101.0,6405.0,1392-12-24
2014-03-16,6690.0,6690.0,6393.0,6669.0,17449096729,2496413,1808,6373.0,6690.0,1392-12-25
2014-03-17,6897.0,7002.0,6727.0,6958.0,7595503932,1041456,692,6669.0,7002.0,1392-12-26
2014-03-18,7061.0,7306.0,6611.0,6853.0,27382307515,3812215,1875,6958.0,6611.0,1392-12-27
2014-03-19,6511.0,6676.0,6511.0,6525.0,17607411771,2574459,1765,6853.0,6511.0,1392-12-28
2014-03-25,6526.0,6526.0,6200.0,6234.0,13116465418,2007317,1053,6525.0,6200.0,1393-01-05
2014-03-26,6083.0,6545.0,6083.0,6493.0,12216675011,1795198,930,6234.0,6545.0,1393-01-06
2014-03-29,6631.0,6671.0,6168.0,6333.0,9461833827,1425531,924,6493.0,6184.0,1393-01-09
2014-03-30,6107.0,6612.0,6107.0,6489.0,9093228862,1337016,814,6333.0,6574.0,1393-01-10
2014-03-31,6564.0,6593.0,6250.0,6355.0,13632290799,2046709,1145,6489.0,6297.0,1393-01-11
2014-04-05,6355.0,6355.0,6045.0,6127.0,10864802123,1691696,1448,6355.0,6145.0,1393-01-16
2014-04-06,6098.0,6105.0,5821.0,5880.0,11632703748,1887629,1314,6127.0,5849.0,1393-01-17
2014-04-07,5820.0,6174.0,5754.0,6133.0,13579406877,2112450,1163,5880.0,6174.0,1393-01-18
2014-04-08,6269.0,6295.0,5921.0,6060.0,9448123839,1487585,977,6133.0,5968.0,1393-01-19
2014-04-09,6087.0,6087.0,5820.0,5887.0,4500783748,729484,541,6060.0,5896.0,1393-01-20
2014-04-12,5824.0,5841.0,5593.0,5628.0,7555368646,1280867,824,5887.0,5593.0,1393-01-23
2014-04-13,5419.0,5820.0,5348.0,5463.0,4705173560,821720,479,5628.0,5348.0,1393-01-24
2014-04-14,5257.0,5629.0,5190.0,5269.0,9710084799,1758494,850,5463.0,5190.0,1393-01-25
2014-04-15,5257.0,5532.0,5200.0,5453.0,18573152587,3249870,1651,5269.0,5532.0,1393-01-26
2014-04-16,5610.0,5725.0,5534.0,5722.0,10329654279,1722596,671,5453.0,5725.0,1393-01-27
2014-04-19,5802.0,5916.0,5437.0,5533.0,6117643992,1054989,665,5722.0,5458.0,1393-01-30
2014-04-20,5724.0,5809.0,5629.0,5788.0,3860330049,636336,402,5533.0,5809.0,1393-01-31
2014-04-21,6077.0,6077.0,5963.0,6073.0,4604622778,723435,313,5788.0,6077.0,1393-02-01
2014-04-22,6376.0,6376.0,6204.0,6354.0,24224835455,3637873,1692,6073.0,6376.0,1393-02-02
2014-04-23,6488.0,6583.0,6211.0,6461.0,13054657020,1927606,1024,6354.0,6393.0,1393-02-03
2014-04-26,6489.0,6784.0,6489.0,6758.0,10251420258,1447292,863,6461.0,6784.0,1393-02-06
2014-04-27,6965.0,6965.0,6440.0,6680.0,14749621340,2106904,1386,6758.0,6564.0,1393-02-07
2014-04-28,6630.0,6698.0,6474.0,6583.0,6303091064,913602,580,6680.0,6517.0,1393-02-08
2014-04-29,6583.0,6727.0,6459.0,6603.0,5330944832,770360,476,6583.0,6488.0,1393-02-09
2014-04-30,6593.0,6784.0,6381.0,6634.0,6995302318,1006058,515,6603.0,6583.0,1393-02-10
2014-05-03,6630.0,6727.0,6440.0,6582.0,3258526637,472375,348,6634.0,6469.0,1393-02-13
2014-05-04,6393.0,6394.0,6253.0,6285.0,3572256153,542337,302,6582.0,6345.0,1393-02-14
2014-05-05,6125.0,6599.0,6125.0,6547.0,6750075839,983759,506,6285.0,6488.0,1393-02-15
2014-05-06,6679.0,6727.0,6462.0,6608.0,2351949538,339576,257,6547.0,6488.0,1393-02-16
2014-05-07,6345.0,6629.0,6345.0,6528.0,2594036184,379156,311,6608.0,6515.0,1393-02-17
2014-05-10,6630.0,6630.0,6202.0,6306.0,2814291100,425856,250,6528.0,6280.0,1393-02-20
2014-05-11,6259.0,6536.0,6207.0,6447.0,2394494999,354382,277,6306.0,6465.0,1393-02-21
2014-05-12,6549.0,6549.0,6205.0,6380.0,2282663140,341367,226,6447.0,6232.0,1393-02-22
2014-05-14,6213.0,6374.0,6106.0,6189.0,3006346351,463467,313,6380.0,6154.0,1393-02-24
2014-05-17,6031.0,6039.0,5887.0,5941.0,2422087326,388964,301,6189.0,5962.0,1393-02-27
2014-05-18,5896.0,6135.0,5896.0,6028.0,2716469364,429941,312,5941.0,6086.0,1393-02-28
2014-05-19,6135.0,6135.0,5782.0,5905.0,4271760282,690219,404,6028.0,5880.0,1393-02-29
2014-05-20,5839.0,6200.0,5839.0,6162.0,5977526556,925607,421,5905.0,6200.0,1393-02-30
2014-05-21,6345.0,6440.0,6221.0,6347.0,4931478697,741380,402,6162.0,6231.0,1393-02-31
2014-05-24,6213.0,6345.0,6030.0,6212.0,3560400822,546794,278,6347.0,6063.0,1393-03-03
2014-05-25,6202.0,6202.0,5917.0,6044.0,1780642361,281069,177,6212.0,6106.0,1393-03-04
2014-05-26,6012.0,6334.0,6012.0,6202.0,7610833905,1170954,696,6044.0,6072.0,1393-03-05
2014-06-07,6351.0,6549.0,6351.0,6431.0,2477288384,382225,254,6202.0,6387.0,1393-03-17
2014-06-08,6355.0,6361.0,6122.0,6178.0,1423985961,228721,186,6431.0,6141.0,1393-03-18
