date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-27,321.0,322.0,319.0,322.0,17662876,11546,14,321.0,322.0,1380-01-07
2001-03-28,322.0,322.0,322.0,322.0,1534000,1000,1,322.0,322.0,1380-01-08
2001-04-08,322.0,322.0,322.0,322.0,6005610,3915,2,322.0,322.0,1380-01-19
2001-04-10,322.0,322.0,322.0,322.0,4141800,2700,1,322.0,322.0,1380-01-21
2001-04-11,322.0,326.0,322.0,326.0,13006850,8455,4,322.0,326.0,1380-01-22
2001-04-14,337.0,338.0,337.0,338.0,3210560,2000,5,326.0,338.0,1380-01-25
2001-04-15,338.0,338.0,338.0,338.0,48300,30,1,338.0,338.0,1380-01-26
2001-04-16,338.0,338.0,338.0,338.0,885500,550,1,338.0,338.0,1380-01-27
2001-04-17,338.0,338.0,338.0,338.0,643600,400,2,338.0,338.0,1380-01-28
2001-04-21,338.0,338.0,338.0,338.0,3947410,2452,5,338.0,338.0,1380-02-01
2001-04-22,345.0,355.0,345.0,355.0,4682000,2800,8,338.0,355.0,1380-02-02
2001-04-23,355.0,373.0,355.0,373.0,7093620,4098,2,355.0,373.0,1380-02-03
2001-04-29,373.0,373.0,373.0,373.0,14955357,8422,10,373.0,373.0,1380-02-09
2001-04-30,372.0,373.0,372.0,372.0,7835974,4419,5,373.0,372.0,1380-02-10
2001-05-15,368.0,368.0,368.0,368.0,262500,150,2,372.0,368.0,1380-02-25
2001-05-16,368.0,368.0,368.0,368.0,3969000,2268,3,368.0,368.0,1380-02-26
2001-05-20,367.0,367.0,367.0,367.0,5141006,2943,5,368.0,367.0,1380-02-30
2001-05-26,365.0,365.0,365.0,365.0,9542500,5500,7,367.0,365.0,1380-03-05
2001-06-02,294.0,294.0,294.0,294.0,7144200,5103,3,365.0,294.0,1380-03-12
2001-06-03,292.0,292.0,292.0,292.0,11256220,8098,3,294.0,292.0,1380-03-13
2001-06-11,292.0,292.0,292.0,292.0,19820010,14259,8,292.0,292.0,1380-03-21
2001-06-16,292.0,292.0,292.0,292.0,8909900,6410,4,292.0,292.0,1380-03-26
2001-06-17,293.0,293.0,293.0,293.0,1355940,972,2,292.0,293.0,1380-03-27
2001-06-18,292.0,292.0,292.0,292.0,4990100,3590,2,293.0,292.0,1380-03-28
2001-06-20,292.0,292.0,292.0,292.0,2481150,1785,1,292.0,292.0,1380-03-30
2001-06-24,292.0,292.0,292.0,292.0,4007450,2885,5,292.0,292.0,1380-04-03
2001-06-26,292.0,292.0,292.0,292.0,1130070,813,1,292.0,292.0,1380-04-05
2001-06-27,292.0,292.0,292.0,292.0,24741865,17791,9,292.0,292.0,1380-04-06
