date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-09-13,396.0,396.0,396.0,396.0,1140000000000,400000000,104873,139.0,396.0,1396-06-22
2017-09-16,416.0,416.0,416.0,416.0,4805603792,1606151,361,396.0,416.0,1396-06-25
2017-09-17,436.0,436.0,436.0,436.0,5093850789,1621729,344,416.0,436.0,1396-06-26
2017-09-18,458.0,458.0,458.0,458.0,5369599124,1628138,410,436.0,458.0,1396-06-27
2017-09-20,481.0,481.0,481.0,481.0,8183101704,2363692,512,458.0,481.0,1396-06-29
2017-09-23,505.0,505.0,505.0,505.0,11723856450,3225270,586,481.0,505.0,1396-07-01
2017-09-24,530.0,530.0,530.0,530.0,21995130168,5763923,498,505.0,530.0,1396-07-02
2017-09-25,557.0,557.0,557.0,557.0,42378821022,10578837,473,530.0,557.0,1396-07-03
2017-09-26,584.0,584.0,584.0,584.0,46299887742,11008057,519,557.0,584.0,1396-07-04
2017-09-27,613.0,613.0,613.0,613.0,239381189952,54207697,5256,584.0,613.0,1396-07-05
2017-10-02,639.0,644.0,625.0,638.0,1074797189487,234165389,68190,613.0,629.0,1396-07-10
2017-10-03,625.0,637.0,606.0,612.0,419098773045,95084554,29274,638.0,622.0,1396-07-11
2017-10-04,632.0,643.0,628.0,638.0,246291436267,53613786,13169,612.0,643.0,1396-07-12
2017-10-07,647.0,658.0,628.0,640.0,174277270033,37807869,10070,638.0,635.0,1396-07-15
2017-10-08,625.0,626.0,608.0,613.0,138562217209,31412273,7822,640.0,617.0,1396-07-16
2017-10-09,617.0,642.0,613.0,631.0,128011254804,28198096,7802,613.0,638.0,1396-07-17
2017-10-10,645.0,653.0,632.0,645.0,96327811304,20736996,5159,631.0,635.0,1396-07-18
2017-10-11,635.0,636.0,618.0,624.0,56649609075,12605664,3265,645.0,623.0,1396-07-19
2017-10-14,625.0,636.0,622.0,627.0,40470328767,8964434,2272,624.0,624.0,1396-07-22
2017-10-15,623.0,623.0,612.0,616.0,48088284609,10851278,2774,627.0,618.0,1396-07-23
2017-10-16,616.0,632.0,616.0,626.0,43608176690,9679007,2733,616.0,627.0,1396-07-24
2017-10-17,625.0,635.0,616.0,630.0,151374670084,33373458,4610,626.0,627.0,1396-07-25
2017-10-18,625.0,631.0,617.0,620.0,45297905123,10141925,4228,630.0,618.0,1396-07-26
2017-10-21,624.0,624.0,611.0,616.0,34580511342,7798461,2136,620.0,611.0,1396-07-29
2017-10-22,616.0,616.0,611.0,613.0,30975973545,7025310,1776,616.0,612.0,1396-07-30
2017-10-23,617.0,625.0,613.0,617.0,29116417309,6556139,1617,613.0,613.0,1396-08-01
2017-10-24,614.0,643.0,613.0,626.0,256031990762,56797414,5421,617.0,638.0,1396-08-02
2017-10-25,639.0,645.0,632.0,638.0,50171855536,10919593,2475,626.0,633.0,1396-08-03
2017-10-28,657.0,670.0,657.0,666.0,81082937122,16911498,1613,638.0,670.0,1396-08-06
2017-12-05,699.0,699.0,699.0,699.0,201291149982,39986323,736,666.0,699.0,1396-09-14
2017-12-09,734.0,734.0,734.0,734.0,17825987900,3372940,278,699.0,734.0,1396-09-18
2017-12-10,771.0,771.0,771.0,771.0,12567441788,2264812,201,734.0,771.0,1396-09-19
2017-12-11,809.0,809.0,772.0,799.0,966322713366,167946120,16663,771.0,788.0,1396-09-20
2017-12-12,805.0,839.0,793.0,831.0,350634078078,58636608,6101,799.0,839.0,1396-09-21
2018-08-20,814.0,814.0,798.0,802.0,38255101317,6626475,674,831.0,798.0,1397-05-29
2018-08-21,786.0,786.0,786.0,786.0,23775436536,4202092,159,802.0,786.0,1397-05-30
2018-08-25,770.0,770.0,770.0,770.0,23114787190,4168582,127,786.0,770.0,1397-06-03
2018-08-26,755.0,755.0,755.0,755.0,22579174870,4154402,144,770.0,755.0,1397-06-04
2018-08-27,725.0,725.0,725.0,725.0,43255367610,8289645,308,755.0,725.0,1397-06-05
2018-08-28,696.0,696.0,696.0,696.0,45738168750,9129375,428,725.0,696.0,1397-06-06
2018-08-29,671.0,720.0,670.0,692.0,603514163943,121172976,13747,696.0,717.0,1397-06-07
2018-09-01,711.0,713.0,675.0,687.0,207284922761,41933831,6892,692.0,680.0,1397-06-10
2018-09-02,680.0,680.0,659.0,663.0,118381581718,24819584,2345,687.0,659.0,1397-06-11
2018-09-03,658.0,659.0,636.0,642.0,162609018788,35176419,5318,663.0,649.0,1397-06-12
2018-09-04,653.0,662.0,639.0,651.0,73111403407,15607975,3007,642.0,641.0,1397-06-13
2018-09-05,649.0,651.0,625.0,631.0,116928415026,25752968,4707,651.0,625.0,1397-06-14
2018-09-08,636.0,650.0,625.0,640.0,123499746510,26819321,5106,631.0,645.0,1397-06-17
2018-09-09,656.0,656.0,636.0,647.0,99987696924,21472582,4490,640.0,648.0,1397-06-18
2018-09-10,652.0,652.0,640.0,646.0,122396422365,26337723,4334,647.0,640.0,1397-06-19
2018-09-11,644.0,645.0,630.0,637.0,108439736555,23635602,4333,646.0,631.0,1397-06-20
2018-09-12,631.0,660.0,629.0,646.0,166320975361,35753987,6017,637.0,644.0,1397-06-21
2018-09-15,667.0,672.0,660.0,670.0,66960124553,13880402,1114,646.0,672.0,1397-06-24
2018-09-16,697.0,697.0,681.0,696.0,318347277013,63539914,6558,670.0,697.0,1397-06-25
2018-09-17,711.0,724.0,710.0,722.0,138599227186,26669433,3656,696.0,724.0,1397-06-26
2018-09-18,740.0,740.0,704.0,720.0,97475032170,18813289,4012,722.0,715.0,1397-06-27
2018-09-22,722.0,729.0,695.0,706.0,156631445796,30824675,6816,720.0,699.0,1397-06-31
2018-09-23,704.0,725.0,704.0,717.0,152623569690,29586111,4772,706.0,713.0,1397-07-01
2018-09-24,722.0,745.0,717.0,742.0,130455717421,24433171,2148,717.0,745.0,1397-07-02
2018-09-25,771.0,771.0,764.0,771.0,98532662013,17747983,1464,742.0,771.0,1397-07-03
2018-09-26,802.0,802.0,785.0,802.0,204089769149,35365893,3683,771.0,802.0,1397-07-04
2018-09-29,829.0,834.0,799.0,822.0,201366727089,34021400,5107,802.0,834.0,1397-07-07
2018-09-30,849.0,855.0,841.0,855.0,286641636004,46594001,4406,822.0,855.0,1397-07-08
2018-10-01,882.0,882.0,820.0,831.0,202529352514,33853169,4921,855.0,820.0,1397-07-09
2018-10-02,803.0,817.0,798.0,799.0,69410015024,12067189,1277,831.0,798.0,1397-07-10
2018-10-03,767.0,783.0,767.0,768.0,127362512133,23044660,2340,799.0,767.0,1397-07-11
2018-10-06,752.0,798.0,737.0,758.0,101949032570,18686897,2398,768.0,737.0,1397-07-14
2018-10-07,728.0,728.0,728.0,728.0,39825126503,7603107,696,758.0,728.0,1397-07-15
2018-10-08,699.0,721.0,699.0,702.0,158738375451,31397476,3472,728.0,709.0,1397-07-16
2018-10-09,711.0,730.0,682.0,725.0,116763029527,22383230,2243,702.0,716.0,1397-07-17
2018-10-10,725.0,754.0,725.0,750.0,151063103928,27982732,2010,725.0,754.0,1397-07-18
2018-10-13,780.0,780.0,757.0,778.0,463598593471,82752261,4874,750.0,769.0,1397-07-21
2018-10-14,755.0,802.0,754.0,765.0,24359609849,4423296,582,778.0,773.0,1397-07-22
2018-10-15,785.0,796.0,778.0,794.0,74602066167,13048803,1471,765.0,796.0,1397-07-23
2018-10-16,826.0,826.0,815.0,826.0,290572930750,48877090,1585,794.0,826.0,1397-07-24
2018-10-17,854.0,859.0,827.0,857.0,519708122739,84265099,3683,826.0,859.0,1397-07-25
2018-10-20,891.0,891.0,876.0,891.0,462764423212,72187577,3584,857.0,882.0,1397-07-28
2018-10-21,861.0,867.0,855.0,856.0,468195563147,75984151,4828,891.0,859.0,1397-07-29
2018-10-22,864.0,875.0,834.0,861.0,180746479706,29163553,3139,856.0,861.0,1397-07-30
2018-10-23,867.0,872.0,827.0,832.0,152821014054,25530912,2607,861.0,827.0,1397-08-01
2018-10-24,834.0,834.0,798.0,803.0,220966603884,38219840,2069,832.0,798.0,1397-08-02
2018-10-27,778.0,799.0,771.0,774.0,129454534203,23221312,1890,803.0,771.0,1397-08-05
2018-10-28,773.0,805.0,767.0,795.0,72826621732,12720803,1627,774.0,805.0,1397-08-06
2018-10-29,820.0,822.0,784.0,800.0,60599212804,10520988,1502,795.0,789.0,1397-08-07
2018-10-31,797.0,832.0,786.0,822.0,113720112261,19222961,2278,800.0,832.0,1397-08-09
2018-11-03,843.0,855.0,822.0,852.0,192788912086,31442865,3025,822.0,853.0,1397-08-12
2018-11-04,853.0,853.0,818.0,828.0,96293124250,16161584,1990,852.0,825.0,1397-08-13
2018-11-05,821.0,849.0,821.0,840.0,43814335827,7242989,1170,828.0,846.0,1397-08-14
2018-11-06,846.0,874.0,836.0,869.0,240216871092,38398531,3035,840.0,874.0,1397-08-15
2018-11-10,888.0,904.0,879.0,901.0,253385869349,39070961,3714,869.0,904.0,1397-08-19
2018-11-11,917.0,936.0,881.0,920.0,161551673355,24384291,3435,901.0,928.0,1397-08-20
2018-11-12,930.0,957.0,917.0,952.0,127591116987,18621445,1642,920.0,957.0,1397-08-21
2018-11-13,990.0,990.0,953.0,988.0,403267029753,56677034,4220,952.0,973.0,1397-08-22
2018-11-14,972.0,1000.0,949.0,976.0,165518252561,23560127,3217,988.0,976.0,1397-08-23
2018-11-17,976.0,1000.0,947.0,967.0,115428745548,16590387,2679,976.0,965.0,1397-08-26
2018-11-18,972.0,979.0,928.0,933.0,263337724197,39214883,3426,967.0,928.0,1397-08-27
2018-11-19,934.0,968.0,927.0,943.0,116430184595,17158837,2128,933.0,935.0,1397-08-28
2018-11-20,938.0,951.0,931.0,939.0,72333881377,10705207,1460,943.0,931.0,1397-08-29
2018-11-21,937.0,971.0,936.0,957.0,92202402674,13383447,1678,939.0,958.0,1397-08-30
2018-11-24,957.0,995.0,957.0,989.0,145549838561,20438037,2511,957.0,995.0,1397-09-03
2018-11-26,1007.0,1026.0,985.0,1000.0,164485505249,22856054,2618,989.0,986.0,1397-09-05
2018-11-27,996.0,997.0,972.0,983.0,162229984506,22920506,2393,1000.0,986.0,1397-09-06
2018-11-28,986.0,993.0,948.0,970.0,125975200993,18046092,1768,983.0,963.0,1397-09-07
2018-12-01,966.0,966.0,931.0,935.0,147997975592,21993775,1237,970.0,931.0,1397-09-10
2018-12-02,920.0,945.0,898.0,924.0,87348149279,13139382,2307,935.0,918.0,1397-09-11
2018-12-03,929.0,929.0,903.0,918.0,88718119985,13432489,1738,924.0,914.0,1397-09-12
2018-12-04,908.0,945.0,893.0,919.0,104964953673,15865868,2021,918.0,936.0,1397-09-13
2018-12-05,943.0,956.0,936.0,954.0,87507494725,12744720,1310,919.0,956.0,1397-09-14
