date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-10-20,400.0,400.0,400.0,400.0,2820810000,2256648,25,320.0,400.0,1392-07-28
2013-11-11,400.0,400.0,400.0,400.0,68135000,54508,17,400.0,400.0,1392-08-20
2013-11-12,400.0,400.0,400.0,400.0,825000,660,1,400.0,400.0,1392-08-21
2013-11-30,400.0,400.0,400.0,400.0,56575000,45260,18,400.0,400.0,1392-09-09
2013-12-11,400.0,400.0,400.0,400.0,11820000,9456,3,400.0,400.0,1392-09-20
2013-12-25,400.0,400.0,400.0,400.0,7425000,5940,4,400.0,400.0,1392-10-04
2013-12-30,400.0,416.0,400.0,401.0,18797308,15014,7,400.0,401.0,1392-10-09
2014-01-04,426.0,426.0,400.0,409.0,2877670,2251,2,401.0,400.0,1392-10-14
2014-01-05,416.0,416.0,416.0,416.0,3125200,2404,1,409.0,416.0,1392-10-15
2014-01-13,400.0,528.0,400.0,407.0,50608000,39804,23,416.0,480.0,1392-10-23
2014-01-21,403.0,480.0,400.0,403.0,41268786,32796,10,407.0,480.0,1392-11-01
2014-01-29,400.0,407.0,400.0,402.0,9121865,7267,3,403.0,407.0,1392-11-09
2014-02-01,480.0,480.0,480.0,480.0,5196000,3464,1,402.0,480.0,1392-11-12
2014-02-02,410.0,410.0,410.0,410.0,7040000,5500,1,480.0,410.0,1392-11-13
2014-02-03,407.0,407.0,407.0,407.0,2684352,2112,2,410.0,407.0,1392-11-14
2014-02-08,410.0,410.0,407.0,407.0,5378868,4224,4,407.0,407.0,1392-11-19
2014-02-18,410.0,480.0,400.0,409.0,36000490,28183,12,407.0,413.0,1392-11-29
2014-02-23,432.0,432.0,416.0,426.0,15378000,11550,3,409.0,416.0,1392-12-04
2014-03-02,413.0,426.0,407.0,410.0,22186920,17300,14,426.0,413.0,1392-12-11
2014-03-04,413.0,413.0,413.0,413.0,1193808,924,1,410.0,413.0,1392-12-13
2014-03-05,413.0,413.0,413.0,413.0,5969040,4620,2,413.0,413.0,1392-12-14
2014-03-09,413.0,413.0,413.0,413.0,6992304,5412,4,413.0,413.0,1392-12-18
2014-03-10,414.0,414.0,414.0,414.0,10240560,7920,1,413.0,414.0,1392-12-19
2014-03-11,413.0,413.0,413.0,413.0,8540120,6610,1,414.0,413.0,1392-12-20
2014-03-18,413.0,413.0,407.0,411.0,12063128,9394,5,413.0,407.0,1392-12-27
2014-03-30,416.0,416.0,416.0,416.0,21450000,16500,2,411.0,416.0,1393-01-10
2014-04-05,416.0,416.0,416.0,416.0,2335295,1795,1,416.0,416.0,1393-01-16
2014-04-06,416.0,416.0,416.0,416.0,14248000,10960,6,416.0,416.0,1393-01-17
2014-04-08,416.0,416.0,416.0,416.0,29338409,22568,5,416.0,416.0,1393-01-19
2014-04-09,413.0,413.0,400.0,405.0,2003916,1584,3,416.0,400.0,1393-01-20
2014-04-12,400.0,400.0,397.0,400.0,70882321,56689,6,405.0,397.0,1393-01-23
2014-04-13,397.0,397.0,397.0,397.0,1299520,1048,1,400.0,397.0,1393-01-24
2014-04-14,397.0,397.0,397.0,397.0,1101120,888,2,397.0,397.0,1393-01-25
2014-04-16,397.0,397.0,397.0,397.0,5237760,4224,1,397.0,397.0,1393-01-27
2014-04-19,397.0,397.0,397.0,397.0,1582240,1276,2,397.0,397.0,1393-01-30
2014-04-20,397.0,397.0,397.0,397.0,19832560,15994,6,397.0,397.0,1393-01-31
2014-04-21,397.0,397.0,397.0,397.0,5250160,4234,2,397.0,397.0,1393-02-01
2014-04-26,396.0,396.0,396.0,396.0,981288,792,1,397.0,396.0,1393-02-06
2014-04-29,416.0,416.0,397.0,400.0,6570983,5263,4,396.0,397.0,1393-02-09
2014-04-30,397.0,397.0,397.0,397.0,1087116,876,1,400.0,397.0,1393-02-10
2014-05-04,398.0,398.0,398.0,398.0,5250432,4224,2,397.0,398.0,1393-02-14
2014-05-05,426.0,426.0,426.0,426.0,527076,396,1,398.0,426.0,1393-02-15
2014-05-06,445.0,479.0,445.0,470.0,32170224,21891,4,426.0,479.0,1393-02-16
2014-05-07,480.0,480.0,426.0,477.0,129543940,86946,12,470.0,426.0,1393-02-17
2014-05-10,640.0,640.0,464.0,628.0,113185725,57664,8,477.0,464.0,1393-02-20
2014-05-12,640.0,768.0,576.0,741.0,158806062,68611,9,628.0,768.0,1393-02-22
2014-05-24,803.0,816.0,672.0,798.0,201665710,80875,15,741.0,672.0,1393-03-03
2014-05-25,803.0,803.0,640.0,652.0,2688148,1320,2,798.0,640.0,1393-03-04
2014-05-26,650.0,800.0,640.0,756.0,125342604,53054,19,652.0,800.0,1393-03-05
2014-06-10,664.0,664.0,577.0,583.0,15806160,9000,4,756.0,577.0,1393-03-20
2014-06-11,581.0,581.0,494.0,554.0,18042900,10800,3,583.0,494.0,1393-03-21
2014-06-14,494.0,494.0,494.0,494.0,19162464,12878,6,554.0,494.0,1393-03-24
2014-06-15,494.0,494.0,494.0,494.0,6380544,4288,3,494.0,494.0,1393-03-25
2014-06-16,494.0,494.0,494.0,494.0,3584592,2409,2,494.0,494.0,1393-03-26
2014-06-17,494.0,494.0,494.0,494.0,2258784,1518,2,494.0,494.0,1393-03-27
2014-06-21,494.0,494.0,494.0,494.0,1276704,858,1,494.0,494.0,1393-03-31
2014-06-22,494.0,494.0,494.0,494.0,2160576,1452,1,494.0,494.0,1393-04-01
2014-06-23,494.0,494.0,494.0,494.0,4664880,3135,2,494.0,494.0,1393-04-02
2014-06-25,494.0,494.0,494.0,494.0,19641600,13200,1,494.0,494.0,1393-04-04
2014-06-29,449.0,449.0,449.0,449.0,17981600,13300,2,494.0,449.0,1393-04-08
2014-06-30,581.0,581.0,581.0,581.0,42959000,24548,2,449.0,581.0,1393-04-09
2014-07-05,449.0,449.0,449.0,449.0,4461600,3300,1,581.0,449.0,1393-04-14
2014-07-06,449.0,449.0,449.0,449.0,3390816,2508,2,449.0,449.0,1393-04-15
2014-07-12,451.0,451.0,448.0,450.0,21181747,15635,6,449.0,448.0,1393-04-21
2014-07-13,421.0,428.0,416.0,421.0,4439050,3498,3,450.0,416.0,1393-04-22
2014-07-14,422.0,422.0,416.0,420.0,20779090,16408,3,421.0,421.0,1393-04-23
2014-07-15,411.0,411.0,411.0,411.0,579080,467,1,420.0,411.0,1393-04-24
2014-07-23,411.0,411.0,347.0,351.0,2941745,2777,4,411.0,347.0,1393-05-01
2014-07-27,347.0,416.0,347.0,410.0,68244200,55171,8,351.0,416.0,1393-05-05
2014-07-28,425.0,425.0,425.0,425.0,7349760,5742,3,410.0,425.0,1393-05-06
2014-08-03,365.0,365.0,359.0,365.0,12219084,11102,3,425.0,359.0,1393-05-12
2014-08-05,365.0,431.0,365.0,424.0,16841992,13168,4,365.0,382.0,1393-05-14
2014-08-06,392.0,392.0,392.0,392.0,389400,330,1,424.0,392.0,1393-05-15
2014-08-10,431.0,431.0,431.0,431.0,27266200,20974,1,392.0,431.0,1393-05-19
2014-08-11,392.0,392.0,392.0,392.0,5841000,4950,1,431.0,392.0,1393-05-20
2014-08-12,398.0,415.0,398.0,403.0,16137000,13266,3,392.0,415.0,1393-05-21
2014-08-18,399.0,399.0,398.0,398.0,44860901,37361,5,403.0,399.0,1393-05-27
2014-08-19,398.0,398.0,398.0,398.0,1752000,1460,4,398.0,398.0,1393-05-28
2014-08-23,399.0,405.0,399.0,400.0,15287607,12677,3,398.0,400.0,1393-06-01
2014-08-24,403.0,405.0,403.0,404.0,2392863,1963,2,400.0,405.0,1393-06-02
2014-08-25,402.0,484.0,402.0,409.0,16762298,13606,4,404.0,484.0,1393-06-03
2014-08-27,406.0,407.0,406.0,406.0,3596180,2938,2,409.0,407.0,1393-06-05
2014-08-30,407.0,407.0,407.0,407.0,2427480,1980,3,406.0,407.0,1393-06-08
2014-08-31,407.0,407.0,407.0,407.0,4904000,4000,1,407.0,407.0,1393-06-09
2014-09-03,415.0,415.0,415.0,415.0,3022128,2415,2,407.0,415.0,1393-06-12
2014-09-07,465.0,465.0,416.0,431.0,6167700,4752,2,415.0,416.0,1393-06-16
2014-09-08,465.0,465.0,416.0,422.0,2878540,2264,2,431.0,416.0,1393-06-17
2014-09-09,417.0,465.0,417.0,445.0,2191828,1636,3,422.0,465.0,1393-06-18
2014-09-10,424.0,425.0,424.0,424.0,4428772,3464,3,445.0,425.0,1393-06-19
2014-09-13,465.0,465.0,465.0,465.0,8981000,6415,1,424.0,465.0,1393-06-22
2014-09-14,438.0,461.0,438.0,451.0,10449412,7696,5,465.0,458.0,1393-06-23
2014-09-15,441.0,441.0,422.0,427.0,7298148,5676,2,451.0,422.0,1393-06-24
2014-09-16,443.0,443.0,443.0,443.0,142404400,106600,3,427.0,443.0,1393-06-25
2014-09-17,444.0,445.0,444.0,444.0,32562692,24328,3,443.0,445.0,1393-06-26
2014-09-20,446.0,447.0,446.0,446.0,5770182,4290,4,444.0,447.0,1393-06-29
2014-09-21,428.0,428.0,428.0,428.0,1651200,1280,1,446.0,428.0,1393-06-30
2014-09-22,428.0,428.0,428.0,428.0,1873080,1452,1,428.0,428.0,1393-06-31
2014-09-23,438.0,438.0,429.0,437.0,18292296,13904,4,428.0,438.0,1393-07-01
2014-09-27,435.0,435.0,435.0,435.0,1685970,1287,2,437.0,435.0,1393-07-05
2014-09-28,435.0,435.0,435.0,435.0,2973700,2270,2,435.0,435.0,1393-07-06
