date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2008-01-06,40.0,40.0,40.0,40.0,687452226300,185797899,4249,40.0,40.0,1386-10-16
2008-01-08,40.0,40.0,40.0,40.0,6779351483,1815487,347,40.0,40.0,1386-10-18
2008-01-09,40.0,41.0,40.0,40.0,14411105272,3872618,538,40.0,40.0,1386-10-19
2008-01-12,40.0,40.0,40.0,40.0,46105764817,12459831,1004,40.0,40.0,1386-10-22
2008-01-13,40.0,40.0,40.0,40.0,19890262587,5285821,598,40.0,40.0,1386-10-23
2008-01-14,41.0,41.0,41.0,41.0,13181710647,3436056,323,40.0,41.0,1386-10-24
2008-01-15,42.0,42.0,41.0,41.0,287609510,73520,24,41.0,41.0,1386-10-25
2008-01-16,42.0,42.0,42.0,42.0,40919071050,10451870,654,41.0,42.0,1386-10-26
2008-01-20,41.0,43.0,41.0,43.0,59018190560,14860553,1109,42.0,43.0,1386-10-30
2008-01-21,43.0,43.0,43.0,43.0,55683934223,13761796,878,43.0,43.0,1386-11-01
2008-01-22,43.0,44.0,43.0,43.0,28868176132,7141680,886,43.0,43.0,1386-11-02
2008-01-23,43.0,43.0,43.0,43.0,32661415916,8126175,947,43.0,43.0,1386-11-03
2008-01-26,43.0,43.0,42.0,42.0,27902918655,7045933,748,43.0,42.0,1386-11-06
2008-01-27,42.0,42.0,42.0,42.0,17037042395,4381756,508,42.0,42.0,1386-11-07
2008-01-28,43.0,43.0,42.0,42.0,22701697033,5728301,390,42.0,42.0,1386-11-08
2008-01-29,43.0,43.0,42.0,42.0,7609169250,1934186,223,42.0,42.0,1386-11-09
2008-01-30,42.0,43.0,42.0,43.0,16314367162,4082939,372,42.0,43.0,1386-11-10
2008-02-02,44.0,44.0,44.0,44.0,9089354736,2231064,155,43.0,44.0,1386-11-13
2008-02-03,43.0,43.0,43.0,43.0,12491425673,3128331,133,44.0,43.0,1386-11-14
2008-02-04,42.0,44.0,42.0,42.0,20847180188,5281212,541,43.0,42.0,1386-11-15
2008-02-05,43.0,43.0,42.0,43.0,6137446192,1537688,211,42.0,43.0,1386-11-16
2008-02-06,44.0,44.0,42.0,43.0,13139655588,3304639,354,43.0,43.0,1386-11-17
2008-02-09,43.0,43.0,42.0,42.0,1990746614,508416,72,43.0,42.0,1386-11-20
2008-02-10,42.0,42.0,42.0,42.0,667851635,171905,22,42.0,42.0,1386-11-21
2008-02-12,42.0,42.0,42.0,42.0,144415143,37249,8,42.0,42.0,1386-11-23
2008-02-13,42.0,42.0,42.0,42.0,491649105,126877,15,42.0,42.0,1386-11-24
2008-02-16,41.0,42.0,41.0,42.0,568921670,147008,19,42.0,42.0,1386-11-27
2008-02-17,41.0,42.0,41.0,42.0,118529199,30683,8,42.0,42.0,1386-11-28
2008-02-18,41.0,42.0,41.0,42.0,463479340,120010,9,42.0,42.0,1386-11-29
2008-02-19,41.0,42.0,41.0,41.0,17750579470,4590416,426,42.0,41.0,1386-11-30
2008-02-20,42.0,42.0,41.0,41.0,6811917261,1761187,141,41.0,41.0,1386-12-01
2008-02-23,42.0,42.0,42.0,42.0,8048612338,2055237,225,41.0,42.0,1386-12-04
2008-02-24,42.0,43.0,42.0,42.0,4119299879,1056162,136,42.0,42.0,1386-12-05
2008-02-25,42.0,43.0,42.0,42.0,21760547221,5518300,158,42.0,42.0,1386-12-06
2008-02-26,42.0,42.0,41.0,42.0,8606876774,2212385,214,42.0,42.0,1386-12-07
2008-02-27,42.0,42.0,41.0,41.0,2420739654,631370,118,42.0,41.0,1386-12-08
2008-03-01,41.0,41.0,41.0,41.0,4660115103,1229238,111,41.0,41.0,1386-12-11
2008-03-02,41.0,41.0,41.0,41.0,4456255252,1170276,112,41.0,41.0,1386-12-12
2008-03-03,42.0,42.0,41.0,41.0,4013343107,1033509,101,41.0,41.0,1386-12-13
2008-03-04,42.0,42.0,41.0,41.0,1831120515,474339,93,41.0,41.0,1386-12-14
2008-03-05,41.0,42.0,41.0,42.0,6296756975,1603279,181,41.0,42.0,1386-12-15
2008-03-09,43.0,43.0,43.0,43.0,7350085145,1835231,164,42.0,43.0,1386-12-19
2008-03-10,44.0,44.0,43.0,44.0,38252856072,9371204,646,43.0,44.0,1386-12-20
2008-03-11,43.0,43.0,43.0,43.0,6379622518,1591808,155,44.0,43.0,1386-12-21
2008-03-12,43.0,43.0,43.0,43.0,2347334077,584948,98,43.0,43.0,1386-12-22
2008-03-15,43.0,43.0,43.0,43.0,3919967425,973903,110,43.0,43.0,1386-12-25
2008-03-16,43.0,43.0,43.0,43.0,5215395858,1296552,180,43.0,43.0,1386-12-26
2008-03-17,44.0,44.0,43.0,44.0,12864059865,3156314,287,43.0,44.0,1386-12-27
2008-03-18,44.0,45.0,40.0,45.0,164099725715,43874692,4918,44.0,45.0,1386-12-28
2008-03-24,45.0,45.0,44.0,45.0,247500018,59827,15,45.0,45.0,1387-01-05
2008-03-26,44.0,45.0,44.0,45.0,1718603848,409715,92,45.0,45.0,1387-01-07
2008-03-29,45.0,45.0,45.0,45.0,527876300,125941,24,45.0,45.0,1387-01-10
2008-03-30,45.0,45.0,45.0,45.0,1026208553,244178,71,45.0,45.0,1387-01-11
2008-04-02,45.0,46.0,45.0,45.0,3856711933,907422,108,45.0,45.0,1387-01-14
2008-04-05,46.0,46.0,45.0,46.0,7937842411,1857458,243,45.0,46.0,1387-01-17
2008-04-06,46.0,47.0,46.0,47.0,12073139024,2774408,379,46.0,47.0,1387-01-18
2008-04-07,47.0,48.0,47.0,47.0,8446497866,1917869,269,47.0,47.0,1387-01-19
2008-04-08,47.0,47.0,46.0,46.0,5171850764,1198023,95,47.0,46.0,1387-01-20
2008-04-09,46.0,46.0,46.0,46.0,13604753368,3197412,247,46.0,46.0,1387-01-21
2008-04-12,45.0,45.0,45.0,45.0,2358962577,564828,78,46.0,45.0,1387-01-24
2008-04-13,44.0,45.0,44.0,45.0,283711232,68496,12,45.0,45.0,1387-01-25
2008-04-14,44.0,45.0,44.0,44.0,10447700012,2522244,317,45.0,44.0,1387-01-26
2008-04-15,45.0,45.0,44.0,45.0,2513000120,596592,104,44.0,45.0,1387-01-27
2008-04-16,46.0,46.0,45.0,45.0,2116321431,504559,100,45.0,45.0,1387-01-28
2008-04-19,45.0,45.0,44.0,45.0,2687483262,647536,89,45.0,45.0,1387-01-31
2008-04-20,45.0,45.0,44.0,44.0,2542859064,615897,103,45.0,44.0,1387-02-01
2008-04-21,44.0,44.0,44.0,44.0,13291756058,3265616,361,44.0,44.0,1387-02-02
2008-04-22,44.0,44.0,44.0,44.0,1424065489,347479,86,44.0,44.0,1387-02-03
2008-04-23,44.0,45.0,44.0,44.0,2676989060,645143,94,44.0,44.0,1387-02-04
2008-04-26,45.0,45.0,44.0,44.0,2945553249,706789,116,44.0,44.0,1387-02-07
2008-04-27,45.0,45.0,44.0,44.0,1102291178,267477,96,44.0,44.0,1387-02-08
2008-04-28,44.0,44.0,43.0,44.0,4020747894,992741,124,44.0,44.0,1387-02-09
2008-04-29,43.0,44.0,43.0,44.0,2432648501,598049,104,44.0,44.0,1387-02-10
2008-04-30,44.0,44.0,43.0,44.0,1895743735,465183,103,44.0,44.0,1387-02-11
2008-05-03,44.0,44.0,43.0,44.0,1149850237,282664,70,44.0,44.0,1387-02-14
2008-05-04,43.0,44.0,43.0,44.0,1189840607,297120,74,44.0,44.0,1387-02-15
2008-05-05,43.0,44.0,43.0,43.0,4692149362,1160663,133,44.0,43.0,1387-02-16
2008-05-06,44.0,44.0,43.0,44.0,5099147313,1241481,126,43.0,44.0,1387-02-17
2008-05-07,44.0,45.0,44.0,44.0,5713570290,1377061,216,44.0,44.0,1387-02-18
2008-05-10,45.0,45.0,44.0,44.0,2738763222,657778,125,44.0,44.0,1387-02-21
2008-05-11,46.0,46.0,45.0,46.0,20863109090,4891784,459,44.0,46.0,1387-02-22
2008-05-12,47.0,47.0,46.0,47.0,6392261194,1463074,233,46.0,47.0,1387-02-23
2008-05-13,47.0,47.0,45.0,46.0,5883985925,1368720,223,47.0,46.0,1387-02-24
2008-05-14,46.0,46.0,45.0,46.0,4429046729,1044699,204,46.0,46.0,1387-02-25
2008-05-17,45.0,46.0,44.0,45.0,24487326291,5822958,422,46.0,45.0,1387-02-28
2008-05-24,42.0,43.0,42.0,42.0,13687835166,3478455,349,45.0,42.0,1387-03-04
2008-05-25,42.0,43.0,42.0,42.0,4103745644,1044988,158,42.0,42.0,1387-03-05
2008-05-26,42.0,43.0,42.0,42.0,28459884766,7203454,232,42.0,42.0,1387-03-06
2008-05-27,43.0,43.0,42.0,42.0,7137946842,1812292,129,42.0,42.0,1387-03-07
2008-05-28,42.0,43.0,41.0,42.0,7830084814,1992821,226,42.0,42.0,1387-03-08
2008-05-31,42.0,43.0,42.0,42.0,6142900760,1558710,177,42.0,42.0,1387-03-11
2008-06-01,42.0,42.0,42.0,42.0,7416242380,1880633,178,42.0,42.0,1387-03-12
2008-06-02,42.0,43.0,42.0,42.0,4916912337,1246761,180,42.0,42.0,1387-03-13
2008-06-08,43.0,44.0,43.0,43.0,3076191313,765783,122,42.0,43.0,1387-03-19
