date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-04-26,223.0,223.0,223.0,223.0,201600000,160000,16,177.0,223.0,1396-02-06
2017-05-22,461.0,497.0,461.0,473.0,327771800,122943,15,223.0,497.0,1396-03-01
2017-05-24,473.0,473.0,473.0,473.0,203182728,76184,19,473.0,473.0,1396-03-03
2017-05-31,509.0,509.0,509.0,509.0,157905000,55000,10,473.0,509.0,1396-03-10
2017-06-07,568.0,585.0,568.0,576.0,500446174,154096,32,509.0,585.0,1396-03-17
2017-06-10,619.0,642.0,619.0,627.0,464677566,131494,51,576.0,642.0,1396-03-20
2017-06-12,674.0,674.0,674.0,674.0,1115220200,293479,65,627.0,674.0,1396-03-22
2017-06-17,709.0,709.0,709.0,709.0,161648402,40402,10,674.0,709.0,1396-03-27
2017-07-01,780.0,780.0,780.0,780.0,402600000,91500,17,709.0,780.0,1396-04-10
2017-07-05,824.0,828.0,824.0,825.0,2118191350,455439,110,780.0,828.0,1396-04-14
2017-07-08,851.0,851.0,851.0,851.0,129803700,27044,13,825.0,851.0,1396-04-17
2017-07-10,815.0,815.0,814.0,815.0,1779599862,386959,95,851.0,814.0,1396-04-19
2017-07-12,780.0,780.0,780.0,780.0,320711600,72889,10,815.0,780.0,1396-04-21
2017-07-15,780.0,780.0,780.0,780.0,421058000,95695,25,780.0,780.0,1396-04-24
2017-07-17,718.0,718.0,718.0,718.0,101250000,25000,4,780.0,718.0,1396-04-26
2017-07-19,718.0,720.0,718.0,718.0,280893200,69344,19,718.0,720.0,1396-04-28
2017-07-22,720.0,746.0,720.0,738.0,1241784684,298476,39,718.0,746.0,1396-04-31
2017-07-24,764.0,838.0,764.0,814.0,809311247,176227,26,738.0,838.0,1396-05-02
2017-07-26,847.0,847.0,847.0,847.0,1583031875,331525,77,814.0,847.0,1396-05-04
2017-07-29,847.0,847.0,847.0,847.0,477500000,100000,18,847.0,847.0,1396-05-07
2017-07-31,816.0,833.0,816.0,828.0,1032702600,221131,26,847.0,833.0,1396-05-09
2017-08-02,828.0,833.0,828.0,830.0,1316173740,281322,47,828.0,833.0,1396-05-11
2017-08-07,833.0,833.0,833.0,833.0,1090569200,232036,49,830.0,833.0,1396-05-16
2017-08-09,833.0,833.0,833.0,833.0,1180273400,251122,46,833.0,833.0,1396-05-18
2017-08-12,833.0,833.0,833.0,833.0,749114200,159386,28,833.0,833.0,1396-05-21
2017-08-14,833.0,833.0,833.0,833.0,1194274700,254101,56,833.0,833.0,1396-05-23
2017-08-16,833.0,833.0,833.0,833.0,845656900,179927,39,833.0,833.0,1396-05-25
2017-08-19,889.0,904.0,889.0,889.0,750756768,149756,28,833.0,904.0,1396-05-28
2017-08-21,889.0,889.0,889.0,889.0,260079453,51881,7,889.0,889.0,1396-05-30
2017-08-23,897.0,906.0,897.0,898.0,564560348,111387,23,889.0,906.0,1396-06-01
2017-08-26,943.0,943.0,899.0,915.0,165240000,32000,7,898.0,899.0,1396-06-04
2017-08-28,901.0,901.0,901.0,901.0,2228712840,438723,91,915.0,901.0,1396-06-06
2017-08-30,902.0,902.0,902.0,902.0,195985360,38504,11,901.0,902.0,1396-06-08
2017-09-02,957.0,985.0,957.0,963.0,225704460,41566,12,902.0,985.0,1396-06-11
2017-09-04,987.0,1064.0,987.0,1017.0,654540106,114004,19,963.0,1064.0,1396-06-13
2017-09-06,1017.0,1063.0,1017.0,1018.0,1206901482,210002,47,1017.0,1063.0,1396-06-15
2017-09-13,1018.0,1018.0,1018.0,1018.0,25746560,4480,3,1018.0,1018.0,1396-06-22
2017-09-16,1018.0,1018.0,1018.0,1018.0,14942200,2600,5,1018.0,1018.0,1396-06-25
2017-09-18,975.0,975.0,975.0,975.0,1530903000,278346,60,1018.0,975.0,1396-06-27
2017-09-20,975.0,975.0,974.0,974.0,176628482,32118,7,975.0,974.0,1396-06-29
2017-09-23,974.0,974.0,974.0,974.0,86713731,15769,4,974.0,974.0,1396-07-01
2017-09-25,974.0,993.0,974.0,978.0,961329223,174102,19,974.0,993.0,1396-07-03
2017-09-27,993.0,1063.0,993.0,1049.0,1751318029,295707,28,978.0,1063.0,1396-07-05
2017-10-02,1081.0,1097.0,1081.0,1081.0,1309361500,214645,36,1049.0,1097.0,1396-07-10
2017-10-04,1117.0,1205.0,1117.0,1197.0,337889600,49996,6,1081.0,1205.0,1396-07-12
2017-10-07,1223.0,1223.0,1223.0,1223.0,1181280000,171200,8,1197.0,1223.0,1396-07-15
2017-10-09,1223.0,1223.0,1152.0,1222.0,596594200,86514,29,1223.0,1152.0,1396-07-17
2017-10-11,1223.0,1240.0,1223.0,1223.0,2826170500,409445,63,1222.0,1240.0,1396-07-19
2017-10-14,1240.0,1240.0,1240.0,1240.0,752773000,107539,15,1223.0,1240.0,1396-07-22
2017-10-16,1414.0,1414.0,1276.0,1407.0,1349510040,169893,52,1240.0,1276.0,1396-07-24
2017-10-18,1276.0,1276.0,1276.0,1276.0,376293600,52263,6,1407.0,1276.0,1396-07-26
2017-10-21,1276.0,1329.0,1276.0,1292.0,1016283600,139403,24,1276.0,1329.0,1396-07-29
2017-10-23,1292.0,1324.0,1292.0,1297.0,1178369190,161047,14,1292.0,1324.0,1396-08-01
2017-10-25,1303.0,1347.0,1303.0,1312.0,1039616559,140409,20,1297.0,1347.0,1396-08-03
2017-10-28,1312.0,1312.0,1312.0,1312.0,50162100,6775,10,1312.0,1312.0,1396-08-06
2017-10-30,1302.0,1302.0,1240.0,1241.0,223858950,31973,7,1312.0,1240.0,1396-08-08
2017-11-01,1205.0,1205.0,1205.0,1205.0,224114400,32958,7,1241.0,1205.0,1396-08-10
2017-11-04,1205.0,1205.0,1205.0,1205.0,18666000,2745,4,1205.0,1205.0,1396-08-13
2017-11-06,1063.0,1064.0,1063.0,1063.0,2108702391,351391,31,1205.0,1064.0,1396-08-15
2017-11-08,1063.0,1063.0,1063.0,1063.0,730422918,121718,34,1063.0,1063.0,1396-08-17
2017-11-11,1090.0,1090.0,1088.0,1090.0,322183200,52388,21,1063.0,1088.0,1396-08-20
2017-11-13,1090.0,1090.0,1090.0,1090.0,14760000,2400,3,1090.0,1090.0,1396-08-22
2017-11-15,1061.0,1061.0,1061.0,1061.0,378472160,63184,9,1090.0,1061.0,1396-08-24
2017-11-18,1061.0,1107.0,1061.0,1074.0,1498406870,247113,27,1061.0,1107.0,1396-08-27
2017-11-20,1152.0,1152.0,1152.0,1152.0,382453500,58839,27,1074.0,1152.0,1396-08-29
2017-11-22,1152.0,1152.0,1152.0,1152.0,97506500,15001,3,1152.0,1152.0,1396-09-01
2017-11-25,1222.0,1222.0,1222.0,1222.0,233503554,33846,7,1152.0,1222.0,1396-09-04
2017-11-29,1134.0,1134.0,1134.0,1134.0,155270400,24261,5,1222.0,1134.0,1396-09-08
2017-12-02,1073.0,1152.0,1073.0,1149.0,213339430,32906,7,1134.0,1152.0,1396-09-11
2017-12-04,1149.0,1149.0,1149.0,1149.0,1343452641,207227,34,1149.0,1149.0,1396-09-13
2017-12-09,1090.0,1090.0,1090.0,1090.0,61500000,10000,2,1149.0,1090.0,1396-09-18
2017-12-11,1090.0,1099.0,1090.0,1090.0,748733600,121664,14,1090.0,1099.0,1396-09-20
