date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-01-31,360.0,360.0,360.0,360.0,2721600000,1944000,1868,0.0,360.0,1383-11-12
2005-02-02,378.0,378.0,378.0,378.0,1176000000,800000,687,360.0,378.0,1383-11-14
2005-02-13,397.0,397.0,360.0,370.0,36814320924,26061418,2008,378.0,370.0,1383-11-25
2005-02-14,360.0,368.0,360.0,361.0,4248772129,3026287,573,370.0,361.0,1383-11-26
2005-02-15,360.0,360.0,343.0,345.0,5058289374,3776138,460,361.0,345.0,1383-11-27
2005-02-16,347.0,360.0,345.0,356.0,5975183770,4314856,759,345.0,356.0,1383-11-28
2005-02-21,358.0,360.0,344.0,354.0,4621407409,3372989,598,356.0,354.0,1383-12-03
2005-02-22,355.0,358.0,347.0,352.0,7156733576,5227192,651,354.0,352.0,1383-12-04
2005-02-23,356.0,357.0,351.0,354.0,5098468929,3700381,465,352.0,354.0,1383-12-05
2005-02-26,355.0,365.0,355.0,360.0,15671500637,11140268,475,354.0,360.0,1383-12-08
2005-02-27,377.0,377.0,372.0,377.0,32304137060,22036528,466,360.0,377.0,1383-12-09
2005-02-28,396.0,396.0,379.0,386.0,5468417104,3644507,680,377.0,386.0,1383-12-10
2005-03-01,386.0,386.0,367.0,369.0,8924764086,6217108,930,386.0,369.0,1383-12-11
2005-03-07,360.0,360.0,348.0,351.0,1007801347,738591,170,369.0,351.0,1383-12-17
2005-03-08,360.0,360.0,349.0,349.0,2701935385,1991616,272,351.0,349.0,1383-12-18
2005-03-09,348.0,349.0,343.0,348.0,3063227956,2260929,269,349.0,348.0,1383-12-19
2005-03-12,347.0,348.0,335.0,339.0,2450920671,1857883,281,348.0,339.0,1383-12-22
2005-03-13,339.0,350.0,335.0,341.0,2592856707,1955918,296,339.0,341.0,1383-12-23
2005-03-14,349.0,358.0,349.0,356.0,960726488,693318,225,341.0,356.0,1383-12-24
2005-03-15,360.0,366.0,360.0,365.0,1259266832,887435,242,356.0,365.0,1383-12-25
2005-03-16,366.0,373.0,363.0,370.0,18491370534,12949792,286,365.0,370.0,1383-12-26
2005-03-26,368.0,381.0,363.0,371.0,1186167865,821695,157,370.0,371.0,1384-01-06
2005-03-27,374.0,381.0,373.0,375.0,799110056,544891,145,371.0,375.0,1384-01-07
2005-03-28,379.0,386.0,379.0,380.0,674753403,452605,158,375.0,380.0,1384-01-08
2005-03-29,386.0,393.0,379.0,383.0,893383889,598749,149,380.0,383.0,1384-01-09
2005-03-30,384.0,389.0,383.0,384.0,762835847,509407,156,383.0,384.0,1384-01-10
2005-04-03,390.0,390.0,379.0,384.0,834309449,558374,153,384.0,384.0,1384-01-14
2005-04-04,383.0,383.0,365.0,376.0,763838519,527677,176,384.0,376.0,1384-01-15
2005-04-05,374.0,381.0,371.0,377.0,903777147,616907,183,376.0,377.0,1384-01-16
2005-04-06,378.0,382.0,373.0,378.0,898979448,611617,185,377.0,378.0,1384-01-17
2005-04-10,377.0,383.0,374.0,379.0,858959021,581849,168,378.0,379.0,1384-01-21
2005-04-11,377.0,394.0,374.0,382.0,3019384575,2035032,402,379.0,382.0,1384-01-22
2005-04-12,386.0,391.0,381.0,386.0,2938678741,1959842,332,382.0,386.0,1384-01-23
2005-04-13,386.0,391.0,383.0,387.0,2020819378,1345083,253,386.0,387.0,1384-01-24
2005-04-16,386.0,391.0,381.0,386.0,3616545393,2411919,401,387.0,386.0,1384-01-27
2005-04-17,384.0,385.0,376.0,378.0,1842931576,1253999,279,386.0,378.0,1384-01-28
2005-04-18,379.0,385.0,375.0,379.0,2587780463,1756208,317,378.0,379.0,1384-01-29
2005-04-19,379.0,383.0,376.0,379.0,4538118791,3078350,394,379.0,379.0,1384-01-30
2005-04-20,376.0,381.0,373.0,377.0,2386242425,1629161,306,379.0,377.0,1384-01-31
