date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2005-09-05,101.0,120.0,101.0,118.0,25369181,213893,55,101.0,118.0,1384-06-14
2005-09-06,107.0,107.0,107.0,107.0,24695600,230800,29,118.0,107.0,1384-06-15
2005-09-07,97.0,97.0,97.0,97.0,120592631,1243223,147,107.0,97.0,1384-06-16
2005-09-10,89.0,96.0,89.0,93.0,24101205,258756,51,97.0,93.0,1384-06-19
2005-09-11,84.0,84.0,84.0,84.0,102429684,1219401,155,93.0,84.0,1384-06-20
2005-09-12,76.0,76.0,76.0,76.0,47267136,621936,89,84.0,76.0,1384-06-21
2005-09-13,69.0,69.0,69.0,69.0,72974538,1057602,126,76.0,69.0,1384-06-22
2005-09-14,63.0,63.0,63.0,63.0,90486018,1436286,176,69.0,63.0,1384-06-23
2005-09-18,57.0,57.0,57.0,57.0,82444116,1446388,204,63.0,57.0,1384-06-27
2005-09-19,52.0,52.0,52.0,52.0,44828316,862083,127,57.0,52.0,1384-06-28
2005-09-21,52.0,52.0,47.0,47.0,42183520,897160,123,52.0,47.0,1384-06-30
2005-09-24,47.0,50.0,43.0,43.0,98243131,2247074,357,47.0,43.0,1384-07-02
2005-09-25,39.0,39.0,39.0,39.0,105552174,2706466,328,43.0,39.0,1384-07-03
2005-09-26,36.0,40.0,36.0,37.0,98839832,2616368,354,39.0,37.0,1384-07-04
2005-09-27,34.0,40.0,34.0,36.0,66144314,1831628,247,37.0,36.0,1384-07-05
2005-09-28,33.0,39.0,33.0,37.0,41299437,1096997,162,36.0,37.0,1384-07-06
2005-10-01,34.0,38.0,34.0,35.0,83544607,2340372,422,37.0,35.0,1384-07-09
2005-10-02,37.0,38.0,32.0,36.0,216855345,5914450,776,35.0,36.0,1384-07-10
2005-10-03,33.0,39.0,33.0,34.0,1087127063,28160269,365,36.0,34.0,1384-07-11
2005-11-22,100.0,100.0,100.0,100.0,9900000000,99000000,2223,34.0,100.0,1384-09-01
2005-11-26,100.0,100.0,100.0,100.0,9900000000,99000000,203,100.0,100.0,1384-09-05
2005-11-27,100.0,100.0,100.0,100.0,7081187400,70811874,157,100.0,100.0,1384-09-06
2007-10-17,3.0,3.0,3.0,3.0,9702,3234,1,100.0,3.0,1386-07-25
2007-10-20,3.0,3.0,3.0,3.0,6225,2075,4,3.0,3.0,1386-07-28
2007-10-21,3.0,3.0,3.0,3.0,1770,590,3,3.0,3.0,1386-07-29
2007-10-22,3.0,3.0,3.0,3.0,58230,19410,3,3.0,3.0,1386-07-30
2007-11-14,3.0,3.0,3.0,3.0,84505545,28168515,57,3.0,3.0,1386-08-23
2008-01-14,3.0,3.0,3.0,3.0,45752004,15250668,171,3.0,3.0,1386-10-24
2009-02-11,4.0,4.0,1.0,1.0,50660,50165,6,3.0,1.0,1387-11-23
2009-06-16,1.0,1.0,1.0,1.0,47441064,47441064,949,1.0,1.0,1388-03-26
2016-03-15,453.0,498.0,453.0,460.0,3971814712,8640908,193,1.0,498.0,1394-12-25
2016-03-16,506.0,506.0,489.0,506.0,6999190950,13834015,505,460.0,506.0,1394-12-26
2016-03-26,556.0,556.0,513.0,555.0,10937911182,19705271,562,506.0,556.0,1395-01-07
2016-03-27,561.0,610.0,561.0,601.0,6842700471,11379186,537,555.0,610.0,1395-01-08
2016-03-28,661.0,661.0,661.0,661.0,16719995,25295,7,601.0,661.0,1395-01-09
2016-03-29,727.0,727.0,727.0,727.0,13071460,17980,6,661.0,727.0,1395-01-10
2016-03-30,799.0,799.0,762.0,798.0,11952207389,14985419,592,727.0,799.0,1395-01-11
2016-04-02,785.0,877.0,732.0,831.0,8568414464,10311543,680,798.0,877.0,1395-01-14
2016-04-03,909.0,914.0,875.0,913.0,6523349368,7146932,327,831.0,914.0,1395-01-15
2016-04-04,990.0,1004.0,930.0,988.0,11749645586,11888018,713,913.0,990.0,1395-01-16
2016-04-05,891.0,957.0,889.0,903.0,17559615894,19455919,1019,988.0,900.0,1395-01-17
2016-04-06,841.0,940.0,812.0,844.0,8270661747,9803580,627,903.0,812.0,1395-01-18
2016-04-09,782.0,863.0,772.0,815.0,4933600640,6055953,515,844.0,793.0,1395-01-21
2016-04-10,828.0,852.0,781.0,811.0,3258899473,4019647,333,815.0,800.0,1395-01-22
2016-04-11,820.0,891.0,771.0,842.0,9192350664,10911274,637,811.0,828.0,1395-01-23
2016-04-12,840.0,840.0,757.0,787.0,4546061492,5779240,358,842.0,784.0,1395-01-24
2016-04-13,746.0,747.0,708.0,711.0,3122075803,4390358,236,787.0,708.0,1395-01-25
2016-04-16,718.0,718.0,639.0,648.0,1381162371,2131643,143,711.0,639.0,1395-01-28
2016-04-17,587.0,698.0,583.0,639.0,4919285772,7701294,511,648.0,669.0,1395-01-29
2016-04-18,653.0,702.0,653.0,697.0,4017330153,5762668,307,639.0,702.0,1395-01-30
2016-04-19,702.0,757.0,660.0,694.0,4526214084,6517714,375,697.0,691.0,1395-01-31
2016-04-20,716.0,737.0,665.0,707.0,3614694787,5111608,344,694.0,700.0,1395-02-01
2016-04-23,709.0,747.0,692.0,715.0,2103056208,2940711,237,707.0,696.0,1395-02-04
2016-04-24,725.0,741.0,687.0,708.0,2470534961,3490082,271,715.0,689.0,1395-02-05
2016-04-25,681.0,709.0,637.0,648.0,5655216681,8732381,570,708.0,638.0,1395-02-06
2016-04-26,650.0,658.0,602.0,623.0,2829077748,4540358,304,648.0,607.0,1395-02-07
2016-04-27,620.0,630.0,581.0,610.0,3446440273,5654425,375,623.0,600.0,1395-02-08
2016-04-30,600.0,609.0,559.0,571.0,3113898271,5453988,311,610.0,571.0,1395-02-11
2016-05-01,561.0,591.0,513.0,528.0,2564010213,4855637,356,571.0,521.0,1395-02-12
2016-05-02,513.0,562.0,501.0,546.0,2042945110,3742100,259,528.0,530.0,1395-02-13
2016-05-03,546.0,577.0,520.0,554.0,1195120533,2158846,174,546.0,549.0,1395-02-14
2016-05-04,550.0,550.0,498.0,513.0,1735911254,3386558,206,554.0,500.0,1395-02-15
2016-05-07,500.0,564.0,490.0,546.0,4234006938,7750257,516,513.0,564.0,1395-02-18
2016-05-08,590.0,600.0,550.0,587.0,3797070191,6465227,521,546.0,600.0,1395-02-19
2016-05-09,610.0,635.0,551.0,606.0,4479453373,7397731,548,587.0,596.0,1395-02-20
2016-05-10,575.0,595.0,545.0,548.0,1618678776,2955066,173,606.0,545.0,1395-02-21
2016-05-11,493.0,540.0,493.0,498.0,13623104658,27369626,1122,548.0,493.0,1395-02-22
2016-08-08,400.0,400.0,400.0,400.0,201400000,503500,6,498.0,400.0,1395-05-18
2016-08-13,371.0,371.0,371.0,371.0,111300000,300000,3,400.0,371.0,1395-05-23
2016-08-14,360.0,360.0,360.0,360.0,144000000,400000,4,371.0,360.0,1395-05-24
2016-08-15,330.0,330.0,330.0,330.0,84188280,255116,4,360.0,330.0,1395-05-25
2016-08-16,330.0,330.0,330.0,330.0,90827880,275236,4,330.0,330.0,1395-05-26
2016-08-17,301.0,301.0,300.0,300.0,10745167100,35814557,814,330.0,300.0,1395-05-27
