date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-12-01,266.0,267.0,264.0,265.0,2043704958,1440000,377,266.0,265.0,1382-09-10
2003-12-02,278.0,278.0,278.0,278.0,52115000,35000,17,265.0,278.0,1382-09-11
2003-12-03,292.0,292.0,292.0,292.0,171930000,110000,38,278.0,292.0,1382-09-12
2003-12-07,307.0,307.0,307.0,307.0,292283433,178113,63,292.0,307.0,1382-09-16
2003-12-08,322.0,322.0,322.0,322.0,536299257,311259,88,307.0,322.0,1382-09-17
2003-12-09,338.0,338.0,338.0,338.0,3813574608,2108112,415,322.0,338.0,1382-09-18
2003-12-10,355.0,355.0,340.0,355.0,1188775647,626043,145,338.0,355.0,1382-09-19
2003-12-13,372.0,372.0,355.0,372.0,1318326535,662590,172,355.0,372.0,1382-09-22
2003-12-14,372.0,390.0,355.0,380.0,937511257,460679,147,372.0,380.0,1382-09-23
2003-12-15,381.0,381.0,361.0,368.0,251492152,127777,60,380.0,368.0,1382-09-24
2003-12-16,353.0,372.0,349.0,356.0,332155583,174200,63,368.0,356.0,1382-09-25
2003-12-17,355.0,355.0,342.0,351.0,88822068,47229,22,356.0,351.0,1382-09-26
2003-12-21,347.0,347.0,334.0,334.0,52396580,29288,15,351.0,334.0,1382-09-30
2003-12-22,320.0,351.0,318.0,333.0,158729884,88927,39,334.0,333.0,1382-10-01
2003-12-23,350.0,350.0,350.0,350.0,75916436,40532,9,333.0,350.0,1382-10-02
2003-12-24,367.0,367.0,367.0,367.0,436633274,222124,50,350.0,367.0,1382-10-03
2003-12-27,369.0,374.0,357.0,368.0,358203514,181797,41,367.0,368.0,1382-10-06
2003-12-28,374.0,381.0,368.0,374.0,518086794,258580,67,368.0,374.0,1382-10-07
2003-12-29,379.0,379.0,370.0,375.0,430102045,214108,51,374.0,375.0,1382-10-08
2003-12-30,373.0,374.0,362.0,372.0,138742992,69646,27,375.0,372.0,1382-10-09
2003-12-31,374.0,374.0,354.0,362.0,274399553,141548,39,372.0,362.0,1382-10-10
2004-01-03,374.0,374.0,357.0,359.0,411618161,214004,52,362.0,359.0,1382-10-13
2004-01-04,373.0,373.0,357.0,360.0,770992254,400204,63,359.0,360.0,1382-10-14
2004-01-05,360.0,364.0,346.0,357.0,444514634,232585,52,360.0,357.0,1382-10-15
2004-01-12,372.0,404.0,372.0,395.0,786231824,371410,97,357.0,395.0,1382-10-22
