date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2003-04-16,40.0,40.0,40.0,40.0,1712780000,990000,50,40.0,40.0,1382-01-27
2003-04-19,40.0,40.0,40.0,40.0,173000000,100000,22,40.0,40.0,1382-01-30
2003-04-20,40.0,40.0,40.0,40.0,86650050,50000,10,40.0,40.0,1382-01-31
2003-04-21,41.0,41.0,41.0,41.0,176591314,100000,15,40.0,41.0,1382-02-01
2003-04-22,42.0,42.0,42.0,42.0,89933538,50000,17,41.0,42.0,1382-02-02
2003-04-26,44.0,44.0,42.0,42.0,495484210,267562,74,42.0,42.0,1382-02-06
2003-04-27,43.0,44.0,42.0,44.0,201241517,109532,21,42.0,44.0,1382-02-07
2003-04-28,45.0,45.0,45.0,45.0,213666432,110000,19,44.0,45.0,1382-02-08
2003-04-29,47.0,47.0,46.0,46.0,620187257,310000,64,45.0,46.0,1382-02-09
2003-04-30,48.0,48.0,46.0,46.0,1626977581,791875,107,46.0,46.0,1382-02-10
2003-05-03,49.0,49.0,47.0,49.0,429539730,206310,35,46.0,49.0,1382-02-13
2003-05-04,50.0,50.0,50.0,50.0,45888018,21274,7,49.0,50.0,1382-02-14
2003-05-06,52.0,52.0,52.0,52.0,24904000,11000,5,50.0,52.0,1382-02-16
2003-05-07,55.0,55.0,55.0,55.0,23579840,9920,3,52.0,55.0,1382-02-17
2003-05-10,56.0,58.0,52.0,52.0,547714929,221836,103,55.0,52.0,1382-02-20
2003-05-11,53.0,53.0,51.0,53.0,127214876,55456,27,52.0,53.0,1382-02-21
2003-05-12,53.0,54.0,53.0,54.0,26002700,11170,8,53.0,54.0,1382-02-22
2003-05-13,55.0,55.0,54.0,54.0,576167228,244725,51,54.0,54.0,1382-02-23
2003-05-14,52.0,52.0,52.0,52.0,56028000,25000,8,54.0,52.0,1382-02-24
2003-05-17,51.0,51.0,50.0,50.0,29749766,13718,11,52.0,50.0,1382-02-27
2003-05-18,50.0,52.0,50.0,52.0,52121756,23800,6,50.0,52.0,1382-02-28
2003-05-20,52.0,52.0,51.0,51.0,74435804,33380,14,52.0,51.0,1382-02-30
2003-05-21,50.0,51.0,50.0,50.0,27846300,12900,7,51.0,50.0,1382-02-31
2003-05-24,48.0,48.0,48.0,48.0,12586600,6080,2,50.0,48.0,1382-03-03
2003-05-25,48.0,49.0,48.0,49.0,3755000,1800,2,48.0,49.0,1382-03-04
2003-05-26,51.0,51.0,50.0,51.0,330600760,150072,26,49.0,51.0,1382-03-05
2003-05-27,51.0,54.0,51.0,54.0,215849815,93947,21,51.0,54.0,1382-03-06
2003-05-28,53.0,56.0,53.0,54.0,129684595,55333,20,54.0,54.0,1382-03-07
2003-05-31,54.0,54.0,54.0,54.0,59465298,25350,11,54.0,54.0,1382-03-10
2003-06-01,54.0,54.0,54.0,54.0,159364321,68406,24,54.0,54.0,1382-03-11
2003-06-03,51.0,51.0,51.0,51.0,12705574,5741,5,54.0,51.0,1382-03-13
2003-06-07,49.0,49.0,49.0,49.0,207026074,98442,25,51.0,49.0,1382-03-17
2003-06-08,49.0,50.0,49.0,50.0,2558000,1200,6,49.0,50.0,1382-03-18
2003-06-09,51.0,51.0,50.0,51.0,37960340,17360,8,50.0,51.0,1382-03-19
2003-06-11,51.0,51.0,50.0,51.0,71060825,32527,10,51.0,51.0,1382-03-21
2003-06-14,51.0,51.0,49.0,49.0,102228496,47160,11,51.0,49.0,1382-03-24
2003-06-15,48.0,49.0,47.0,47.0,124255513,60011,18,49.0,47.0,1382-03-25
2003-06-16,49.0,49.0,49.0,49.0,43995000,20950,3,47.0,49.0,1382-03-26
2003-06-17,49.0,49.0,49.0,49.0,71209000,33900,11,49.0,49.0,1382-03-27
2003-06-18,50.0,50.0,50.0,50.0,8127360,3780,2,49.0,50.0,1382-03-28
2003-06-22,51.0,51.0,51.0,51.0,18503976,8412,2,50.0,51.0,1382-04-01
2003-06-23,50.0,50.0,50.0,50.0,2158000,1000,1,51.0,50.0,1382-04-02
2003-06-24,50.0,50.0,50.0,50.0,40885343,18873,7,50.0,50.0,1382-04-03
2003-06-25,50.0,50.0,50.0,50.0,10343700,4775,8,50.0,50.0,1382-04-04
2003-06-28,49.0,50.0,49.0,50.0,47017300,21850,6,50.0,50.0,1382-04-07
2003-06-29,50.0,50.0,50.0,50.0,53642326,24761,6,50.0,50.0,1382-04-08
2003-06-30,49.0,51.0,49.0,51.0,83616540,39160,5,50.0,51.0,1382-04-09
2003-07-01,51.0,51.0,51.0,51.0,166527160,75769,21,51.0,51.0,1382-04-10
2003-07-02,51.0,51.0,51.0,51.0,33983680,15395,9,51.0,51.0,1382-04-11
2003-07-05,51.0,52.0,51.0,52.0,15137600,6800,4,51.0,52.0,1382-04-14
2003-07-06,53.0,55.0,53.0,55.0,11574400,5000,3,52.0,55.0,1382-04-15
2003-07-07,56.0,56.0,55.0,56.0,11082972,4637,5,55.0,56.0,1382-04-16
2003-07-08,56.0,56.0,56.0,56.0,56268803,23203,10,56.0,56.0,1382-04-17
2003-07-09,57.0,57.0,57.0,57.0,131981962,53872,20,56.0,57.0,1382-04-18
2003-07-15,69.0,116.0,58.0,74.0,43060000,13000,13,57.0,74.0,1382-04-24
2003-07-16,74.0,74.0,74.0,74.0,28791200,9000,5,74.0,74.0,1382-04-25
2003-07-19,74.0,74.0,74.0,74.0,186844020,58588,15,74.0,74.0,1382-04-28
2003-07-20,71.0,73.0,71.0,71.0,42096597,13562,13,74.0,71.0,1382-04-29
2003-07-21,73.0,74.0,73.0,74.0,279595336,88292,28,71.0,74.0,1382-04-30
2003-07-22,77.0,77.0,77.0,77.0,3338050,1000,2,74.0,77.0,1382-04-31
2003-07-23,74.0,74.0,74.0,74.0,51504000,16095,7,77.0,74.0,1382-05-01
2003-07-26,73.0,74.0,73.0,73.0,51369101,16190,5,74.0,73.0,1382-05-04
2003-07-27,70.0,70.0,70.0,70.0,47782834,15917,5,73.0,70.0,1382-05-05
2003-07-28,72.0,72.0,72.0,72.0,56854000,18340,9,70.0,72.0,1382-05-06
