date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2014-03-17,620.0,620.0,620.0,620.0,51600000,25800,1,310.0,620.0,1392-12-26
2014-03-26,1550.0,1550.0,1550.0,1550.0,129000000,25800,1,620.0,1550.0,1393-01-06
2014-04-08,1860.0,1860.0,1860.0,1860.0,124805830,20800,3,1550.0,1860.0,1393-01-19
2014-04-13,2480.0,2480.0,2480.0,2480.0,8000000,1000,1,1860.0,2480.0,1393-01-24
2014-04-14,3100.0,3100.0,3100.0,3100.0,40000000,4000,2,2480.0,3100.0,1393-01-25
2014-04-15,3720.0,4340.0,3100.0,3806.0,79800000,6500,5,3100.0,3720.0,1393-01-26
2014-04-16,3565.0,3720.0,3100.0,3519.0,192990000,16999,3,3806.0,3720.0,1393-01-27
2014-04-19,4030.0,4030.0,3719.0,3874.0,12499500,1000,3,3519.0,3719.0,1393-01-30
2014-04-20,3776.0,3776.0,3776.0,3776.0,121800000,10000,1,3874.0,3776.0,1393-01-31
2014-04-28,1862.0,1862.0,1862.0,1862.0,90095000,15000,4,3776.0,1862.0,1393-02-08
2014-04-30,1860.0,1860.0,1550.0,1651.0,79900000,15000,3,1862.0,1550.0,1393-02-10
2014-05-04,1550.0,1829.0,1550.0,1720.0,42735000,7701,4,1651.0,1550.0,1393-02-14
2014-05-06,1550.0,1550.0,1550.0,1550.0,83000000,16600,2,1720.0,1550.0,1393-02-16
2014-05-07,1550.0,1550.0,1410.0,1449.0,62660000,13399,6,1550.0,1426.0,1393-02-17
2014-05-10,1412.0,1412.0,1412.0,1412.0,4555000,1000,1,1449.0,1412.0,1393-02-20
2014-05-12,1426.0,1426.0,1426.0,1426.0,69000000,15000,1,1412.0,1426.0,1393-02-22
2014-05-21,1829.0,1829.0,1426.0,1432.0,28190000,6100,2,1426.0,1426.0,1393-02-31
2014-05-24,1432.0,1432.0,1414.0,1428.0,123932250,26900,4,1432.0,1414.0,1393-03-03
2014-06-08,1333.0,1333.0,1085.0,1122.0,18105000,5000,3,1428.0,1085.0,1393-03-18
2014-06-09,1085.0,1085.0,1023.0,1050.0,23535000,6950,5,1122.0,1023.0,1393-03-19
2014-06-11,1364.0,1364.0,1364.0,1364.0,440000,100,1,1050.0,1364.0,1393-03-21
2014-06-15,992.0,992.0,992.0,992.0,16000000,5000,1,1364.0,992.0,1393-03-25
2014-06-28,1023.0,1023.0,992.0,1016.0,75355000,23000,3,992.0,992.0,1393-04-07
2014-07-02,1057.0,1057.0,1054.0,1057.0,34780000,10200,2,1016.0,1054.0,1393-04-11
2014-07-09,1240.0,1550.0,1240.0,1363.0,160500000,36500,4,1057.0,1550.0,1393-04-18
2014-07-13,1519.0,1519.0,1240.0,1241.0,15449000,3860,3,1363.0,1240.0,1393-04-22
2014-07-15,1054.0,1054.0,1054.0,1054.0,14416000,4240,1,1241.0,1054.0,1393-04-24
2014-07-26,1567.0,1567.0,1195.0,1216.0,55392500,17850,2,1054.0,1195.0,1393-05-04
2014-08-02,1567.0,1571.0,1567.0,1569.0,22020000,5500,2,1216.0,1571.0,1393-05-11
2014-08-17,1802.0,1802.0,1587.0,1668.0,295400000,69400,6,1569.0,1587.0,1393-05-26
2014-08-20,1802.0,1822.0,1685.0,1701.0,325620000,75000,4,1668.0,1685.0,1393-05-29
2014-08-25,1744.0,1744.0,1744.0,1744.0,1125850,253,1,1701.0,1744.0,1393-06-03
2014-08-27,1704.0,1959.0,1685.0,1762.0,132268000,29410,7,1744.0,1881.0,1393-06-05
2014-08-31,1841.0,1841.0,1841.0,1841.0,56870000,12100,3,1762.0,1841.0,1393-06-09
2014-09-03,1861.0,1861.0,1704.0,1777.0,49110500,10830,2,1841.0,1704.0,1393-06-12
2014-09-08,1763.0,1783.0,1763.0,1770.0,67750000,15000,2,1777.0,1783.0,1393-06-17
2014-09-10,1665.0,1665.0,1579.0,1636.0,248437930,59501,6,1770.0,1579.0,1393-06-19
2014-09-13,1579.0,1606.0,1571.0,1588.0,193014570,47619,6,1636.0,1606.0,1393-06-22
2014-09-15,1763.0,1763.0,1763.0,1763.0,49498000,11000,2,1588.0,1763.0,1393-06-24
2014-09-16,1724.0,1763.0,1610.0,1695.0,119455500,27619,7,1763.0,1763.0,1393-06-25
2014-09-21,1920.0,1920.0,1920.0,1920.0,60760000,12400,1,1695.0,1920.0,1393-06-30
2014-09-22,1959.0,1959.0,1959.0,1959.0,5000000,1000,1,1920.0,1959.0,1393-06-31
2014-09-23,1724.0,1724.0,1724.0,1724.0,8800000,2000,1,1959.0,1724.0,1393-07-01
2014-09-29,1763.0,1763.0,1763.0,1763.0,54012000,12000,1,1724.0,1763.0,1393-07-07
2014-10-06,1783.0,1783.0,1783.0,1783.0,91014000,20000,2,1763.0,1783.0,1393-07-14
2014-10-08,1783.0,1783.0,1783.0,1783.0,527840000,116000,2,1783.0,1783.0,1393-07-16
2014-10-11,1802.0,1802.0,1802.0,1802.0,23000000,5000,2,1783.0,1802.0,1393-07-19
2014-10-14,1802.0,1841.0,1802.0,1832.0,140720000,30100,4,1802.0,1841.0,1393-07-22
2014-10-15,1842.0,1842.0,1814.0,1839.0,164238100,35000,5,1832.0,1841.0,1393-07-23
2014-10-18,1842.0,1842.0,1842.0,1842.0,178185900,37900,2,1839.0,1842.0,1393-07-26
2014-10-20,1861.0,2037.0,1861.0,1910.0,33784470,6930,3,1842.0,2037.0,1393-07-28
2014-10-21,1830.0,1830.0,1646.0,1725.0,629325400,142956,9,1910.0,1646.0,1393-07-29
2014-10-22,1595.0,1728.0,1595.0,1681.0,480918840,112088,8,1725.0,1728.0,1393-07-30
2014-10-25,1959.0,1959.0,1959.0,1959.0,25000000,5000,2,1681.0,1959.0,1393-08-03
2014-10-27,1728.0,2035.0,1728.0,1857.0,136794370,28857,4,1959.0,1861.0,1393-08-05
2014-10-29,2035.0,2037.0,1959.0,2030.0,212972200,41100,8,1857.0,2037.0,1393-08-07
2014-11-02,2037.0,2077.0,2036.0,2065.0,149002920,28270,12,2030.0,2077.0,1393-08-11
2014-11-05,1979.0,1979.0,1959.0,1963.0,664192560,132579,8,2065.0,1959.0,1393-08-14
