date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-03-18,91.0,91.0,91.0,91.0,101000000,100000,1,90.0,91.0,1393-12-27
2015-08-02,102.0,102.0,102.0,102.0,5000000,10000,1,91.0,102.0,1394-05-11
2016-01-26,225.0,225.0,225.0,225.0,3300000,3000,1,102.0,225.0,1394-11-06
2016-01-27,225.0,225.0,225.0,225.0,5110600,4646,1,225.0,225.0,1394-11-07
2016-01-31,235.0,235.0,235.0,235.0,11500000,10000,1,225.0,235.0,1394-11-11
2016-02-07,246.0,246.0,246.0,246.0,2865600,2388,1,235.0,246.0,1394-11-18
2016-02-14,225.0,225.0,225.0,225.0,11000000,10000,1,246.0,225.0,1394-11-25
2016-02-17,205.0,205.0,205.0,205.0,12000000,12000,3,225.0,205.0,1394-11-28
2016-02-20,205.0,205.0,205.0,205.0,47000,47,1,205.0,205.0,1394-12-01
2016-02-24,205.0,205.0,205.0,205.0,1000000,1000,1,205.0,205.0,1394-12-05
2016-03-05,205.0,256.0,205.0,227.0,251105750,226274,4,205.0,256.0,1394-12-15
2016-03-07,205.0,256.0,205.0,230.0,161412000,143502,8,227.0,256.0,1394-12-17
2016-03-09,205.0,205.0,205.0,205.0,30000000,30000,1,230.0,205.0,1394-12-19
2016-03-12,225.0,266.0,225.0,249.0,32838735,27000,5,205.0,266.0,1394-12-22
2016-03-28,220.0,220.0,220.0,220.0,226340000,226340,1,249.0,220.0,1395-01-09
2016-04-03,220.0,220.0,220.0,220.0,1418655000,1418655,3,220.0,220.0,1395-01-15
2016-04-09,220.0,220.0,220.0,220.0,215590000,215590,4,220.0,220.0,1395-01-21
2016-04-16,218.0,218.0,218.0,218.0,49500000,50000,1,220.0,218.0,1395-01-28
2016-04-17,220.0,220.0,220.0,220.0,17000000,17000,1,218.0,220.0,1395-01-29
2016-04-19,220.0,220.0,220.0,220.0,100000,100,1,220.0,220.0,1395-01-31
2016-05-03,220.0,220.0,220.0,220.0,19980000,20000,1,220.0,220.0,1395-02-14
2016-05-14,220.0,220.0,220.0,220.0,11000,11,2,220.0,220.0,1395-02-25
2016-05-16,220.0,220.0,220.0,220.0,2000,2,2,220.0,220.0,1395-02-27
2016-06-21,220.0,220.0,220.0,220.0,5000000,5000,1,220.0,220.0,1395-04-01
2016-09-05,220.0,220.0,220.0,220.0,99800,100,1,220.0,220.0,1395-06-15
2016-09-24,220.0,220.0,220.0,220.0,2495000,2500,1,220.0,220.0,1395-07-03
2016-10-22,219.0,219.0,219.0,219.0,2982000,3000,1,220.0,219.0,1395-08-01
2016-10-23,219.0,219.0,219.0,219.0,4970000,5000,1,219.0,219.0,1395-08-02
2016-10-30,198.0,198.0,198.0,198.0,58198500,64665,1,219.0,198.0,1395-08-09
2017-02-27,187.0,198.0,187.0,197.0,60311200,67568,4,198.0,198.0,1395-12-09
2017-03-07,198.0,198.0,198.0,198.0,10800,12,1,197.0,198.0,1395-12-17
2017-03-18,218.0,218.0,218.0,218.0,28749600,29040,5,198.0,218.0,1395-12-28
2017-03-25,240.0,240.0,240.0,240.0,76921416,70635,13,218.0,240.0,1396-01-05
2017-03-26,264.0,264.0,253.0,261.0,107932000,91000,7,240.0,253.0,1396-01-06
2017-03-27,236.0,251.0,235.0,235.0,165444488,154816,20,261.0,251.0,1396-01-07
2017-03-28,231.0,255.0,225.0,240.0,4146200,3800,4,235.0,255.0,1396-01-08
2017-03-29,216.0,216.0,216.0,216.0,93928300,95650,5,240.0,216.0,1396-01-09
2017-04-04,195.0,231.0,195.0,195.0,58233860,65665,11,216.0,231.0,1396-01-15
2017-04-08,198.0,198.0,198.0,198.0,52673400,58526,5,195.0,198.0,1396-01-19
2017-04-09,215.0,218.0,209.0,218.0,81515500,82400,8,198.0,218.0,1396-01-20
2017-04-10,220.0,239.0,220.0,236.0,80811100,75530,14,218.0,239.0,1396-01-21
2017-04-12,259.0,259.0,227.0,257.0,98176190,84223,10,236.0,259.0,1396-01-23
2017-04-15,281.0,282.0,281.0,282.0,133294202,104061,15,257.0,282.0,1396-01-26
2017-04-16,310.0,310.0,297.0,310.0,278831074,198186,26,282.0,310.0,1396-01-27
2017-04-17,341.0,341.0,279.0,282.0,158072220,123587,12,310.0,286.0,1396-01-28
2017-04-18,308.0,310.0,265.0,272.0,46972000,38000,6,282.0,265.0,1396-01-29
2017-04-19,265.0,298.0,247.0,272.0,127003328,102830,20,272.0,272.0,1396-01-30
2017-04-22,297.0,299.0,297.0,298.0,63488350,47001,8,272.0,297.0,1396-02-02
2017-04-23,327.0,327.0,268.0,287.0,164503044,126411,9,298.0,268.0,1396-02-03
2017-04-24,258.0,258.0,258.0,258.0,52696171,45001,3,287.0,258.0,1396-02-04
2017-04-26,232.0,264.0,232.0,233.0,66961310,63291,9,258.0,232.0,1396-02-06
2017-04-30,256.0,256.0,256.0,256.0,61486900,52900,5,233.0,256.0,1396-02-10
2017-05-01,281.0,282.0,281.0,281.0,54701852,42834,5,256.0,282.0,1396-02-11
2017-05-02,286.0,286.0,286.0,286.0,2104700,1619,1,281.0,286.0,1396-02-12
2017-05-03,284.0,284.0,284.0,284.0,9343470,7243,1,286.0,284.0,1396-02-13
2017-05-06,286.0,313.0,286.0,293.0,98856700,74318,16,284.0,313.0,1396-02-16
