date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2007-09-25,39.0,39.0,39.0,39.0,175282193794,144450000,5047,39.0,39.0,1386-07-03
2007-09-26,40.0,40.0,39.0,40.0,45038781427,36447979,7348,39.0,40.0,1386-07-04
2007-09-29,39.0,40.0,39.0,39.0,10884011153,8970539,1341,40.0,39.0,1386-07-07
2007-09-30,39.0,39.0,39.0,39.0,1389762650,1168850,275,39.0,39.0,1386-07-08
2007-10-01,38.0,38.0,38.0,38.0,1341724362,1150707,145,39.0,38.0,1386-07-09
2007-10-02,37.0,37.0,37.0,37.0,1212026913,1060391,125,38.0,37.0,1386-07-10
2007-10-06,36.0,38.0,36.0,37.0,17106354276,15094738,3008,37.0,37.0,1386-07-14
2007-10-07,37.0,37.0,36.0,36.0,5354185310,4803219,835,37.0,36.0,1386-07-15
2007-10-08,36.0,36.0,35.0,35.0,9870087196,9037202,1125,36.0,35.0,1386-07-16
2007-10-09,36.0,36.0,35.0,36.0,1235560179,1115580,258,35.0,36.0,1386-07-17
2007-10-10,37.0,37.0,35.0,36.0,5162952267,4593565,452,36.0,36.0,1386-07-18
2007-10-14,36.0,36.0,35.0,36.0,3161092685,2880875,427,36.0,36.0,1386-07-22
2007-10-15,35.0,35.0,35.0,35.0,992785280,922600,222,36.0,35.0,1386-07-23
2007-10-16,34.0,34.0,34.0,34.0,429793213,407166,99,35.0,34.0,1386-07-24
2007-10-17,33.0,35.0,33.0,34.0,4174064922,4024195,633,34.0,34.0,1386-07-25
2007-10-20,34.0,34.0,33.0,33.0,1975597875,1911552,356,34.0,33.0,1386-07-28
2007-10-21,33.0,34.0,33.0,33.0,2104763056,2049706,422,33.0,33.0,1386-07-29
2007-10-22,33.0,34.0,33.0,34.0,2006502440,1931112,362,33.0,34.0,1386-07-30
2007-10-23,33.0,34.0,33.0,33.0,1512710569,1469010,272,34.0,33.0,1386-08-01
2007-10-24,33.0,34.0,33.0,34.0,1674777661,1617993,261,33.0,34.0,1386-08-02
2007-10-27,34.0,34.0,34.0,34.0,813478201,780116,179,34.0,34.0,1386-08-05
