date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-10-07,369.0,369.0,369.0,369.0,47100000000,30000000,119907,235.0,369.0,1396-07-15
2017-10-08,388.0,388.0,388.0,388.0,66383088,40281,212,369.0,388.0,1396-07-16
2017-10-09,407.0,407.0,407.0,407.0,54441370,31469,162,388.0,407.0,1396-07-17
2017-10-10,427.0,427.0,427.0,427.0,5610962392,3089737,958,407.0,427.0,1396-07-18
2017-10-11,448.0,448.0,448.0,448.0,6152078158,3227743,1555,427.0,448.0,1396-07-19
2017-10-14,471.0,471.0,471.0,471.0,18191393151,9091151,10501,448.0,471.0,1396-07-22
2017-10-15,487.0,518.0,487.0,506.0,102203963742,47481365,77224,471.0,518.0,1396-07-23
2017-10-16,524.0,534.0,506.0,518.0,33328362313,15129803,18404,506.0,508.0,1396-07-24
2017-10-17,506.0,506.0,476.0,485.0,19509259258,9460539,11721,518.0,480.0,1396-07-25
2017-10-18,479.0,488.0,475.0,479.0,9856415529,4836692,6698,485.0,478.0,1396-07-26
2017-10-21,477.0,478.0,447.0,460.0,10438240827,5333668,4275,479.0,453.0,1396-07-29
2017-10-22,468.0,468.0,454.0,461.0,6831892285,3485897,2544,460.0,459.0,1396-07-30
2017-10-23,464.0,465.0,438.0,456.0,8014985129,4135373,2572,461.0,447.0,1396-08-01
2017-10-24,459.0,461.0,447.0,456.0,5092139901,2627463,1797,456.0,451.0,1396-08-02
2017-10-25,458.0,460.0,452.0,456.0,4907983369,2531443,1572,456.0,459.0,1396-08-03
2017-10-28,461.0,461.0,453.0,457.0,4909250749,2525258,1093,456.0,457.0,1396-08-06
2017-10-29,459.0,459.0,454.0,457.0,4308363319,2216029,1104,457.0,458.0,1396-08-07
2017-10-30,458.0,461.0,452.0,457.0,3167714346,1629980,865,457.0,457.0,1396-08-08
2017-10-31,458.0,482.0,452.0,466.0,5317475170,2681507,1424,457.0,472.0,1396-08-09
2017-11-01,470.0,477.0,459.0,465.0,2143471414,1084442,619,466.0,459.0,1396-08-10
2017-11-04,470.0,470.0,424.0,462.0,3895454914,1984653,811,465.0,466.0,1396-08-13
2017-11-05,463.0,466.0,449.0,462.0,2534072632,1290664,629,462.0,461.0,1396-08-14
2017-11-06,463.0,463.0,454.0,461.0,2069082866,1056752,436,462.0,462.0,1396-08-15
2017-11-07,462.0,466.0,454.0,461.0,1564999677,799261,472,461.0,454.0,1396-08-16
2017-11-08,452.0,461.0,452.0,454.0,685395008,355277,224,461.0,457.0,1396-08-17
2017-11-11,454.0,460.0,447.0,452.0,929052935,483409,277,454.0,453.0,1396-08-20
2017-11-12,450.0,456.0,446.0,448.0,1491832746,783662,410,452.0,452.0,1396-08-21
2017-11-13,447.0,454.0,447.0,448.0,1397912241,734337,349,448.0,447.0,1396-08-22
2017-11-14,447.0,454.0,444.0,447.0,2042363800,1074326,391,448.0,447.0,1396-08-23
2017-11-15,447.0,447.0,440.0,446.0,1330660099,702216,334,447.0,442.0,1396-08-24
2017-11-18,435.0,446.0,432.0,436.0,1006348239,543173,283,446.0,435.0,1396-08-27
2017-11-20,447.0,447.0,429.0,434.0,1009550140,546802,278,436.0,431.0,1396-08-29
2017-11-21,440.0,462.0,440.0,453.0,2360264590,1225746,595,434.0,448.0,1396-08-30
2017-11-22,451.0,454.0,439.0,443.0,1152310274,611472,312,453.0,440.0,1396-09-01
2017-11-25,435.0,442.0,433.0,435.0,1618710502,874361,392,443.0,434.0,1396-09-04
2017-11-26,429.0,440.0,428.0,432.0,1431848586,779470,344,435.0,429.0,1396-09-05
2017-11-28,428.0,433.0,426.0,428.0,1260104884,692958,345,432.0,429.0,1396-09-07
2017-11-29,431.0,438.0,431.0,431.0,989690009,539523,303,428.0,431.0,1396-09-08
2017-12-02,432.0,446.0,432.0,438.0,1375364874,739629,348,431.0,435.0,1396-09-11
2017-12-03,435.0,444.0,431.0,435.0,1719284860,929519,411,438.0,431.0,1396-09-12
2017-12-04,431.0,437.0,431.0,435.0,571609912,309524,289,435.0,436.0,1396-09-13
2017-12-05,436.0,439.0,433.0,435.0,557549343,301441,167,435.0,434.0,1396-09-14
2017-12-09,431.0,452.0,431.0,440.0,2087100161,1116062,559,435.0,440.0,1396-09-18
2017-12-10,440.0,447.0,439.0,441.0,1137872353,607607,279,440.0,439.0,1396-09-19
2017-12-11,447.0,459.0,438.0,450.0,2201500455,1151468,632,441.0,457.0,1396-09-20
2017-12-12,449.0,452.0,440.0,446.0,2321614954,1225176,444,450.0,442.0,1396-09-21
2017-12-13,438.0,460.0,438.0,454.0,3333747062,1727548,693,446.0,457.0,1396-09-22
2017-12-16,459.0,460.0,452.0,456.0,1087120969,560895,310,454.0,452.0,1396-09-25
2017-12-17,447.0,458.0,442.0,447.0,614563786,323354,190,456.0,447.0,1396-09-26
2017-12-18,442.0,447.0,438.0,441.0,942497822,503261,210,447.0,446.0,1396-09-27
2017-12-19,440.0,449.0,438.0,442.0,729250422,388191,249,441.0,439.0,1396-09-28
2017-12-20,439.0,449.0,439.0,444.0,1318772784,699348,545,442.0,442.0,1396-09-29
2017-12-23,442.0,449.0,439.0,443.0,458060826,243204,190,444.0,443.0,1396-10-02
2017-12-24,443.0,460.0,442.0,451.0,1531111035,799031,440,443.0,454.0,1396-10-03
2017-12-25,455.0,455.0,447.0,449.0,924398573,484594,200,451.0,447.0,1396-10-04
2017-12-26,444.0,448.0,439.0,442.0,492249134,261698,172,449.0,442.0,1396-10-05
2017-12-27,439.0,445.0,438.0,440.0,424530681,226822,186,442.0,440.0,1396-10-06
2017-12-30,440.0,440.0,423.0,432.0,874860430,475924,236,440.0,424.0,1396-10-09
2017-12-31,424.0,424.0,389.0,397.0,3745447136,2221438,790,432.0,405.0,1396-10-10
2018-01-01,391.0,424.0,391.0,413.0,1243831326,708209,260,397.0,409.0,1396-10-11
2018-01-02,412.0,412.0,393.0,400.0,888086580,522199,186,413.0,399.0,1396-10-12
2018-01-03,404.0,417.0,391.0,399.0,749581056,441717,181,400.0,400.0,1396-10-13
2018-01-06,400.0,414.0,400.0,408.0,355297187,204896,122,399.0,409.0,1396-10-16
2018-01-07,408.0,417.0,408.0,411.0,301686791,172464,79,408.0,410.0,1396-10-17
2018-01-08,403.0,416.0,403.0,410.0,418699406,240069,98,411.0,407.0,1396-10-18
2018-01-09,415.0,415.0,394.0,397.0,743273813,440010,214,410.0,398.0,1396-10-19
2018-01-10,393.0,407.0,391.0,396.0,1445861972,858223,285,397.0,397.0,1396-10-20
2018-01-13,405.0,406.0,397.0,400.0,628181696,369661,127,396.0,398.0,1396-10-23
