date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2020-07-08,2904.0,2904.0,2904.0,2904.0,1078801193600,337125373,4512223,907.0,2904.0,1399-04-18
2020-07-11,3049.0,3049.0,3049.0,2913.0,2608408320,776312,10678,2904.0,3049.0,1399-04-21
2020-07-12,3058.0,3058.0,3058.0,2922.0,4318894270,1281571,10721,2913.0,3058.0,1399-04-22
2020-07-13,3067.0,3067.0,3067.0,2931.0,4814296240,1424348,12639,2922.0,3067.0,1399-04-23
2020-07-14,3076.0,3076.0,3076.0,2949.0,5205914520,1535668,8519,2931.0,3076.0,1399-04-24
2020-07-15,3094.0,3094.0,3094.0,2958.0,4835086740,1417914,5702,2949.0,3094.0,1399-04-25
2020-07-18,3103.0,3103.0,3103.0,2967.0,4166630460,1218313,9774,2958.0,3103.0,1399-04-28
2020-07-19,3112.0,3112.0,3112.0,2967.0,722296260,210582,2872,2967.0,3112.0,1399-04-29
2020-07-20,3112.0,3112.0,3112.0,2976.0,2940569870,857309,11369,2967.0,3112.0,1399-04-30
2020-07-21,3122.0,3122.0,3122.0,2985.0,2906975440,845051,11377,2976.0,3122.0,1399-04-31
2020-07-22,3131.0,3131.0,3131.0,2994.0,1838977650,533037,7326,2985.0,3131.0,1399-05-01
2020-07-25,3140.0,3140.0,3140.0,3004.0,2812526740,812869,10437,2994.0,3140.0,1399-05-04
2020-07-26,3149.0,3149.0,3149.0,3013.0,4180371460,1204718,7789,3004.0,3149.0,1399-05-05
2020-07-27,3158.0,3158.0,3158.0,3022.0,3043587120,874594,11805,3013.0,3158.0,1399-05-06
2020-07-28,3167.0,3167.0,3167.0,3031.0,4564096360,1307764,17300,3022.0,3167.0,1399-05-07
2020-07-29,3176.0,3176.0,3176.0,3049.0,6882893500,1966541,26832,3031.0,3176.0,1399-05-08
2020-08-01,3194.0,3194.0,3194.0,3058.0,5084400640,1444432,18827,3049.0,3194.0,1399-05-11
2020-08-02,3203.0,3203.0,3203.0,3067.0,4852602750,1374675,18400,3058.0,3203.0,1399-05-12
2020-08-03,3212.0,3212.0,3212.0,3076.0,5141152620,1452303,18195,3067.0,3212.0,1399-05-13
2020-08-04,3221.0,3221.0,3221.0,3094.0,6110540450,1721279,20572,3076.0,3221.0,1399-05-14
2020-08-05,3249.0,3249.0,3249.0,3112.0,5803563060,1621107,15249,3094.0,3249.0,1399-05-15
2020-08-09,3267.0,3267.0,3267.0,3122.0,3797949600,1054986,13676,3112.0,3267.0,1399-05-19
2020-08-10,3276.0,3276.0,3276.0,3131.0,3268143830,905303,12018,3122.0,3276.0,1399-05-20
2020-08-11,3285.0,3285.0,3285.0,3140.0,3507772760,968998,9930,3131.0,3285.0,1399-05-21
2020-08-12,3294.0,3294.0,3294.0,3149.0,2674819950,736865,9000,3140.0,3294.0,1399-05-22
2020-08-15,3303.0,3303.0,3303.0,3158.0,2484846000,682650,8445,3149.0,3303.0,1399-05-25
2020-08-16,3312.0,3312.0,3312.0,3167.0,1767238750,484175,6677,3158.0,3312.0,1399-05-26
2020-08-17,3321.0,3321.0,3321.0,3176.0,2565528240,700964,8289,3167.0,3321.0,1399-05-27
2020-08-18,3330.0,3330.0,3330.0,3185.0,4084603570,1112971,13524,3176.0,3330.0,1399-05-28
2020-08-19,3339.0,3339.0,3339.0,3194.0,2893664960,786322,9645,3185.0,3339.0,1399-05-29
2020-08-22,3348.0,3348.0,3348.0,3203.0,3482053740,943646,11532,3194.0,3348.0,1399-06-01
2020-08-23,3357.0,3357.0,3357.0,3221.0,5107594700,1380431,12952,3203.0,3357.0,1399-06-02
2020-08-24,3376.0,3376.0,3376.0,3249.0,10060747440,2704502,12405,3221.0,3376.0,1399-06-03
2020-08-25,3403.0,3403.0,3403.0,3258.0,3852566250,1027351,12316,3249.0,3403.0,1399-06-04
2020-08-26,3412.0,3412.0,3412.0,3267.0,3851999680,1024468,12202,3258.0,3412.0,1399-06-05
2020-08-31,3430.0,3430.0,3430.0,3285.0,6438833100,1703395,20577,3267.0,3430.0,1399-06-10
