date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2013-11-12,1.0,1.0,1.0,1.0,2500000,1000,1,1.0,1.0,1392-08-21
2013-11-30,1.0,1.0,1.0,1.0,250000,100,1,1.0,1.0,1392-09-09
2013-12-25,1.0,1.0,1.0,1.0,71600000,44750,2,1.0,1.0,1392-10-04
2014-06-09,1.0,1.0,1.0,1.0,140000,100,1,1.0,1.0,1393-03-19
2014-06-11,1.0,1.0,1.0,1.0,70000,50,1,1.0,1.0,1393-03-21
2014-06-14,1.0,1.0,1.0,1.0,168000,120,2,1.0,1.0,1393-03-24
2014-06-17,1.0,1.0,1.0,1.0,70000,50,1,1.0,1.0,1393-03-27
2014-06-21,1.0,1.0,1.0,1.0,14000,10,1,1.0,1.0,1393-03-31
2014-06-22,1.0,1.0,1.0,1.0,26065000,20050,1,1.0,1.0,1393-04-01
2014-08-06,1.0,1.0,1.0,1.0,43400000,31000,2,1.0,1.0,1393-05-15
2014-08-17,1.0,1.0,1.0,1.0,13538000,9670,1,1.0,1.0,1393-05-26
2014-09-06,1.0,1.0,1.0,1.0,6100000,5000,1,1.0,1.0,1393-06-15
2014-09-27,1.0,1.0,1.0,1.0,1342000,1100,2,1.0,1.0,1393-07-05
2014-12-08,1.0,1.0,1.0,1.0,12300000,10000,1,1.0,1.0,1393-09-17
2014-12-24,1.0,1.0,1.0,1.0,4920000,4000,1,1.0,1.0,1393-10-03
2015-01-04,1.0,1.0,1.0,1.0,4920000,4000,1,1.0,1.0,1393-10-14
2016-01-09,1.0,1.0,1.0,1.0,5000000,4000,1,1.0,1.0,1394-10-19
2016-04-30,1.0,1.0,1.0,1.0,120000000,160000,1,1.0,1.0,1395-02-11
2016-07-09,1.0,1.0,1.0,1.0,100200000,100000,1,1.0,1.0,1395-04-19
2016-07-25,1.0,1.0,1.0,1.0,10000000,10000,1,1.0,1.0,1395-05-04
2017-03-13,1.0,1.0,1.0,1.0,10000000,10000,1,1.0,1.0,1395-12-23
2019-04-08,2573.0,2967.0,2573.0,555.0,56020000,20000,2,1.0,2967.0,1398-01-19
2019-05-01,2967.0,2967.0,2967.0,796.0,30000000,10000,1,555.0,2967.0,1398-02-11
2019-05-06,4058.0,5442.0,4058.0,3947.0,390505625,89375,7,796.0,5442.0,1398-02-16
2019-06-08,5934.0,5934.0,5934.0,5934.0,4988130000,831355,52,3947.0,5934.0,1398-03-18
2019-06-12,6448.0,8802.0,6448.0,6859.0,13130958400,1893346,121,5934.0,8802.0,1398-03-22
2019-06-17,9891.0,11878.0,9891.0,10070.0,16990946418,1668710,153,6859.0,11878.0,1398-03-27
2019-06-19,11868.0,12857.0,11868.0,12136.0,14647756000,1193712,180,10070.0,12857.0,1398-03-29
2019-06-22,11274.0,12362.0,11274.0,11825.0,22975486200,1921534,213,12136.0,12362.0,1398-04-01
2019-06-24,12857.0,14139.0,12857.0,13272.0,13120212434,977648,150,11825.0,14139.0,1398-04-03
