date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2016-06-08,54.0,54.0,54.0,54.0,407068734000,228690300,58797,30.0,54.0,1395-03-19
2016-06-11,56.0,56.0,56.0,56.0,4268257728,2283712,852,54.0,56.0,1395-03-22
2016-06-12,57.0,58.0,56.0,57.0,209332376085,111028595,46389,56.0,57.0,1395-03-23
2016-06-13,57.0,57.0,54.0,56.0,59648562600,32398615,14664,57.0,55.0,1395-03-24
2016-06-14,55.0,55.0,54.0,55.0,46453577060,25651855,9559,56.0,55.0,1395-03-25
2016-06-15,55.0,56.0,54.0,55.0,21098804085,11577742,4730,55.0,56.0,1395-03-26
2016-06-18,56.0,56.0,54.0,54.0,14614243636,8115891,3403,55.0,54.0,1395-03-29
2016-06-19,54.0,55.0,52.0,54.0,24499567866,13738049,5942,54.0,53.0,1395-03-30
2016-06-20,53.0,54.0,52.0,54.0,20828376254,11699272,3771,54.0,54.0,1395-03-31
2016-06-21,54.0,55.0,53.0,54.0,9413451677,5262841,2237,54.0,54.0,1395-04-01
2016-06-22,54.0,56.0,54.0,55.0,21956446123,11970045,4298,54.0,55.0,1395-04-02
2016-06-25,55.0,55.0,53.0,54.0,7797462460,4332159,1742,55.0,55.0,1395-04-05
2016-06-26,54.0,55.0,54.0,54.0,8324767607,4646459,1741,54.0,54.0,1395-04-06
2016-06-28,54.0,55.0,53.0,54.0,9557477193,5349040,2059,54.0,54.0,1395-04-08
2016-06-29,54.0,54.0,53.0,53.0,7658220531,4356868,1532,54.0,53.0,1395-04-09
2016-07-02,53.0,56.0,53.0,55.0,28574646312,15619822,4777,53.0,56.0,1395-04-12
2016-07-03,56.0,57.0,56.0,57.0,28115720395,15007615,4852,55.0,56.0,1395-04-13
2016-07-04,55.0,55.0,54.0,55.0,3907618735,2150951,883,57.0,55.0,1395-04-14
2016-07-05,55.0,55.0,54.0,55.0,3001416291,1659679,620,55.0,55.0,1395-04-15
2016-07-09,54.0,55.0,53.0,54.0,3895907773,2175792,769,55.0,54.0,1395-04-19
2016-07-10,54.0,54.0,53.0,54.0,3720013788,2097000,713,54.0,54.0,1395-04-20
2016-07-11,54.0,54.0,53.0,54.0,4733782044,2661236,914,54.0,54.0,1395-04-21
