date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2011-07-27,544.0,680.0,544.0,559.0,20500887140,16639134,2157,454.0,572.0,1390-05-05
2011-07-30,571.0,584.0,544.0,560.0,5909975023,4785226,1123,559.0,560.0,1390-05-08
2011-07-31,551.0,557.0,542.0,547.0,4152573222,3446045,467,560.0,547.0,1390-05-09
2011-08-01,549.0,569.0,540.0,559.0,6855454001,5565188,601,547.0,569.0,1390-05-10
2011-08-02,572.0,587.0,570.0,585.0,6373561553,4943921,456,559.0,587.0,1390-05-11
2011-08-03,614.0,614.0,608.0,614.0,9241041026,6831321,459,585.0,614.0,1390-05-12
2011-08-06,635.0,640.0,614.0,630.0,8580475038,6177251,696,614.0,629.0,1390-05-15
2011-08-07,631.0,631.0,599.0,602.0,2173619155,1637040,275,630.0,599.0,1390-05-16
2011-08-08,587.0,624.0,576.0,598.0,4354370818,3304106,401,602.0,590.0,1390-05-17
2011-08-09,591.0,603.0,577.0,587.0,2256182358,1742620,159,598.0,590.0,1390-05-18
2011-08-10,603.0,616.0,599.0,616.0,6819888167,5022757,351,587.0,616.0,1390-05-19
2011-08-13,635.0,646.0,621.0,639.0,7191857185,5104341,576,616.0,646.0,1390-05-22
2011-08-14,656.0,657.0,617.0,642.0,5127065762,3622921,411,639.0,621.0,1390-05-23
2011-08-15,621.0,635.0,610.0,616.0,1517947468,1118974,129,642.0,610.0,1390-05-24
2011-08-16,635.0,640.0,613.0,634.0,3671197846,2628345,219,616.0,630.0,1390-05-25
2011-08-17,630.0,644.0,608.0,631.0,2859106184,2055515,175,634.0,635.0,1390-05-26
2011-08-20,630.0,630.0,607.0,612.0,373341256,276569,55,631.0,607.0,1390-05-29
2011-08-21,612.0,629.0,582.0,601.0,4442983719,3354594,282,612.0,617.0,1390-05-30
2011-08-23,621.0,628.0,608.0,621.0,959297136,701377,124,601.0,608.0,1390-06-01
2011-08-24,617.0,626.0,606.0,622.0,3628665188,2647314,214,621.0,626.0,1390-06-02
2011-08-27,630.0,630.0,611.0,619.0,448389320,328563,33,622.0,619.0,1390-06-05
