date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-27,1176.0,1176.0,1176.0,1176.0,10366065,1220,2,0.0,1176.0,1380-01-07
2001-04-09,1176.0,1176.0,1176.0,1176.0,977040,115,3,1176.0,1176.0,1380-01-20
2001-04-14,1176.0,1176.0,1176.0,1176.0,8497000,1000,1,1176.0,1176.0,1380-01-25
2001-07-11,526.0,526.0,526.0,526.0,7600000,2000,1,1176.0,526.0,1380-04-20
2001-07-16,526.0,526.0,526.0,526.0,11392400,2998,5,526.0,526.0,1380-04-25
2001-07-17,526.0,526.0,526.0,526.0,3800000,1000,2,526.0,526.0,1380-04-26
2001-07-22,533.0,533.0,533.0,533.0,3850000,1000,1,526.0,533.0,1380-04-31
2001-07-25,535.0,554.0,535.0,554.0,8463320,2120,2,533.0,554.0,1380-05-03
2001-07-28,554.0,554.0,554.0,554.0,2956739,739,2,554.0,554.0,1380-05-06
2001-07-29,568.0,568.0,561.0,568.0,4075000,1000,3,554.0,568.0,1380-05-07
2001-08-07,596.0,596.0,596.0,596.0,8605695,1999,3,568.0,596.0,1380-05-16
2001-08-11,596.0,596.0,596.0,596.0,4735600,1100,4,596.0,596.0,1380-05-20
2001-08-12,596.0,596.0,596.0,596.0,40382432,9376,1,596.0,596.0,1380-05-21
2001-08-27,596.0,596.0,596.0,596.0,2687568,624,1,596.0,596.0,1380-06-05
2001-08-28,596.0,596.0,596.0,596.0,1485915,345,1,596.0,596.0,1380-06-06
2001-09-01,596.0,596.0,596.0,596.0,4996120,1160,3,596.0,596.0,1380-06-10
2001-09-03,596.0,596.0,596.0,596.0,5926432,1376,3,596.0,596.0,1380-06-12
2001-09-08,596.0,596.0,596.0,596.0,4307000,1000,1,596.0,596.0,1380-06-17
2001-09-11,596.0,596.0,596.0,596.0,2153500,500,1,596.0,596.0,1380-06-20
2001-09-17,596.0,596.0,596.0,596.0,2153500,500,1,596.0,596.0,1380-06-26
2001-09-19,596.0,596.0,596.0,596.0,4307000,1000,1,596.0,596.0,1380-06-28
2001-09-24,596.0,596.0,596.0,596.0,3876300,900,2,596.0,596.0,1380-07-02
2001-10-03,596.0,596.0,596.0,596.0,3014900,700,1,596.0,596.0,1380-07-11
2001-10-10,596.0,596.0,596.0,596.0,5942280,1380,2,596.0,596.0,1380-07-18
2001-10-20,596.0,596.0,596.0,596.0,19793181,4600,5,596.0,596.0,1380-07-28
2001-10-22,595.0,595.0,595.0,595.0,430000,100,1,596.0,595.0,1380-07-30
2001-11-03,566.0,566.0,566.0,566.0,13480500,3300,7,595.0,566.0,1380-08-12
2001-11-12,554.0,554.0,554.0,554.0,4000000,1000,1,566.0,554.0,1380-08-21
2001-11-14,553.0,553.0,553.0,553.0,17991000,4500,4,554.0,553.0,1380-08-23
2001-11-17,540.0,540.0,540.0,540.0,3900000,1000,1,553.0,540.0,1380-08-26
2001-11-19,540.0,540.0,540.0,540.0,1950000,500,1,540.0,540.0,1380-08-28
2001-11-24,540.0,540.0,540.0,540.0,5850000,1500,1,540.0,540.0,1380-09-03
2001-11-25,540.0,540.0,540.0,540.0,3896100,999,1,540.0,540.0,1380-09-04
2001-11-26,540.0,540.0,540.0,540.0,3584100,919,2,540.0,540.0,1380-09-05
2001-12-02,554.0,554.0,554.0,554.0,31920000,7980,2,540.0,554.0,1380-09-11
2001-12-03,554.0,554.0,554.0,554.0,16080000,4020,1,554.0,554.0,1380-09-12
2001-12-12,554.0,554.0,554.0,554.0,14407200,3600,1,554.0,554.0,1380-09-21
2001-12-17,554.0,554.0,554.0,554.0,16000000,4000,2,554.0,554.0,1380-09-26
2001-12-19,554.0,554.0,554.0,554.0,6880000,1720,2,554.0,554.0,1380-09-28
2001-12-24,554.0,554.0,554.0,554.0,8000000,2000,2,554.0,554.0,1380-10-03
2001-12-26,554.0,554.0,554.0,554.0,16000000,4000,3,554.0,554.0,1380-10-05
2001-12-29,554.0,554.0,554.0,554.0,3200000,800,1,554.0,554.0,1380-10-08
2001-12-30,554.0,554.0,554.0,554.0,31488000,7872,1,554.0,554.0,1380-10-09
2002-01-01,554.0,554.0,554.0,554.0,16512000,4128,3,554.0,554.0,1380-10-11
2002-01-06,554.0,554.0,554.0,554.0,16000000,4000,4,554.0,554.0,1380-10-16
2002-01-07,554.0,554.0,554.0,554.0,20000000,5000,3,554.0,554.0,1380-10-17
2002-01-08,526.0,554.0,526.0,554.0,11600000,3000,2,554.0,554.0,1380-10-18
2002-01-13,554.0,554.0,554.0,554.0,18400000,4600,2,554.0,554.0,1380-10-23
2002-01-14,554.0,554.0,554.0,554.0,4399787,1100,2,554.0,554.0,1380-10-24
2002-01-16,554.0,554.0,554.0,554.0,13204000,3301,2,554.0,554.0,1380-10-26
2002-01-19,554.0,554.0,554.0,554.0,2160000,540,1,554.0,554.0,1380-10-29
2002-01-20,554.0,554.0,554.0,554.0,5840000,1460,1,554.0,554.0,1380-10-30
2002-01-21,554.0,554.0,554.0,554.0,14600000,3650,21,554.0,554.0,1380-11-01
2002-01-26,561.0,561.0,561.0,561.0,43347150,10703,4,554.0,561.0,1380-11-06
2002-01-27,561.0,561.0,561.0,561.0,24300000,6000,3,561.0,561.0,1380-11-07
2002-01-28,561.0,561.0,561.0,561.0,1215000,300,2,561.0,561.0,1380-11-08
2002-01-30,561.0,568.0,561.0,568.0,24386350,5957,4,561.0,568.0,1380-11-10
2002-02-03,567.0,567.0,567.0,567.0,5327400,1300,1,568.0,567.0,1380-11-14
2002-02-05,567.0,567.0,567.0,567.0,7009290,1710,2,567.0,567.0,1380-11-16
2002-02-06,567.0,567.0,567.0,567.0,36873000,9000,5,567.0,567.0,1380-11-17
2002-02-25,567.0,567.0,567.0,567.0,71405568,17433,8,567.0,567.0,1380-12-06
2002-02-26,567.0,567.0,567.0,567.0,234778624,57319,42,567.0,567.0,1380-12-07
2002-02-27,567.0,567.0,567.0,567.0,74051594,18079,22,567.0,567.0,1380-12-08
2002-03-02,567.0,567.0,567.0,567.0,4056030,990,1,567.0,567.0,1380-12-11
2002-03-04,567.0,567.0,567.0,567.0,34873344,8514,11,567.0,567.0,1380-12-13
2002-03-05,565.0,565.0,565.0,565.0,122370000,30000,52,567.0,565.0,1380-12-14
2002-03-06,562.0,562.0,553.0,553.0,121110000,30000,57,565.0,553.0,1380-12-15
2002-03-09,526.0,526.0,526.0,526.0,83578000,22000,35,553.0,526.0,1380-12-18
2002-03-10,526.0,526.0,526.0,526.0,151920000,40000,68,526.0,526.0,1380-12-19
