date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2015-11-08,2421.0,2421.0,2179.0,2329.0,163456765,63157,23,900.0,2179.0,1394-08-17
2015-11-09,2097.0,2097.0,2097.0,2097.0,216624760,92972,34,2329.0,2097.0,1394-08-18
2015-11-10,1887.0,1962.0,1887.0,1898.0,1375003327,652063,215,2097.0,1889.0,1394-08-19
2015-11-11,1891.0,1899.0,1861.0,1889.0,41007059,19539,17,1898.0,1890.0,1394-08-20
2015-11-14,1853.0,1854.0,1755.0,1841.0,202710035,99117,30,1889.0,1800.0,1394-08-23
2015-11-15,1755.0,1755.0,1711.0,1721.0,119620873,62574,27,1841.0,1713.0,1394-08-24
2015-11-16,1719.0,1730.0,1665.0,1691.0,339532996,180685,48,1721.0,1670.0,1394-08-25
2015-11-17,1602.0,1710.0,1602.0,1697.0,895960667,475409,148,1691.0,1710.0,1394-08-26
2015-11-18,1773.0,1866.0,1710.0,1846.0,1945172054,948628,236,1697.0,1866.0,1394-08-27
2015-11-21,1971.0,1971.0,1868.0,1877.0,1691370605,811050,312,1846.0,1868.0,1394-08-30
2015-12-07,1881.0,1881.0,1693.0,1746.0,696920476,359200,101,1877.0,1693.0,1394-09-16
2015-12-08,1733.0,1733.0,1571.0,1593.0,352108308,198913,74,1746.0,1571.0,1394-09-17
2015-12-09,1557.0,1557.0,1468.0,1529.0,455644380,268128,76,1593.0,1530.0,1394-09-18
2015-12-13,1472.0,1472.0,1382.0,1401.0,238792137,153407,52,1529.0,1392.0,1394-09-22
2015-12-14,1395.0,1485.0,1395.0,1441.0,351405356,219488,76,1401.0,1415.0,1394-09-23
2015-12-15,1484.0,1484.0,1422.0,1446.0,117722192,73264,32,1441.0,1449.0,1394-09-24
2015-12-16,1427.0,1481.0,1427.0,1457.0,109006126,67336,35,1446.0,1429.0,1394-09-25
2015-12-19,1475.0,1476.0,1395.0,1453.0,315650297,195560,59,1457.0,1476.0,1394-09-28
2015-12-20,1351.0,1509.0,1351.0,1466.0,206444183,126715,49,1453.0,1485.0,1394-09-29
2015-12-21,1440.0,1612.0,1440.0,1572.0,942802175,539548,130,1466.0,1612.0,1394-09-30
2015-12-22,1701.0,1707.0,1620.0,1688.0,145559454,77588,40,1572.0,1690.0,1394-10-01
2015-12-23,1620.0,1690.0,1589.0,1633.0,105313576,58051,46,1688.0,1661.0,1394-10-02
2015-12-26,1620.0,1620.0,1481.0,1553.0,128802312,74650,38,1633.0,1526.0,1394-10-05
2015-12-27,1593.0,1593.0,1430.0,1466.0,689159108,422978,117,1553.0,1440.0,1394-10-06
2015-12-28,1440.0,1440.0,1320.0,1373.0,807668261,529393,121,1466.0,1320.0,1394-10-07
2015-12-30,1301.0,1301.0,1237.0,1250.0,1678241753,1208414,241,1373.0,1269.0,1394-10-09
2016-01-02,1215.0,1259.0,1154.0,1209.0,761594157,567206,122,1250.0,1214.0,1394-10-12
2016-06-18,1576.0,1576.0,1575.0,1575.0,17536684772,10020347,389,1209.0,1575.0,1395-03-29
2016-06-19,1575.0,1575.0,1575.0,1575.0,24514236250,14008135,577,1575.0,1575.0,1395-03-30
2020-05-04,16082.0,16082.0,14474.0,14613.0,137794965370,8487146,1247,1575.0,14474.0,1399-02-15
2020-05-05,14598.0,14760.0,13152.0,13729.0,545671524819,35771880,7026,14613.0,13152.0,1399-02-16
2020-05-06,13482.0,14040.0,12375.0,13084.0,334370457620,23000573,4610,13729.0,13112.0,1399-02-17
2020-05-09,13815.0,14391.0,13069.0,14156.0,258336642340,16425779,2754,13084.0,14391.0,1399-02-20
2020-05-10,15570.0,15570.0,14405.0,15321.0,405227443512,23804147,4684,14156.0,15570.0,1399-02-21
2020-05-11,15300.0,15840.0,15300.0,15503.0,23814280145,1382574,344,15321.0,15840.0,1399-02-22
2020-05-16,13953.0,13953.0,12558.0,12595.0,214683928489,15341325,2583,15503.0,12558.0,1399-02-27
2020-05-17,12321.0,12798.0,11574.0,12194.0,141654486588,10455160,2312,12595.0,12375.0,1399-02-28
2020-05-18,13050.0,13413.0,12600.0,13295.0,239472628910,16210965,2637,12194.0,13413.0,1399-02-29
2020-05-19,13518.0,14625.0,13518.0,14450.0,419119956878,26104451,4167,13295.0,14625.0,1399-02-30
2020-05-20,15111.0,15660.0,13412.0,14657.0,325563892863,19991975,4270,14450.0,14535.0,1399-02-31
2020-05-23,14400.0,14520.0,13192.0,13477.0,167642911126,11195744,1867,14657.0,13192.0,1399-03-03
2020-05-26,13477.0,14657.0,13477.0,13477.0,14633420939,1085807,307,13477.0,13477.0,1399-03-06
2020-05-27,12390.0,14000.0,12390.0,13081.0,264980339735,20256665,3330,13477.0,13000.0,1399-03-07
2020-05-30,13850.0,14389.0,13850.0,14308.0,113490897407,7932150,1382,13081.0,14389.0,1399-03-10
2020-06-01,15998.0,16950.0,14852.0,15359.0,222101206907,14460221,3182,14308.0,14952.0,1399-03-12
2020-06-02,15495.0,15500.0,14010.0,14732.0,274250593279,18616238,3454,15359.0,14391.0,1399-03-13
2020-06-06,14844.0,16205.0,14844.0,15769.0,399011878051,25302796,3942,14732.0,16205.0,1399-03-17
2020-06-07,16899.0,17345.0,16301.0,17174.0,266302939325,15505891,3396,15769.0,17132.0,1399-03-18
2020-06-08,17000.0,17700.0,15924.0,16829.0,352469027884,20944629,4251,17174.0,16688.0,1399-03-19
2020-06-09,16818.0,18100.0,16094.0,17509.0,294962970142,16845895,3700,16829.0,17800.0,1399-03-20
