date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-12-09,0.0,0.0,0.0,0.0,1066000,533,1,0.0,0.0,1380-09-18
2001-12-09,3640.0,3640.0,3640.0,3640.0,1066000,533,1,0.0,3640.0,1380-09-18
2001-12-11,3640.0,3822.0,3640.0,3822.0,8306000,4003,4,3640.0,3822.0,1380-09-20
2001-12-11,3822.0,4013.0,3822.0,4013.0,8306000,4003,4,3822.0,4013.0,1380-09-20
2001-12-12,4013.0,4020.0,4013.0,4020.0,901120,429,2,4013.0,4020.0,1380-09-21
2001-12-12,4020.0,4028.0,4020.0,4028.0,901120,429,2,4020.0,4028.0,1380-09-21
2001-12-17,4212.0,4221.0,4212.0,4221.0,6865800,3114,3,4028.0,4221.0,1380-09-26
2001-12-17,4414.0,4424.0,4414.0,4424.0,6865800,3114,3,4221.0,4424.0,1380-09-26
2001-12-18,4534.0,4534.0,4534.0,4534.0,1041860,461,2,4424.0,4534.0,1380-09-27
2001-12-18,4647.0,4647.0,4647.0,4647.0,1041860,461,2,4534.0,4647.0,1380-09-27
2001-12-19,4763.0,4763.0,4763.0,4763.0,2316000,1000,1,4647.0,4763.0,1380-09-28
2001-12-19,4881.0,4881.0,4881.0,4881.0,2316000,1000,1,4763.0,4881.0,1380-09-28
2001-12-22,5001.0,5001.0,5001.0,5001.0,740376,312,3,4881.0,5001.0,1380-10-01
2001-12-22,5124.0,5124.0,5124.0,5124.0,740376,312,3,5001.0,5124.0,1380-10-01
2001-12-23,5251.0,5251.0,5251.0,5251.0,936320,385,3,5124.0,5251.0,1380-10-02
2001-12-23,5382.0,5382.0,5382.0,5382.0,936320,385,3,5251.0,5382.0,1380-10-02
2001-12-24,5515.0,5515.0,5515.0,5515.0,1933792,776,3,5382.0,5515.0,1380-10-03
2001-12-24,5651.0,5651.0,5651.0,5651.0,1933792,776,3,5515.0,5651.0,1380-10-03
2001-12-25,5791.0,5791.0,5791.0,5791.0,1277000,500,2,5651.0,5791.0,1380-10-04
2001-12-25,5935.0,5935.0,5935.0,5935.0,1277000,500,2,5791.0,5935.0,1380-10-04
2002-01-02,6082.0,6082.0,6082.0,6082.0,1295415,495,4,5935.0,6082.0,1380-10-12
2002-01-02,6232.0,6232.0,6232.0,6232.0,1295415,495,4,6082.0,6232.0,1380-10-12
2002-01-05,6294.0,6294.0,6294.0,6294.0,7913142,2994,3,6232.0,6294.0,1380-10-15
2002-01-05,6356.0,6356.0,6356.0,6356.0,7913142,2994,3,6294.0,6356.0,1380-10-15
2002-01-06,6419.0,6419.0,6419.0,6419.0,741982,278,2,6356.0,6419.0,1380-10-16
2002-01-06,6482.0,6482.0,6482.0,6482.0,741982,278,2,6419.0,6482.0,1380-10-16
2002-01-08,6545.0,6545.0,6545.0,6545.0,606375,225,1,6482.0,6545.0,1380-10-18
2002-01-08,6609.0,6609.0,6609.0,6609.0,606375,225,1,6545.0,6609.0,1380-10-18
2002-01-12,6673.0,6673.0,6673.0,6673.0,394545,145,3,6609.0,6673.0,1380-10-22
2002-01-12,6737.0,6737.0,6737.0,6737.0,394545,145,3,6673.0,6737.0,1380-10-22
2002-01-13,6804.0,6804.0,6804.0,6804.0,607308,221,1,6737.0,6804.0,1380-10-23
