date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-09,53.0,53.0,53.0,53.0,12391500,3490,3,53.0,53.0,1380-01-20
2001-04-10,53.0,53.0,53.0,53.0,7106000,2000,1,53.0,53.0,1380-01-21
2001-04-17,55.0,56.0,55.0,56.0,7461860,2020,4,53.0,56.0,1380-01-28
2001-04-29,56.0,56.0,56.0,56.0,373000,100,1,56.0,56.0,1380-02-09
2001-04-30,56.0,56.0,56.0,56.0,235892660,63242,7,56.0,56.0,1380-02-10
2001-05-02,59.0,59.0,59.0,59.0,3916000,1000,1,56.0,59.0,1380-02-12
2001-05-05,62.0,62.0,62.0,62.0,4855091,1181,2,59.0,62.0,1380-02-15
2001-05-07,62.0,62.0,62.0,62.0,5755400,1400,1,62.0,62.0,1380-02-17
2001-05-08,62.0,62.0,62.0,62.0,6577600,1600,3,62.0,62.0,1380-02-18
2001-05-09,62.0,62.0,62.0,62.0,5344300,1300,1,62.0,62.0,1380-02-19
2001-05-12,62.0,62.0,62.0,62.0,38890060,9460,2,62.0,62.0,1380-02-22
2001-05-16,62.0,62.0,62.0,62.0,267165,65,2,62.0,62.0,1380-02-26
2001-05-19,62.0,62.0,62.0,62.0,100097612,24361,15,62.0,62.0,1380-02-29
2001-05-20,62.0,62.0,62.0,62.0,5423630,1320,4,62.0,62.0,1380-02-30
2001-05-21,62.0,62.0,62.0,62.0,23310357,5673,2,62.0,62.0,1380-02-31
2001-05-23,61.0,61.0,61.0,61.0,8200000,2000,3,62.0,61.0,1380-03-02
2001-05-26,62.0,62.0,61.0,62.0,68481900,16630,18,61.0,62.0,1380-03-05
2001-05-27,62.0,62.0,62.0,62.0,25480400,6120,6,62.0,62.0,1380-03-06
2001-05-28,62.0,62.0,62.0,62.0,6255000,1500,1,62.0,62.0,1380-03-07
2001-05-29,62.0,62.0,62.0,62.0,5062380,1214,2,62.0,62.0,1380-03-08
2001-05-30,62.0,63.0,62.0,63.0,35105200,8361,10,62.0,63.0,1380-03-09
2001-06-02,63.0,64.0,63.0,64.0,9035940,2127,6,63.0,64.0,1380-03-12
2001-06-03,64.0,64.0,64.0,64.0,9775000,2300,3,64.0,64.0,1380-03-13
2001-06-06,64.0,65.0,64.0,65.0,44101744,10298,6,64.0,65.0,1380-03-16
2001-06-09,65.0,65.0,65.0,65.0,1723200,400,3,65.0,65.0,1380-03-19
2001-06-11,65.0,65.0,65.0,65.0,1210548,281,1,65.0,65.0,1380-03-21
2001-06-16,65.0,65.0,65.0,65.0,13409575,3111,7,65.0,65.0,1380-03-26
2001-06-17,65.0,65.0,64.0,64.0,8756271,2034,9,65.0,64.0,1380-03-27
2001-06-18,62.0,64.0,62.0,64.0,12549041,3000,3,64.0,64.0,1380-03-28
2001-06-20,64.0,64.0,64.0,64.0,1272000,300,1,64.0,64.0,1380-03-30
2001-06-23,63.0,63.0,63.0,63.0,1412720,334,2,64.0,63.0,1380-04-02
2001-06-24,63.0,63.0,63.0,63.0,9183362,2191,10,63.0,63.0,1380-04-03
2001-06-25,62.0,62.0,62.0,62.0,991850,239,1,63.0,62.0,1380-04-04
2001-06-26,60.0,60.0,60.0,60.0,5056000,1264,3,62.0,60.0,1380-04-05
2001-06-27,60.0,60.0,60.0,60.0,11968000,2992,4,60.0,60.0,1380-04-06
2001-06-30,60.0,60.0,60.0,60.0,11995775,3000,4,60.0,60.0,1380-04-09
2001-07-01,60.0,60.0,60.0,60.0,10432000,2608,1,60.0,60.0,1380-04-10
2001-07-02,60.0,60.0,60.0,60.0,460000,115,2,60.0,60.0,1380-04-11
2001-07-03,60.0,60.0,60.0,60.0,5928000,1482,7,60.0,60.0,1380-04-12
2001-07-04,60.0,60.0,60.0,60.0,2408602,602,2,60.0,60.0,1380-04-13
2001-07-07,60.0,60.0,60.0,60.0,108081,27,2,60.0,60.0,1380-04-16
2001-07-08,60.0,62.0,60.0,62.0,33367620,8140,7,60.0,62.0,1380-04-17
2001-07-09,62.0,62.0,62.0,62.0,15309750,3725,6,62.0,62.0,1380-04-18
2001-10-03,54.0,54.0,54.0,54.0,9817625,2727,16,62.0,54.0,1380-07-11
2001-10-06,54.0,54.0,54.0,54.0,21288192,5926,3,54.0,54.0,1380-07-14
2001-10-07,51.0,51.0,51.0,51.0,8901104,2608,4,54.0,51.0,1380-07-15
2001-10-17,51.0,51.0,51.0,51.0,20752014,6126,7,51.0,51.0,1380-07-25
2001-10-21,51.0,51.0,51.0,51.0,8866752,2617,10,51.0,51.0,1380-07-29
2001-10-23,51.0,51.0,51.0,51.0,17317917,5112,7,51.0,51.0,1380-08-01
2001-10-24,51.0,51.0,51.0,51.0,12159532,3589,3,51.0,51.0,1380-08-02
2001-10-27,51.0,51.0,51.0,51.0,3388000,1000,1,51.0,51.0,1380-08-05
2001-10-28,51.0,51.0,51.0,51.0,20334000,6000,2,51.0,51.0,1380-08-06
2001-10-29,51.0,51.0,51.0,51.0,6776000,2000,2,51.0,51.0,1380-08-07
2001-10-30,51.0,51.0,51.0,51.0,2208757,652,2,51.0,51.0,1380-08-08
2001-10-31,51.0,51.0,51.0,51.0,7656880,2260,5,51.0,51.0,1380-08-09
2001-11-03,51.0,51.0,51.0,51.0,4289208,1266,3,51.0,51.0,1380-08-12
2001-11-04,51.0,51.0,51.0,51.0,4434892,1309,2,51.0,51.0,1380-08-13
2001-11-05,51.0,51.0,51.0,51.0,339200,100,2,51.0,51.0,1380-08-14
2001-11-07,53.0,53.0,53.0,53.0,14310050,4031,6,51.0,53.0,1380-08-16
2001-11-10,53.0,53.0,53.0,53.0,62142500,17500,2,53.0,53.0,1380-08-19
2001-11-11,53.0,53.0,53.0,53.0,1107912,312,1,53.0,53.0,1380-08-20
2001-11-12,53.0,53.0,53.0,53.0,12279638,3458,8,53.0,53.0,1380-08-21
2001-11-13,53.0,56.0,53.0,56.0,20476210,5572,3,53.0,56.0,1380-08-22
2001-11-14,56.0,56.0,56.0,56.0,745600,200,2,56.0,56.0,1380-08-23
2001-11-17,56.0,56.0,56.0,56.0,21680575,5811,6,56.0,56.0,1380-08-26
2001-11-21,55.0,55.0,55.0,55.0,12519500,3430,1,56.0,55.0,1380-08-30
2001-11-24,55.0,55.0,55.0,55.0,6069461,1663,2,55.0,55.0,1380-09-03
2001-11-25,55.0,55.0,55.0,55.0,10761623,2950,6,55.0,55.0,1380-09-04
2001-11-27,55.0,55.0,55.0,55.0,1750359,481,4,55.0,55.0,1380-09-06
2001-12-04,54.0,54.0,54.0,54.0,900000,250,1,55.0,54.0,1380-09-13
2001-12-05,54.0,54.0,54.0,54.0,3296369,921,8,54.0,54.0,1380-09-14
2001-12-09,53.0,53.0,53.0,53.0,16995390,4800,6,54.0,53.0,1380-09-18
2001-12-11,53.0,53.0,53.0,53.0,2119065,597,3,53.0,53.0,1380-09-20
2001-12-12,53.0,53.0,53.0,53.0,216489,61,2,53.0,53.0,1380-09-21
2001-12-17,53.0,53.0,53.0,53.0,5452776,1537,2,53.0,53.0,1380-09-26
2001-12-18,53.0,53.0,53.0,53.0,17703186,5000,2,53.0,53.0,1380-09-27
2001-12-26,53.0,53.0,53.0,53.0,990640,280,1,53.0,53.0,1380-10-05
2002-01-01,53.0,53.0,53.0,53.0,11684790,3329,1,53.0,53.0,1380-10-11
2002-01-08,52.0,52.0,52.0,52.0,1090752,312,1,53.0,52.0,1380-10-18
2002-01-12,51.0,51.0,50.0,50.0,4820200,1432,7,52.0,50.0,1380-10-22
2002-01-13,50.0,50.0,50.0,50.0,12184236,3636,2,50.0,50.0,1380-10-23
2002-01-14,50.0,50.0,50.0,50.0,1133314,338,2,50.0,50.0,1380-10-24
2002-01-15,51.0,51.0,51.0,51.0,6422600,1889,3,50.0,51.0,1380-10-25
2002-01-20,51.0,51.0,51.0,51.0,680200,200,1,51.0,51.0,1380-10-30
2002-01-22,54.0,54.0,53.0,54.0,109081237,30603,21,51.0,54.0,1380-11-02
2002-01-26,54.0,54.0,54.0,54.0,40518000,11255,6,54.0,54.0,1380-11-06
2002-01-27,54.0,54.0,54.0,54.0,18000000,5000,6,54.0,54.0,1380-11-07
2002-01-29,54.0,54.0,54.0,54.0,2003472,557,2,54.0,54.0,1380-11-09
2002-01-30,54.0,54.0,54.0,54.0,124169532,34495,30,54.0,54.0,1380-11-10
2002-02-03,54.0,54.0,54.0,54.0,808200,225,1,54.0,54.0,1380-11-14
2002-02-06,54.0,54.0,54.0,54.0,15134621,4215,14,54.0,54.0,1380-11-17
2002-02-12,54.0,54.0,54.0,54.0,1675440,468,1,54.0,54.0,1380-11-23
2002-02-17,54.0,54.0,54.0,54.0,58795812,16428,4,54.0,54.0,1380-11-28
2002-03-06,53.0,53.0,53.0,53.0,40766970,11528,9,54.0,53.0,1380-12-15
2002-03-09,53.0,53.0,53.0,53.0,593880,168,1,53.0,53.0,1380-12-18
2002-03-10,52.0,52.0,52.0,52.0,3016424,874,6,53.0,52.0,1380-12-19
2002-03-12,52.0,52.0,52.0,52.0,14000000,4000,1,52.0,52.0,1380-12-21
2002-03-16,52.0,52.0,52.0,52.0,3499000,1000,1,52.0,52.0,1380-12-25
2002-03-17,52.0,52.0,52.0,52.0,1529063,437,1,52.0,52.0,1380-12-26
2002-03-18,52.0,52.0,52.0,52.0,10497000,3000,1,52.0,52.0,1380-12-27
2002-03-19,52.0,52.0,52.0,52.0,19757517,5653,7,52.0,52.0,1380-12-28
2002-03-26,52.0,52.0,52.0,52.0,5040092,1442,2,52.0,52.0,1381-01-06
2002-03-27,52.0,52.0,52.0,52.0,5244000,1500,1,52.0,52.0,1381-01-07
2002-03-30,52.0,52.0,52.0,52.0,20976000,6000,2,52.0,52.0,1381-01-10
2002-04-06,52.0,52.0,52.0,52.0,6545248,1875,2,52.0,52.0,1381-01-17
2002-04-07,52.0,52.0,52.0,52.0,19973205,5705,1,52.0,52.0,1381-01-18
2002-04-08,54.0,54.0,54.0,54.0,95220000,26450,6,52.0,54.0,1381-01-19
2002-04-09,54.0,54.0,54.0,54.0,99920548,27748,6,54.0,54.0,1381-01-20
2002-04-14,55.0,55.0,55.0,55.0,11100000,3000,2,54.0,55.0,1381-01-25
2002-04-15,57.0,58.0,56.0,58.0,16425000,4300,5,55.0,58.0,1381-01-26
2002-04-16,58.0,58.0,58.0,58.0,155184502,39938,16,58.0,58.0,1381-01-27
2002-04-17,58.0,59.0,58.0,59.0,7070790,1810,3,58.0,59.0,1381-01-28
2002-04-20,58.0,58.0,58.0,58.0,15600000,4000,3,59.0,58.0,1381-01-31
2002-04-21,58.0,58.0,58.0,58.0,11701000,3000,5,58.0,58.0,1381-02-01
2002-04-22,58.0,58.0,58.0,58.0,23400000,6000,4,58.0,58.0,1381-02-02
2002-04-23,58.0,58.0,58.0,58.0,14285700,3663,3,58.0,58.0,1381-02-03
2002-04-24,58.0,60.0,58.0,58.0,17234090,4367,7,58.0,58.0,1381-02-04
2002-04-28,58.0,58.0,58.0,58.0,12454473,3191,4,58.0,58.0,1381-02-08
2002-04-29,58.0,58.0,58.0,58.0,46822746,12000,6,58.0,58.0,1381-02-09
2002-05-05,57.0,57.0,57.0,57.0,3800000,1000,1,58.0,57.0,1381-02-15
2002-05-08,57.0,57.0,57.0,57.0,16525098,4351,2,57.0,57.0,1381-02-18
2002-05-12,57.0,57.0,57.0,57.0,29223832,7698,11,57.0,57.0,1381-02-22
2002-05-15,57.0,57.0,57.0,57.0,28063323,7397,6,57.0,57.0,1381-02-25
2002-05-20,57.0,57.0,57.0,57.0,7644500,2025,2,57.0,57.0,1381-02-30
2002-05-21,57.0,57.0,57.0,57.0,6778558,1798,3,57.0,57.0,1381-02-31
2002-05-26,56.0,56.0,56.0,56.0,134137928,35732,5,57.0,56.0,1381-03-05
2002-05-27,55.0,55.0,55.0,55.0,4440000,1200,5,56.0,55.0,1381-03-06
2002-05-28,55.0,56.0,55.0,56.0,75942612,20400,14,55.0,56.0,1381-03-07
2002-06-12,54.0,54.0,54.0,54.0,7200000,2000,4,56.0,54.0,1381-03-22
2002-06-15,52.0,52.0,52.0,52.0,885500,253,1,54.0,52.0,1381-03-25
2002-06-16,52.0,52.0,52.0,52.0,5015308,1433,7,52.0,52.0,1381-03-26
