date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-25,6395.0,6396.0,6395.0,6396.0,2975120,314,2,6395.0,6396.0,1380-01-05
2001-03-27,6143.0,6143.0,6143.0,6143.0,578987418,63618,7,6396.0,6143.0,1380-01-07
2001-04-08,6143.0,6143.0,6143.0,6143.0,9100000,1000,2,6143.0,6143.0,1380-01-19
2001-04-10,6143.0,6143.0,6143.0,6143.0,23077600,2536,2,6143.0,6143.0,1380-01-21
2001-04-15,6143.0,6143.0,6143.0,6143.0,3312400,364,1,6143.0,6143.0,1380-01-26
2001-04-16,6145.0,6145.0,6145.0,6145.0,4114556,452,1,6143.0,6145.0,1380-01-27
2001-04-17,6145.0,6145.0,6144.0,6144.0,12324656,1354,4,6145.0,6144.0,1380-01-28
2001-04-21,6143.0,6143.0,6143.0,6143.0,673400,74,1,6144.0,6143.0,1380-02-01
2001-04-22,6143.0,6143.0,6143.0,6143.0,1765400,194,1,6143.0,6143.0,1380-02-02
2001-04-23,6143.0,6143.0,6143.0,6143.0,1092051,120,2,6143.0,6143.0,1380-02-03
2001-04-24,6143.0,6143.0,6143.0,6143.0,18347600,2016,3,6143.0,6143.0,1380-02-04
2001-04-29,6145.0,6145.0,6145.0,6145.0,1383666,152,2,6143.0,6145.0,1380-02-09
2001-04-30,6154.0,6154.0,6154.0,6154.0,6892452,756,2,6145.0,6154.0,1380-02-10
2001-05-01,6190.0,6210.0,6190.0,6210.0,28550020,3104,3,6154.0,6210.0,1380-02-11
2001-05-02,6210.0,6210.0,6210.0,6210.0,14039200,1526,6,6210.0,6210.0,1380-02-12
2001-05-07,6244.0,6244.0,6244.0,6244.0,2090500,226,2,6210.0,6244.0,1380-02-17
2001-05-09,6245.0,6246.0,6245.0,6246.0,12248792,1324,3,6244.0,6246.0,1380-02-19
2001-05-13,6249.0,6257.0,6249.0,6257.0,28219519,3047,9,6246.0,6257.0,1380-02-23
2001-05-15,6260.0,6260.0,6260.0,6260.0,37092000,4000,4,6257.0,6260.0,1380-02-25
2001-05-16,6345.0,6345.0,6345.0,6345.0,9400000,1000,2,6260.0,6345.0,1380-02-26
2001-05-19,6345.0,6345.0,6345.0,6345.0,29610000,3150,9,6345.0,6345.0,1380-02-29
2001-05-20,6346.0,6346.0,6346.0,6346.0,8479702,902,6,6345.0,6346.0,1380-02-30
2001-05-21,6347.0,6347.0,6347.0,6347.0,10155160,1080,5,6346.0,6347.0,1380-02-31
2001-05-27,6350.0,6350.0,6350.0,6350.0,1702667,181,1,6347.0,6350.0,1380-03-06
2001-05-28,6351.0,6351.0,6351.0,6351.0,8072348,858,6,6350.0,6351.0,1380-03-07
2001-05-29,6349.0,6351.0,6345.0,6346.0,45699072,4860,16,6351.0,6346.0,1380-03-08
2001-05-30,6346.0,6346.0,6345.0,6345.0,4690959,499,3,6346.0,6345.0,1380-03-09
2001-06-02,6345.0,6345.0,6345.0,6345.0,4653000,495,2,6345.0,6345.0,1380-03-12
2001-06-03,6345.0,6345.0,6345.0,6345.0,1090400,116,3,6345.0,6345.0,1380-03-13
2001-06-09,6343.0,6345.0,6342.0,6345.0,61353100,6528,7,6345.0,6345.0,1380-03-19
2001-06-19,6309.0,6309.0,6309.0,6309.0,3673147,393,3,6345.0,6309.0,1380-03-29
2001-06-20,6297.0,6297.0,6297.0,6297.0,1977748,212,1,6309.0,6297.0,1380-03-30
2001-06-23,6289.0,6289.0,6289.0,6289.0,3726800,400,1,6297.0,6289.0,1380-04-02
2001-06-26,6264.0,6264.0,6264.0,6264.0,4639500,500,2,6289.0,6264.0,1380-04-05
2001-06-27,6254.0,6256.0,6254.0,6255.0,25075722,2706,7,6264.0,6255.0,1380-04-06
2001-07-31,6271.0,6271.0,5539.0,5553.0,98147620,11764,5,6255.0,5553.0,1380-05-09
2001-08-01,5572.0,5599.0,5572.0,5599.0,89219180,10804,13,5553.0,5599.0,1380-05-10
2001-08-05,5773.0,5879.0,5773.0,5879.0,1307205300,150100,2,5599.0,5879.0,1380-05-14
2001-08-06,5900.0,5942.0,5900.0,5942.0,282818640,32273,7,5879.0,5942.0,1380-05-15
2001-08-07,6075.0,6091.0,6075.0,6091.0,102498000,11362,2,5942.0,6091.0,1380-05-16
2001-08-08,6099.0,6104.0,6099.0,6104.0,207856000,23000,3,6091.0,6104.0,1380-05-17
2001-08-12,6176.0,6271.0,6176.0,6271.0,21374500,2310,2,6104.0,6271.0,1380-05-21
2001-08-13,6345.0,6345.0,6345.0,6345.0,8516400,906,2,6271.0,6345.0,1380-05-22
2001-08-15,6345.0,6345.0,6345.0,6345.0,338400,36,1,6345.0,6345.0,1380-05-24
2001-08-18,6345.0,6349.0,6345.0,6349.0,50670760,5388,6,6345.0,6349.0,1380-05-27
2001-08-21,6412.0,6413.0,6412.0,6413.0,32660094,3438,3,6349.0,6413.0,1380-05-30
2001-08-22,6413.0,6413.0,6413.0,6413.0,14251000,1500,3,6413.0,6413.0,1380-05-31
2001-08-25,6356.0,6356.0,6350.0,6350.0,19302350,2050,8,6413.0,6350.0,1380-06-03
2001-08-28,6281.0,6281.0,6277.0,6277.0,50552065,5435,7,6350.0,6277.0,1380-06-06
2001-09-01,6277.0,6277.0,6277.0,6277.0,111588,12,1,6277.0,6277.0,1380-06-10
2001-09-02,6203.0,6278.0,6077.0,6210.0,31805900,3500,5,6277.0,6210.0,1380-06-11
2001-09-04,6009.0,6009.0,6009.0,6009.0,26706000,3000,3,6210.0,6009.0,1380-06-13
2001-09-05,6008.0,6008.0,5940.0,5940.0,27863800,3142,3,6009.0,5940.0,1380-06-14
2001-09-08,5940.0,5940.0,5940.0,5940.0,27101010,3080,2,5940.0,5940.0,1380-06-17
2001-09-10,6008.0,6008.0,6008.0,6008.0,48763100,5479,2,5940.0,6008.0,1380-06-19
2001-09-11,6008.0,6008.0,6001.0,6001.0,88004003,9891,7,6008.0,6001.0,1380-06-20
2001-09-12,5973.0,6001.0,5973.0,6001.0,45228208,5099,4,6001.0,6001.0,1380-06-21
2001-09-15,6007.0,6008.0,6007.0,6008.0,24741548,2780,3,6001.0,6008.0,1380-06-24
2001-09-17,5907.0,5907.0,5906.0,5906.0,56876500,6500,4,6008.0,5906.0,1380-06-26
2001-09-19,5906.0,5906.0,5906.0,5906.0,74173750,8477,13,5906.0,5906.0,1380-06-28
2001-09-22,6006.0,6007.0,5908.0,6007.0,2777518133,312167,3,5906.0,6007.0,1380-06-31
2001-09-23,6007.0,6075.0,6007.0,6075.0,76814910,8536,5,6007.0,6075.0,1380-07-01
2001-09-24,6075.0,6075.0,6075.0,6075.0,21150000,2350,7,6075.0,6075.0,1380-07-02
2001-09-25,6080.0,6089.0,6080.0,6089.0,98184417,10890,4,6075.0,6089.0,1380-07-03
2001-09-26,6143.0,6147.0,6100.0,6145.0,104566527,11497,16,6089.0,6145.0,1380-07-04
2001-09-29,6147.0,6172.0,6147.0,6172.0,65932270,7236,5,6145.0,6172.0,1380-07-07
2001-09-30,6172.0,6197.0,6172.0,6197.0,4956220,540,2,6172.0,6197.0,1380-07-08
2001-10-02,6203.0,6413.0,6203.0,6413.0,41434874,4386,7,6197.0,6413.0,1380-07-10
2001-10-06,6480.0,6488.0,6428.0,6488.0,18304078,1910,8,6413.0,6488.0,1380-07-14
2001-10-07,6548.0,6595.0,6548.0,6595.0,8509718,875,3,6488.0,6595.0,1380-07-15
2001-10-08,6733.0,6733.0,6733.0,6733.0,9975000,1000,1,6595.0,6733.0,1380-07-16
2001-10-09,6733.0,6733.0,6733.0,6733.0,68627500,6880,17,6733.0,6733.0,1380-07-17
2001-10-14,6729.0,6730.0,6683.0,6683.0,42822860,4306,13,6733.0,6683.0,1380-07-22
2001-10-16,6690.0,6750.0,6690.0,6750.0,135584914,13569,12,6683.0,6750.0,1380-07-24
2001-10-21,6784.0,6784.0,6784.0,6784.0,23637600,2352,3,6750.0,6784.0,1380-07-29
2001-10-29,6953.0,6953.0,6953.0,6953.0,11763742,1142,4,6784.0,6953.0,1380-08-07
2001-10-30,6957.0,7127.0,6957.0,7127.0,27820436,2692,12,6953.0,7127.0,1380-08-08
2001-10-31,7304.0,7304.0,7150.0,7304.0,85743728,8018,13,7127.0,7304.0,1380-08-09
