date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-10-18,327.0,327.0,327.0,327.0,633670400000,360040000,151449,186.0,327.0,1396-07-26
2017-10-21,344.0,344.0,344.0,343.0,5132058624,2777088,257,327.0,344.0,1396-07-29
2017-10-22,361.0,361.0,361.0,361.0,20658111817,10654003,581,343.0,361.0,1396-07-30
2017-10-23,378.0,378.0,362.0,373.0,443032525278,220994535,98521,361.0,362.0,1396-08-01
2017-10-24,361.0,376.0,355.0,366.0,162515179970,82611006,32149,373.0,370.0,1396-08-02
2017-10-25,372.0,381.0,372.0,377.0,84504250229,41633732,11974,366.0,378.0,1396-08-03
2017-10-28,379.0,396.0,377.0,391.0,83679629987,39789824,7702,377.0,396.0,1396-08-06
2017-10-29,400.0,409.0,393.0,400.0,94098625265,43761522,7039,391.0,394.0,1396-08-07
2017-10-30,396.0,398.0,389.0,391.0,43061094933,20477306,4821,400.0,391.0,1396-08-08
2017-10-31,394.0,403.0,391.0,398.0,37151503319,17376154,3068,391.0,392.0,1396-08-09
2017-11-01,394.0,399.0,392.0,395.0,27630184557,13020853,2393,398.0,398.0,1396-08-10
2017-11-04,398.0,414.0,395.0,410.0,93896715547,42558074,6025,395.0,409.0,1396-08-13
2017-11-05,415.0,421.0,404.0,412.0,39146327147,17687999,2593,410.0,404.0,1396-08-14
2017-11-06,405.0,408.0,402.0,404.0,21586547311,9929712,1739,412.0,407.0,1396-08-15
2017-11-07,404.0,410.0,404.0,408.0,18524784445,8434467,1533,404.0,409.0,1396-08-16
2017-11-08,409.0,410.0,404.0,406.0,18157974910,8315712,1035,408.0,405.0,1396-08-17
2017-11-11,404.0,407.0,402.0,403.0,14194834967,6548922,1274,406.0,406.0,1396-08-20
2017-11-12,403.0,420.0,403.0,411.0,22134603701,10012516,2006,403.0,417.0,1396-08-21
2017-11-13,418.0,428.0,415.0,421.0,30059229878,13265050,1866,411.0,418.0,1396-08-22
2017-11-14,418.0,426.0,418.0,421.0,16884540981,7456675,1019,421.0,420.0,1396-08-23
2017-11-15,419.0,427.0,419.0,421.0,11970817011,5283761,945,421.0,421.0,1396-08-24
2017-11-18,422.0,422.0,415.0,418.0,15052152262,6696415,735,421.0,417.0,1396-08-27
2017-11-20,415.0,418.0,409.0,413.0,15733372693,7083440,982,418.0,414.0,1396-08-29
2017-11-21,415.0,428.0,411.0,422.0,21223859296,9355169,1293,413.0,424.0,1396-08-30
2017-11-22,424.0,443.0,424.0,441.0,69644180990,29395535,2538,422.0,440.0,1396-09-01
2017-11-25,443.0,461.0,443.0,451.0,33830835292,13943635,1614,441.0,443.0,1396-09-04
2017-11-26,441.0,446.0,434.0,439.0,21414998089,9071495,1177,451.0,441.0,1396-09-05
2017-11-28,441.0,450.0,435.0,443.0,18184459692,7631687,987,439.0,442.0,1396-09-07
2017-11-29,442.0,443.0,433.0,435.0,13846950159,5913895,735,443.0,435.0,1396-09-08
2017-12-02,438.0,439.0,430.0,435.0,6177198410,2642677,683,435.0,431.0,1396-09-11
2017-12-03,433.0,435.0,425.0,428.0,23590306041,10254864,836,435.0,428.0,1396-09-12
2017-12-04,426.0,444.0,425.0,433.0,18256937446,7846085,933,428.0,434.0,1396-09-13
2017-12-05,443.0,450.0,437.0,443.0,11364036975,4766865,688,433.0,445.0,1396-09-14
2017-12-09,444.0,459.0,444.0,453.0,20644660089,8475020,974,443.0,453.0,1396-09-18
2017-12-10,458.0,458.0,446.0,449.0,10664581545,4413704,660,453.0,448.0,1396-09-19
2017-12-11,446.0,449.0,439.0,444.0,28964235897,12126014,1111,449.0,449.0,1396-09-20
2017-12-12,440.0,466.0,440.0,464.0,57621900744,23093067,2033,444.0,466.0,1396-09-21
2017-12-13,467.0,482.0,462.0,473.0,22616152908,8889433,1165,464.0,472.0,1396-09-22
2017-12-16,484.0,492.0,472.0,481.0,31731632017,12282179,1164,473.0,486.0,1396-09-25
2017-12-17,494.0,504.0,484.0,501.0,59490752048,22098127,1929,481.0,497.0,1396-09-26
2017-12-18,508.0,508.0,486.0,493.0,11127378825,4200399,829,501.0,493.0,1396-09-27
2017-12-19,493.0,496.0,484.0,488.0,7796267663,2970549,892,493.0,486.0,1396-09-28
2017-12-20,482.0,502.0,477.0,489.0,12441891940,4731796,1782,488.0,496.0,1396-09-29
2017-12-23,500.0,504.0,493.0,500.0,23335546016,8685698,976,489.0,502.0,1396-10-02
2017-12-24,502.0,502.0,491.0,497.0,15564083890,5821758,798,500.0,493.0,1396-10-03
2017-12-25,493.0,507.0,491.0,501.0,23999485286,8907322,914,497.0,500.0,1396-10-04
2017-12-26,497.0,502.0,487.0,493.0,13216408283,4985569,687,501.0,493.0,1396-10-05
2017-12-27,489.0,489.0,480.0,483.0,16804727657,6465341,801,493.0,483.0,1396-10-06
2017-12-30,476.0,476.0,460.0,467.0,19621401204,7809148,880,483.0,465.0,1396-10-09
2017-12-31,448.0,457.0,444.0,447.0,35918328436,14946272,1655,467.0,454.0,1396-10-10
2018-01-01,453.0,465.0,453.0,459.0,6875172418,2783528,501,447.0,456.0,1396-10-11
2018-01-02,459.0,464.0,454.0,459.0,6121657539,2477324,371,459.0,459.0,1396-10-12
2018-01-03,468.0,469.0,453.0,455.0,10572911715,4319249,402,459.0,454.0,1396-10-13
2018-01-06,456.0,468.0,456.0,462.0,6899358667,2773682,318,455.0,463.0,1396-10-16
2018-01-07,456.0,466.0,454.0,457.0,7427692495,3020474,356,462.0,456.0,1396-10-17
2018-01-08,456.0,459.0,452.0,454.0,9206895547,3769042,433,457.0,454.0,1396-10-18
2018-01-09,451.0,453.0,446.0,449.0,8115317110,3362841,419,454.0,452.0,1396-10-19
2018-01-10,447.0,466.0,447.0,461.0,12000165246,4838270,535,449.0,465.0,1396-10-20
2018-01-13,465.0,471.0,461.0,464.0,3990935087,1593187,278,461.0,463.0,1396-10-23
2018-01-14,457.0,476.0,452.0,469.0,11012104463,4363832,455,464.0,474.0,1396-10-24
2018-01-15,469.0,484.0,469.0,476.0,12313295054,4811089,552,469.0,476.0,1396-10-25
2018-01-16,476.0,480.0,469.0,474.0,9143001178,3586162,490,476.0,472.0,1396-10-26
2018-01-17,465.0,478.0,465.0,473.0,12634782963,4963301,363,474.0,473.0,1396-10-27
2018-01-20,472.0,474.0,465.0,466.0,10807669437,4314064,377,473.0,466.0,1396-10-30
2018-01-21,465.0,468.0,454.0,457.0,6048660751,2464491,385,466.0,459.0,1396-11-01
2018-01-22,459.0,468.0,447.0,459.0,10184242058,4125976,475,457.0,447.0,1396-11-02
2018-01-23,452.0,458.0,450.0,453.0,5819029234,2392175,371,459.0,454.0,1396-11-03
2018-01-24,450.0,456.0,447.0,451.0,9870691338,4068701,443,453.0,447.0,1396-11-04
2018-01-27,450.0,456.0,445.0,448.0,10113540305,4198407,437,451.0,447.0,1396-11-07
2018-01-28,445.0,451.0,445.0,446.0,15811668101,6586030,562,448.0,451.0,1396-11-08
2018-01-29,452.0,456.0,445.0,447.0,16550599357,6888234,557,446.0,446.0,1396-11-09
2018-01-30,454.0,454.0,443.0,446.0,6312079534,2634474,325,447.0,446.0,1396-11-10
2018-01-31,445.0,452.0,444.0,446.0,5988074248,2494991,244,446.0,446.0,1396-11-11
2018-02-03,450.0,450.0,439.0,444.0,14123049162,5919910,577,446.0,441.0,1396-11-14
2018-02-04,439.0,444.0,437.0,441.0,16870357548,7111790,506,444.0,442.0,1396-11-15
2018-02-05,443.0,448.0,443.0,444.0,4990142764,2087487,356,441.0,443.0,1396-11-16
2018-02-06,443.0,450.0,439.0,442.0,7433211608,3123987,738,444.0,450.0,1396-11-17
2018-02-07,450.0,459.0,443.0,455.0,9974054292,4077651,417,442.0,459.0,1396-11-18
2018-02-10,458.0,458.0,446.0,451.0,4218299739,1747178,230,455.0,450.0,1396-11-21
2018-02-12,450.0,454.0,445.0,447.0,6144092197,2555314,243,451.0,447.0,1396-11-23
2018-02-13,448.0,456.0,446.0,451.0,6895965075,2845267,268,447.0,454.0,1396-11-24
2018-02-14,450.0,465.0,450.0,455.0,3826876422,1550917,274,451.0,456.0,1396-11-25
2018-02-17,459.0,464.0,452.0,456.0,6747671481,2753690,234,455.0,452.0,1396-11-28
2018-02-18,457.0,457.0,447.0,451.0,4817457203,1995686,191,456.0,448.0,1396-11-29
2018-02-19,448.0,456.0,447.0,451.0,5750081714,2367190,287,451.0,456.0,1396-11-30
2018-02-21,450.0,457.0,446.0,451.0,2625527117,1086430,153,451.0,455.0,1396-12-02
2018-02-24,455.0,455.0,445.0,448.0,5716168309,2376640,272,451.0,447.0,1396-12-05
2018-02-25,450.0,450.0,447.0,448.0,4587277325,1902891,195,448.0,447.0,1396-12-06
2018-02-26,447.0,457.0,447.0,453.0,4793986103,1961683,287,448.0,457.0,1396-12-07
2018-02-27,454.0,464.0,452.0,461.0,6891118770,2780021,334,453.0,458.0,1396-12-08
