date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2017-02-28,11520.0,11520.0,11344.0,11347.0,6059150000,1249000,25,10973.0,11344.0,1395-12-10
2017-03-06,11913.0,11913.0,11913.0,11913.0,7989992010,1666665,17,11347.0,11913.0,1395-12-16
2017-03-13,12431.0,12431.0,12431.0,12431.0,9216000000,2000000,20,11913.0,12431.0,1395-12-23
2017-03-15,12942.0,12942.0,12942.0,12942.0,14070000000,3000000,30,12431.0,12942.0,1395-12-25
2017-03-25,12942.0,12942.0,12942.0,12942.0,9414000000,2000000,20,12942.0,12942.0,1396-01-05
2017-03-26,13104.0,13104.0,13104.0,13104.0,14310000000,3000000,30,12942.0,13104.0,1396-01-06
2017-05-21,13390.0,13390.0,13390.0,13150.0,348000000,80000,1,13104.0,13390.0,1396-02-31
2017-09-10,13805.0,13805.0,13805.0,13805.0,12646443645,3316665,34,13150.0,13805.0,1396-06-19
2017-09-11,13805.0,13805.0,13805.0,13805.0,3623000,1000,1,13805.0,13805.0,1396-06-20
2017-09-13,13118.0,13118.0,13118.0,13805.0,3397000,1000,1,13805.0,13118.0,1396-06-22
2017-09-16,14078.0,14078.0,14078.0,14031.0,1509160630,416665,5,13805.0,14078.0,1396-06-25
2017-09-19,14458.0,14458.0,13568.0,13568.0,2833365030,833342,26,14031.0,14458.0,1396-06-28
2017-09-20,13504.0,13504.0,13504.0,13504.0,6022590000,1666000,29,13568.0,13504.0,1396-06-29
2017-10-22,14176.0,14176.0,14176.0,14176.0,10953300000,2900000,29,13504.0,14176.0,1396-07-30
2017-10-23,14588.0,14588.0,14588.0,14588.0,16888500000,4500000,45,14176.0,14588.0,1396-08-01
2017-10-31,14894.0,14894.0,14894.0,14894.0,1876500000,500000,5,14588.0,14894.0,1396-08-09
2017-11-07,14151.0,14151.0,14151.0,14151.0,17658177726,4928322,122,14894.0,14151.0,1396-08-16
2017-11-13,13576.0,13576.0,13576.0,13576.0,2794740000,780000,8,14151.0,13576.0,1396-08-22
2017-12-03,13905.0,13905.0,13905.0,13576.0,1877500,500,1,13576.0,13905.0,1396-09-12
2017-12-04,13894.0,13894.0,13894.0,13576.0,1877000,500,1,13576.0,13894.0,1396-09-13
2017-12-27,12901.0,12901.0,12901.0,12901.0,6095100000,1650000,17,13576.0,12901.0,1396-10-06
2018-01-14,12648.0,12648.0,12648.0,12843.0,453476855,116665,7,12901.0,12648.0,1396-10-24
2018-01-17,12809.0,12809.0,12809.0,12840.0,227200000,50000,1,12843.0,12809.0,1396-10-27
2018-02-14,12199.0,12199.0,12199.0,12329.0,1639092000,399000,4,12840.0,12199.0,1396-11-25
2018-02-17,11714.0,11714.0,11714.0,12226.0,331578028,83332,1,12329.0,11714.0,1396-11-28
2018-02-18,11940.0,11940.0,11617.0,11847.0,6385553364,1608867,27,12226.0,11617.0,1396-11-29
2018-02-19,11642.0,11642.0,11642.0,11847.0,3939600,980,1,11847.0,11642.0,1396-11-30
2018-02-24,11850.0,11850.0,11850.0,11850.0,1632000000,400000,4,11847.0,11850.0,1396-12-05
2018-02-25,11850.0,11850.0,11850.0,11850.0,802000000,200000,2,11850.0,11850.0,1396-12-06
2018-02-26,12217.0,12217.0,12217.0,11997.0,803988000,200997,4,11850.0,12217.0,1396-12-07
2018-03-14,11997.0,11997.0,11997.0,11997.0,1265828270,416665,7,11997.0,11997.0,1396-12-23
2018-03-17,12519.0,12519.0,12519.0,12056.0,210934020,66165,1,11997.0,12519.0,1396-12-26
2018-03-26,11822.0,11822.0,11822.0,11892.0,1265828270,416665,5,12056.0,11822.0,1397-01-06
2018-06-12,11323.0,11327.0,11323.0,11547.0,1166199743,366321,7,11892.0,11327.0,1397-03-22
2018-06-17,12095.0,12095.0,12095.0,12095.0,19124996250,5099999,251,11547.0,12095.0,1397-03-27
2018-06-20,12497.0,12497.0,12497.0,12143.0,287073360,73233,3,12095.0,12497.0,1397-03-30
2018-06-23,11951.0,11951.0,11951.0,12140.0,46130560,11768,1,12143.0,11951.0,1397-04-02
2018-07-10,11886.0,11886.0,11535.0,11793.0,2153300000,430000,12,12140.0,11535.0,1397-04-19
2018-07-11,11793.0,11793.0,11793.0,11793.0,104180000,20000,1,11793.0,11793.0,1397-04-20
2018-08-29,11213.0,11213.0,11213.0,11213.0,3523500000,750000,33,11793.0,11213.0,1397-06-07
2018-09-01,11213.0,11213.0,11213.0,11213.0,1201500000,250000,3,11213.0,11213.0,1397-06-10
2018-09-02,11017.0,11017.0,11017.0,11017.0,4725000000,1000000,10,11213.0,11017.0,1397-06-11
2018-09-05,11296.0,11568.0,11296.0,11294.0,1717326378,350002,9,11017.0,11568.0,1397-06-14
2018-09-08,11065.0,11065.0,11065.0,11065.0,4830000000,1000000,42,11294.0,11065.0,1397-06-17
2018-09-09,10745.0,10745.0,10745.0,10745.0,4880000000,1000000,43,11065.0,10745.0,1397-06-18
2018-09-17,10956.0,10956.0,10935.0,10956.0,14896010620,2800002,29,10745.0,10935.0,1397-06-26
2018-09-18,10736.0,11503.0,10736.0,11380.0,24861935200,4399200,53,10956.0,11503.0,1397-06-27
2018-09-22,11821.0,11949.0,11821.0,11823.0,20948200000,3550000,37,11380.0,11949.0,1397-06-31
