date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-21,187.0,187.0,187.0,187.0,19657440,1980,5,187.0,187.0,1380-02-01
2001-05-06,187.0,187.0,187.0,187.0,5365080,540,3,187.0,187.0,1380-02-16
2001-05-15,197.0,197.0,197.0,197.0,10432000,1000,2,187.0,197.0,1380-02-25
2001-05-20,244.0,244.0,244.0,244.0,12950000,1000,1,197.0,244.0,1380-02-30
2001-05-27,247.0,247.0,247.0,247.0,13079000,1000,1,244.0,247.0,1380-03-06
2001-05-29,249.0,249.0,249.0,249.0,13209000,1000,1,247.0,249.0,1380-03-08
2001-06-06,252.0,252.0,252.0,252.0,36834501,2761,8,249.0,252.0,1380-03-16
2001-06-09,252.0,252.0,252.0,252.0,13661184,1024,1,252.0,252.0,1380-03-19
2001-06-16,252.0,252.0,252.0,252.0,13341000,1000,1,252.0,252.0,1380-03-26
2001-06-18,252.0,252.0,252.0,252.0,6675000,500,1,252.0,252.0,1380-03-28
2001-06-26,252.0,254.0,252.0,254.0,59452800,4424,2,252.0,254.0,1380-04-05
2001-07-16,208.0,208.0,208.0,208.0,11001000,1000,2,254.0,208.0,1380-04-25
2001-07-21,218.0,218.0,218.0,218.0,11551000,1000,6,208.0,218.0,1380-04-30
2001-07-25,229.0,229.0,229.0,229.0,12128000,1000,1,218.0,229.0,1380-05-03
2001-08-11,240.0,240.0,240.0,240.0,7640400,600,1,229.0,240.0,1380-05-20
2001-08-12,240.0,240.0,240.0,240.0,13243600,1040,4,240.0,240.0,1380-05-21
2001-08-21,240.0,240.0,240.0,240.0,9686200,760,2,240.0,240.0,1380-05-30
2001-09-02,252.0,252.0,252.0,252.0,20056500,1500,1,240.0,252.0,1380-06-11
2001-09-03,265.0,265.0,265.0,265.0,21058500,1500,2,252.0,265.0,1380-06-12
2001-09-08,278.0,278.0,278.0,278.0,29480000,2000,1,265.0,278.0,1380-06-17
2001-09-09,285.0,285.0,285.0,285.0,36259200,2400,5,278.0,285.0,1380-06-18
2001-09-15,278.0,278.0,278.0,278.0,29462000,2000,2,285.0,278.0,1380-06-24
2001-09-17,285.0,285.0,285.0,285.0,15099000,1000,1,278.0,285.0,1380-06-26
2001-09-18,278.0,302.0,278.0,283.0,47923194000,2995724,4,285.0,283.0,1380-06-27
2001-09-26,283.0,283.0,283.0,283.0,7500000,500,1,283.0,283.0,1380-07-04
2001-10-07,283.0,283.0,283.0,283.0,6000000,400,1,283.0,283.0,1380-07-15
2001-10-08,283.0,283.0,283.0,283.0,14999000,1000,1,283.0,283.0,1380-07-16
2001-10-14,283.0,283.0,283.0,283.0,9000000,600,1,283.0,283.0,1380-07-22
2001-10-17,284.0,284.0,284.0,284.0,7509950,499,1,283.0,284.0,1380-07-25
2001-10-22,284.0,284.0,284.0,284.0,1505100,100,1,284.0,284.0,1380-07-30
2001-11-14,284.0,284.0,284.0,284.0,4064343,270,2,284.0,284.0,1380-08-23
2001-11-19,284.0,284.0,284.0,284.0,6021200,400,2,284.0,284.0,1380-08-28
2001-12-09,287.0,291.0,287.0,291.0,56591200,3699,4,284.0,291.0,1380-09-18
2001-12-26,298.0,298.0,298.0,298.0,15814000,1000,1,291.0,298.0,1380-10-05
2001-12-29,306.0,306.0,306.0,306.0,47816550,2950,5,298.0,306.0,1380-10-08
2001-12-30,313.0,313.0,313.0,313.0,33228000,2000,1,306.0,313.0,1380-10-09
2001-12-31,321.0,321.0,321.0,321.0,204348000,12000,4,313.0,321.0,1380-10-10
2002-01-22,325.0,325.0,325.0,325.0,39557700,2300,1,321.0,325.0,1380-11-02
2002-01-26,328.0,328.0,328.0,328.0,34740000,2000,4,325.0,328.0,1380-11-06
2002-01-27,331.0,331.0,331.0,331.0,35086000,2000,1,328.0,331.0,1380-11-07
2002-01-29,334.0,334.0,334.0,334.0,40751400,2300,1,331.0,334.0,1380-11-09
2002-02-02,334.0,334.0,334.0,334.0,23688966,1337,1,334.0,334.0,1380-11-13
2002-02-04,335.0,335.0,335.0,335.0,35482250,1999,1,334.0,335.0,1380-11-15
2002-02-05,338.0,338.0,338.0,338.0,5440844500,303500,4,335.0,338.0,1380-11-16
2002-02-06,338.0,338.0,338.0,338.0,39439400,2200,2,338.0,338.0,1380-11-17
2002-02-09,338.0,338.0,338.0,338.0,43921150,2450,5,338.0,338.0,1380-11-20
2002-02-12,338.0,338.0,338.0,338.0,8963500,500,1,338.0,338.0,1380-11-23
2002-03-12,338.0,338.0,338.0,338.0,4482646350,250050,3,338.0,338.0,1380-12-21
2002-03-13,347.0,347.0,338.0,338.0,72604000,4000,2,338.0,338.0,1380-12-22
2002-03-26,342.0,342.0,342.0,342.0,77137500,4250,2,338.0,342.0,1381-01-06
2002-03-31,349.0,349.0,349.0,349.0,55500000,3000,1,342.0,349.0,1381-01-11
2002-04-03,353.0,353.0,353.0,353.0,93425000,5000,1,349.0,353.0,1381-01-14
2002-05-18,415.0,434.0,415.0,434.0,225000000,10000,8,353.0,434.0,1381-02-28
2002-06-02,438.0,438.0,438.0,438.0,69690000,3000,8,434.0,438.0,1381-03-12
2002-06-03,443.0,443.0,443.0,443.0,25808200,1100,2,438.0,443.0,1381-03-13
2002-06-12,447.0,447.0,447.0,447.0,47392000,2000,5,443.0,447.0,1381-03-22
2002-06-16,452.0,452.0,452.0,452.0,47864000,2000,2,447.0,452.0,1381-03-26
2002-06-17,456.0,456.0,456.0,456.0,36256500,1500,1,452.0,456.0,1381-03-27
2002-06-18,461.0,461.0,461.0,461.0,36618000,1500,4,456.0,461.0,1381-03-28
2002-06-19,465.0,465.0,465.0,465.0,24656000,1000,2,461.0,465.0,1381-03-29
2002-07-23,672.0,717.0,642.0,642.0,1474944885,42290,62,465.0,642.0,1381-05-01
2002-07-24,658.0,658.0,658.0,658.0,1080350000,31000,32,642.0,658.0,1381-05-02
2002-07-27,674.0,674.0,660.0,660.0,1006616425,28355,42,658.0,660.0,1381-05-05
2002-07-28,660.0,660.0,660.0,660.0,91420184,2612,10,660.0,660.0,1381-05-06
2002-07-29,660.0,660.0,659.0,659.0,40898175,1170,4,660.0,659.0,1381-05-07
2002-07-31,643.0,643.0,643.0,643.0,157427145,4620,8,659.0,643.0,1381-05-09
