date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2011-11-13,374.0,374.0,374.0,374.0,105777571500,23506127,1922,83.0,374.0,1390-08-22
2011-11-14,389.0,389.0,389.0,389.0,8867729520,1894814,414,374.0,389.0,1390-08-23
2011-11-16,405.0,405.0,405.0,394.0,1182496054,242962,62,389.0,405.0,1390-08-25
2011-11-19,410.0,410.0,410.0,397.0,673384098,136506,37,394.0,410.0,1390-08-28
2011-11-20,413.0,413.0,413.0,409.0,2587403940,520395,118,397.0,413.0,1390-08-29
2011-11-21,425.0,425.0,425.0,425.0,6271479486,1225377,201,409.0,425.0,1390-08-30
2011-11-22,440.0,457.0,428.0,437.0,123283375736,23453026,4311,425.0,441.0,1390-09-01
2011-11-23,436.0,446.0,429.0,438.0,15787677932,2994070,723,437.0,432.0,1390-09-02
2011-11-26,436.0,441.0,428.0,438.0,20793777694,3950957,716,438.0,438.0,1390-09-05
2011-11-27,436.0,438.0,432.0,437.0,20385685754,3876362,494,438.0,438.0,1390-09-06
2011-11-28,437.0,437.0,434.0,437.0,8356687332,1590310,296,437.0,437.0,1390-09-07
2011-11-29,437.0,445.0,437.0,440.0,8416363766,1589069,214,437.0,442.0,1390-09-08
2011-11-30,440.0,441.0,439.0,440.0,5191798692,980666,174,440.0,440.0,1390-09-09
2011-12-03,438.0,441.0,432.0,438.0,6787652763,1289112,137,440.0,440.0,1390-09-12
2011-12-04,434.0,442.0,434.0,439.0,2260095403,427830,114,438.0,438.0,1390-09-13
2011-12-07,439.0,443.0,438.0,439.0,1659449213,314118,89,439.0,443.0,1390-09-16
2011-12-10,439.0,441.0,432.0,439.0,2984028029,565497,114,439.0,439.0,1390-09-19
2011-12-11,439.0,439.0,437.0,439.0,1090775435,206820,37,439.0,437.0,1390-09-20
2011-12-12,445.0,455.0,445.0,449.0,3959218033,732528,204,439.0,452.0,1390-09-21
2011-12-13,449.0,467.0,449.0,454.0,15250985079,2792270,271,449.0,456.0,1390-09-22
2011-12-14,456.0,456.0,451.0,454.0,2754038332,505057,74,454.0,455.0,1390-09-23
2011-12-17,454.0,456.0,449.0,453.0,4555996644,835142,138,454.0,454.0,1390-09-26
2011-12-18,453.0,453.0,441.0,451.0,1637724544,304147,113,453.0,447.0,1390-09-27
2011-12-19,437.0,442.0,433.0,446.0,1209418902,229953,105,451.0,435.0,1390-09-28
2011-12-20,437.0,437.0,429.0,441.0,1193077051,231280,90,446.0,429.0,1390-09-29
2011-12-21,423.0,428.0,423.0,427.0,2867748470,562259,155,441.0,424.0,1390-09-30
2011-12-24,424.0,441.0,416.0,427.0,2124944371,413915,120,427.0,431.0,1390-10-03
2011-12-25,427.0,432.0,426.0,428.0,14001613343,2722335,151,427.0,428.0,1390-10-04
2011-12-26,428.0,428.0,416.0,425.0,891009214,177595,97,428.0,423.0,1390-10-05
2011-12-27,420.0,420.0,412.0,422.0,849802286,170680,86,425.0,415.0,1390-10-06
2011-12-28,412.0,420.0,412.0,420.0,1122258725,225424,104,422.0,420.0,1390-10-07
2011-12-31,428.0,432.0,420.0,422.0,1140087241,221438,75,420.0,424.0,1390-10-10
2012-01-01,428.0,428.0,416.0,420.0,2370368004,470159,108,422.0,416.0,1390-10-11
2012-01-02,420.0,420.0,411.0,419.0,620075135,124308,74,420.0,411.0,1390-10-12
2012-01-03,414.0,436.0,414.0,431.0,7260788675,1400622,265,419.0,436.0,1390-10-13
2012-01-04,433.0,448.0,431.0,446.0,6582591964,1227531,231,431.0,437.0,1390-10-14
2012-01-07,439.0,439.0,428.0,437.0,2153288946,414811,134,446.0,428.0,1390-10-17
2012-01-08,430.0,430.0,423.0,433.0,1108204820,216988,68,437.0,427.0,1390-10-18
2012-01-09,428.0,449.0,424.0,435.0,1674032292,317859,113,433.0,434.0,1390-10-19
2012-01-10,442.0,444.0,434.0,439.0,2781126935,524758,147,435.0,441.0,1390-10-20
2012-01-11,445.0,452.0,436.0,447.0,5408276187,1006596,215,439.0,451.0,1390-10-21
2012-01-15,449.0,459.0,448.0,453.0,2838856748,518283,139,447.0,457.0,1390-10-25
2012-01-16,462.0,471.0,461.0,466.0,3417114546,606460,87,453.0,471.0,1390-10-26
2012-01-17,485.0,485.0,474.0,484.0,13322877019,2289615,444,466.0,474.0,1390-10-27
2012-01-18,483.0,503.0,483.0,495.0,4448931051,747509,159,484.0,503.0,1390-10-28
2012-01-21,511.0,515.0,511.0,514.0,6529124177,1056199,223,495.0,515.0,1390-11-01
2012-02-04,537.0,537.0,515.0,520.0,7607824056,2095125,404,514.0,515.0,1390-11-15
2012-02-05,504.0,507.0,499.0,513.0,878222205,251243,63,520.0,499.0,1390-11-16
2012-02-06,492.0,492.0,492.0,512.0,42009280,12212,8,513.0,492.0,1390-11-17
2012-02-07,492.0,492.0,492.0,508.0,570209490,165855,35,512.0,492.0,1390-11-18
2012-02-08,487.0,487.0,487.0,506.0,164615386,48331,14,508.0,487.0,1390-11-19
2012-02-12,486.0,486.0,486.0,486.0,2558902980,753505,71,506.0,486.0,1390-11-23
2012-02-13,467.0,467.0,467.0,473.0,1499975214,459974,52,486.0,467.0,1390-11-24
2012-02-14,436.0,444.0,418.0,430.0,4575020866,1522820,326,473.0,429.0,1390-11-25
2012-02-15,422.0,435.0,422.0,432.0,267669249254,88635580,156,430.0,431.0,1390-11-26
2012-02-18,428.0,449.0,419.0,440.0,1466415025,472256,121,432.0,449.0,1390-11-29
2012-02-19,455.0,458.0,455.0,447.0,895565300,280220,56,440.0,458.0,1390-11-30
2012-02-20,465.0,465.0,462.0,465.0,2650384402,816020,159,447.0,465.0,1390-12-01
2012-02-21,483.0,483.0,452.0,474.0,3292342300,993588,220,465.0,463.0,1390-12-02
2012-02-22,458.0,468.0,455.0,456.0,3276137849,1029107,116,474.0,455.0,1390-12-03
2012-02-25,455.0,457.0,438.0,453.0,724314209,232151,72,456.0,442.0,1390-12-06
2012-02-26,439.0,465.0,439.0,453.0,969898570,306825,98,453.0,458.0,1390-12-07
2012-02-27,458.0,471.0,458.0,458.0,673880293,205305,46,453.0,471.0,1390-12-08
2012-02-28,472.0,476.0,468.0,470.0,1828222556,552132,178,458.0,476.0,1390-12-09
2012-02-29,485.0,485.0,465.0,474.0,146201469623,44169032,92,470.0,468.0,1390-12-10
2012-03-03,478.0,493.0,471.0,476.0,37849403499,11375338,151,474.0,493.0,1390-12-13
2012-03-04,492.0,495.0,489.0,490.0,1948435268,564561,98,476.0,495.0,1390-12-14
2012-03-05,509.0,509.0,487.0,495.0,1795837067,517399,168,490.0,496.0,1390-12-15
2012-03-06,498.0,501.0,479.0,494.0,1120171534,325518,92,495.0,495.0,1390-12-16
2012-03-07,495.0,510.0,494.0,494.0,1312096160,379497,112,494.0,494.0,1390-12-17
2012-03-10,508.0,508.0,487.0,494.0,1815688929,526358,116,494.0,494.0,1390-12-20
2012-03-11,501.0,501.0,493.0,494.0,986896241,285823,67,494.0,496.0,1390-12-21
2012-03-12,495.0,496.0,492.0,493.0,1821557281,528603,101,494.0,494.0,1390-12-22
2012-03-13,487.0,501.0,487.0,494.0,1105333073,319593,89,493.0,494.0,1390-12-23
2012-03-14,494.0,514.0,494.0,510.0,2443642502,684933,86,494.0,514.0,1390-12-24
2012-03-17,530.0,530.0,524.0,530.0,4292917091,1159445,221,510.0,530.0,1390-12-27
2012-03-18,542.0,551.0,509.0,526.0,3193112498,869105,228,530.0,509.0,1390-12-28
2012-03-24,530.0,547.0,530.0,531.0,703455055,185123,49,526.0,547.0,1391-01-05
