date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2021-02-03,8749.0,9197.0,8749.0,9187.0,4095411385105,199999449,3726219,449.0,9197.0,1399-11-15
2021-02-06,9646.0,9646.0,9646.0,9332.0,16611523500,772629,15149,9187.0,9646.0,1399-11-18
2021-02-07,9799.0,9799.0,9799.0,9676.0,39271384778,1798058,13844,9332.0,9799.0,1399-11-19
2021-02-08,10160.0,10160.0,10160.0,10024.0,39816205310,1758278,14178,9676.0,10160.0,1399-11-20
2021-02-09,10525.0,10525.0,10525.0,10460.0,49858247700,2125245,16087,10024.0,10525.0,1399-11-21
2021-02-13,11087.0,11087.0,11087.0,11087.0,58745494717,2377109,24710,10460.0,11087.0,1399-11-25
2021-02-14,11752.0,11752.0,11752.0,11752.0,62666796205,2392319,23693,11087.0,11752.0,1399-11-26
2021-02-15,12457.0,12457.0,12457.0,12457.0,110633266042,3984487,29427,11752.0,12457.0,1399-11-27
2021-02-16,13204.0,13204.0,13204.0,13204.0,159833080163,5430773,54114,12457.0,13204.0,1399-11-28
2021-02-17,13996.0,13996.0,12940.0,13996.0,372591348462,11943566,164121,13204.0,13996.0,1399-11-29
2021-02-22,13717.0,13717.0,13717.0,13717.0,81754403256,2674072,687,13996.0,13717.0,1399-12-04
2021-02-23,13442.0,13446.0,13442.0,13442.0,591571053154,19744009,53521,13717.0,13442.0,1399-12-05
2021-02-24,13174.0,13701.0,13174.0,13252.0,760987398092,25763456,151311,13442.0,13285.0,1399-12-06
2021-02-27,12987.0,13076.0,12987.0,12988.0,232432774102,8029073,35203,13252.0,12987.0,1399-12-09
2021-02-28,12729.0,12729.0,12729.0,12729.0,119261044875,4203625,11372,12988.0,12729.0,1399-12-10
2021-03-01,12474.0,13492.0,12474.0,13033.0,1221729396345,42055582,341533,12729.0,13302.0,1399-12-11
2021-03-02,13304.0,13815.0,13304.0,13758.0,1135870663736,37040017,313517,13033.0,13815.0,1399-12-12
2021-03-03,14312.0,14583.0,13908.0,14531.0,1508078473919,46563456,170259,13758.0,14583.0,1399-12-13
2021-03-06,14241.0,15164.0,14241.0,14510.0,1568208523519,48490339,158335,14531.0,14313.0,1399-12-16
2021-03-07,14276.0,14761.0,14220.0,14323.0,756551262095,23698240,61288,14510.0,14220.0,1399-12-17
2021-03-08,14272.0,14580.0,14041.0,14218.0,627250232442,19792826,130614,14323.0,14164.0,1399-12-18
2021-03-09,14043.0,14648.0,14043.0,14419.0,501789613238,15613606,110154,14218.0,14357.0,1399-12-19
2021-03-10,14357.0,15284.0,14131.0,14993.0,516489518137,15455024,41567,14419.0,15284.0,1399-12-20
2021-03-13,15893.0,15893.0,15557.0,15890.0,342868302463,9680709,22108,14993.0,15893.0,1399-12-23
2021-03-14,16844.0,16844.0,16071.0,16605.0,1125775033166,30418150,38234,15890.0,16151.0,1399-12-24
2021-03-15,16273.0,17408.0,16273.0,16635.0,1047255480673,28244440,38254,16605.0,16510.0,1399-12-25
2021-03-16,16537.0,17049.0,16349.0,16645.0,473717842605,12768516,28959,16635.0,16649.0,1399-12-26
2021-03-17,16602.0,17004.0,16340.0,16684.0,490333773923,13185767,26116,16645.0,16847.0,1399-12-27
2021-03-27,16981.0,17633.0,16851.0,17207.0,322176811274,8400341,21266,16684.0,17071.0,1400-01-07
2021-03-28,16959.0,17408.0,16863.0,16905.0,266363712102,7069189,15015,17207.0,16863.0,1400-01-08
2021-03-30,16824.0,16959.0,16567.0,16601.0,227581220661,6150290,8751,16905.0,16567.0,1400-01-10
2021-03-31,16287.0,16596.0,16269.0,16287.0,88724175055,2443981,3178,16601.0,16269.0,1400-01-11
2021-04-03,15962.0,15962.0,15962.0,16272.0,2372843592,66696,93,16287.0,15962.0,1400-01-14
2021-04-04,15946.0,15946.0,15946.0,16268.0,541142175,15225,43,16272.0,15946.0,1400-01-15
2021-04-05,15943.0,15943.0,15943.0,16255.0,1858551570,52302,54,16268.0,15943.0,1400-01-16
2021-04-06,15931.0,15931.0,15931.0,16249.0,963545088,27136,55,16255.0,15931.0,1400-01-17
2021-04-07,15924.0,15924.0,15924.0,16247.0,412830714,11631,32,16249.0,15924.0,1400-01-18
2021-04-10,15922.0,15922.0,15922.0,16244.0,329541568,9286,33,16247.0,15922.0,1400-01-21
2021-04-11,15919.0,15919.0,15919.0,16002.0,36465985549,1027703,102,16244.0,15919.0,1400-01-22
