date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-04-17,590.0,590.0,590.0,590.0,375436,94,1,590.0,590.0,1380-01-28
2001-07-08,517.0,517.0,517.0,517.0,1750000,500,1,590.0,517.0,1380-04-17
2001-07-10,543.0,543.0,543.0,543.0,3675000,1000,2,517.0,543.0,1380-04-19
2001-07-11,570.0,570.0,570.0,570.0,3858000,1000,1,543.0,570.0,1380-04-20
2001-07-14,599.0,599.0,599.0,599.0,15880050,3921,16,570.0,599.0,1380-04-23
2001-07-15,629.0,629.0,629.0,629.0,4252000,1000,2,599.0,629.0,1380-04-24
2001-07-16,660.0,660.0,660.0,660.0,4464000,1000,1,629.0,660.0,1380-04-25
2001-07-21,693.0,693.0,693.0,693.0,5136952,1096,2,660.0,693.0,1380-04-30
2001-07-23,727.0,727.0,727.0,727.0,14763000,3000,7,693.0,727.0,1380-05-01
2001-07-24,739.0,739.0,729.0,739.0,18392800,3684,8,727.0,739.0,1380-05-02
2001-07-25,727.0,728.0,727.0,728.0,54083235,10990,13,739.0,728.0,1380-05-03
2001-07-28,728.0,728.0,728.0,728.0,1915047,389,2,728.0,728.0,1380-05-06
2001-07-30,747.0,747.0,729.0,729.0,13865944,2808,3,728.0,729.0,1380-05-08
2001-07-31,730.0,730.0,730.0,730.0,5226465,1059,8,729.0,730.0,1380-05-09
2001-08-01,731.0,731.0,731.0,731.0,6322520,1279,4,730.0,731.0,1380-05-10
2001-08-04,731.0,731.0,731.0,731.0,1502860,304,4,731.0,731.0,1380-05-13
2001-08-05,731.0,731.0,731.0,731.0,2313792,468,2,731.0,731.0,1380-05-14
2001-08-06,731.0,731.0,731.0,731.0,3243920,656,4,731.0,731.0,1380-05-15
2001-08-07,731.0,731.0,731.0,731.0,341295,69,2,731.0,731.0,1380-05-16
2001-08-08,731.0,731.0,731.0,731.0,6330552,1280,4,731.0,731.0,1380-05-17
2001-08-11,731.0,731.0,727.0,731.0,25776492,5220,11,731.0,731.0,1380-05-20
2001-08-12,727.0,728.0,727.0,728.0,5764131,1171,3,731.0,728.0,1380-05-21
2001-08-13,728.0,728.0,728.0,728.0,1077918,219,1,728.0,728.0,1380-05-22
2001-08-14,728.0,728.0,728.0,728.0,802286,163,2,728.0,728.0,1380-05-23
2001-08-15,728.0,728.0,727.0,727.0,7664002,1557,3,728.0,727.0,1380-05-24
2001-08-18,728.0,728.0,728.0,728.0,1151748,234,1,727.0,728.0,1380-05-27
