date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-06-17,2722.0,2765.0,1856.0,2239.0,4648792063,1712804,381,825.0,2194.0,1391-03-28
2012-06-19,2171.0,2171.0,2128.0,2139.0,205931232,79408,24,2239.0,2128.0,1391-03-30
2012-06-20,2033.0,2033.0,2033.0,2033.0,30997120,12580,3,2139.0,2033.0,1391-03-31
2012-06-23,1931.0,1931.0,1931.0,1931.0,4682,2,2,2033.0,1931.0,1391-04-03
2012-06-24,1835.0,1835.0,1835.0,1835.0,12234224,5501,5,1931.0,1835.0,1391-04-04
2012-06-25,1743.0,1830.0,1743.0,1751.0,772470520,363991,90,1835.0,1743.0,1391-04-05
2012-06-26,1665.0,1665.0,1663.0,1664.0,57092960,28310,7,1751.0,1663.0,1391-04-06
2012-06-27,1581.0,1631.0,1581.0,1583.0,730632865,380745,100,1664.0,1581.0,1391-04-07
2012-06-30,1661.0,1661.0,1567.0,1654.0,357458751,178263,57,1583.0,1661.0,1391-04-10
2012-07-01,1695.0,1724.0,1617.0,1623.0,77540350,39405,19,1654.0,1617.0,1391-04-11
2012-07-02,1691.0,1704.0,1691.0,1703.0,583121551,282483,75,1623.0,1704.0,1391-04-12
2012-07-03,1788.0,1788.0,1716.0,1746.0,329690277,155821,174,1703.0,1727.0,1391-04-13
2012-07-04,1732.0,1757.0,1659.0,1672.0,190393585,93935,111,1746.0,1660.0,1391-04-14
2012-07-07,1737.0,1737.0,1614.0,1652.0,99284482,49601,17,1672.0,1690.0,1391-04-17
2012-07-08,1732.0,1732.0,1569.0,1571.0,671056448,352438,115,1652.0,1569.0,1391-04-18
2012-07-09,1627.0,1627.0,1567.0,1572.0,25273790,13261,7,1571.0,1567.0,1391-04-19
2012-07-10,1641.0,1641.0,1592.0,1624.0,142401325,72307,30,1572.0,1620.0,1391-04-20
2012-07-11,1623.0,1666.0,1614.0,1633.0,300500302,151785,33,1624.0,1625.0,1391-04-21
2012-07-18,1805.0,1805.0,1562.0,1613.0,80446620,45010,34,1633.0,1632.0,1391-04-28
2012-07-21,1633.0,1633.0,1532.0,1534.0,28215026,16599,7,1613.0,1537.0,1391-04-31
2012-07-22,1537.0,1597.0,1534.0,1577.0,125567192,71861,27,1534.0,1588.0,1391-05-01
2012-07-23,1624.0,1655.0,1623.0,1651.0,126491684,69171,29,1577.0,1655.0,1391-05-02
2012-07-24,1679.0,1629.0,1569.0,1573.0,103243200,59250,17,1651.0,1571.0,1391-05-03
2012-07-25,1517.0,1518.0,1504.0,1512.0,88299922,52686,15,1573.0,1518.0,1391-05-04
2012-07-28,1480.0,1480.0,1475.0,1478.0,30603325,18687,5,1512.0,1476.0,1391-05-07
2012-07-29,1443.0,1443.0,1407.0,1417.0,35059234,22326,7,1478.0,1418.0,1391-05-08
2012-07-30,1381.0,1390.0,1346.0,1355.0,178904810,119079,28,1417.0,1364.0,1391-05-09
2012-07-31,1423.0,1423.0,1423.0,1423.0,35905136,22768,3,1355.0,1423.0,1391-05-10
2012-08-01,1494.0,1494.0,1494.0,1494.0,188039445,113619,30,1423.0,1494.0,1391-05-11
2012-08-04,1552.0,1552.0,1444.0,1486.0,57496091,34911,16,1494.0,1444.0,1391-05-14
2012-08-05,1427.0,1486.0,1412.0,1456.0,106445759,66000,18,1486.0,1444.0,1391-05-15
2012-08-06,1415.0,1464.0,1411.0,1445.0,94959155,59300,17,1456.0,1462.0,1391-05-16
2012-08-07,1489.0,1498.0,1408.0,1476.0,40900000,25000,4,1445.0,1408.0,1391-05-17
2012-08-08,1494.0,1507.0,1489.0,1494.0,57983880,35009,15,1476.0,1507.0,1391-05-18
2012-08-11,1560.0,1568.0,1560.0,1563.0,115014230,66405,26,1494.0,1568.0,1391-05-21
2012-08-12,1571.0,1623.0,1489.0,1553.0,143903700,83610,16,1563.0,1489.0,1391-05-22
2012-08-13,1507.0,1507.0,1475.0,1480.0,32642900,19900,6,1553.0,1480.0,1391-05-23
2012-08-14,1531.0,1550.0,1521.0,1535.0,513402493,301910,85,1480.0,1534.0,1391-05-24
2012-08-15,1586.0,1534.0,1534.0,1534.0,63070000,37100,13,1535.0,1534.0,1391-05-25
2012-08-18,1573.0,1611.0,1573.0,1605.0,275902775,155106,68,1534.0,1611.0,1391-05-28
2012-08-21,1685.0,1685.0,1685.0,1685.0,158764079,85037,21,1605.0,1685.0,1391-05-31
2012-08-22,1762.0,1769.0,1733.0,1760.0,471913860,242060,55,1685.0,1742.0,1391-06-01
2012-08-25,1685.0,1760.0,1672.0,1722.0,35038180,18361,14,1760.0,1750.0,1391-06-04
2012-08-26,1697.0,1697.0,1636.0,1643.0,245198351,134628,42,1722.0,1652.0,1391-06-05
2012-08-27,1725.0,1725.0,1624.0,1630.0,98897397,54748,16,1643.0,1629.0,1391-06-06
2012-09-02,1710.0,1711.0,1654.0,1710.0,322594250,170256,68,1630.0,1711.0,1391-06-12
2012-09-03,1786.0,1795.0,1786.0,1792.0,406834248,204826,58,1710.0,1795.0,1391-06-13
2012-09-04,1808.0,1882.0,1808.0,1881.0,219695755,105407,29,1792.0,1882.0,1391-06-14
2012-09-05,1966.0,1966.0,1887.0,1908.0,202462814,95756,32,1881.0,1888.0,1391-06-15
2012-09-08,1938.0,2002.0,1827.0,1982.0,589979989,268631,158,1908.0,2002.0,1391-06-18
2012-09-09,2072.0,2080.0,1883.0,1983.0,883924951,402397,99,1982.0,1940.0,1391-06-19
2012-09-10,1984.0,2081.0,1984.0,2047.0,852711062,376000,216,1983.0,2081.0,1391-06-20
2012-09-11,2149.0,2149.0,2149.0,2149.0,191422876,80396,14,2047.0,2149.0,1391-06-21
2012-09-15,2256.0,2256.0,2256.0,2256.0,52600000,21040,5,2149.0,2256.0,1391-06-25
2012-09-16,2369.0,2369.0,2369.0,2369.0,210412125,80157,22,2256.0,2369.0,1391-06-26
2012-09-17,2487.0,2487.0,2399.0,2485.0,4854522255,1762828,432,2369.0,2487.0,1391-06-27
2012-09-18,2602.0,2609.0,2495.0,2602.0,1687822952,585427,259,2485.0,2609.0,1391-06-28
2012-09-19,2731.0,2732.0,2606.0,2706.0,3370048952,1123672,318,2602.0,2606.0,1391-06-29
2012-09-22,2572.0,2709.0,2572.0,2608.0,3671947420,1270498,364,2706.0,2572.0,1391-07-01
2012-09-23,2608.0,2656.0,2478.0,2525.0,1521363364,543790,172,2608.0,2478.0,1391-07-02
2012-09-24,2419.0,2521.0,2403.0,2455.0,872022263,320608,129,2525.0,2403.0,1391-07-03
2012-09-25,2437.0,2437.0,2332.0,2347.0,2092877630,804571,238,2455.0,2355.0,1391-07-04
2012-09-26,2425.0,2465.0,2382.0,2448.0,1078168133,397449,103,2347.0,2465.0,1391-07-05
2012-09-29,2527.0,2570.0,2464.0,2545.0,4328785428,1534767,398,2448.0,2570.0,1391-07-08
2012-09-30,2672.0,2672.0,2576.0,2664.0,5558353212,1883041,480,2545.0,2660.0,1391-07-09
2012-10-01,2680.0,2680.0,2531.0,2546.0,635616800,225325,73,2664.0,2531.0,1391-07-10
2012-10-02,2482.0,2673.0,2437.0,2638.0,2373322157,811864,518,2546.0,2673.0,1391-07-11
2012-10-03,2770.0,2770.0,2708.0,2770.0,8853966676,2885004,687,2638.0,2770.0,1391-07-12
2012-10-06,2779.0,2906.0,2707.0,2872.0,6582530479,2068928,668,2770.0,2889.0,1391-07-15
2012-10-07,2862.0,3015.0,2862.0,2985.0,5783927025,1748408,624,2872.0,2978.0,1391-07-16
2012-10-08,2978.0,2987.0,2836.0,2853.0,6856369344,2169053,549,2985.0,2843.0,1391-07-17
2012-10-09,2752.0,2853.0,2710.0,2727.0,3249573277,1075223,350,2853.0,2710.0,1391-07-18
2012-10-10,2689.0,2689.0,2591.0,2604.0,1797691406,622848,197,2727.0,2648.0,1391-07-19
2012-10-13,2647.0,2734.0,2647.0,2728.0,2156023708,713161,200,2604.0,2734.0,1391-07-22
2012-10-14,2841.0,2864.0,2839.0,2855.0,1181525624,373426,93,2728.0,2864.0,1391-07-23
2012-10-15,2998.0,2998.0,2998.0,2998.0,3398266476,1022958,190,2855.0,2998.0,1391-07-24
2012-10-16,3148.0,3148.0,3020.0,3144.0,11848831118,3400627,731,2998.0,3148.0,1391-07-25
2012-10-17,3294.0,3301.0,3159.0,3296.0,19076861835,5224323,1399,3144.0,3301.0,1391-07-26
2012-10-20,3460.0,3460.0,3460.0,3460.0,4056421842,1058013,186,3296.0,3460.0,1391-07-29
2012-10-21,3632.0,3632.0,3348.0,3587.0,21426741984,5390651,1342,3460.0,3393.0,1391-07-30
2012-10-22,3430.0,3430.0,3408.0,3416.0,921425397,243411,72,3587.0,3408.0,1391-08-01
2012-10-23,3245.0,3245.0,3245.0,3245.0,111835600,31100,6,3416.0,3245.0,1391-08-02
2012-10-24,3113.0,3231.0,3084.0,3114.0,11169676930,3236261,803,3245.0,3084.0,1391-08-03
2012-10-27,3157.0,3270.0,3157.0,3258.0,5190250312,1437852,423,3114.0,3270.0,1391-08-06
2012-10-28,3338.0,3382.0,3114.0,3253.0,4604076320,1277294,488,3258.0,3149.0,1391-08-07
2012-10-29,3237.0,3237.0,3091.0,3137.0,4844802254,1393866,657,3253.0,3213.0,1391-08-08
2012-10-30,3240.0,3293.0,3149.0,3250.0,6519389912,1810455,605,3137.0,3159.0,1391-08-09
2012-10-31,3245.0,3285.0,3113.0,3223.0,3207439308,897961,439,3250.0,3159.0,1391-08-10
2012-11-04,3169.0,3247.0,3063.0,3076.0,6204275022,1820049,524,3223.0,3063.0,1391-08-14
2012-11-05,3063.0,3186.0,2923.0,2940.0,2151642141,660423,315,3076.0,2927.0,1391-08-15
2012-11-06,2978.0,3086.0,2978.0,3069.0,1642513090,482917,200,2940.0,3032.0,1391-08-16
2012-11-07,3084.0,3175.0,3084.0,3094.0,431949782,125986,61,3069.0,3127.0,1391-08-17
2012-11-10,2981.0,2998.0,2940.0,2952.0,1306389225,399412,158,3094.0,2940.0,1391-08-20
2012-11-11,2818.0,3038.0,2818.0,2860.0,764438936,241234,107,2952.0,2887.0,1391-08-21
2012-11-12,2931.0,2978.0,2905.0,2924.0,447992852,138279,74,2860.0,2960.0,1391-08-22
2012-11-13,3038.0,3070.0,2987.0,3048.0,1307518859,387132,119,2924.0,3059.0,1391-08-23
2012-11-14,3104.0,3113.0,2896.0,2925.0,1796103798,554204,272,3048.0,2896.0,1391-08-24
2012-11-17,2978.0,2987.0,2779.0,2803.0,2745181109,883890,336,2925.0,2825.0,1391-08-27
2012-11-18,2779.0,2906.0,2779.0,2872.0,850013862,267163,118,2803.0,2833.0,1391-08-28
2012-11-19,2897.0,2897.0,2728.0,2733.0,2828134738,933731,313,2872.0,2743.0,1391-08-29
2012-11-20,2734.0,2843.0,2734.0,2786.0,763290459,247259,99,2733.0,2792.0,1391-08-30
2012-11-21,2816.0,2829.0,2752.0,2777.0,415204741,134955,63,2786.0,2761.0,1391-09-01
2012-11-26,2752.0,2805.0,2707.0,2759.0,1303761072,426552,229,2777.0,2752.0,1391-09-06
2012-11-27,2798.0,2852.0,2798.0,2820.0,1053108366,336949,138,2759.0,2804.0,1391-09-07
2012-11-28,2807.0,2807.0,2752.0,2774.0,1243032224,404320,152,2820.0,2770.0,1391-09-08
2012-12-01,2775.0,2842.0,2775.0,2812.0,1042498596,334563,135,2774.0,2805.0,1391-09-11
2012-12-02,2825.0,2861.0,2706.0,2781.0,1902826810,617317,231,2812.0,2743.0,1391-09-12
2012-12-03,2743.0,2785.0,2698.0,2727.0,1618098783,535479,153,2781.0,2742.0,1391-09-13
2012-12-04,2726.0,2759.0,2671.0,2714.0,1102329862,366528,130,2727.0,2673.0,1391-09-14
2012-12-05,2672.0,2779.0,2635.0,2718.0,2260218262,750364,239,2714.0,2734.0,1391-09-15
2012-12-08,2743.0,2751.0,2698.0,2715.0,688824178,228898,118,2718.0,2707.0,1391-09-18
2012-12-09,2691.0,2725.0,2691.0,2706.0,1146703990,382375,89,2715.0,2704.0,1391-09-19
2012-12-10,2691.0,2707.0,2665.0,2687.0,1150484387,386281,118,2706.0,2689.0,1391-09-20
2012-12-11,2689.0,2749.0,2585.0,2653.0,508958772,173094,60,2687.0,2641.0,1391-09-21
2012-12-12,2732.0,2751.0,2628.0,2709.0,816182657,271908,108,2653.0,2730.0,1391-09-22
2012-12-15,2752.0,2752.0,2690.0,2710.0,483784710,161126,57,2709.0,2706.0,1391-09-25
2012-12-16,2739.0,2739.0,2635.0,2654.0,1878509225,638752,191,2710.0,2705.0,1391-09-26
2012-12-17,2664.0,2760.0,2653.0,2720.0,3183039598,1056089,300,2654.0,2752.0,1391-09-27
