date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2012-04-16,14.0,14.0,14.0,14.0,357983325000,23865555,1933,1.0,14.0,1391-01-28
2012-04-17,14.0,14.0,14.0,14.0,7882166250,500455,111,14.0,14.0,1391-01-29
2012-04-18,15.0,15.0,15.0,15.0,6145810680,371640,111,14.0,15.0,1391-01-30
2012-04-21,16.0,16.0,16.0,16.0,9103716071,524317,174,15.0,16.0,1391-02-02
2012-04-22,17.0,17.0,17.0,17.0,47829411351,2623521,1734,16.0,17.0,1391-02-03
2012-04-23,17.0,17.0,17.0,17.0,108328157554,5659187,4613,17.0,17.0,1391-02-04
2012-04-24,18.0,18.0,18.0,18.0,244830250210,12218680,9581,17.0,18.0,1391-02-05
2012-04-28,19.0,19.0,18.0,19.0,84781966910,4104853,2978,18.0,18.0,1391-02-09
2012-04-29,18.0,18.0,18.0,18.0,34227643117,1710975,1613,19.0,18.0,1391-02-10
2012-04-30,18.0,19.0,18.0,19.0,32684903839,1581977,1096,18.0,19.0,1391-02-11
2012-05-01,19.0,19.0,18.0,19.0,14783125959,719992,522,19.0,19.0,1391-02-12
2012-05-02,19.0,19.0,18.0,19.0,22074115140,1063321,743,19.0,19.0,1391-02-13
2012-05-05,19.0,19.0,18.0,18.0,62187305933,3105826,1642,19.0,18.0,1391-02-16
2012-05-06,18.0,19.0,18.0,18.0,9653352330,478151,394,18.0,18.0,1391-02-17
2012-05-07,18.0,18.0,18.0,18.0,12566933797,636197,424,18.0,18.0,1391-02-18
2012-05-08,18.0,18.0,17.0,18.0,10184555348,524872,400,18.0,18.0,1391-02-19
2012-05-09,18.0,18.0,17.0,17.0,12171869880,639385,439,18.0,17.0,1391-02-20
2012-05-12,17.0,17.0,16.0,16.0,22082872903,1215741,632,17.0,16.0,1391-02-23
2012-05-13,16.0,17.0,16.0,17.0,4374360462,238870,242,16.0,17.0,1391-02-24
2012-05-14,17.0,17.0,17.0,17.0,16172003306,847763,491,17.0,17.0,1391-02-25
2012-05-15,18.0,18.0,17.0,18.0,5318168379,274692,187,17.0,17.0,1391-02-26
2012-05-16,17.0,17.0,17.0,17.0,2155146437,114038,148,18.0,17.0,1391-02-27
2012-05-19,17.0,17.0,17.0,17.0,2743990440,144635,183,17.0,17.0,1391-02-30
2012-05-20,17.0,17.0,17.0,17.0,3540688350,185900,175,17.0,17.0,1391-02-31
2012-05-21,17.0,18.0,17.0,18.0,3892062608,200026,197,17.0,18.0,1391-03-01
2012-05-22,18.0,18.0,18.0,18.0,3371172260,172929,157,18.0,18.0,1391-03-02
2012-05-23,18.0,18.0,17.0,18.0,4063366879,209146,139,18.0,18.0,1391-03-03
2012-05-26,17.0,17.0,17.0,17.0,5477229357,294968,158,18.0,17.0,1391-03-06
2012-05-27,17.0,17.0,17.0,17.0,3522738355,185994,162,17.0,17.0,1391-03-07
2012-05-28,17.0,17.0,17.0,17.0,5947648679,317202,169,17.0,17.0,1391-03-08
2012-05-29,17.0,17.0,17.0,17.0,4542017381,243058,111,17.0,17.0,1391-03-09
2012-05-30,17.0,17.0,17.0,17.0,13784491727,744445,491,17.0,17.0,1391-03-10
2012-06-09,14.0,14.0,14.0,14.0,6721647359,428969,200,17.0,14.0,1391-03-20
2012-06-10,14.0,15.0,14.0,15.0,4393902686,269527,157,14.0,15.0,1391-03-21
2012-06-11,15.0,15.0,15.0,15.0,3484773294,204230,163,15.0,15.0,1391-03-22
2012-06-12,16.0,16.0,15.0,16.0,2599713421,149473,109,15.0,16.0,1391-03-23
2012-06-13,16.0,16.0,15.0,16.0,1421984902,82874,54,16.0,15.0,1391-03-24
2012-06-16,15.0,15.0,15.0,15.0,3867676145,227916,100,16.0,15.0,1391-03-27
2012-06-17,15.0,15.0,15.0,15.0,1800312196,106389,68,15.0,15.0,1391-03-28
2012-06-19,15.0,15.0,15.0,15.0,1254443000,74028,65,15.0,15.0,1391-03-30
2012-06-20,15.0,15.0,15.0,15.0,3862705640,229908,104,15.0,15.0,1391-03-31
2012-06-23,15.0,15.0,14.0,14.0,15972090207,998758,325,15.0,14.0,1391-04-03
2012-06-24,14.0,14.0,14.0,14.0,709719845,45004,65,14.0,14.0,1391-04-04
2012-06-25,14.0,14.0,14.0,14.0,1690064392,108670,49,14.0,14.0,1391-04-05
2012-06-26,14.0,14.0,13.0,13.0,12954615192,875173,273,14.0,13.0,1391-04-06
2012-06-27,13.0,13.0,13.0,13.0,4953714545,350398,174,13.0,13.0,1391-04-07
2012-06-30,13.0,13.0,13.0,13.0,1617816598,108996,43,13.0,13.0,1391-04-10
2012-07-01,14.0,14.0,13.0,14.0,3547986331,235203,139,13.0,14.0,1391-04-11
