date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2001-03-26,248.0,248.0,248.0,248.0,13248525,1913,5,248.0,248.0,1380-01-06
2001-04-10,249.0,251.0,249.0,251.0,5022580,722,3,248.0,251.0,1380-01-21
2001-04-11,251.0,251.0,251.0,251.0,10129000,1447,2,251.0,251.0,1380-01-22
2001-04-14,249.0,249.0,249.0,249.0,13910000,2000,1,251.0,249.0,1380-01-25
2001-04-15,249.0,249.0,249.0,249.0,465985,67,1,249.0,249.0,1380-01-26
2001-04-16,249.0,249.0,249.0,249.0,465985,67,1,249.0,249.0,1380-01-27
2001-04-17,249.0,249.0,249.0,249.0,466052,67,1,249.0,249.0,1380-01-28
2001-04-18,250.0,250.0,250.0,250.0,1851626,266,4,249.0,250.0,1380-01-29
2001-04-21,250.0,250.0,250.0,250.0,4435583,637,4,250.0,250.0,1380-02-01
2001-04-22,250.0,255.0,250.0,255.0,65420768,9218,2,250.0,255.0,1380-02-02
2001-04-23,255.0,255.0,255.0,255.0,475700,67,1,255.0,255.0,1380-02-03
2001-04-24,255.0,255.0,255.0,255.0,45506824,6404,1,255.0,255.0,1380-02-04
2001-04-25,255.0,255.0,255.0,255.0,2327007,327,3,255.0,255.0,1380-02-05
2001-04-28,255.0,256.0,255.0,256.0,10550125,1481,4,255.0,256.0,1380-02-08
2001-04-29,256.0,256.0,256.0,256.0,4755940,665,2,256.0,256.0,1380-02-09
2001-05-01,257.0,257.0,257.0,257.0,479452,67,1,256.0,257.0,1380-02-11
2001-05-05,257.0,257.0,257.0,257.0,1002120,140,1,257.0,257.0,1380-02-15
2001-05-06,257.0,257.0,257.0,257.0,7880929,1099,2,257.0,257.0,1380-02-16
2001-05-08,257.0,257.0,257.0,257.0,3299120,460,1,257.0,257.0,1380-02-18
2001-05-12,258.0,262.0,258.0,262.0,16089372,2214,2,257.0,262.0,1380-02-22
2001-05-13,262.0,262.0,262.0,262.0,2686400,368,2,262.0,262.0,1380-02-23
2001-05-15,262.0,262.0,262.0,262.0,1533078,210,3,262.0,262.0,1380-02-25
2001-05-16,262.0,262.0,262.0,262.0,4796100,657,5,262.0,262.0,1380-02-26
2001-05-19,262.0,262.0,262.0,262.0,27148700,3719,4,262.0,262.0,1380-02-29
2001-05-20,262.0,262.0,262.0,262.0,2051300,281,2,262.0,262.0,1380-02-30
2001-05-23,262.0,262.0,262.0,262.0,17384570,2380,5,262.0,262.0,1380-03-02
2001-05-27,262.0,265.0,262.0,265.0,7890373,1067,2,262.0,265.0,1380-03-06
2001-05-30,266.0,266.0,266.0,266.0,325820,44,1,265.0,266.0,1380-03-09
2001-06-06,268.0,269.0,268.0,269.0,6736968,900,4,266.0,269.0,1380-03-16
2001-06-11,270.0,270.0,270.0,270.0,1504800,200,1,269.0,270.0,1380-03-21
2001-06-12,270.0,270.0,270.0,270.0,2063494,274,3,270.0,270.0,1380-03-22
2001-06-13,270.0,271.0,270.0,270.0,65767340,8721,15,270.0,270.0,1380-03-23
2001-06-16,270.0,270.0,270.0,270.0,4523045,600,5,270.0,270.0,1380-03-26
2001-06-17,270.0,270.0,270.0,270.0,7464409,990,8,270.0,270.0,1380-03-27
2001-06-18,270.0,270.0,270.0,270.0,25832040,3426,6,270.0,270.0,1380-03-28
2001-06-19,270.0,270.0,270.0,270.0,12162410,1613,9,270.0,270.0,1380-03-29
2001-06-20,270.0,270.0,270.0,270.0,3891156,516,2,270.0,270.0,1380-03-30
2001-06-23,270.0,271.0,270.0,271.0,91483881,12118,25,270.0,271.0,1380-04-02
2001-06-24,271.0,271.0,271.0,271.0,14332481,1894,4,271.0,271.0,1380-04-03
2001-06-25,271.0,272.0,271.0,272.0,10620921,1403,3,271.0,272.0,1380-04-04
2001-06-26,272.0,272.0,271.0,271.0,106163076,14027,14,272.0,271.0,1380-04-05
2001-06-27,271.0,271.0,271.0,271.0,4116728,544,3,271.0,271.0,1380-04-06
2001-06-30,272.0,272.0,272.0,272.0,3907668,516,2,271.0,272.0,1380-04-09
2001-07-01,272.0,272.0,272.0,272.0,147080219,19408,6,272.0,272.0,1380-04-10
2001-07-02,272.0,272.0,272.0,272.0,109005785,14382,9,272.0,272.0,1380-04-11
2001-07-03,273.0,273.0,273.0,273.0,8610875,1133,3,272.0,273.0,1380-04-12
2001-07-04,273.0,286.0,273.0,274.0,156992747,20167,19,273.0,274.0,1380-04-13
2001-07-31,245.0,246.0,245.0,246.0,7868325,1150,3,274.0,246.0,1380-05-09
2001-08-01,248.0,255.0,248.0,255.0,8419046,1191,3,246.0,255.0,1380-05-10
2001-08-04,262.0,262.0,262.0,262.0,7300000,1000,1,255.0,262.0,1380-05-13
2001-08-06,262.0,262.0,262.0,262.0,36573000,5010,22,262.0,262.0,1380-05-15
2001-08-07,262.0,262.0,262.0,262.0,8008100,1097,5,262.0,262.0,1380-05-16
2001-08-08,262.0,262.0,262.0,262.0,1022000,140,1,262.0,262.0,1380-05-17
2001-08-12,262.0,262.0,262.0,262.0,7795368,1067,2,262.0,262.0,1380-05-21
