date,open,high,low,adjClose,value,volume,count,yesterday,close,jdate
2018-11-17,2729.0,2729.0,2729.0,2729.0,4182000000000,615000000,308461,401.0,2729.0,1397-08-26
2018-11-18,2866.0,2866.0,2866.0,2866.0,5855428320,820088,698,2729.0,2866.0,1397-08-27
2018-11-19,3009.0,3009.0,3009.0,3009.0,9366594363,1249379,1105,2866.0,3009.0,1397-08-28
2018-11-20,3159.0,3159.0,3159.0,3159.0,12654230313,1607703,1349,3009.0,3159.0,1397-08-29
2018-11-21,3317.0,3317.0,3317.0,3317.0,36011685712,4357658,3220,3159.0,3317.0,1397-08-30
2018-11-24,3483.0,3483.0,3412.0,3481.0,1672166803974,192779906,121523,3317.0,3483.0,1397-09-03
2018-11-26,3509.0,3523.0,3308.0,3403.0,1778403591495,209746265,139718,3481.0,3361.0,1397-09-05
2018-11-27,3343.0,3516.0,3311.0,3417.0,729869663519,85714127,54210,3403.0,3491.0,1397-09-06
2018-11-28,3491.0,3497.0,3379.0,3415.0,275944210546,32423977,19877,3417.0,3403.0,1397-09-07
2018-12-01,3347.0,3359.0,3245.0,3260.0,382287080918,47065032,18373,3415.0,3245.0,1397-09-10
2018-12-02,3287.0,3370.0,3260.0,3311.0,175930357728,21327568,9985,3260.0,3311.0,1397-09-11
2018-12-03,3351.0,3371.0,3299.0,3330.0,141462860042,17050255,7715,3311.0,3344.0,1397-09-12
2018-12-04,3319.0,3331.0,3255.0,3285.0,134324090270,16413905,6415,3330.0,3329.0,1397-09-13
2018-12-05,3273.0,3303.0,3269.0,3282.0,108476936267,13266319,5979,3285.0,3274.0,1397-09-14
2018-12-08,3255.0,3290.0,3193.0,3236.0,160695751071,19929309,8274,3282.0,3219.0,1397-09-17
2018-12-09,3211.0,3214.0,3155.0,3181.0,128973489157,16274655,7370,3236.0,3173.0,1397-09-18
2018-12-10,3153.0,3299.0,3110.0,3222.0,111376177649,13875357,6562,3181.0,3253.0,1397-09-19
2018-12-12,3215.0,3231.0,3171.0,3203.0,68111894316,8535096,5727,3222.0,3191.0,1397-09-21
2018-12-15,3171.0,3191.0,3131.0,3169.0,75484084623,9560272,3925,3203.0,3155.0,1397-09-24
2018-12-16,3167.0,3167.0,3047.0,3090.0,87343696985,11344115,4179,3169.0,3063.0,1397-09-25
2018-12-17,3031.0,3062.0,2991.0,3023.0,59246020687,7864344,4262,3090.0,3003.0,1397-09-26
2018-12-18,2970.0,3121.0,2916.0,3013.0,56775671000,7564321,3395,3023.0,3030.0,1397-09-27
2018-12-19,2996.0,3030.0,2951.0,2970.0,72557410666,9803553,2514,3013.0,2967.0,1397-09-28
2018-12-22,2935.0,2966.0,2895.0,2924.0,34426442525,4725223,2593,2970.0,2929.0,1397-10-01
2018-12-23,2953.0,3102.0,2953.0,3051.0,57468126357,7560869,3388,2924.0,3062.0,1397-10-02
2018-12-24,3062.0,3100.0,2992.0,3051.0,56239951622,7399009,3091,3051.0,3070.0,1397-10-03
2018-12-29,3090.0,3090.0,3090.0,3090.0,3379583900,438907,141,3051.0,3090.0,1397-10-08
2018-12-30,3091.0,3097.0,2942.0,3065.0,60472562602,7919362,2878,3090.0,3084.0,1397-10-09
2018-12-31,3070.0,3155.0,3050.0,3102.0,41436768620,5360945,2592,3065.0,3142.0,1397-10-10
2019-01-01,3110.0,3283.0,3108.0,3224.0,86117134410,10722295,3846,3102.0,3251.0,1397-10-11
2019-01-02,3251.0,3283.0,3211.0,3230.0,66907762851,8314661,2617,3224.0,3239.0,1397-10-12
2019-01-05,3210.0,3211.0,3155.0,3186.0,41757272043,5260710,1799,3230.0,3169.0,1397-10-15
2019-01-06,3133.0,3211.0,3123.0,3154.0,50214214303,6389119,1915,3186.0,3210.0,1397-10-16
2019-01-07,3155.0,3215.0,3155.0,3192.0,27686030147,3480739,1544,3154.0,3179.0,1397-10-17
2019-01-08,3211.0,3271.0,3166.0,3219.0,47918844709,5975201,2044,3192.0,3223.0,1397-10-18
2019-01-09,3219.0,3266.0,3211.0,3220.0,23318348219,2905936,1222,3219.0,3211.0,1397-10-19
2019-01-12,3211.0,3220.0,3179.0,3192.0,34913864356,4389547,1424,3220.0,3192.0,1397-10-22
2019-01-13,3181.0,3211.0,3151.0,3177.0,35361652216,4467052,2465,3192.0,3177.0,1397-10-23
2019-01-14,3151.0,3251.0,3143.0,3201.0,38418169593,4816484,1681,3177.0,3199.0,1397-10-24
2019-01-15,3175.0,3232.0,3171.0,3201.0,37760697135,4734934,1272,3201.0,3171.0,1397-10-25
2019-01-16,3191.0,3191.0,3151.0,3163.0,25011268439,3174175,1172,3201.0,3155.0,1397-10-26
2019-01-19,3161.0,3211.0,3161.0,3189.0,19877355562,2501873,1083,3163.0,3188.0,1397-10-29
2019-01-20,3175.0,3231.0,3175.0,3203.0,30504045450,3822157,1364,3189.0,3183.0,1397-10-30
2019-01-21,3172.0,3187.0,3145.0,3165.0,33946827674,4304441,1155,3203.0,3171.0,1397-11-01
2019-01-22,3139.0,3173.0,3131.0,3145.0,18646706086,2379168,1212,3165.0,3171.0,1397-11-02
2019-01-23,3143.0,3147.0,3131.0,3140.0,18964335760,2423731,2545,3145.0,3143.0,1397-11-03
2019-01-26,3165.0,3171.0,3131.0,3136.0,20079367110,2569611,1146,3140.0,3131.0,1397-11-06
2019-01-27,3127.0,3127.0,3090.0,3102.0,23193586391,3000274,1123,3136.0,3106.0,1397-11-07
2019-01-28,3090.0,3095.0,3030.0,3045.0,67665666678,8920366,1325,3102.0,3081.0,1397-11-08
2019-01-29,3086.0,3086.0,3033.0,3055.0,21808537210,2865225,859,3045.0,3055.0,1397-11-09
2019-01-30,3050.0,3086.0,3035.0,3059.0,11409635419,1497082,763,3055.0,3066.0,1397-11-10
2019-02-02,3090.0,3185.0,3070.0,3137.0,28655193021,3666744,1501,3059.0,3118.0,1397-11-13
2019-02-03,3115.0,3131.0,3030.0,3063.0,11099488239,1454567,955,3137.0,3102.0,1397-11-14
2019-02-04,3039.0,3100.0,3039.0,3071.0,16172837998,2113766,868,3063.0,3092.0,1397-11-15
2019-02-05,3090.0,3090.0,3032.0,3050.0,13486965140,1774799,781,3071.0,3060.0,1397-11-16
2019-02-06,3042.0,3063.0,3035.0,3045.0,10813942846,1425514,745,3050.0,3050.0,1397-11-17
2019-02-10,3051.0,3089.0,3050.0,3067.0,15861808613,2075673,1001,3045.0,3074.0,1397-11-21
2019-02-12,3088.0,3171.0,3088.0,3114.0,18889756154,2434289,1386,3067.0,3092.0,1397-11-23
